#汉字	音标	解释
#来源	/	林德威《Problems in Comparative Chinese Dialectology》
#声调	/	1阴平34 2阳平32 3阴上21ʔ 5阴去23 6阳去阴入455 8阳上阳入53ʔ
宁	laɲ2	~洋，地名
嫩	naɲ6	
捏	naɲ6	训，摘花
鳞	laɲ1	
凌	laɲ2	~冰：冰
林	laɲ2	
锅	laɲ2	训，铸造铁锅
零	laɲ2	
冷	laɲʔ3	
曾	tsaɲ1	
昨	tsaɲ2	
层	tsaɲ2	
情	tsaɲ2	行~
尽	tsaɲ6	
亲	tsʰaɲ1	
清	tsʰaɲ1	水清澈
田	tsʰaɲ2	训，水田
新	saɲ1	
心	saɲ1	
生	saɲ1	接~婆，先~
星	saɲ1	
辛	saɲ1	天干，~苦
参	saɲ1	人~
蝇	saɲ2	
省	sieʔ3	
信	saɲ5	
擤	saɲ5	
性	saɲ5	
囟	saɲ5	额~：前额
烟	aɲ1	烟，熏蚊子
音	aɲ1	
英	aɲ1	群~，地名
阴	aɲ1	
饮	aɲʔ3	
印	aɲ5	
应	aɲ5	回应
屻	aɲ6	山岗，用于地名
眩	haɲ2	眩晕
□	haɲ2	~朝：明天
恒	haɲ2	紧
杏	heɲʔ3	
剥	pau6	
腹	pau6	
缚	pauʔ8	
朴	pʰau6	小猪
覆	pʰau6	翻转
目	mauʔ8	
木	mauʔ8	
斫	tau6	
涿	tau6	淋雨
毒	tauʔ8	
搭	tʰau6	训，用于不搭理
毒	tʰauʔ8	老的说法
读	tʰauʔ8	
脑	nauʔ3	
揉	nau6	训，揉，搅拌
捞	lauʔ3	训，欺骗
漉	lau6	陷入泥中
摝	lau6	套上袋子保护
摝	lauʔ8	翻谷
鹿	lauʔ8	
吵	tsʰauʔ3	
束	sau6	训，熏香或花的量词
竹	tʃau6	
烛	tʃau6	
甩	tʃʰauʔ8	训，甩干
叔	ʃau6	
熟	ʃauʔ8	
赎	ʃauʔ8	
呕	auʔ3	
屋	au6	
沃	au6	浇水
菊	kau6	
淹	kau6	训
鼓	kau6	训，结实
谷	kau6	
角	kau6	鸡~：小公鸡
哭	kʰau6	
盖	kʰau6	覆盖
曲	kʰau6	
后	hauʔ8	~生
福	hau6	福建
老	lauʔ3	~虎，~鼠
落	lau6	角~
浞	tsʰauʔ8	呛水
角	kau6	~落
靠	kʰau5	
藕	ŋauʔ3	
轴	tiauʔ8	
六	liauʔ8	
绿	liauʔ8	
录	liauʔ8	
挤	tsiau6	训，挤出
聚	tsʰiauʔ8	靠近，加入
刺	tsʰiau6	训
涩	siau6	
粟	siau6	
翘	kʰiau5	
猫	ɲiau1	
皱	ɲiau6	
玉	ɲiauʔ8	
额	ɲiauʔ8	
翕	hiau6	闷热，湿热
枫	paŋ1	
枋	paŋ1	
缝	paŋ2	
□	paŋʔ3	伯母合音
