列1	列2	列3	列4	湖州话字表	此列不需录入
尷	尴	kᴇ⁴⁴	ke1		kᴇ⁴⁴
干	干	kᴇ⁴⁴	ke1		kᴇ⁴⁴
肝	肝	kᴇ⁴⁴	ke1		kᴇ⁴⁴
竿	竿	kᴇ⁴⁴	ke1		kᴇ⁴⁴
感	感	kᴇ⁴²	ke3		kᴇ⁴²
敢	敢	kᴇ⁴²	ke3		kᴇ⁴²
橄	橄	kᴇ⁴²	ke3		kᴇ⁴²
減	减	kᴇ⁴²	ke3	白	kᴇ⁴²
桿	杆	kᴇ⁴²	ke3		kᴇ⁴²
幹	干	kᴇ⁴²	ke3	~部	kᴇ⁴²
揀	拣	kᴇ⁴²	ke3		kᴇ⁴²
澗	涧	kᴇ³⁵	ke5	白	kᴇ³⁵
鑑	鉴	kᴇ³⁵	ke5	白	kᴇ³⁵
鐗	鐗	kᴇ³⁵	ke5	白	kᴇ³⁵
看	看	kʰᴇ⁴⁴	khe1	~守	kʰᴇ⁴⁴
堪	堪	kʰᴇ⁴⁴	khe1		kʰᴇ⁴⁴
鉛	铅	kʰᴇ⁴⁴	khe1		kʰᴇ⁴⁴
坎	坎	kʰᴇ⁴²	khe3		kʰᴇ⁴²
艦	舰	kʰᴇ⁴²	khe3		kʰᴇ⁴²
刊	刊	kʰᴇ⁴²	khe3		kʰᴇ⁴²
凱	凯	kʰᴇ⁴²	khe3	~歌	kʰᴇ⁴²
看	看	kʰᴇ³⁵	khe5	~見	kʰᴇ³⁵
嵌	嵌	kʰᴇ³⁵	khe5		kʰᴇ³⁵
鈣	钙	kᴇ³⁵	ke5		gᴇ
眼	眼	ŋᴇ⁴⁴	nge1	一~~：一點點	ŋᴇ⁴⁴
餡	馅	ŋᴇ⁴²	nge3		ŋᴇ⁴²
眼	眼	ŋᴇ⁴²	nge3		ŋᴇ⁴²
雁	雁	ŋᴇ³⁵	nge5		ŋᴇ³⁵
顏	颜	ŋᴇ¹²	nge2		ŋɦᴇ¹²
巖	巖	ŋᴇ¹²	nge2		ŋɦᴇ¹²
蚶	蚶	hᴇ⁴⁴	he1		hᴇ⁴⁴
鼾	鼾	hᴇ⁴⁴	he1		hᴇ⁴⁴
龕	龛	hᴇ⁴⁴	he1		hᴇ⁴⁴
罕	罕	hᴇ⁴²	he3		hᴇ⁴²
漢	汉	hᴇ³⁵	he5		hᴇ³⁵
莧	苋	hᴇ³⁵	he5	~菜。白	hᴇ³⁵
喊	喊	hᴇ³⁵	he5		hᴇ³⁵
含	含	ɦᴇ¹²	ghe2		ɦᴇ¹²
函	函	ɦᴇ¹²	ghe2		ɦᴇ¹²
咸	咸	ɦᴇ¹²	ghe2		ɦᴇ¹²
銜	衔	ɦᴇ¹²	ghe2		ɦᴇ¹²
寒	寒	ɦᴇ¹²	ghe2		ɦᴇ¹²
韓	韩	ɦᴇ¹²	ghe2		ɦᴇ¹²
憾	憾	ɦᴇ¹²	ghe2		ɦᴇ¹²
閑	闲	ɦᴇ¹²	ghe2		ɦᴇ¹²
庵	庵	ᴇ⁴⁴	e1		ʔᴇ⁴⁴
安	安	ᴇ⁴⁴	e1		ʔᴇ⁴⁴
鞍	鞍	ᴇ⁴⁴	e1		ʔᴇ⁴⁴
按	按	ᴇ⁴²	e3		ʔᴇ⁴²
限	限	ᴇ⁴²	e3		ʔᴇ⁴²
按	按	ᴇ⁴²	e3		ʔᴇ⁴²
暗	暗	ᴇ³⁵	e5		ʔᴇ³⁵
岸	岸	ᴇ³⁵	e5		ʔᴇ³⁵
汗	汗	ᴇ³⁵	e5		ʔᴇ³⁵
銲	銲	ᴇ³⁵	e5		ʔᴇ³⁵
翰	翰	ᴇ³⁵	e5		ʔᴇ³⁵
案	案	ᴇ³⁵	e5		ʔᴇ³⁵
晏	晏	ᴇ³⁵	e5	白	ʔᴇ³⁵
鞭	鞭	pi⁴⁴	pie1		pi⁴⁴
編	编	pi⁴⁴	pie1		pi⁴⁴
邊	边	pi⁴⁴	pie1		pi⁴⁴
蝙	蝙	pi⁴⁴	pie1		pi⁴⁴
篦	篦	pi⁴⁴	pie1		pi⁴⁴
扁	扁	pi⁴²	pie3		pi⁴²
匾	匾	pi⁴²	pie3		pi⁴²
變	变	pi³⁵	pie5		pi³⁵
遍	遍	pi³⁵	pie5	一~，~地	pi³⁵
篇	篇	pʰi⁴⁴	phie1		pʰi⁴⁴
偏	偏	pʰi⁴⁴	phie1		pʰi⁴⁴
片	片	pʰi³⁵	phie5		pʰi³⁵
騙	骗	pʰi³⁵	phie5		pʰi³⁵
便	便	bi¹²	bie2	~宜	bi¹²
辨	辨	bi²³¹	bie4		bi²³¹
辯	辩	bi²³¹	bie4		bi²³¹
辮	辫	bi²³¹	bie4		bi²³¹
便	便	bi²⁴	bie6	方~	bi²⁴
汴	汴	bi²⁴	bie6		bi²⁴
免	免	mi⁴²	mie3		mi⁴²
勉	勉	mi⁴²	mie3		mi⁴²
娩	娩	mi⁴²	mie3		mi⁴²
緬	缅	mi⁴²	mie3		mi⁴²
面	面	mi³⁵	mie5		mi³⁵
麵	面	mi³⁵	mie5		mi³⁵
綿	绵	mi¹²	mie2		ɦmi¹²
棉	棉	mi¹²	mie2		ɦmi¹²
眠	眠	mi¹²	mie2		ɦmi¹²
顛	颠	ti⁴⁴	tie1		ti⁴⁴
舐	舐	ti⁴²	tie3		ti⁴²
點	点	ti⁴²	tie3		ti⁴²
典	典	ti⁴²	tie3		ti⁴²
腆	腆	ti⁴²	tie3		ti⁴²
店	店	ti³⁵	tie5		ti³⁵
添	添	tʰi⁴⁴	thie1		tʰi⁴⁴
天	天	tʰi⁴⁴	thie1		tʰi⁴⁴
舔	舔	tʰi⁴²	thie3		tʰi⁴²
㮇	㮇	tʰi³⁵	thie5	~筆，~蟋蟀	tʰi³⁵
甜	甜	di¹²	die2		di¹²
田	田	di¹²	die2		di¹²
填	填	di¹²	die2		di¹²
佃	佃	di¹²	die2		di¹²
錢	钱	di¹²	die2	俗作“鈿”	di¹²
墊	垫	di²³¹	die4	~鈔票	di²³¹
電	电	di²⁴	die6		di²⁴
殿	殿	di²⁴	die6		di²⁴
奠	奠	di²⁴	die6		di²⁴
墊	垫	di²⁴	die6	~子	di²⁴
臉	脸	di⁴²	die3		di⁴²
斂	敛	di⁴²	die3		di⁴²
殮	殓	di⁴²	die3		di⁴²
練	练	di³⁵	die5		di³⁵
鍊	鍊	di³⁵	die5		di³⁵
楝	楝	di³⁵	die5		di³⁵
廉	廉	li¹²	lie2		lɦi¹²
鐮	镰	li¹²	lie2		lɦi¹²
簾	帘	li¹²	lie2		lɦi¹²
連	连	li¹²	lie2		lɦi¹²
聯	联	li¹²	lie2		lɦi¹²
蓮	莲	li¹²	lie2		lɦi¹²
戀	恋	li¹²	lie2		lɦi¹²
尖	尖	tɕi⁴⁴	cie1		tɕi⁴⁴
兼	兼	tɕi⁴⁴	cie1		tɕi⁴⁴
艱	艰	tɕi⁴⁴	cie1		tɕi⁴⁴
間	间	tɕi⁴⁴	cie1	空~。白	tɕi⁴⁴
奸	奸	tɕi⁴⁴	cie1		tɕi⁴⁴
煎	煎	tɕi⁴⁴	cie1		tɕi⁴⁴
肩	肩	tɕi⁴⁴	cie1		tɕi⁴⁴
堅	坚	tɕi⁴⁴	cie1		tɕi⁴⁴
捐	捐	tɕi⁴⁴	cie1		tɕi⁴⁴
眷	眷	tɕi⁴⁴	cie1		tɕi⁴⁴
殲	歼	tɕi⁴⁴	cie1		tɕi⁴⁴
監	监	tɕi⁴⁴	cie1	文	tɕi⁴⁴
檢	检	tɕi⁴²	cie3		tɕi⁴²
簡	简	tɕi⁴²	cie3		tɕi⁴²
柬	柬	tɕi⁴²	cie3		tɕi⁴²
揀	拣	tɕi⁴²	cie3	文	tɕi⁴²
間	间	tɕi⁴²	cie3	~斷	tɕi⁴²
捲	卷	tɕi⁴²	cie3		tɕi⁴²
卷	卷	tɕi⁴²	cie3		tɕi⁴²
剪	剪	tɕi⁴²	cie3		tɕi⁴²
減	减	tɕi⁴²	cie3	文	tɕi⁴²
鑑	鉴	tɕi³⁵	cie5	文	tɕi³⁵
劍	剑	tɕi³⁵	cie5		tɕi³⁵
諫	谏	tɕi³⁵	cie5		tɕi³⁵
澗	涧	tɕi³⁵	cie5	文	tɕi³⁵
䥨	䥨	tɕi³⁵	cie5	文	tɕi³⁵
箭	箭	tɕi³⁵	cie5		tɕi³⁵
建	建	tɕi³⁵	cie5		tɕi³⁵
見	见	tɕi³⁵	cie5		tɕi³⁵
薦	荐	tɕi³⁵	cie5		tɕi³⁵
絹	绢	tɕi³⁵	cie5		tɕi³⁵
箋	笺	tɕi³⁵	cie5		tɕi³⁵
籤	签	tɕʰi⁴⁴	chie1		tɕʰi⁴⁴
簽	签	tɕʰi⁴⁴	chie1		tɕʰi⁴⁴
謙	谦	tɕʰi⁴⁴	chie1		tɕʰi⁴⁴
歉	歉	tɕʰi⁴⁴	chie1		tɕʰi⁴⁴
遷	迁	tɕʰi⁴⁴	chie1		tɕʰi⁴⁴
遣	遣	tɕʰi⁴⁴	chie1		tɕʰi⁴⁴
千	千	tɕʰi⁴⁴	chie1		tɕʰi⁴⁴
牽	牵	tɕʰi⁴⁴	chie1		tɕʰi⁴⁴
圈	圈	tɕʰi⁴⁴	chie1	圓~，豬~	tɕʰi⁴⁴
券	券	tɕʰi⁴⁴	chie1		tɕʰi⁴⁴
淺	浅	tɕʰi⁴²	chie3		tɕʰi⁴²
犬	犬	tɕʰi⁴²	chie3		tɕʰi⁴²
勸	劝	tɕʰi³⁵	chie5		tɕʰi³⁵
欠	欠	tɕʰi³⁵	chie5		tɕʰi³⁵
乾	乾	dʑi¹²	jie2	~坤	dʑi¹²
虔	虔	dʑi¹²	jie2		dʑi¹²
掮	掮	dʑi¹²	jie2		dʑi¹²
鉗	钳	dʑi¹²	jie2		dʑi¹²
拳	拳	dʑi¹²	jie2		dʑi¹²
顴	颧	dʑi¹²	jie2		dʑi¹²
件	件	dʑi²³¹	jie4		dʑi²³¹
儉	俭	dʑi²³¹	jie4		dʑi²³¹
鍵	键	dʑi²⁴	jie6		dʑi²⁴
健	健	dʑi²⁴	jie6		dʑi²⁴
腱	腱	dʑi²⁴	jie6		dʑi²⁴
倦	倦	dʑi²⁴	jie6		dʑi²⁴
仙	仙	ɕi⁴⁴	shie1		ɕi⁴⁴
鮮	鲜	ɕi⁴⁴	shie1	新~，~少	ɕi⁴⁴
軒	轩	ɕi⁴⁴	shie1		ɕi⁴⁴
先	先	ɕi⁴⁴	shie1		ɕi⁴⁴
宣	宣	ɕi⁴⁴	shie1		ɕi⁴⁴
喧	喧	ɕi⁴⁴	shie1		ɕi⁴⁴
險	险	ɕi⁴²	shie3		ɕi⁴²
癬	癣	ɕi⁴²	shie3		ɕi⁴²
顯	显	ɕi⁴²	shie3		ɕi⁴²
選	选	ɕi⁴²	shie3		ɕi⁴²
線	线	ɕi³⁵	shie5		ɕi³⁵
憲	宪	ɕi³⁵	shie5		ɕi³⁵
獻	献	ɕi³⁵	shie5		ɕi³⁵
楦	楦	ɕi³⁵	shie5		ɕi³⁵
潛	潜	ʑi¹²	zhie2		ʑi¹²
錢	钱	ʑi¹²	zhie2		ʑi¹²
前	前	ʑi¹²	zhie2		ʑi¹²
全	全	ʑi¹²	zhie2		ʑi¹²
泉	泉	ʑi¹²	zhie2		ʑi¹²
賤	贱	ʑi²⁴	zhie6		ʑi²⁴
漸	渐	ʑi²⁴	zhie6		ʑi²⁴
羨	羡	ʑi²⁴	zhie6		ʑi²⁴
旋	旋	ʑi²⁴	zhie6		ʑi²⁴
踐	践	ʑi²⁴	zhie6	實~	ʑi²⁴
諺	谚	ȵi⁴⁴	gnie1		ȵi⁴⁴
研	研	ȵi⁴⁴	gnie1		ȵi⁴⁴
撚	捻	ȵi⁴⁴	gnie1		ȵi⁴⁴
黏	黏	ȵi⁴⁴	gnie1		ȵi⁴⁴
拈	拈	ȵi⁴⁴	gnie1		ȵi⁴⁴
染	染	ȵi⁴²	gnie3		ȵi⁴²
碾	碾	ȵi⁴²	gnie3		ȵi⁴²
軟	软	ȵi⁴²	gnie3		ȵi⁴²
阮	阮	ȵi⁴²	gnie3		ȵi⁴²
驗	验	ȵi³⁵	gnie5		ȵi³⁵
念	念	ȵi³⁵	gnie5		ȵi³⁵
硯	砚	ȵi³⁵	gnie5		ȵi³⁵
願	愿	ȵi³⁵	gnie5		ȵi³⁵
嚴	严	ȵi¹²	gnie2		ȵɦi¹²
儼	俨	ȵi¹²	gnie2	~然	ȵɦi¹²
年	年	ȵi¹²	gnie2		ȵɦi¹²
鲇	鲇	ȵi¹²	gnie2	文	ȵɦi¹²
原	原	ȵi¹²	gnie2		ȵɦi¹²
源	源	ȵi¹²	gnie2		ȵɦi¹²
巖	巖	ȵi¹²	gnie2		ȵɦi¹²
閻	阎	ȵi¹²	gnie2		ȵɦi¹²
淹	淹	i⁴⁴	ie1		ʔi⁴⁴
閹	阉	i⁴⁴	ie1		ʔi⁴⁴
掩	掩	i⁴⁴	ie1		ʔi⁴⁴
艷	艷	i⁴⁴	ie1		ʔi⁴⁴
焰	焰	i⁴⁴	ie1		ʔi⁴⁴
醃	腌	i⁴⁴	ie1		ʔi⁴⁴
嫌	嫌	i⁴⁴	ie1		ʔi⁴⁴
閑	闲	i⁴⁴	ie1		ʔi⁴⁴
煙	烟	i⁴⁴	ie1		ʔi⁴⁴
焉	焉	i⁴⁴	ie1		ʔi⁴⁴
嚥	咽	i⁴⁴	ie1		ʔi⁴⁴
冤	冤	i⁴⁴	ie1		ʔi⁴⁴
淵	渊	i⁴⁴	ie1		ʔi⁴⁴
醃	腌	i⁴⁴	ie1	~魚	ʔi⁴⁴
陷	陷	i⁴⁴	ie1		ʔi⁴⁴
魘	魇	i⁴²	ie3		ʔi⁴²
宛	宛	i⁴²	ie3		ʔi⁴²
遠	远	i⁴²	ie3		ʔi⁴²
也	也	i⁴²	ie3	文	ʔi⁴²
演	演	i⁴²	ie3		ʔi⁴²
晏	晏	i³⁵	ie5	文	ʔi³⁵
堰	堰	i³⁵	ie5		ʔi³⁵
燕	燕	i³⁵	ie5		ʔi³⁵
宴	宴	i³⁵	ie5		ʔi³⁵
現	现	i³⁵	ie5		ʔi³⁵
縣	县	i³⁵	ie5		ʔi³⁵
厭	厌	i³⁵	ie5		ʔi³⁵
怨	怨	i³⁵	ie5		ʔi³⁵
炎	炎	ɦi¹²	ye2		ɦi¹²
鹽	盐	ɦi¹²	ye2		ɦi¹²
咸	咸	ɦi¹²	ye2	文	ɦi¹²
鹹	咸	ɦi¹²	ye2		ɦi¹²
簷	檐	ɦi¹²	ye2		ɦi¹²
言	言	ɦi¹²	ye2		ɦi¹²
賢	贤	ɦi¹²	ye2		ɦi¹²
弦	弦	ɦi¹²	ye2		ɦi¹²
圓	圆	ɦi¹²	ye2		ɦi¹²
員	员	ɦi¹²	ye2		ɦi¹²
緣	缘	ɦi¹²	ye2		ɦi¹²
沿	沿	ɦi¹²	ye2		ɦi¹²
元	元	ɦi¹²	ye2		ɦi¹²
袁	袁	ɦi¹²	ye2		ɦi¹²
轅	辕	ɦi¹²	ye2		ɦi¹²
園	园	ɦi¹²	ye2		ɦi¹²
援	援	ɦi¹²	ye2		ɦi¹²
玄	玄	ɦi¹²	ye2		ɦi¹²
懸	悬	ɦi¹²	ye2		ɦi¹²
眩	眩	ɦi¹²	ye2		ɦi¹²
院	院	ɦi¹²	ye2		ɦi¹²
官	官	kuᴇ⁴⁴	kue1		kuᴇ⁴⁴
棺	棺	kuᴇ⁴⁴	kue1		kuᴇ⁴⁴
觀	观	kuᴇ⁴⁴	kue1		kuᴇ⁴⁴
冠	冠	kuᴇ⁴⁴	kue1	衣~，~軍	kuᴇ⁴⁴
關	关	kuᴇ⁴⁴	kue1		kuᴇ⁴⁴
管	管	kuᴇ⁴²	kue3		kuᴇ⁴²
館	馆	kuᴇ⁴²	kue3		kuᴇ⁴²
貫	贯	kuᴇ²⁴	kue6		kuᴇ²⁴
灌	灌	kuᴇ²⁴	kue6		kuᴇ²⁴
罐	罐	kuᴇ²⁴	kue6		kuᴇ²⁴
慣	惯	kuᴇ²⁴	kue6		kuᴇ²⁴
寬	宽	kʰuᴇ⁴⁴	khue1		kʰuᴇ⁴⁴
款	款	kʰuᴇ⁴²	khue3		kʰuᴇ⁴²
筷	筷	kʰuᴇ³⁵	khue5		kʰuᴇ³⁵
環	环	guᴇ¹²	gue2		guᴇ¹²
掼	掼	guᴇ²⁴	gue6	~倒：踤倒	guᴇ²⁴
歡	欢	huᴇ⁴⁴	hue1		huᴇ⁴⁴
喚	唤	huᴇ³⁵	hue5	文	huᴇ³⁵
煥	焕	huᴇ³⁵	hue5	文	huᴇ³⁵
灣	湾	uᴇ⁴⁴	ue1		ʔuᴇ⁴⁴
彎	弯	uᴇ⁴⁴	ue1		ʔuᴇ⁴⁴
碗	碗	uᴇ⁴²	ue3		ʔuᴇ⁴²
腕	腕	uᴇ⁴²	ue3		ʔuᴇ⁴²
挽	挽	uᴇ⁴²	ue3		ʔuᴇ⁴²
豌	豌	uᴇ⁴²	ue3		ʔuᴇ⁴²
緩	缓	uᴇ⁴²	ue3		ʔuᴇ⁴²
皖	皖	uᴇ⁴²	ue3		ʔuᴇ⁴²
換	换	uᴇ³⁵	ue5		ʔuᴇ³⁵
患	患	uᴇ³⁵	ue5		ʔuᴇ³⁵
宦	宦	uᴇ³⁵	ue5		ʔuᴇ³⁵
幻	幻	uᴇ³⁵	ue5		ʔuᴇ³⁵
喚	唤	uᴇ³⁵	ue5		ʔuᴇ³⁵
煥	焕	uᴇ³⁵	ue5		ʔuᴇ³⁵
桓	桓	ɦuᴇ¹²	we2		ɦuᴇ¹²
完	完	ɦuᴇ¹²	we2		ɦuᴇ¹²
丸	丸	ɦuᴇ¹²	we2		ɦuᴇ¹²
玩	玩	ɦuᴇ¹²	we2		ɦuᴇ¹²
頑	顽	ɦuᴇ¹²	we2		ɦuᴇ¹²
還	还	ɦuᴇ¹²	we2	~原，~有	ɦuᴇ¹²
懷	怀	ɦuᴇ¹²	we2		ɦuᴇ¹²
杯	杯	pei⁴⁴	pei1		pei⁴⁴
碑	碑	pei⁴⁴	pei1		pei⁴⁴
卑	卑	pei⁴⁴	pei1		pei⁴⁴
彼	彼	pei⁴⁴	pei1		pei⁴⁴
悲	悲	pei⁴⁴	pei1		pei⁴⁴
輩	辈	pei⁴⁴	pei1		pei⁴⁴
貝	贝	pei³⁵	pei5		pei³⁵
俾	俾	pei³⁵	pei5		pei³⁵
背	背	pei³⁵	pei5	~後	pei³⁵
胚	胚	pʰei⁴⁴	phei1		pʰei⁴⁴
坯	坯	pʰei⁴⁴	phei1	土~	pʰei⁴⁴
丕	丕	pʰei⁴⁴	phei1		pʰei⁴⁴
呸	呸	pʰei⁴²	phei3		pʰei⁴²
沛	沛	pʰei³⁵	phei5		pʰei³⁵
配	配	pʰei³⁵	phei5		pʰei³⁵
焙	焙	bei¹²	bei2		bei¹²
陪	陪	bei¹²	bei2		bei¹²
賠	赔	bei¹²	bei2		bei¹²
裴	裴	bei¹²	bei2		bei¹²
佩	佩	bei24	bei6		bei24
備	备	bei24	bei6		bei24
陛	陛	bei24	bei6		bei24
婢	婢	bei24	bei6		bei24
倍	倍	bei24	bei6		bei24
背	背	bei24	bei6	~誦	bei24
疿	疿	bei24	bei6	~子：疿子	bei24
枚	枚	mei⁴²	mei3		mei⁴²
每	每	mei⁴²	mei3		mei⁴²
美	美	mei⁴²	mei3		mei⁴²
牝	牝	mei⁴²	mei3		mei⁴²
妹	妹	mei³⁵	mei5		mei³⁵
寐	寐	mei³⁵	mei5		mei³⁵
昧	昧	mei³⁵	mei5		mei³⁵
梅	梅	mei¹²	mei2		ɦmei¹²
媒	媒	mei¹²	mei2		ɦmei¹²
眉	眉	mei¹²	mei2		ɦmei¹²
媚	媚	mei¹²	mei2		ɦmei¹²
黴	霉	mei¹²	mei2		ɦmei¹²
楣	楣	mei¹²	mei2		ɦmei¹²
獃	獃	tei⁴⁴	tei1		tei⁴⁴
堆	堆	tei⁴⁴	tei1		tei⁴⁴
對	对	tei³⁵	tei5		tei³⁵
胎	胎	tʰei⁴⁴	thei1		tʰei⁴⁴
台	台	tʰei⁴⁴	thei1	~州	tʰei⁴⁴
推	推	tʰei⁴⁴	thei1		tʰei⁴⁴
腿	腿	tʰei⁴²	thei3		tʰei⁴²
態	态	tʰei³⁵	thei5		tʰei³⁵
退	退	tʰei³⁵	thei5		tʰei³⁵
褪	褪	tʰei³⁵	thei5		tʰei³⁵
臺	台	dei¹²	dei2		dei¹²
苔	苔	dei¹²	dei2		dei¹²
擡	擡	dei¹²	dei2		dei¹²
怠	怠	dei¹²	dei2		dei¹²
殆	殆	dei¹²	dei2		dei¹²
待	待	dei²³¹	dei4		dei²³¹
貸	贷	dei²⁴	dei6		dei²⁴
代	代	dei²⁴	dei6		dei²⁴
袋	袋	dei²⁴	dei6		dei²⁴
隊	队	dei²⁴	dei6		dei²⁴
耐	耐	nei⁴²	nei3		nei⁴²
內	内	nei³⁵	nei5		nei³⁵
乃	乃	nei³⁵	nei5		nei³⁵
儡	儡	lei⁴²	lei3		lei⁴²
壘	垒	lei⁴²	lei3		lei⁴²
累	累	lei⁴²	lei3	~積，連~	lei⁴²
類	类	lei³⁵	lei5		lei³⁵
淚	泪	lei³⁵	lei5		lei³⁵
來	来	lei¹²	lei2		lɦei¹²
雷	雷	lei¹²	lei2		lɦei¹²
災	灾	tsei⁴⁴	tsei1		tsei⁴⁴
栽	栽	tsei⁴⁴	tsei1		tsei⁴⁴
追	追	tsei⁴⁴	tsei1		tsei⁴⁴
錘	锤	tsei⁴⁴	tsei1		tsei⁴⁴
宰	宰	tsei⁴²	tsei3		tsei⁴²
嘴	嘴	tsei⁴²	tsei3		tsei⁴²
滓	滓	tsei⁴²	tsei3		tsei⁴²
再	再	tsei³⁵	tsei5		tsei³⁵
載	载	tsei³⁵	tsei5	年~，~重	tsei³⁵
最	最	tsei³⁵	tsei5		tsei³⁵
綴	缀	tsei³⁵	tsei5		tsei³⁵
贅	赘	tsei³⁵	tsei5		tsei³⁵
醉	醉	tsei³⁵	tsei5		tsei³⁵
猜	猜	tsʰei⁴⁴	tshei1		tsʰei⁴⁴
催	催	tsʰei⁴⁴	tshei1		tsʰei⁴⁴
崔	崔	tsʰei⁴⁴	tshei1		tsʰei⁴⁴
吹	吹	tsʰei⁴⁴	tshei1		tsʰei⁴⁴
炊	炊	tsʰei⁴⁴	tshei1		tsʰei⁴⁴
彩	彩	tsʰei⁴²	tshei3		tsʰei⁴²
採	采	tsʰei⁴²	tshei3		tsʰei⁴²
菜	菜	tsʰei³⁵	tshei5		tsʰei³⁵
脆	脆	tsʰei³⁵	tshei5		tsʰei³⁵
翠	翠	tsʰei³⁵	tshei5		tsʰei³⁵
才	才	dzei¹²	dzei2		dzei¹²
材	材	dzei¹²	dzei2		dzei¹²
財	财	dzei¹²	dzei2		dzei¹²
随	随	dzei¹²	dzei2		dzei¹²
髓	髓	dzei¹²	dzei2		dzei¹²
垂	垂	dzei¹²	dzei2		dzei¹²
錘	锤	dzei¹²	dzei2		dzei¹²
槌	槌	dzei¹²	dzei2		dzei¹²
誰	谁	dzei¹²	dzei2		dzei¹²
墜	坠	dzei¹²	dzei2		dzei¹²
在	在	dzei²³¹	dzei4		dzei²³¹
睡	睡	dzei²⁴	dzei6		dzei²⁴
遂	遂	dzei²⁴	dzei6		dzei²⁴
隧	隧	dzei²⁴	dzei6		dzei²⁴
顋	顋	sei⁴⁴	sei1		sei⁴⁴
鰓	鳃	sei⁴⁴	sei1	~板	sei⁴⁴
奢	奢	sei⁴⁴	sei1		sei⁴⁴
雖	虽	sei⁴⁴	sei1		sei⁴⁴
綏	绥	sei⁴⁴	sei1		sei⁴⁴
衰	衰	sei⁴⁴	sei1		sei⁴⁴
尿	尿	sei⁴⁴	sei1	文	sei⁴⁴
水	水	sei⁴²	sei3	文	sei⁴²
賽	赛	sei³⁵	sei5		sei³⁵
碎	碎	sei³⁵	sei5		sei³⁵
歲	岁	sei³⁵	sei5		sei³⁵
稅	税	sei³⁵	sei5		sei³⁵
銳	锐	sei³⁵	sei5		sei³⁵
帥	帅	sei³⁵	sei5		sei³⁵
裁	裁	zei¹²	zei2		zei¹²
全	全	zei¹²	zei2	~是介：都是這樣的	zei¹²
儕	侪	zei¹²	zei2	~是介：都是這樣的（俗字）	zei¹²
罪	罪	zei²³¹	zei4		zei²³¹
社	社	zei²³¹	zei4		zei²³¹
瑞	瑞	zei²⁴	zei6		zei²⁴
蘂	蘂	zei²⁴	zei6		zei²⁴
芮	芮	zei²⁴	zei6		zei²⁴
粹	粹	zei²⁴	zei6		zei²⁴
穗	穗	zei²⁴	zei6	文	zei²⁴
射	射	zei²⁴	zei6		zei²⁴
該	该	kei⁴⁴	kei1		kei⁴⁴
改	改	kei⁴²	kei3		kei⁴²
概	概	kei³⁵	kei5		kei³⁵
溉	溉	kei³⁵	kei5		kei³⁵
蓋	盖	kei³⁵	kei5		kei³⁵
個	个	kei³⁵	kei5	文	kei³⁵
鋸	锯	kei³⁵	kei5	文	kei³⁵
丐	丐	kei³⁵	kei5		kei³⁵
開	开	kʰei⁴⁴	khei1		kʰei⁴⁴
凱	凯	kʰei⁴²	khei3	袁世~	kʰei⁴²
慨	慨	kʰei³⁵	khei5		kʰei³⁵
嗝	嗝	gei¹²	gei2	打~，打噎嗝	gei¹²
艾	艾	ŋei³⁵	ngei5		ŋei³⁵
礙	碍	ŋei³⁵	ngei5		ŋei³⁵
呆	呆	ŋei¹²	ngei2		ŋɦei¹²
海	海	hei⁴²	hei3		hei⁴²
許	许	hei⁴²	hei3	~願心：還願	hei⁴²
哀	哀	ei⁴⁴	ei1		ʔei⁴⁴
埃	埃	ei⁴⁴	ei1		ʔei⁴⁴
藹	蔼	ei⁴²	ei3		ʔei⁴²
亥	亥	ei⁴²	ei3		ʔei⁴²
愛	爱	ei³⁵	ei5		ʔei³⁵
害	害	ei³⁵	ei5		ʔei³⁵
孩	孩	ɦei¹²	ghei2		ɦei¹²
規	规	kuei⁴⁴	kuei1		kuei⁴⁴
歸	归	kuei⁴⁴	kuei1		kuei⁴⁴
龜	龟	kuei⁴⁴	kuei1	文	kuei⁴⁴
詭	诡	kuei⁴²	kuei3		kuei⁴²
軌	轨	kuei⁴²	kuei3		kuei⁴²
癸	癸	kuei⁴²	kuei3		kuei⁴²
鬼	鬼	kuei⁴²	kuei3	文	kuei⁴²
劊	刽	kuei⁴²	kuei3		kuei⁴²
圭	圭	kuei³⁵	kuei5		kuei³⁵
閨	闺	kuei³⁵	kuei5		kuei³⁵
貴	贵	kuei³⁵	kuei5	文	kuei³⁵
桂	桂	kuei³⁵	kuei5		kuei³⁵
盔	盔	kʰuei⁴⁴	khuei1		kʰuei⁴⁴
魁	魁	kʰuei⁴⁴	khuei1		kʰuei⁴⁴
虧	亏	kʰuei⁴⁴	khuei1		kʰuei⁴⁴
窺	窥	kʰuei⁴⁴	khuei1		kʰuei⁴⁴
奎	奎	kʰuei⁴⁴	khuei1		kʰuei⁴⁴
傀	傀	kʰuei⁴⁴	khuei1		kʰuei⁴⁴
塊	块	kʰuei³⁵	khuei5		kʰuei³⁵
會	会	kʰuei³⁵	khuei5	~計    kuei	kʰuei³⁵
逵	逵	guei¹²	guei2		guei¹²
葵	葵	guei¹²	guei2		guei¹²
跪	跪	guei²³¹	guei4	文	guei²³¹
潰	溃	guei²⁴	guei6		guei²⁴
繪	绘	guei²⁴	guei6		guei²⁴
櫃	柜	guei²⁴	guei6		guei²⁴
愧	愧	guei²⁴	guei6		guei²⁴
