單字	聲紐	呼	等	韻部	聲調	組	攝	聲母_定	韻母_定	聲調_定	備註									
樓	來	開	一	侯	平	來	流	l	aau	4										
髏	來	開	一	侯	平	來	流	l	aau	4										
摟								l	aau	2	摟抱									
摟	來	合	三	虞	平	來	遇	l	aau	4	牽聚									
簍	來	開	一	侯	平	來	流	l	aau	4										
陋	來	開	一	侯	去	來	流	l	aau	6										
漏	來	開	一	侯	去	來	流	l	aau	6										
鏤	來	合	三	虞	平	來	遇	l	aau	6										
厘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ei	4										
狸	來	開	三	之	平	來	止	l	ei	4										
梨	來	開	三	脂A	平	來	止	l	ei	4										
漓	來	開	三	支A	平	來	止	l	ei	4										
璃	來	開	三	支A	平	來	止	l	ei	4	琉璃									
璃	來	開	三	支A	平	來	止	l	ei	1	玻璃									
罹	來	開	三	支A	平	來	止	l	ei	4										
釐	來	開	三	之	平	來	止	l	ei	4	釐定									
釐	來	開	三	之	平	來	止	l	ei	4	釐定									
離	來	開	三	支A	平	來	止	l	ei	4										
籬	來	開	三	支A	平	來	止	l	ei	4										
李	來	開	三	之	上	來	止	l	ei	2										
里	來	開	三	之	上	來	止	l	ei	4										
哩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ei	4	英哩									
理	來	開	三	之	上	來	止	l	ei	4										
裡								l	ei	4	衣裡									
裏	來	開	三	之	上	來	止	l	ei	4	衣裏									
鯉	來	開	三	之	上	來	止	l	ei	4										
吏	來	開	三	之	去	來	止	l	ei	6										
利	來	開	三	脂A	去	來	止	l	ei	6										
俐	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ei	6										
莉	澄	開	三	脂B	平	知	止	l	ei	6										
痢	來	開	三	脂A	去	來	止	l	ei	6										
嚟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ei	4										
壘								l	et	6	神荼鬱壘									
甩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	et	2										
縷	來	合	三	虞	上	來	遇	l	eu	5										
哩								l	i	1	哩嚕									
掠	來	開	三	陽	去	來	宕	l	iaak	6										
略	來	開	三	陽	入	來	宕	l	iaak	6										
林	來	開	三	侵A	平	來	深	l	iaam	4										
淋	來	開	三	侵A	平	來	深	l	iaam	4										
琳	來	開	三	侵A	平	來	深	l	iaam	4										
霖	來	開	三	侵A	平	來	深	l	iaam	4										
臨	來	開	三	侵A	平	來	深	l	iaam	4										
凜	群	開	三	侵B	平	見	深	l	iaam	1										
領	來	開	三	清A	上	來	梗	l	iaang	5	白領									
嶺	來	開	三	清A	上	來	梗	l	iaang	5	南嶺									
靈	來	開	四	青	平	來	梗	l	iaang	4										
良	來	開	三	陽	平	來	宕	l	iaang	4										
涼	來	開	三	陽	平	來	宕	l	iaang	4										
梁	來	開	三	陽	平	來	宕	l	iaang	4										
糧	來	開	三	陽	平	來	宕	l	iaang	4										
兩	來	開	三	陽	上	來	宕	l	iaang	2	兩個									
倆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	iaang	2										
亮	來	開	三	陽	去	來	宕	l	iaang	6										
量	來	開	三	陽	平	來	宕	l	iaang	4	測量									
量	來	開	三	陽	去	來	宕	l	iaang	6	重量									
輛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	iaang	6										
諒	來	開	三	陽	去	來	宕	l	iaang	6										
立	來	開	三	侵A	入	來	深	l	iaap	6										
苙	群	開	三	侵B	入	見	深	l	iaap	2										
溜	來	開	三	尤	去	來	流	l	iaau	1										
留	來	開	三	尤	平	來	流	l	iaau	4										
流	來	開	三	尤	平	來	流	l	iaau	4										
琉	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	iaau	4										
硫	來	開	三	尤	平	來	流	l	iaau	4										
榴	來	開	三	尤	平	來	流	l	iaau	4										
劉	來	開	三	尤	平	來	流	l	iaau	4										
瘤	來	開	三	尤	平	來	流	l	iaau	4										
瀏	來	開	三	尤	平	來	流	l	iaau	4										
力	來	開	三	蒸	入	來	曾	l	ik	6										
歷	來	開	四	青	入	來	梗	l	ik	6										
曆	來	開	四	青	入	來	梗	l	ik	6										
瀝	來	開	四	青	入	來	梗	l	ik	6	瀝乾									
礫	來	開	四	青	入	來	梗	l	ik	2										
靂	來	開	四	青	入	來	梗	l	ik	2										
廉	來	開	三	鹽A	平	來	咸	l	im	4										
簾	來	開	三	鹽A	平	來	咸	l	im	4										
鐮	來	開	三	鹽A	平	來	咸	l	im	4										
斂	來	開	三	鹽A	上	來	咸	l	im	5										
臉	清	開	三	鹽A	平	精	咸	l	im	4										
殮	來	開	三	鹽A	去	來	咸	l	im	6										
連	來	開	三	仙A	平	來	山	l	in	4										
蓮	來	開	四	先	平	來	山	l	in	4										
漣	來	開	三	仙A	平	來	山	l	in	4										
憐	來	開	四	先	平	來	山	l	in	4										
煉	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	in	6										
練	來	開	四	先	去	來	山	l	in	6										
鍊	來	開	四	先	去	來	山	l	in	6										
鏈	徹	開	三	仙B	平	知	山	l	in	6										
楞	來	開	一	登	平	來	曾	l	ing	4	楞角									
楞								l	ing	6	發楞									
稜	來	開	一	登	平	來	曾	l	ing	4										
愣	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ing	6										
拎	來	開	四	青	平	來	梗	l	ing	1										
伶	來	開	四	青	平	來	梗	l	ing	4										
玲	來	開	四	青	平	來	梗	l	ing	4										
凌	來	開	三	蒸	平	來	曾	l	ing	4										
陵	來	開	三	蒸	平	來	曾	l	ing	4										
聆	來	開	四	青	平	來	梗	l	ing	4										
菱	來	開	三	蒸	平	來	曾	l	ing	4										
蛉	來	開	四	青	平	來	梗	l	ing	4										
羚	來	開	四	青	平	來	梗	l	ing	4										
零	來	開	四	先	平	來	山	l	ing	4										
鈴	來	開	四	青	平	來	梗	l	ing	4										
齡	來	開	四	青	平	來	梗	l	ing	4										
靈	來	開	四	青	平	來	梗	l	ing	4										
領	來	開	三	清A	上	來	梗	l	ing	5	領會									
嶺	來	開	三	清A	上	來	梗	l	ing	5	嶺南									
另	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ing	6										
令	來	開	三	仙A	平	來	山	l	ing	6	命令									
令	來	開	四	青	平	來	梗	l	ing	6	令狐									
令								l	ing	1	一令紙									
獵	來	開	三	鹽A	入	來	咸	l	ip	6										
列	知	合	三	虞	平	知	遇	l	it	6										
冽	來	開	三	仙A	入	來	山	l	it	6										
烈	來	開	三	仙A	入	來	山	l	it	6										
捩	來	開	四	先	入	來	山	l	it	6	捩手									
裂	來	開	三	仙A	入	來	山	l	it	6										
柳	來	開	三	尤	上	來	流	l	iu	4										
了	來	開	四	蕭	上	來	效	l	iu	2	了結									
聊	來	開	四	蕭	平	來	效	l	iu	4										
僚	來	開	四	蕭	平	來	效	l	iu	4										
寥	來	開	四	蕭	平	來	效	l	iu	4										
撩	來	開	四	蕭	平	來	效	l	iu	4	撩動									
撩								l	iu	1	撩開									
遼	來	開	四	蕭	平	來	效	l	iu	4										
嘹	來	開	四	蕭	平	來	效	l	iu	4										
潦	來	開	一	豪	上	來	效	l	iu	4										
寮	來	開	四	蕭	平	來	效	l	iu	4										
燎	來	開	三	宵A	平	來	效	l	iu	4										
療	來	開	三	宵A	去	來	效	l	iu	4										
繚	來	開	四	蕭	平	來	效	l	iu	4										
料	來	開	四	蕭	平	來	效	l	iu	6										
廖	來	開	四	蕭	平	來	效	l	iu	6										
瞭	來	開	四	蕭	平	來	效	l	iu	6	瞭望									
瞭	來	開	四	蕭	上	來	效	l	iu	6	明									
瞭	來	開	四	蕭	上	來	效	l	iu	4	瞭解									
咯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	o	1	助詞									
駱	來	開	一	唐	入	來	宕	l	ok	6										
烙	來	開	一	唐	入	來	宕	l	ok	1										
酪	來	開	一	唐	入	來	宕	l	ok	6	乳酪									
洛	來	開	一	唐	入	來	宕	l	ok	6										
落	來	開	一	唐	入	來	宕	l	ok	6	落下									
絡	來	開	一	唐	入	來	宕	l	ok	6										
樂	來	開	一	唐	入	來	宕	l	ok	6	快樂									
郎	來	開	一	唐	平	來	宕	l	ong	4										
狼	來	開	一	唐	平	來	宕	l	ong	4										
琅	來	開	一	唐	平	來	宕	l	ong	4										
廊	來	開	一	唐	平	來	宕	l	ong	4										
瑯	來	開	一	唐	平	來	宕	l	ong	4										
榔	來	開	一	唐	平	來	宕	l	ong	4										
螂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ong	4										
朗	來	開	一	唐	上	來	宕	l	ong	4										
蜋	來	開	三	陽	平	來	宕	l	ong	4										
晾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ong	6										
牢	來	開	一	豪	平	來	效	l	ou	4										
勞	來	開	一	豪	平	來	效	l	ou	4	勤勞									
勞	來	開	一	豪	去	來	效	l	ou	4	慰勞									
嘮	徹	開	二	肴	平	知	效	l	ou	4										
老	來	開	一	豪	上	來	效	l	ou	2										
硓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ou	2										
酪								l	ou	6	杏仁酪									
嚕	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ou	1										
驢	來	開	三	魚	平	來	遇	l	ou	4	習讀音應爲讀半邊“盧”導致									
盧	來	開	一	模	平	來	遇	l	u	4										
蘆	來	開	三	魚	平	來	遇	l	u	4										
廬	來	開	三	魚	平	來	遇	l	u	4										
爐	來	開	一	模	平	來	遇	l	u	4										
顱	來	開	一	模	平	來	遇	l	u	4										
虜	來	開	一	模	上	來	遇	l	u	5										
滷	來	開	一	模	上	來	遇	l	u	5										
魯	來	開	一	模	上	來	遇	l	u	5										
擄	來	開	一	模	上	來	遇	l	u	5										
櫓	來	開	一	模	上	來	遇	l	u	5										
賂	來	開	一	模	去	來	遇	l	u	6										
路	來	開	一	模	去	來	遇	l	u	6										
露	來	開	一	模	去	來	遇	l	u	6										
鷺	來	開	一	模	去	來	遇	l	u	6										
蕊	日	合	三	支A	上	日	止	l	ui	5										
履	來	開	三	脂A	上	來	止	l	ui	5										
雷	來	合	一	灰	平	來	蟹	l	ui	4										
鐳	來	合	一	灰	平	來	蟹	l	ui	4										
耒	來	合	三	脂A	上	來	止	l	ui	4										
蕾	來	合	一	灰	上	來	蟹	l	ui	4										
儡	來	合	一	灰	平	來	蟹	l	ui	1										
壘	來	合	三	脂A	上	來	止	l	ui	5	堡壘									
纍	來	合	三	脂A	平	來	止	l	ui	6										
累	來	合	三	支A	上	來	止	l	ui	6	累積									
累	來	合	三	支A	去	來	止	l	ui	6	受累；連累									
累	來	合	三	脂A	平	來	止	l	ui	4	果實累累，同“纍”									
淚	來	合	三	脂A	去	來	止	l	ui	6										
擂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ui	4										
類	來	合	三	脂A	去	來	止	l	ui	6										
裡	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ui	5	夜裡									
裏	來	開	三	之	上	來	止	l	ui	5	夜裏									
戾	來	開	四	齊	去	來	蟹	l	ui	6										
櫚	來	開	三	魚	平	來	遇	l	ui	4										
呂	來	開	三	魚	上	來	遇	l	ui	5										
呂	來	開	三	魚	上	來	遇	l	ui	2	姓氏									
侶	來	開	三	魚	上	來	遇	l	ui	5										
旅	來	開	三	魚	上	來	遇	l	ui	5										
鋁	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ui	4										
屢	來	合	三	虞	去	來	遇	l	ui	5	習讀音應爲官話影響導致									
慮	來	開	三	魚	去	來	遇	l	ui	6										
濾	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ui	6										
谷	來	開	一	東	入	來	通	l	uk	6	谷蠡王									
六	來	開	三	東	入	來	通	l	uk	6										
陸	來	開	三	東	入	來	通	l	uk	6										
鹿	來	開	一	東	入	來	通	l	uk	6										
祿	來	開	一	東	入	來	通	l	uk	6										
碌	來	開	一	東	入	來	通	l	uk	2										
漉	來	開	一	東	入	來	通	l	uk	2										
錄	來	開	三	鍾	入	來	通	l	uk	6										
麓	來	開	一	東	入	來	通	l	uk	2										
氯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	uk	6										
綠	來	開	三	鍾	入	來	通	l	uk	6										
鄰	來	開	三	真A	平	來	臻	l	un	4										
遴	來	開	三	真A	去	來	臻	l	un	4										
磷	來	開	三	真A	平	來	臻	l	un	4										
鱗	來	開	三	真A	平	來	臻	l	un	4										
麟	來	開	三	真A	平	來	臻	l	un	4										
吝	來	開	三	真A	去	來	臻	l	un	6										
藺	來	開	三	真A	去	來	臻	l	un	6										
掄	來	合	三	真A	平	來	臻	l	un	4										
倫	來	合	三	真A	平	來	臻	l	un	4										
崙	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	un	4										
圇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	un	4										
淪	來	合	三	真A	平	來	臻	l	un	4										
綸	來	合	三	真A	平	來	臻	l	un	4	垂綸									
輪	來	合	三	真A	平	來	臻	l	un	4										
論	來	合	一	魂	去	來	臻	l	un	6	討論									
論	來	合	一	魂	平	來	臻	l	un	4	論語									
聯	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	un	4										
戀	來	合	三	仙A	去	來	山	l	un	2										
隆	來	開	三	東	平	來	通	l	ung	4										
龍	來	開	三	鍾	平	來	通	l	ung	4										
窿	來	開	三	東	平	來	通	l	ung	1										
嚨	來	開	一	東	平	來	通	l	ung	4										
瓏	來	開	一	東	平	來	通	l	ung	4										
朧	來	開	一	東	平	來	通	l	ung	4										
籠	來	開	一	東	平	來	通	l	ung	4										
聾	來	開	一	東	平	來	通	l	ung	4										
隴	來	開	三	鍾	上	來	通	l	ung	4										
攏	來	開	一	東	上	來	通	l	ung	4										
壟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	ung	4										
弄	來	開	一	東	去	來	通	l	ung	6										
螺	來	合	一	歌	平	來	果	l	uo	4										
羅	來	開	一	歌	平	來	果	l	uo	4										
騾	來	合	一	歌	平	來	果	l	uo	4										
儸	來	開	一	歌	平	來	果	l	uo	4										
蘿	來	開	一	歌	平	來	果	l	uo	4										
邏	來	開	一	歌	去	來	果	l	uo	4										
籮	來	開	一	歌	平	來	果	l	uo	4										
鑼	來	開	一	歌	平	來	果	l	uo	4										
裸	來	合	一	歌	上	來	果	l	uo	2										
囉	來	開	一	歌	平	來	果	l	uo	1	囉嗦									
囉								l	uo	4	嘍囉									
嚟	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	l	uoi	4										
來	來	開	一	咍	平	來	蟹	l	uoi	4										
萊	來	開	一	咍	平	來	蟹	l	uoi	4										
睞	來	開	一	咍	去	來	蟹	l	uoi	6										
卵	來	合	一	寒	上	來	山	l	uon	5										
巒	來	合	一	寒	平	來	山	l	uon	4										
亂	來	合	一	寒	去	來	山	l	uon	6										
律	來	合	三	真A	入	來	臻	l	ut	6										
率								l	ut	6	效率									
劣	來	合	三	仙A	入	來	山	l	ut	6										
媽	明	開	一	模	上	幫	遇	m	aa	1										
媽	明	開	一	模	上	幫	遇	m	aa	2										
麻	明	開	二	麻	平	幫	假	m	aa	4										
嗎	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	aa	1	是嗎									
嗎								m	aa	4	嗎啡									
痲	明	開	二	麻	平	幫	假	m	aa	4										
蟆	明	開	二	麻	平	幫	假	m	aa	4										
馬	明	開	二	麻	上	幫	假	m	aa	5										
瑪	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	aa	1										
碼	明	開	二	麻	上	幫	假	m	aa	5										
螞	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	aa	1	螞蟻									
螞								m	aa	6	螞蚱									
螞								m	aa	1	螞螂									
罵	明	開	二	麻	上	幫	假	m	aa	6										
嘛	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	aa	4	喇嘛									
嬤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	aa	1	塗抹									
埋	明	開	二	皆	平	幫	蟹	m	aai	4										
霾	明	開	二	皆	平	幫	蟹	m	aai	4										
買	明	開	二	佳	上	幫	蟹	m	aai	5										
賣	明	開	二	佳	去	幫	蟹	m	aai	6										
邁	明	開	二	夬	去	幫	蟹	m	aai	6										
迷	明	開	四	齊	平	幫	蟹	m	aai	4										
謎	明	開	四	齊	去	幫	蟹	m	aai	4	習讀音應爲讀半邊“迷”導致									
米	明	開	四	齊	上	幫	蟹	m	aai	2	糯米									
米								m	aai	1	一米									
嘿								m	aak	6	通「默」									
脈	明	開	二	耕	入	幫	梗	m	aak	6										
麥	明	開	二	耕	入	幫	梗	m	aak	6										
冒	明	開	一	登	入	幫	曾	m	aak	6	冒頓									
陌	明	開	二	庚	入	幫	梗	m	aak	6										
墨	明	開	一	登	入	幫	曾	m	aak	6										
默	明	開	一	登	入	幫	曾	m	aak	6										
驀	明	開	二	庚	入	幫	梗	m	aak	6										
饅	明	開	一	寒	平	幫	山	m	aan	6	習讀音應爲讀半邊“曼”導致									
鰻	明	開	一	寒	平	幫	山	m	aan	6	習讀音應爲讀半邊“曼”導致									
蠻	明	開	二	刪	平	幫	山	m	aan	4										
曼	明	開	一	寒	平	幫	山	m	aan	6										
蔓	明	合	三	元	去	幫	山	m	aan	6	藤蔓									
蔓	明	開	一	寒	平	幫	山	m	aan	4	蔓菁									
幔	明	開	一	寒	去	幫	山	m	aan	6										
漫	明	開	一	寒	去	幫	山	m	aan	6										
慢	明	開	二	刪	去	幫	山	m	aan	6										
晚	明	合	三	元	上	幫	山	m	aan	5										
萬	明	合	三	元	去	幫	山	m	aan	6										
挽	明	合	三	元	上	幫	山	m	aan	1	拉									
閩	明	開	三	真B	平	幫	臻	m	aan	5										
盲	明	開	二	庚	平	幫	梗	m	aang	4										
萌	明	開	二	耕	平	幫	梗	m	aang	4										
盟	明	開	三	庚	平	幫	梗	m	aang	4										
猛	明	開	二	庚	上	幫	梗	m	aang	5										
猛	明	開	二	庚	上	幫	梗	m	aang	5	又音									
蜢	明	開	二	庚	上	幫	梗	m	aang	2										
艋	明	開	二	庚	上	幫	梗	m	aang	4										
錳	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	aang	4										
孟	明	開	二	庚	去	幫	梗	m	aang	6										
抹								m	aat	1	抹檯									
襪	明	合	三	元	入	幫	山	m	aat	6										
物	明	合	三	文	入	幫	臻	m	aat	6	物理									
矛	明	合	三	尤	平	幫	流	m	aau	4										
茅	明	開	二	肴	平	幫	效	m	aau	4										
錨	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	aau	4										
卯	明	開	二	肴	上	幫	效	m	aau	1										
貌	明	開	二	肴	去	幫	效	m	aau	6										
牡	明	開	一	侯	上	幫	流	m	aau	5										
茂	明	開	一	侯	去	幫	流	m	aau	6										
貿	明	開	一	侯	去	幫	流	m	aau	6										
繆	明	開	三	幽	去	幫	流	m	aau	6	繆論									
繆	明	合	三	尤	平	幫	流	m	aau	4	未雨綢繆									
謬	明	開	三	幽	去	幫	流	m	aau	6										
哞	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	aau	4										
牟	明	合	三	尤	平	幫	流	m	aau	4										
謀	明	合	三	尤	平	幫	流	m	aau	4										
某	明	開	一	侯	上	幫	流	m	aau	5										
畝	明	開	一	侯	上	幫	流	m	aau	5										
眉	明	開	三	脂B	平	幫	止	m	ei	4										
楣	明	開	三	脂B	平	幫	止	m	ei	4										
美	明	開	三	脂B	上	幫	止	m	ei	5										
美	明	開	三	脂B	上	幫	止	m	ei	5	又音									
寐	明	開	三	脂A	去	幫	止	m	ei	6										
媚	明	開	三	脂B	去	幫	止	m	ei	6										
魅	明	開	三	脂B	去	幫	止	m	ei	6										
咪	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	ei	1										
糜	明	開	三	支B	平	幫	止	m	ei	4										
麋	明	開	三	脂B	平	幫	止	m	ei	4										
靡	明	開	三	支B	上	幫	止	m	ei	5										
獼	明	開	三	支A	平	幫	止	m	ei	4										
瞇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	ei	1										
瀰	明	開	三	支A	平	幫	止	m	ei	4										
微	明	合	三	微	平	幫	止	m	ei	4										
薇	明	開	三	脂B	平	幫	止	m	ei	4										
尾	明	合	三	微	上	幫	止	m	ei	5										
娓	明	合	三	微	上	幫	止	m	ei	5										
未	明	合	三	微	去	幫	止	m	ei	6										
味	明	合	三	微	去	幫	止	m	ei	6										
民	明	開	三	真A	平	幫	臻	m	en	4										
岷	明	開	三	真B	平	幫	臻	m	en	4										
緡	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	en	4										
敏	明	開	三	真B	上	幫	臻	m	en	5	習讀音應爲官話影響導致									
憫	明	開	三	真B	上	幫	臻	m	en	5	名聲									
憫	明	開	三	真B	上	幫	臻	m	en	5										
文	明	合	三	文	平	幫	臻	m	en	4										
蚊	明	合	三	文	平	幫	臻	m	en	5										
蚊	明	合	三	文	平	幫	臻	m	en	5										
紋	明	合	三	文	平	幫	臻	m	en	4										
聞	明	合	三	文	平	幫	臻	m	en	4										
刎	明	合	三	文	上	幫	臻	m	en	5										
吻	明	合	三	文	上	幫	臻	m	en	5										
紊	明	合	三	文	去	幫	臻	m	en	5										
問	明	合	三	文	去	幫	臻	m	en	6										
密	明	開	三	真B	入	幫	臻	m	et	6										
蜜	明	開	三	真A	入	幫	臻	m	et	6										
謐	明	開	三	真A	入	幫	臻	m	et	6										
名	明	開	三	清A	平	幫	梗	m	iaang	4	你叫乜名？									
名	明	開	三	清A	平	幫	梗	m	iaang	2	又音									
命	明	開	三	庚	去	幫	梗	m	iaang	6										
咩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	ie	1										
覓	明	開	四	青	入	幫	梗	m	ik	6										
眠	明	開	四	先	平	幫	山	m	in	4										
棉	明	開	三	仙A	平	幫	山	m	in	4										
綿	明	開	三	仙A	平	幫	山	m	in	4										
免	明	開	三	仙B	上	幫	山	m	in	5										
勉	明	開	三	仙B	上	幫	山	m	in	5										
冕	明	開	三	仙B	上	幫	山	m	in	5										
緬	明	開	三	仙A	上	幫	山	m	in	5										
面	明	開	三	仙A	去	幫	山	m	in	6										
麵	明	開	四	先	去	幫	山	m	in	6										
靦								m	in	2	靦腆									
皿	明	開	三	庚	上	幫	梗	m	ing	5										
皿	明	開	三	庚	上	幫	梗	m	ing	5										
名	明	開	三	清A	平	幫	梗	m	ing	4										
明	明	開	三	庚	平	幫	梗	m	ing	4										
冥	明	開	四	青	平	幫	梗	m	ing	4										
鳴	明	開	三	庚	平	幫	梗	m	ing	4										
銘	明	開	四	青	平	幫	梗	m	ing	4										
螟	明	開	四	青	平	幫	梗	m	ing	4										
命	明	開	三	庚	去	幫	梗	m	ing	6										
滅	明	開	三	仙A	入	幫	山	m	it	6										
蔑	明	開	四	先	入	幫	山	m	it	6										
篾	明	開	四	先	入	幫	山	m	it	6										
貓	明	開	三	宵B	平	幫	效	m	iu	1										
喵	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	iu	2										
苗	明	開	三	宵B	平	幫	效	m	iu	4										
描	明	開	三	宵B	平	幫	效	m	iu	4										
瞄	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	iu	4										
眇	明	開	三	宵A	上	幫	效	m	iu	5										
秒	明	開	三	宵A	上	幫	效	m	iu	5										
渺	明	開	三	宵A	上	幫	效	m	iu	5										
妙	明	開	三	宵A	去	幫	效	m	iu	6										
廟	明	開	三	宵B	去	幫	效	m	iu	6										
杳	影	開	四	蕭	上	影	效	m	iu	1										
剝	幫	開	二	江	入	幫	江	m	ok	2										
膜	明	開	一	唐	入	幫	宕	m	ok	5										
莫	明	開	一	唐	入	幫	宕	m	ok	6										
漠	明	開	一	唐	入	幫	宕	m	ok	6										
寞	明	開	一	唐	入	幫	宕	m	ok	6										
幕	明	開	一	唐	入	幫	宕	m	ok	6										
芒	明	合	三	陽	平	幫	宕	m	ong	4	光芒									
芒								m	ong	1	芒果									
忙	明	開	一	唐	平	幫	宕	m	ong	4										
茫	明	開	一	唐	平	幫	宕	m	ong	4										
莽	明	開	一	模	上	幫	遇	m	ong	2										
蟒	明	開	一	唐	上	幫	宕	m	ong	2										
亡	明	合	三	陽	平	幫	宕	m	ong	4										
惘	明	合	三	陽	上	幫	宕	m	ong	2										
網	明	合	三	陽	上	幫	宕	m	ong	2										
妄	明	合	三	陽	去	幫	宕	m	ong	5										
忘	明	合	三	陽	去	幫	宕	m	ong	6										
望	明	合	三	陽	平	幫	宕	m	ong	6										
毛	明	開	一	豪	平	幫	效	m	ou	4										
髦	明	開	一	豪	平	幫	效	m	ou	4										
冒	明	開	一	豪	去	幫	效	m	ou	6	冒犯									
帽	明	開	一	豪	去	幫	效	m	ou	6										
摹	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	ou	4										
母	明	開	一	侯	上	幫	流	m	ou	5										
拇	明	開	一	侯	上	幫	流	m	ou	5										
姆	明	開	一	侯	去	幫	流	m	ou	5										
巫	明	合	三	虞	平	幫	遇	m	ou	4										
誣	明	合	三	虞	平	幫	遇	m	ou	4										
毋	明	合	三	虞	平	幫	遇	m	ou	2										
無	明	合	三	虞	平	幫	遇	m	ou	5										
蕪	明	合	三	虞	平	幫	遇	m	ou	5										
侮	明	合	三	虞	上	幫	遇	m	ou	5										
鵡	明	合	三	虞	上	幫	遇	m	ou	5										
戊	明	開	一	侯	去	幫	流	m	ou	6										
務	明	合	三	虞	去	幫	遇	m	ou	6										
婺	明	合	三	虞	去	幫	遇	m	ou	6										
模	明	開	一	模	平	幫	遇	m	u	4										
膜	明	開	一	模	平	幫	遇	m	u	4										
募	明	開	一	模	去	幫	遇	m	u	6										
墓	明	開	一	模	去	幫	遇	m	u	6										
慕	明	開	一	模	去	幫	遇	m	u	6										
暮	明	開	一	模	去	幫	遇	m	u	6										
武	明	合	三	虞	上	幫	遇	m	u	5										
舞	明	合	三	虞	上	幫	遇	m	u	2										
舞	明	合	三	虞	上	幫	遇	m	u	2										
霧	明	合	三	虞	去	幫	遇	m	u	6										
木	明	開	一	東	入	幫	通	m	uk	6										
目	明	合	三	東	入	幫	通	m	uk	6										
沐	明	開	一	東	入	幫	通	m	uk	6										
牧	明	合	三	東	入	幫	通	m	uk	6										
睦	明	合	三	東	入	幫	通	m	uk	6										
穆	明	合	三	東	入	幫	通	m	uk	6										
蒙	明	開	一	東	平	幫	通	m	ung	4										
濛	明	開	一	東	平	幫	通	m	ung	4										
檬	明	開	一	東	平	幫	通	m	ung	1										
朦	明	開	一	東	平	幫	通	m	ung	4										
矇	明	開	一	東	平	幫	通	m	ung	4										
懵	明	開	一	東	上	幫	通	m	ung	2										
夢	明	合	三	東	平	幫	通	m	ung	6										
麼	明	開	一	歌	上	幫	果	m	uo	2										
摸	明	開	一	模	平	幫	遇	m	uo	2										
摩	明	開	一	歌	平	幫	果	m	uo	1										
磨	明	開	一	歌	平	幫	果	m	uo	4										
磨	明	開	一	歌	去	幫	果	m	uo	6										
魔	明	開	一	歌	平	幫	果	m	uo	1										
玫	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	m	uoi	4										
枚	明	合	一	灰	平	幫	蟹	m	uoi	4										
