#<字彙音,/前爲字彙音，/後爲縣志音
#拼音	漢字
can1	倀伥倉仓倡傖伧唱娼愴昌淐滄沧猖琩瑲玱舱菖蒼苍螥閶阊鶬䗉尚{和～}𢃑𦞛
can2	償偿嘗尝嚐場塲场嫦常徜甞腸肠藏長长鱨㙊㵴㶓𠹉
can3	僘唱廠厂摤敞昶氅场{～子}
can5	倡唱悵怅摤{～痒}暢畅淌鬯𥇔
san1	傷伤商墒桑殤殇滳漡裳觴觞謪䘮丧上-𤳈𤹟
san3	上嗓扄搡磉褬賞赏顙晌𣞙
san5	上=喪丧尚慯緔绱
gan1	剛刚堈堽岡冈崗岗扛杠江-疘矼綱纲缸罡肛豇釭鋼钢㟵㼚𠵹𤦇𤭛𤭺𥃽𥬮
gan3	港𠅣{挤}䟘{挤}𣽣𣿑
gan5	扛掆㧏摃扛槓杠焵钢{～刀}虹-𡎴𢭎𥒳
kan1	嵻康漮穅糠躿㝩㱂䆲项+{颈～}𡻚
kan2	夯
kan3	忼慷
kan5	亢伉匟囥抗炕犺砊𥒳
han1	項项-夯巷-𤼍
han2	吭杭航行绗絎桁貥頏䋁䘕𬠽
han3	夯㰠
han5	妔巷=笐行衖項项㟟𥮕
an1	骯肮䱀𩹡怏{～脑子：皱眉頭}
an2	昂
an3	咉醠炴{～烟：冒烟}
an5	枊盎𠹃𣉗𧪪
nian1	娘孃{～～：姨母}
nian2	娘孃釀凉+
nian3	仰-
nian5	曩釀
lian1	亮-踉𪳄{～子：水桶}
lian2	俍凉惊梁樑涼稂粮粱糧綡良量䣼𡮎𣌣𥞹𩗬
lian3	両两倆兩輛魎𣓈
lian5	亮=倞哴喨悢晾諒踉量𠅙𪳄
jian1	僵壃姜將橿殭江=漿畕畺疅疆礓繮缰薑韁䗵𠘌𥬮
jian3	奬槳獎耩蔣講膙{老～}
jian5	佭匞匠=夅將洚絳醬降犟强糨𢘸𤝷
qian1	匠-傹嗆埪戕戧戗{～枕}斨椌槍熗𪉨{～虾}瑲羌羗羫腔謒跫蹌鎗鏘䬕像-𡉉𢦤𩩝
qian2	勥墻嬙庠廧強强彊檣洋牆痒祥羊翔薔詳襁㩖𢉈
qian3	勥墏强搶摤磢襁鏹
qian5	傸嗴弜弶{～港}戧摪謒謽蹡䉃鏹𢪇
xian1	勷廂厢湘缃瓖相箱襄鄕鄉鑲镶香驤骧麘䅨𤉪𤷼
xian2	降
xian3	享亯响嚮恦想慯晑曏響項餉饗飨鮝𥖡
xian5	像=向晌曏相象橡𢄵
ian1	佒央姎殃泱秧鞅鴦㹧樣-𤢐
ian2	佯崵徉揚昜暘楊氜洋煬痒瘍眻禓羊陽颺𢒑
ian3	仰=痒勨懩攁瀁癢痒養氧
ian5	怏恙樣=漾盎羕㨾㺊煬{火旺}𢓋𢟣𢵇
zuan1	妝庄樁淙粧莊桩裝㽵𣻛𪁈𪄻
zuan3	奘
zuan5	壯戇撞=淙漴狀僮幢䚒𣴣
cuan1	摐牕瘡窗窻撞-𡆪
cuan2	噇{～飯}幢床牀䭚𩃕
cuan3	闖
cuan5	剏創戧㦼䚎
suan1	双孀欆艭雙霜驦䨇𩀝
suan2	漺+
suan3	塽慡漺爽
guan1	光炛灮炚咣垙姯桄洸珖胱觥𤗶
guan3	廣广
guan5	光{～臉、～胡子}榥櫎矌誑<逛㤮𤗶𨤡
kuan1	劻匡框洭眶筐誆䯑𨴑
kuan2	抂狂桄{～線}誑㾠𢙌𣴥
kuan3	怳𢓯
kuan5	况壙懬懭曠框礦纊貺鑛矿犷𣋷𦚞
huan1	巟慌肓荒鎤㠵㡆㤺𣺬𥞙𥠸𩥒
huan2	凰喤墴媓徨惶湟潢煌璜皇磺篁簧艎蝗蟥遑鍠隍鰉鷬黃㞷㾮𤛥𪏙
huan3	兤恍愰滉幌謊
huan5	幌晃晄榥熀𣄐𣄙
uan1	尩尪尫望-汪㴏忘-𥆚𪶁
uan2	亡忘-杗王
uan3	往徃惘枉棢瀇網罔誷輞魍㳹㴏𣇭𣶂𣶈
uan5	妄旺望=泳㴏忘=𥩿𧧄
ben1	奔捹泍浜渀犇畚賁錛㙃𣳰𥝯𧾜𩣺
ben3	夲本泍畚笨㤓
ben5	逩奔笨𢜘
pen1	匉噴{～沙子：毛雨子}歕笨-{～子}𠽾
pen2	歕浜湓瓫盆㖹㙃
pen3	体呠
pen5	昢笨馞噴{～香}
men1	懣悶
men2	捫璊門們盟+明-{～个}𤅣𨳇
men3	暪
men5	悶燜懣璺𣚪
fen1	份分吩妢帉昐棼氛汾紛芬雰𡵳𢁥𣬩𣱦𩝀
fen2	坟墳幩弅焚蕡蚠
fen3	粉㥹
fen5	份僨分奞奮忿憤濆瀵糞𡊄𡏰
den1	噸吨墩惇敦橔橙涒燈犜蹲=登竳豋蹬𥂦𧯭
den3	吨坉戥盹等躉
den5	噸囤墱扽揗暾楯櫈凳沌涒潡燉盾瞪蹬遁遯鄧鈍=鐙隥頓㡒䙞𠎻𢬼𢯭𩍐
ten1	吞暾熥㧷钝-𤶕𧰥
ten2	屯滕漛藤疼窀籐臀臋芚謄誊豚飩騰魨㡒㹠䠮𣹸𤹤𤻴𧑞𧱔
ten3	伅庉氽黗㖔𪑒
ten5	褪{脫}吞?{～子：嗓子}遁遯
nen1	嫩-
nen2	能㴰
nen3	冷
nen5	媆嫩=𤯦
len1	楞-{粗野}扔日+{～裏：白天}闰-䵑認-
len2	人仁仍任侖倫儿圇壬崙忈掄棆棱楞{～嚴咒}淪獰<礽稜綸芢輪䄧䭢𤯔𤷔
len3	冷屻忍棯牣稐稔腍荏衽飪㠴㣼紉{縣志音}纫{縣志音}刃𢆉𪍴
len5	仞任倰刃妊姙恁惀潤牣訒認=論賃-踜閏靭韌飪㱥䇮楞=愣
zen1	争偵嗔噌增媜層帪延征徵怔憎揁斟椹楨榛橧正溱烝爭猙珍珎瑊瑱甄眞真睜睁瞋矰砧禎箏筝箴繒缯罾臻葴蒸蓁貞贞針针鉦鍖鍼䋫診+诊+贈+赠+曾鎮+镇+{压}症𠄙𠏄𢓞𣁱𥪘𩗲
zen3	姫怎拯整朕枕氶畛疹稹紾聄袗診诊軫缜鬒𢒀𣦔𤵜𤵲𤺋
zen5	侲僜塦娠振掙枕政正甑症證証证諍诤賑赈贈赠鄭郑圳鎭鎮镇陣=阵=震𣃻𩏠
cen1	偁偵崢憆挰掁撑檉浾盯瞠瞪稱穪称蟶蛏阵-赬𣛟㵾凈𥊰𥊲𥊼𨅝
cen2	丞乗乘呈坅城塵宬宸岑嶒忱愖懲成承晨曟曾桭橙橬沈沉洆涔澂澄瀓珵瘎眹程臣裎誠诚諶谌辰娠郕陳陈㞥䅾䆣䇸层𠅟𡒲𡔚𢌼𢗑𨻰
cen3	徎浧祳脤蜃逞騁鴆磣{飯菜裏夾雜泥沙}𡈼
cen5	剩疢秤稱称趁趂蹭牚
sen1	伸僧升参參叅呻声妽娠斘昇曑森槮殅泩深滲渗牲狌珄珅生甥申笙篸紳绅聲声身陞㐼㮱㽒𠫵𡰬
sen2	溗澠神繩蹲-䋲绳
sen3	哂嬸婶審审杏沈渻省眚矧磣諗𥄾
sen5	勝墭愼慎抻晟椹渗滲甚瘆盛聖腎肾葚䜟蜃
gen1	埂庚更根畊秔稉粳羹耕賡赓跟鶊齦㪅今-𣏄𣥦
gen3	哽埂挭{推}梗耿莄鲠𠷊𢙾𢞚𣆳
gen5	亘更珢艮
ken1	劥坑妔硜鏗阬吭顉{低頭}
ken3	墾懇肯豤齦{啃}啃㸧𢡆
ken5	掯硍{垢}
hen1	亨哼𣨉
hen2	姮恆恒拫桁洐珩痕莖衡𢖍𢘆𦚣
hen3	很狠
hen5	啈恨荇行䯒𢙃𢚉
en1	恩嗯硬-
en2	橫
en3	㹙
en5	硬=
bien1	仌份兵冫冰嬪彬斌枌梹殯氷汃濵繽牝玢臏豩豳賓賔邠髕㯽瀕傧𡣕𢒹𢣐𣩵𦆯𨮘
bien3	丙帡帲怲抦昞炳禀秉稟邴餅𬼌
bien5	並併倂儐寎并幷摒擯柄棅病竝䈂殡鬢𠀤𢉟𢷤𩬆𩯔𭀀
pien1	乒倂姘抨拚拼涄淜𦀔𩰝
pien2	伻偋凭凴坪屛平憑枰泙洴淜獱瓶甁萍蘋苹評貧頻顰㰋䈂䍈𠙥𡛞𣳷
pien3	品牝聘+
pien5	娉聘噴{～香}
mien1	命-謎{猜～～}
mien2	名岷忞明暝朙民洺玟珉瑉盟-眀緡銘鳴㨉䁕𣇱𥌏
mien3	僶冥刡吻愍慜憫抿敏旻旼暝榠泯湣溟潣澠猽畝皿瞑脗茗蓂螟酩閔閩黽黾䟨𠋶𣙣𧱴
mien5	命=
dien1	丁仃叮奵玎矴酊釘靪㣔䟓盯叮{粘}
dien3	朾濎頂鼎𣇓𥅀𥇴𪔂
dien5	定忊矴碇訂錠𥆑𥇓
tien1	厛听桯汀聽听鞓㕔䯕𦗟
tien2	亭停娗婷庭廷渟莛蜓霆
tien3	挺梃涏珽頲艇鋌𥆑𨉈𩑙
tien5	听{～其自然}聽𦗟
nien2	凝嚀寕寧濘泞甯秂紉<𡨴您
nien3	亃濘𦡲
nien5	佞吝悋磷藺蔺𡩋
lien1	拎衑㩕另-
lien2	〇伶倰凌呤囹坽姈崚彾怜斴昤朎林柃櫺泠淋淩潾澪狑獜玲琳璘磷秢綾羚翎聆臨苓菱蛉衑跉軨鄰鈴陵隣零霖霛靈鱗鴒麟麢齡㝝㯪㸳䴒寧獰擰濘泞嚀檸𠱠𡕮𤜙𤣍𤣤𤫊𤴤𥻘𩖊𪊲
lien3	凜凛嶺岭廩懍檁袊領㐭𥠌𪷤
lien5	令另潾皊賃=躪
jien1	京亰今=侵巠巾惍擎斤旌晶汮津浸涇睛矜筋精經腈荆蜻衿襟觔金驚惊鯨鶄㑴㓎䈥兢莖𣷽𣻒𣻓𥎅𫝆
jien3	丼井僅儘剄寢巹景暻槿殣漌緊謹警錦頸饉䌍桱𢀿
jien5	僅僸凚勁唫噤圊境寖徑憼搢敬晉桱樈浸淨溍滰漌濜濪燼獍璡盡禁穽竟竧竫競竸縉脛覲賮贐近逕進鏡阱靖靜靳㘦㝻㬜鯨𡩻𣥪𣷽𤂅𤵞𥪰
qien1	傾凊卿圊欽清菁衾親輕青鯖侵=氫
qien2	勍勤噙堇夝尋-岑廑情慬懃懄捦擎擒斳晴檠澿琛琴矜禽秦芩芹鬵鯨黥㕋桯{～凳}
qien3	寢檾漀褧請頃苘{～麻}𩒵
qien5	倩凊慶汫磬罄齽㵾撳親{～家}𢝑𥥻
xien1	兟妡姺屾心芯忻惞惺新昕星欣歆煋猩甡腥興莘薪訢詵辛馨騂鯹㙚㛙鋅鑫𢓠𣘘
xien2	刑型形桁洐行邢鋞陘㣜桁+𣸝𦡅
xien3	伈悻惺擤渻省醒㝭𢜫
xien5	信倖囟姓幸性杏汛沁臖興蕈衅行訊迅釁䒖䪿𡴘𢔛𢩲𤜢𤯕
ien1	侌喑嚶囙因姻婣嬰愔慇攖朠楧櫻殷氤洇湮瑛瓔瘖禋秵纓膺英茵蠅蝇裀陰隂蔭音駰鶯鷹鸚㡕𢰶𣱙𤯠𤸌
ien2	凝吟唫嚚圁垠塋夤婬嬴寅崟楹榮-泿淫滎滛淫濙濚濴瀛營狺珢瑩盈縈螢贏迎銀齦㞤㹜䤰𡷪𣽮𤄞𤟣𫲓
ien3	尹嶾廴引影懚癮檃櫽洕濥濦狁璄穎縯蚓蝇蠅郢隱靷飲㥯㥼䌥𢎢𢒬𢪉
ien5	印媵廕憖應映暎窨飲{牛～水}胤蔭賸酳䅧䕃𣋋𩂥
luen1	閏-
luen5	潤閏=
zuen1	墫尊樽澊罇肫衠諄迍遵𤮐
zuen3	僔准埻撙準譐𥫱
zuen5	俊峻捘燇𥊭
cuen1	春村杶椿櫄皴邨
cuen2	存漘脣
cuen3	忖惷蠢㖺䐏
cuen5	寸櫬襯齔䞋忖吋
suen1	孫搎猻蓀飱
suen2	憌淳純蒓蓴醇鶉𡗥
suen3	損吮榫笋筍隼髄𩪷
suen5	瞚瞬舜順
guen3	丨惃滚滾睔磙穬衮袞鯀㨰䃂𣽙𥕦𬡄
guen5	棍𠞬𧸫
kuen1	坤堃崑惃昆晜琨瑻蜫裩褌{～頭子：短褲}錕髡鯤鵾㒭㡓
kuen3	壼悃捆梱稇綑閫
kuen5	困梱涃稇閫㫻𢈛
huen1	婚惛惽昏殙涽葷閽鯶𣇲
huen2	媈忶楎渾琿餛魂
huen3	倱夽惲慁混蕰蘊𡘝
huen5	圂溷諢鯶混𣎚𦡵
uen1	氳温溫瘟緼縕蕰豱㬈問-
uen2	妏彣文紋聞蚊雯
uen3	伆刎吻抆穩鞰韞紊𥦊𥧚𨆲
uen5	問=搵汶璺紊𤪭
jyen1	君囷均皸筠軍鈞麕㚬菌𡈀𢛕
jyen3	窘笋䐃
jyen5	俊儁夋寯峻懏晙浚珺畯竣菌逡郡餕駿鵕㴫𡋴𡍵𣹯
qyen1	覷?{凑近看}
qyen2	唇宭帬漘羣群脣脤裙䭽𠹩𢂽
qyen3	稛窘
xyen1	勛勲勳塤壎曛焄熏燻獯纁薰醺
xyen2	尋=巡徇循恂撏旬樳洵潯灥狥珣荀詢郇馴㨚㫬㵌𡬰𢞧
xyen5	噀巽愻殉潠訓遜馴訊迅汛
yen1	暈
yen2	云勻囩妘愪橒沄溳澐秐筠篔紜耘芸鄖雲
yen3	允栐殞永-泳-詠咏-狁隕
yen5	咏孕惲愠暈泳煴熨詠運鄆醞韵韻酝蘊韞𡅙
bon1	堋塴崩弸漰痭絣繃嘣𢏳
bon3	誁㔙繃𧚭
bon5	蚌泵迸蹦𧻓
pon1	匉埄埲抨砰怦氽漰烹㠮㤣㧸䦕
pon2	堋塳庄彭朋棚澎稝竼篷膨硼芃蓬蟛髼鬔鵬㱶䴶𣨥𤡭𥭗
pon3	捧淎㷯
pon5	姘掽碰硼𢼩𥕱𨅘
mon1	夢梦-虻{牛～}蠓{～虫子}
mon2	幪懜懞檬懵曚朦氓濛獴甍盲瞢矇艨萌盟=蒙蝱㩚䤓𢡗𣞑𣱅𥌱𦿏
mon3	氼猛蜢錳蠓𦆟
mon5	夢夣孟梦=㝱
fon1	丰夆妦寷封峯楓檒湗烽犎瘋葑蜂豐酆鋒風縫-
fon2	堸摓渢漨縫逢馮㵯
fon3	捧諷賵
fon5	俸唪奉鳳縫=
don1	冬咚埬崠東涷苳㫡𢔅𢛔𧯾
don3	墥懂董諌䂢𢤦𣿅𦡂
don5	凍動=峝崠恫棟洞=湩筒胴蝀㓊䆚侗𪔦
ton1	恫狪痌蓪通洞-動-鼕𢂓
ton2	仝佟侗僮同哃噇峒庝彤晍曈桐橦浵潼疼痌眮瞳秱穜童筒筩艟茼蕫衕銅㛚㤏䆚䳋𢈉𥩌𧱁
ton3	捅{移動}桶筒統㣚䉥𨈹
ton5	慟痛蘣{可愛}𢣛
non1	弄-
non2	儂噥憹濃穠膿襛農辳醲鬞𤅌𩟊{將就}𪒬
non3	䵜
non5	弄=挵癑齈㳥𠧗𢙱𨑊
lon1	礱
lon2	儱嚨娀戎曨朧櫳毧氄漋瀧狨瓏癃篭籠絨羢聾茸蘢躘隆駥龍㝫㡣㰍䡁䪊𡃡𢍻𢤱𢦦𣮪
lon3	儱冗坈壟宂攏櫳氄竉籠茸+衖隴㲝㴳𣯍𣲽
lon5	徿礱
zon1	中伀倧偅妐妕宗忠忪棕汷淙綜{縣志音}稯終葼螽衷踪蹱鈆鍾鐘騌騣鬃㯶盅𩦲
zon3	傯冢塚惣憁搃摠煄瘇種种縂總腫踵㢔㣫𠣥𦔉
zon5	中仲偅種种粽糭綜縱衆訟誦蹤重頌㲴
con1	充冲匆囱徸忡悤惷憧摏沖冲浺淙琮瑽璁种聰舂葱蔥衝蹖重-騘驄㳘𧘂
con2	从叢崇崈徖從淙漎潨种虫蟲誴重㷓?{生爐子}𢓅𢔩𧝎𩞉
con3	寵矗𦖴
con5	揰昮銃㧤𣀒𧼩𭥐
son1	倯娀崧嵩松枀淞濍蜙鬆㣝𢓣𢔋𤾥
son2	㞞𩩺
son3	悚慫竦聳𢥠
son5	宋送㮸𢚍
gon1	供公功宮工弓恭愩攻篢肱蚣觥躬龔㴦䇗𠞖{鑽}𢖷𢙄𢚈
gon2	拱?{鼓起}
gon3	拱拲汞珙礦穬鞏㤨㧬𥨐𩌌𪍿
gon5	供共戇灨貢贛
kon1	倥崆悾涳空箜
kon3	孔恐㤟𢙷
kon5	空控
hon1	佟哄洪渹烘薨訇轟鍧鬨𠴨𥔀𥰲
hon2	仜吰妅宏嶸弘橫汯泓洪浤渱竤紅肱虹=訌鈜鐄閎鴻黌䆖𡇳𢂔𤄏𥥈
hon3	嗊汞渹澒哄𠳃𣽝𥔀𦑟𦕷𨰌𩗄
hon5	橫{～直，蛮～}蕻鬨哄訌㶇
on1	翁瓮嗡{～子：空竹}聬㺋䩺
on3	塕暡滃㘢𡩥
on5	瓮甕罋齆𨞑
jion3	僒冂憬扃浻澋炯窘絅綗菌褧迥逈駉𢂶𢄗
jion5	澃
qion1	傾-
qion2	卭邛惸璚瓊穹窮竆笻藭蛩跫㷀𤢶𥧺𥨪
xion1	兄凶匈洶汹胷胸芎𠒋𠣏𣋶𣳸
xion2	熊雄𤠗
xion3	洶𣶑
ion1	噰墉壅庸廱慵槦澭癰邕鄘鏞雍雝饔㟾㽫臃傭用-
ion2	傛榕傭嫆容曧榮溶滎滽瀜熒熔瑢肜蓉融螎鎔顒㣑
ion3	俑勇埇恿悀慂擁永=泳=咏=涌湧甬蛹踊踴㦶𢶜𧗴𩟀𬽃
ion5	用=邕𧜇𧝸
baeh7	仈八哵跋=拔=捌朳㧞𧈢
paeh7	𥐙拔-跋-
maeh7	帓抹袜䀣𩨲𪒜
faeh7	伐傠垡栰橃沷法砝發筏罰閥乏髮𨋺
daeh7	妲怛搨搭撘瘩答荅褟褡詚達嗒笪鎉靼韃㙮䞙沓𣸉𤺥𧝡𨃚𨅞𨨹𩞰
taeh7	傝嗒嚃塌塔墖撻榻橽沓涾溻漯澾濌狧獺踏蹋拓遢闒闥鞳㒓㣵㧺㿹䂿䃮䈳䑽{秧～子：農家小船}䓠𡌩𢞠𢺉𣥂𣿔𤒻𦧟𦧭𧴡𨌭𩌇
naeh7	吶妠抐捺納衲鈉㨥䈫
laeh7	剌拉揧瘌磖糲臈臘蝲蠟辣邋鬎䃳𣋲𤀦𩮝
zaeh7	劄匝卡咂砸哳唼噆囃囋帀扎札煠炸{煠}眨磼紥茁襍鍘閘雜軋+㱜𠯗𠰏𠹗𠽻𣧖𨰉𨵊𩿤
caeh7	刹察插揷擦攃歃礤臿詧遪鍤㮑㴙㵤𠽹𢣼𩴳
saeh7	扱撒擦殺潵煞甩箑翣薩趿霅霎靸颯㞚{楔：木頭～}㪪{楔：木頭～}𠎷𡐥𢅑𢔣𢟌𣜂𣻑𤋣𥻦𧭂𩆅
gaeh7	莢夾-挾軋+
kaeh7	嫐恰掐狹+{促～：捉弄人、做缺德事}殎
haeh7	合瞎𥈎轄-狹-匣-下{一～子}
aeh7	壓庘押軋鴨㳌阿{～斗、～哥}𢮊𦉟
jiaeh7	俠呷嘠圿夾=浹帢恝愜戞挾梜爵甲篋胛脥莢蛺袷裌跲郟鉀鋏頰㥦䀫𢎘
xiaeh7	俠匣峽挾{要～}柙洽<狎狹硤祫笚筪舝轄=鎋黠㭘
zuaeh7	窡鵽{秧～子：一种喜歡在稻田裏活動的小鳥}䂐䆯□{吃}
suaeh7	刷唰靸{搭～子：拖鞋}
guaeh7	刮劀括栝桰聒适颳鴰䯏𣸅𣁳{～水}
kuaeh7	䯇□{挖～：坏点子多}䯇?{絆；尖利物將衣服等扯住：衣服～破了}
huaeh7	滑猾㩇豁{～拳、出～子}𡑧𡯜𧽌{跳躍：～溝；陡然升迁：他～上去了}𩨔
uaeh7	嗗挖穵襪韈袜
buh7	妭撥癶盋缽跋蹳軷鈸鉢䯋脖鵓{縣志音}
puh7	潑醱㗶㧊𣸍勃{縣志音}渤{縣志音}
muh7	妺帓抹昩末沫瀎眜秣苜茉䬴䴲𢗿
duh7	奪咄掇{拾～}敠蝃蝝裰㣞{慢行：慢慢向前～}䞵㿴{𥀰～：遲鈍}
tuh7	侻挩脫𤿫𨌔
nuh7	劣□{牙齒不好的人慢慢嚼}
luh7	劣那+哷埒捋浖㭩䟹𢚃𣸐𥀰{～㿴：遲鈍}
zuh7	啜惙拙攥梲歠涰畷綴繓諁輟餟
cuh7	啜撮涰輟
suh7	說𠞯𤀤𧺷𢶍{搕～：垃圾}
guh7	割合佮{～伙}懖括葛蛤轕适騔鴿㵧䀨𩢛𩦞
kuh7	嗑嵑渴濶瞌磕闊㵣𤸎
huh7	佮合喝奯曷活盍盒褐豁{～然、～口子}閤闔㧁䶎𢄍𣁳
uh7	姶捾盫𤂷遏搕{～搕：垃圾}
jiuh7	决厥廴抉橜決潏獗玦絕蕨訣譎蹶鐍鴃䙠孓𢇍𣅡𣲺𤯚
qiuh7	亅厥{昏～}妜橛缺缼鈌闋闕炔㵐𡙇𣅡䂐{短～～}
xiuh7	泬穴+渫禼糏屑薛血雪㳿䆝𥜽楔{～子話：閑話}
iuh7	刖悅戉抈曰月樾玥粵說越軏鉞閱𡛟
bih7	別斃憋癟襒蹩鐅鱉鼈㧙䥕𢠳𤮕𤺓𥞲
pih7	丿嫳憋撆撇潎甂瞥鐅䥕𠟈𢠳
mih7	滅篾蔑衊㒝𥯣
dih7	曡疊叠垤堞揲昳牒瓞眣碟絰耋喋=蝶=諜跌軼+迭㦶𢮕𢶣𣆹𣡭𥷕
tih7	喋-蝶-帖怗貼跕鉄銕鐵餮驖㤐䴴
nih7	乜囁囓夨孽帇懾捏捻揑涅湼糵聶臬蘖讘躡鎳鑷闑齧㘝㚔𠕄𡆴𢫻
lih7	冽列劽咧姴巤捩栵洌浰烈熱獵裂躐鬣㤠㤡㭞劣𡿩𡿪𢀂𢟯𣶄𣸟𤖺𩧆
zih7	哲埑折摺晢晣歽浙㝂䓆䇽{～子、～圈子：茓子}蜇蟄{縣志音}這+𠽻𣠞
cih7	屮徹掣撤澈輒轍𡜯𢬴
sih7	帴涉舌設蝕折{～本}懾攝𣥩𣻣
jih7	倢偈傑刧刼劫婕孑尐幯截捷接揭杰极{驢負物}桀桔楫楬楶榤檝櫛櫭洯浹滐潔洁癤睫碣竭笈節結羯蓵藉蛣蛺蠞訐跲輒鋏頰<㔃㛃㦢䀹𠃲𠐉𡇼𡩣𢬴𣮌𣳱𣶏𤻵𧞛
qih7	切匧妾怯挈淁窃竊篋輒㗫㫸㾀𢬴𥧼𥨱𥨵𥨷
xih7	俠洽{縣志音}協叶{～韵}揭{～鍋盖}屑徢愶拹拽挈枻歇汔洩渫滊熁爕燮穴糏紲洩泄絏綌脅脇蝎褉褻㙝㛍㦪㳿㴮㴽䙝𡎮𡭴𡭽𢂐𢞜𢡁𣹩𤓖𥍏𪍛
ih7	僷咽噎拽擪擫暍曄曗曳+業潱澲燁盫葉叶{葉}謁軼遏鄴鍱閼頞頁饁𠄅𢢜𣩫𩇠𪑦
bah7	亳剝博帛懪欂泊爆{煿}煿{～蛋、～餅}犦礴箔膊薄=鉑雹駁駮𤿈𥭖𥴮𥴾
pah7	仢帕+珀懪扑{接住}拍撲擈朴樸檏泊烞璞瓝瓟箔{～子}粕鉑薄-{～粥、～刀}雹-㗘㩧㵡䈏杷𢑾𢷏𥐚
mah7	嗼塻寞幕幙摸漠瘼瞙膜莫鏌
fah7	搏縛
dah7	吒喥{～舌子：說話吐字不清}度{猜～}沰{～雨、一～牛屎、～鍋腔}耷{眼皮～下來、拿毯子～肚子}踱鐸㤞㧻㩉{用力摔打：～爛泥、～章}𢜬
tah7	仛庹托拓挓柝橐汑沰矺籜袥託馲𣔳𣶦𧘐𨃚
nah7	搦掿諾喏
lah7	叒弱樂{快～}洛渃烙珞笿{籃子}箬{粽～}絡肏若落蒻酪雒駱㦡䈷𠄇𡁆𥯛𧭥𩂣
zah7	作擆斫昨着筰酌酢𣹧
cah7	焯{～菜}簎{用工具將水中之物撈起：把餃子～起來}綽錯{～過机會}鑿㪕𦁎
sah7	勺圴妁妰彴扚斫杓溹灼爍犳碩索芍鎍鑠䌇𢱢箾?{打：～耳刮子}𥯩
gah7	各咯硌胳埆捔擱桷确角閣覺-{～老、～索}
kah7	搉{～大蒜頭}殻殼㩁㱿㲉𪇄𫖡{下巴～子}
hah7	佫壑學-{～話}榷*{～子}涸癋貉郝鶮鶴㴶𤃯𥀣𦞦
ah7	僫噁堊惡噩琧𢙣𢝏
niah7	瘧虐
liah7	剠掠略畧㨼
jiah7	呷噱嚼屩屫斠榷{獨木橋}爵珏瑴甲脚臄覺={知～}𡕚𡬠𩰥
qiah7	榷{商～}傕却圶埆帢恪恰愨慤搉皵碏確舄覺郤雀鵲㡊㩁㴶𡇱𣒆𣛵𥯚𪴮
xiah7	削學斅澩觷謔鷽㕰𣪎
iah7	岳嶽愕捳樂{音～、姓～}湂瀹礿禴篗籥約耀萼蕚藥葯躍遌鄂鑰鶚鱷諤顎鍔鸑龠㿢𤂼𤾫𥸤
zuah7	丵倬卓啄啅捉擢攫斮斲斵晫桌椓浞涿濁=濯玃琢硺穱篧鐲=鷟㔬㧻{～屁股、筷子～～齊、～帳}㹿𢁁𢢗𥇍𥢔𩆸
cuah7	娖戳擉鐲-齪㪬𨆬濁-{裝～：佯裝不知}
suah7	嗍{吮吸：～棒冰、～指頭}𠲿揱{～腮：两頰瘦削}搠數数{～見不鮮}朔{～氣}槊矟𣓞
guah7	廓墎姡椁槨郭㗥𥕖
kuah7	廓擴攫漷躩鞟鞹㨯
huah7	攉濩癨穫藿鑊霍㦜䈅䉟𣉒
uah7	偓喔嚄嗀{嘔吐}幄握楃沃{～港：地名}硪硺鸌齷𣵽𫫊
beh7	不
peh7	勃<哱孛挬浡渤<綍脖艴荸郣餑{麪～：和麪時防止沾手的乾面粉}鵓<㪍㴾𥹸𩣡𪌰拂{聚攏：～起來}
meh7	圽歾歿殁沒没{沉～、～得}𣩭𣴬
feh7	乀佛{仿～、～教}咈帗弗彿怫拂柫*{～板}沸濷狒甶疿祓笰紱紼艴芾茀髴黻㚕㵒䀟𡗻𣲴
deh7	咄*{雞啄物}嚉得德悳淂特蟘㥁𡭂𧎬𧴫𨁽
teh7	凸堗忑忒怢慝揬湥特突蟘㥂㧹脱+{丟失；～班：晚点}𠊲𡺴𦝬𧎬𫻪
neh7	仂捏?勒?忇扐氻泐肋肭訥鰳㕯㪐𡎳𢗉𥭐
leh7	入-廿日馹肋勒那+
zeh7	仄侄値則厏厔指+{～頭}這+只嘖{不～聲不～气：不說話}執执墌妷姪宅帙幘幟庢徏恎执拓挃摘摭擇擲昃柣桎植樴殖汁洷淔湜漐澤濈炙熾瓆直矺磔礫秩秷稙窄窒笮簀織翟職膱蚱蛭蟄蠈諎謫豑責賊質跖蹠躑迮郅銍陟隲隻㨁㯰䐈塞+{瓶～子；～當：堵車}𠟭𡘺𡥺𡮞𣅦𣛸𣤈𣳀𣻩𣽚𥃫𥯧𧶷𧷤𨕠𩞡𫌁
ceh7	側册勅叱坼尺庂彳惻拆敇敕斥栅測畟笧策筞筴赤飭㡿㳁㿭𡚨𣂙𤂄𤰠𥮫𥮮𪄠
seh7	什十嗇塞失奭室寔實式懎拭拾摵栻歮歰湜溼澀澁濇濕瑟璱石祏穡色虱蝕蝨螫識軾適适{適}釋食飾㥶䄷䉢𠎸𡔂𡺶𢞮𢡉𣥒𣴻𣺯𣿠𤁧𤨝𥅞𥢺𥤧𰙩
