漢字	拼音方案		IPA	注釋	説明：兩種拼音方案的聲調，都遵循以下對應規則，即：陰平1，陰上2，陰去3，陰入4，陽平5，陽上6，陽去7，陽入8									
醉	tsui3	zui3	tsui˨˩˨											
翠	tshui3	cui3	tsʰui˨˩˨											
悴	tsui6	zui6	tsui˧˥											
雖	sui1	sui1	sui˧˧											
瘁	tsui6	zui6	tsui˧˥											
粹	tsui6	zui6	tsui˧˥											
粹	tshui3	cui3	tsʰui˨˩˨	文										
遂	sui5	sui5	sui˥˥											
隧	sui5	sui5	sui˥˥											
穗	sui7	sui7	sui˧˩											
追	tui1	dui1	tui˧˧											
槌	thui5	tui5	tʰui˥˥											
錘	thui5	tui5	tʰui˥˥											
墜	tui6	dui6	tui˧˥											
衰	sue1	suê1	sue˧˧											
摔	suk4	sug4	suk˨											
帥	sue3	suê3	sue˨˩˨											
率	suk4	sug4	suk˨											
率	luk8	lug8	luk˥˦											
錐	tsui1	zui1	tsui˧˧											
水	tsui2	zui2	tsui˥˨											
水	sui2	sui2	sui˥˨	文										
誰	sui5	sui5	sui˥˥											
龜	ku1	gu1	ku˧˧											
龜	kiu1	giu1	kiu˧˧	俗										
龜	kung1	gung1	kuŋ˧˧	又										
龜	khiu1	kiu1	kʰiu˧˧	又，~兹										
軌	khui2	kui2	kʰui˥˨											
癸	kui3	gui3	kui˨˩˨											
晷	khui2	kui2	kʰui˥˨											
愧	khui6	kui6	kʰui˧˥											
季	khui3	kui3	kʰui˨˩˨											
葵	kue5	guê5	kue˥˥	白										
葵	khui5	kui5	kʰui˥˥											
逵	khui5	kui5	kʰui˥˥											
夔	khui5	kui5	kʰui˥˥											
揆	khui5	kui5	kʰui˥˥											
櫃	kuinn7	guin7	kui ̃˧˩											
櫃	kur2	ge2	kɯ˥˨	又										
帷	dzui5	rui5	dzui˥˥											
位	ui7	ui7	ui˧˩											
維	dzui5	rui5	dzui˥˥											
遺	dzui5	rui5	dzui˥˥											
唯	dzui5	rui5	dzui˥˥											
唯	ui5	ui5	ui˥˥	文										
飛	pue1	buê1	pue˧˧											
飛	hui1	hui1	hui˧˧	文										
非	hui1	hui1	hui˧˧											
匪	hui2	hui2	hui˥˨											
沸	hui3	hui3	hui˨˩˨											
痱	bui3	bhui3	ᵐbui˨˩˨											
妃	hui1	hui1	hui˧˧											
菲	hui1	hui1	hui˧˧											
費	hui3	hui3	hui˨˩˨											
肥	pui55	bui55	pui˥˥˥˥											
薇	mui5	mui5	mui˥˥											
微	mui5	mui5	mui˥˥											
尾	bue2	bhuê2	ᵐbue˥˨											
尾	mai2	mai2	mai˥˨	又										
未	bue7	bhuê7	ᵐbue˧˩											
未	bi7	bhi7	ᵐbi˧˩	文										
味	bi7	bhi7	ᵐbi˧˩											
歸	kui1	gui1	kui˧˧											
鬼	kui2	gui2	kui˥˨											
貴	kui3	gui3	kui˨˩˨											
巍	ngui5	ngui5	ŋui˥˥											
魏	gui7	ghui7	ᵑɡui˧˩											
揮	hui1	hui1	hui˧˧											
輝	hui1	hui1	hui˧˧											
徽	hui1	hui1	hui˧˧											
諱	hui2	hui2	hui˥˨											
諱	hui3	hui3	hui˨˩˨	又										
卉	hui2	hui2	hui˥˨											
威	ui1	ui1	ui˧˧											
畏	uinn3	uin3	ui ̃˨˩˨											
慰	ue3	uê3	ue˨˩˨											
違	ui5	ui5	ui˥˥											
圍	ui5	ui5	ui˥˥											
葦	ui2	ui2	ui˥˨											
偉	ui2	ui2	ui˥˨											
緯	hui7	hui7	hui˧˩	白										
緯	ui2	ui2	ui˥˨											
胃	ui7	ui7	ui˧˩											
謂	ui6	ui6	ui˧˥											
蝟	ui2	ui2	ui˥˨											
蝟	ui3	ui3	ui˨˩˨	又										
匯	hui6	hui6	hui˧˥											
褒	pau1	bao1	pau˧˧											
保	po2	bo2	po˥˨											
保	pau2	bao2	pau˥˨	文										
堡	pau2	bao2	pau˥˨											
寶	po2	bo2	po˥˨											
報	po3	bo3	po˨˩˨											
袍	phau5	pao5	pʰau˥˥											
抱	pho6	po6	pʰo˧˥											
暴	pau6	bao6	pau˧˥											
毛	mo5	mo5	mo˥˥											
冒	mau6	mao6	mau˧˥											
帽	bo7	bho7	ᵐbo˧˩											
刀	to1	do1	to˧˧											
叨	tau1	dao1	tau˧˧											
倒	to2	do2	to˥˨											
倒	tau2	dao2	tau˥˨	文										
島	tau2	dao2	tau˥˨											
禱	tau2	dao2	tau˥˨											
到	kau3	gao3	kau˨˩˨	俗										
到	tau3	dao3	tau˨˩˨											
倒	to3	do3	to˨˩˨											
掏	thau1	tao1	tʰau˧˧											
掏	thau5	tao5	tʰau˥˥	又										
滔	thau1	tao1	tʰau˧˧											
討	tho2	to2	tʰo˥˨											
套	thau3	tao3	tʰau˨˩˨											
桃	to5	do5	to˥˥	楊~										
桃	tho5	to5	tʰo˥˥	又										
逃	to5	do5	to˥˥											
陶	thau5	tao5	tʰau˥˥											
萄	tho5	to5	tʰo˥˥											
濤	thiu5	tiu5	tʰiu˥˥											
稻	tiu6	diu6	tiu˧˥											
稻	tau6	dao6	tau˧˥											
道	tau6	dao6	tau˧˥											
導	tau6	dao6	tau˧˥											
盜	tau6	dao6	tau˧˥											
腦	lo2	lo2	lo˥˨	白，頭~										
腦	nau2	nao2	nau˥˨											
惱	lo2	lo2	lo˥˨	白，煩~										
惱	nau2	nao2	nau˥˨											
勞	lau5	lao5	lau˥˥											
撈	lio5	lio5	lio˥˥	白										
撈	liau5	liao5	liau˥˥	又白										
撈	lau5	lao5	lau˥˥	文										
撈	lau1	lao1	lau˧˧	又										
嘮	lau5	lao5	lau˥˥											
牢	lo5	lo5	lo˥˥											
老	lau6	lao6	lau˧˥											
老	lau2	lao2	lau˥˨	文										
遭	tsau1	zao1	tsau˧˧											
糟	tsau1	zao1	tsau˧˧											
早	tsa2	za2	tsa˥˨											
早	tsau2	zao2	tsau˥˨	文，~起										
棗	tso2	zo2	tso˥˨											
蚤	tsau2	zao2	tsau˥˨											
澡	tshau3	cao3	tsʰau˨˩˨											
躁	tshau3	cao3	tsʰau˨˩˨											
灶	tsau3	zao3	tsau˨˩˨											
操	tshau1	cao1	tsʰau˧˧											
操	tshau3	cao3	tsʰau˨˩˨	又，曹~										
造	tsau6	zao6	tsau˧˥											
草	tsho2	co2	tsʰo˥˨											
草	tshau2	cao2	tsʰau˥˨	文										
曹	tshau5	cao5	tsʰau˥˥											
皂	tsau6	zao6	tsau˧˥											
騷	sau1	sao1	sau˧˧											
臊	tsho1	co1	tsʰo˧˧											
臊	tshau3	cao3	tsʰau˨˩˨	又										
掃	sau3	sao3	sau˨˩˨											
嫂	so2	so2	so˥˨											
掃	sau3	sao3	sau˨˩˨											
高	ko1	go1	ko˧˧	白，姓氏										
高	kau1	gao1	kau˧˧											
膏	ko1	go1	ko˧˧											
羔	ko1	go1	ko˧˧											
糕	ko1	go1	ko˧˧											
稿	ko2	go2	ko˥˨											
告	ko3	go3	ko˨˩˨											
告	kau3	gao3	kau˨˩˨	文										
考	khau2	kao2	kʰau˥˨											
烤	khau2	kao2	kʰau˥˨											
靠	kou6	gou6	kou˧˥	俗										
靠	khau3	kao3	kʰau˨˩˨											
犒	ko2	go2	ko˥˨											
犒	khau3	kao3	kʰau˨˩˨	文										
熬	ngau5	ngao5	ŋau˥˥											
傲	ngau6	ngao6	ŋau˧˥											
蒿	o1	o1	o˧˧											
蒿	hau1	hao1	hau˧˧	文										
薅	khau1	kao1	kʰau˧˧											
薅	hau1	hao1	hau˧˧	文										
好	ho2	ho2	ho˥˨											
好	hoh4	hoh4	hoʔ˨	又										
好	hau2	hao2	hau˥˨	文										
好	haunn3	haon3	hau ̃˨˩˨	又文										
耗	ho3	ho3	ho˨˩˨											
豪	hau5	hao5	hau˥˥											
毫	hau5	hao5	hau˥˥											
號	hau1	hao1	hau˧˧											
浩	hau1	hao1	hau˧˧											
號	ho7	ho7	ho˧˩											
爊	ngau5	ngao5	ŋau˥˥											
襖	o2	o2	o˥˨											
奧	o3	o3	o˨˩˨											
懊	o3	o3	o˨˩˨	白										
懊	au3	ao3	au˨˩˨											
包	pau1	bao1	pau˧˧											
胞	pau1	bao1	pau˧˧											
飽	pa2	ba2	pa˥˨											
豹	pa3	ba3	pa˨˩˨											
爆	pau6	bao6	pau˧˥											
泡	pha6	pa6	pʰa˧˥											
泡	phau3	pao3	pʰau˨˩˨	文，一~茶										
拋	phau1	pao1	pʰau˧˧											
炮	phau3	pao3	pʰau˨˩˨											
跑	phau2	pao2	pʰau˥˨											
鮑	pau6	bao6	pau˧˥											
刨	phau5	pao5	pʰau˥˥											
刨	phau1	pao1	pʰau˧˧	又										
茅	mau5	mao5	mau˥˥											
貓	ngiau1	ngiao1	ŋiau˧˧											
卯	bau2	bhao2	ᵐbau˥˨											
貌	mau6	mao6	mau˧˥											
鐃	nau5	nao5	nau˥˥											
撓	niau1	niao1	niau˧˧	白										
撓	nau5	nao5	nau˥˥											
鬧	nau6	nao6	nau˧˥											
罩	ta3	da3	ta˨˩˨	又										
罩	tsau6	zao6	tsau˧˥											
抓	tsua1	zua1	tsua˧˧											
爪	dziau2	riao2	dʑiau˥˨											
找	tau2	dao2	tau˥˨											
笊	tsau2	zao2	tsau˥˨											
抄	tshau1	cao1	tsʰau˧˧											
鈔	tshau1	cao1	tsʰau˧˧											
炒	tsha2	ca2	tsʰa˥˨											
吵	tshau1	cao1	tsʰau˧˧											
巢	tshau5	cao5	tsʰau˥˥											
梢	sau1	sao1	sau˧˧											
梢	sau3	sao3	sau˨˩˨											
梢	siau1	siao1	ɕiau˧˧											
捎	siau1	siao1	ɕiau˧˧											
稍	tshiau1	ciao1	tɕʰiau˧˧											
稍	tshiau2	ciao2	tɕʰiau˥˨											
潲	sau3	sao3	sau˨˩˨											
交	kau1	gao1	kau˧˧											
郊	kau1	gao1	kau˧˧											
膠	ka1	ga1	ka˧˧											
絞	ka2	ga2	ka˥˨											
狡	kau2	gao2	kau˥˨											
鉸	ka1	ga1	ka˧˧											
搞	kau2	gao2	kau˥˨											
攪	ka2	ga2	ka˥˨											
攪	kiau2	giao2	kiau˥˨	文										
教	ka3	ga3	ka˨˩˨											
較	ka3	ga3	ka˨˩˨											
酵	ka3	ga3	ka˨˩˨											
窖	ka3	ga3	ka˨˩˨											
校	ka3	ga3	ka˨˩˨											
覺	kak4	gag4	kak˨											
敲	kha3	ka3	kʰa˨˩˨											
敲	khiau1	kiao1	kʰiau˧˧											
巧	kha2	ka2	kʰa˥˨											
咬	ka6	ga6	ka˧˥											
孝	hau3	hao3	hau˨˩˨											
肴	ngau5	ngao5	ŋau˥˥											
淆	ngau5	ngao5	ŋau˥˥											
效	hau7	hao7	hau˧˩											
校	hau6	hao6	hau˧˥											
坳	au1	ao1	au˧˧											
拗	au2	ao2	au˥˨											
飈	pio1	bio1	pio˧˧											
標	pio1	bio1	pio˧˧											
標	phiau1	piao1	pʰiau˧˧	文										
錶	pio1	bio1	pio˧˧											
表	pio2	bio2	pio˥˨	白，~亲										
表	piau2	biao2	piau˥˨											
裱	pio2	bio2	pio˥˨											
婊	piau2	biao2	piau˥˨											
飄	phiau1	piao1	pʰiau˧˧											
漂	phiau1	piao1	pʰiau˧˧	又										
漂	pio3	bio3	pio˨˩˨											
漂	phiau3	piao3	pʰiau˨˩˨	文										
票	phio3	pio3	pʰio˨˩˨											
嫖	phiau5	piao5	pʰiau˥˥											
瓢	phio6	pio6	pʰio˧˥											
鰾	phio6	pio6	pʰio˧˥											
描	bio5	bhio5	ᵐbio˥˥	白										
描	miau5	miao5	miau˥˥											
苗	bio5	bhio5	ᵐbio˥˥	白，蝦~										
苗	miau5	miao5	miau˥˥											
藐	miau2	miao2	miau˥˨											
渺	miau2	miao2	miau˥˨											
秒	miau2	miao2	miau˥˨											
廟	bio7	bhio7	ᵐbio˧˩											
妙	miau6	miao6	miau˧˥											
燎	liau5	liao5	liau˥˥											
焦	tsiau1	ziao1	tɕiau˧˧											
椒	tsio1	zio1	tɕio˧˧											
剿	tshau1	cao1	tsʰau˧˧	俗										
鍬	tshiau1	ciao1	tɕʰiau˧˧											
鍬	tshiu1	ciu1	tɕʰiu˧˧	又										
繰	tshiau1	ciao1	tɕʰiau˧˧											
繰	tshau5	cao5	tsʰau˥˥	又										
悄	tshiau1	ciao1	tɕʰiau˧˧											
悄	tshiau2	ciao2	tɕʰiau˥˨	又										
俏	tshiau2	ciao2	tɕʰiau˥˨											
樵	tsiau1	ziao1	tɕiau˧˧											
瞧	tshiau5	ciao5	tɕʰiau˥˥											
消	siau1	siao1	ɕiau˧˧											
宵	siau1	siao1	ɕiau˧˧											
霄	sio1	sio1	ɕio˧˧	白，漳州雲~										
霄	siau1	siao1	ɕiau˧˧											
硝	siau1	siao1	ɕiau˧˧											
銷	siau1	siao1	ɕiau˧˧											
小	sio2	sio2	ɕio˥˨	白										
小	siau2	siao2	ɕiau˥˨											
笑	tshio3	cio3	tɕʰio˨˩˨											
鞘	siau2	siao2	ɕiau˥˨											
朝	tsiau1	ziao1	tɕiau˧˧											
超	thiau3	tiao3	tʰiau˨˩˨											
朝	tshiau5	ciao5	tɕʰiau˥˥											
潮	tio5	dio5	tio˥˥											
趙	tio7	dio7	tio˧˩											
兆	tiau6	diao6	tiau˧˥											
肇	siau6	siao6	ɕiau˧˥											
召	tiau6	diao6	tiau˧˥											
召	siau6	siao6	ɕiau˧˥	又，姓氏										
昭	tsiau1	ziao1	tɕiau˧˧											
招	tsio1	zio1	tɕio˧˧	白										
招	tsiau1	ziao1	tɕiau˧˧											
沼	dziau3	riao3	dʑiau˨˩˨											
照	tsio3	zio3	tɕio˨˩˨											
詔	tsiau3	ziao3	tɕiau˨˩˨											
詔	dziau3	riao3	dʑiau˨˩˨	又，漳州~安										
燒	sio1	sio1	ɕio˧˧											
少	tsio2	zio2	tɕio˥˨											
少	siau3	siao3	ɕiau˨˩˨	又										
韶	siau6	siao6	ɕiau˧˥											
紹	siau6	siao6	ɕiau˧˥											
邵	sionn7	sion7	ɕio ̃˧˩	白										
邵	siau6	siao6	ɕiau˧˥											
饒	dziau5	riao5	dʑiau˥˥											
擾	dziau2	riao2	dʑiau˥˨											
繞	dziau3	riao3	dʑiau˨˩˨											
驕	kiau1	giao1	kiau˧˧											
嬌	kiau1	giao1	kiau˧˧											
矯	kiau1	giao1	kiau˧˧											
矯	kiau2	giao2	kiau˥˨	又										
喬	khiau5	kiao5	kʰiau˥˥											
橋	kio5	gio5	kio˥˥											
轎	kio7	gio7	kio˧˩											
囂	ngau1	ngao1	ŋau˧˧											
枵	iau1	iao1	iau˧˧											
妖	iau1	iao1	iau˧˧											
邀	iau1	iao1	iau˧˧											
腰	io1	io1	io˧˧											
要	iau1	iao1	iau˧˧											
夭	iau1	iao1	iau˧˧											
要	iau3	iao3	iau˨˩˨											
搖	io5	io5	io˥˥											
謠	io5	io5	io˥˥											
窯	io5	io5	io˥˥											
姚	io5	io5	io˥˥											
舀	io2	io2	io˥˨											
耀	iau6	iao6	iau˧˥											
刁	tiau1	diao1	tiau˧˧											
貂	tiau1	diao1	tiau˧˧											
雕	tiau1	diao1	tiau˧˧											
鳥	tsiau2	ziao2	tɕiau˥˨											
吊	tiau3	diao3	tiau˨˩˨											
釣	tionn3	dion3	tio ̃˨˩˨											
挑	thio1	tio1	tʰio˧˧											
跳	thiau3	tiao3	tʰiau˨˩˨											
跳	tio7	dio7	tio˧˩	又										
糶	thio3	tio3	tʰio˨˩˨											
條	tiau5	diao5	tiau˥˥											
調	thiau5	tiao5	tʰiau˥˥											
調	thiau3	tiao3	tʰiau˨˩˨	又，~皮										
掉	tiau7	diao7	tiau˧˩											
調	tiau7	diao7	tiau˧˩	又，聲~										
尿	dzio7	rio7	dʑio˧˩											
聊	liau5	liao5	liau˥˥											
遼	liau5	liao5	liau˥˥											
撩	liau5	liao5	liau˥˥											
寥	liau5	liao5	liau˥˥											
廖	liau3	liao3	liau˨˩˨											
了	liau2	liao2	liau˥˨											
料	liau7	liao7	liau˧˩											
簫	siau1	siao1	ɕiau˧˧											
蕭	siau1	siao1	ɕiau˧˧											
嘯	sau3	sao3	sau˨˩˨											
澆	nau1	nao1	nau˧˧											
繳	kiau2	giao2	kiau˥˨											
叫	kio3	gio3	kio˨˩˨											
竅	khiau3	kiao3	kʰiau˨˩˨											
堯	ngiau5	ngiao5	ŋiau˥˥											
曉	hiau2	hiao2	hiau˥˨											
麼	moh4	moh4	moʔ˨											
杳	miau2	miao2	miau˥˨											
剖	phou1	pou1	pʰou˧˧	又										
剖	phou2	pou2	pʰou˥˨											
某	mou2	mou2	mou˥˨											
畝	bou2	bhou2	ᵐbou˥˨											
牡	bou2	bhou2	ᵐbou˥˨											
拇	bo2	bho2	ᵐbo˥˨											
母	m2	m2	m˥˨	又										
母	bo2	bho2	ᵐbo˥˨											
茂	mou6	mou6	mou˧˥											
戊	bou7	bhou7	ᵐbou˧˩											
貿	mou3	mou3	mou˨˩˨											
兜	tau1	dao1	tau˧˧											
斗	tau2	dao2	tau˥˨											
抖	tau2	dao2	tau˥˨											
陡	tau2	dao2	tau˥˨											
鬥	tau3	dao3	tau˨˩˨											
鬥	tou3	dou3	tou˨˩˨	文										
偷	thau1	tao1	tʰau˧˧											
透	thau3	tao3	tʰau˨˩˨											
頭	thau5	tao5	tʰau˥˥											
投	tau5	dao5	tau˥˥											
豆	tau7	dao7	tau˧˩											
逗	tau7	dao7	tau˧˩											
耨	no3	no3	no˨˩˨											
耨	nau7	nao7	nau˧˩	文										
耨	dziok8	riog8	dʑiok˥˦	又										
樓	lau5	lao5	lau˥˥											
摟	lou2	lou2	lou˥˨											
簍	lau2	lao2	lau˥˨											
漏	lau7	lao7	lau˧˩											
漏	lau3	lao3	lau˨˩˨	又										
陋	lou6	lou6	lou˧˥											
走	tsau2	zao2	tsau˥˨											
奏	tsau3	zao3	tsau˨˩˨											
湊	tshou3	cou3	tsʰou˨˩˨											
叟	sou2	sou2	sou˥˨											
嗽	sau3	sao3	sau˨˩˨											
勾	kau1	gao1	kau˧˧											
鉤	kau1	gao1	kau˧˧											
溝	kau1	gao1	kau˧˧											
狗	kau2	gao2	kau˥˨											
苟	kou2	gou2	kou˥˨											
垢	kau2	gao2	kau˥˨											
垢	kou3	gou3	kou˨˩˨	文										
彀	kou3	gou3	kou˨˩˨											
夠	kau3	gao3	kau˨˩˨											
夠	kou3	gou3	kou˨˩˨	文										
構	kou3	gou3	kou˨˩˨											
購	kou3	gou3	kou˨˩˨											
媾	kou3	gou3	kou˨˩˨											
摳	khau1	kao1	kʰau˧˧											
口	khau2	kao2	kʰau˥˨											
叩	kha3	ka3	kʰa˨˩˨											
叩	khau3	kao3	kʰau˨˩˨	文										
扣	kha3	ka3	kʰa˨˩˨											
扣	khau3	kao3	kʰau˨˩˨	文										
寇	khau3	kao3	kʰau˨˩˨	白										
寇	khou3	kou3	kʰou˨˩˨											
藕	kau6	gao6	kau˧˥											
偶	ngou2	ngou2	ŋou˥˨											
吼	hau2	hao2	hau˥˨											
蔻	khou3	kou3	kʰou˨˩˨											
侯	kau5	gao5	kau˥˥											
侯	hau7	hao7	hau˧˩	又										
侯	hou5	hou5	hou˥˥	文，姓氏										
喉	au5	ao5	au˥˥											
猴	kau5	gao5	kau˥˥											
後	au6	ao6	au˧˥											
後	hau6	hao6	hau˧˥	~生										
后	hou6	hou6	hou˧˥											
厚	kau6	gao6	kau˧˥											
候	hau7	hao7	hau˧˩											
謳	au1	ao1	au˧˧											
歐	au1	ao1	au˧˧											
鷗	au1	ao1	au˧˧											
鷗	ou1	ou1	ou˧˧	文，汕頭~汀										
區	au1	ao1	au˧˧											
嘔	au2	ao2	au˥˨											
毆	au1	ao1	au˧˧											
毆	au2	ao2	au˥˨	又										
漚	au3	ao3	au˨˩˨											
漚	au1	ao1	au˧˧	又										
慪	au1	ao1	au˧˧											
否	hounn2	houn2	hou ̃˥˨											
富	pu3	bu3	pu˨˩˨											
副	hu3	hu3	hu˨˩˨											
浮	phu5	pu5	pʰu˥˥											
阜	hu6	hu6	hu˧˥											
負	hu6	hu6	hu˧˥											
婦	pu6	bu6	pu˧˥	白，新~										
婦	hu6	hu6	hu˧˥											
複	hok4	hog4	hok˨											
謀	mou5	mou5	mou˥˥											
矛	mau5	mao5	mau˥˥											
眸	mou5	mou5	mou˥˥											
紐	nau6	nao6	nau˧˥	白										
紐	niu2	niu2	niu˥˨											
扭	nau6	nao6	nau˧˥	白										
扭	niu2	niu2	niu˥˨											
留	lau5	lao5	lau˥˥											
留	liu5	liu5	liu˥˥	文										
榴	liu5	liu5	liu˥˥											
劉	lau5	lao5	lau˥˥											
流	lau5	lao5	lau˥˥											
流	liu5	liu5	liu˥˥	文										
硫	liu5	liu5	liu˥˥											
琉	liu5	liu5	liu˥˥											
柳	liu2	liu2	liu˥˨											
溜	lau3	lao3	lau˨˩˨	又										
溜	liu1	liu1	liu˧˧											
溜	liu3	liu3	liu˨˩˨	文										
揪	tshiu1	ciu1	tɕʰiu˧˧											
酒	tsiu2	ziu2	tɕiu˥˨											
秋	tshiu1	ciu1	tɕʰiu˧˧											
就	tsu6	zu6	tsu˧˥	白										
就	tsiu6	ziu6	tɕiu˧˥											
修	siu1	siu1	ɕiu˧˧											
羞	siu1	siu1	ɕiu˧˧											
秀	siu3	siu3	ɕiu˨˩˨											
鏽	siu3	siu3	ɕiu˨˩˨											
繡	siu3	siu3	ɕiu˨˩˨											
宿	siu3	siu3	ɕiu˨˩˨											
宿	siu7	siu7	ɕiu˧˩	俗										
囚	tshiu5	ciu5	tɕʰiu˥˥											
袖	siu3	siu3	ɕiu˨˩˨											
肘	tiu2	diu2	tiu˥˨											
晝	tau3	dao3	tau˨˩˨	白										
晝	tiu6	diu6	tiu˧˥											
抽	thiu1	tiu1	tʰiu˧˧											
丑	thiu2	tiu2	tʰiu˥˨											
綢	tiu5	diu5	tiu˥˥											
稠	tshiu5	ciu5	tɕʰiu˥˥											
籌	thiu5	tiu5	tʰiu˥˥											
紂	tiu6	diu6	tiu˧˥											
宙	tiu6	diu6	tiu˧˥											
鄒	tsou1	zou1	tsou˧˧											
皺	niau3	niao3	niau˨˩˨											
皺	tsou3	zou3	tsou˨˩˨	文										
縐	niau3	niao3	niau˨˩˨											
縐	dziau3	riao3	dʑiau˨˩˨											
愁	tshou5	cou5	tsʰou˥˥											
驟	tsou6	zou6	tsou˧˥											
餿	siau1	siao1	ɕiau˧˧											
搜	siau1	siao1	ɕiau˧˧											
颼	siau1	siao1	ɕiau˧˧											
颼	sou1	sou1	sou˧˧	文										
瘦	sang2	sang2	saŋ˥˨	訓										
瘦	sou2	sou2	sou˥˨											
漱	sok4	sog4	sok˨	又										
漱	tshiu3	ciu3	tɕʰiu˨˩˨											
周	tsiu1	ziu1	tɕiu˧˧											
舟	tsiu1	ziu1	tɕiu˧˧											
洲	tsiu1	ziu1	tɕiu˧˧											
州	tsiu1	ziu1	tɕiu˧˧											
帚	siu2	siu2	ɕiu˥˨											
咒	tsiu3	ziu3	tɕiu˨˩˨											
醜	tshiu2	ciu2	tɕʰiu˥˨	又										
醜	thiu2	tiu2	tʰiu˥˨											
臭	tshau3	cao3	tsʰau˨˩˨											
臭	hiunn3	hiun3	hiu ̃˨˩˨											
收	siu1	siu1	ɕiu˧˧											
手	tshiu2	ciu2	tɕʰiu˥˨											
首	siu2	siu2	ɕiu˥˨											
守	siu2	siu2	ɕiu˥˨											
獸	siu7	siu7	ɕiu˧˩											
讎	tshiu5	ciu5	tɕʰiu˥˥											
酬	tshiu5	ciu5	tɕʰiu˥˥											
受	siu6	siu6	ɕiu˧˥											
壽	siu7	siu7	ɕiu˧˩											
授	siu6	siu6	ɕiu˧˥											
售	tshiu5	ciu5	tɕʰiu˥˥											
柔	dziu5	riu5	dʑiu˥˥											
揉	dziu5	riu5	dʑiu˥˥											
鳩	kiu1	giu1	kiu˧˧											
鬮	kau1	gao1	kau˧˧											
九	kau2	gao2	kau˥˨											
九	kiu2	giu2	kiu˥˨	文										
久	ku2	gu2	ku˥˨											
韭	ku2	gu2	ku˥˨											
灸	ku3	gu3	ku˨˩˨											
究	kiu3	giu3	kiu˨˩˨											
救	kiu3	giu3	kiu˨˩˨											
丘	khu1	ku1	kʰu˧˧											
丘	khiu1	kiu1	kʰiu˧˧											
求	khiu5	kiu5	kʰiu˥˥											
球	kiu5	giu5	kiu˥˥											
仇	tshiu5	ciu5	tɕʰiu˥˥											
舅	ku6	gu6	ku˧˥											
臼	khu6	ku6	kʰu˧˥											
咎	kiu6	giu6	kiu˧˥											
舊	ku7	gu7	ku˧˩											
柩	kiu6	giu6	kiu˧˥											
牛	gu5	ghu5	ᵑɡu˥˥											
休	hiunn1	hiun1	hiu ̃˧˧											
朽	hiunn2	hiun2	hiu ̃˥˨											
嗅	hiunn3	hiun3	hiu ̃˨˩˨											
憂	iu1	iu1	iu˧˧											
優	iu1	iu1	iu˧˧											
尤	iu5	iu5	iu˥˥											
郵	iu5	iu5	iu˥˥											
有	u6	u6	u˧˥											
有	iu2	iu2	iu˥˨	文										
友	iu2	iu2	iu˥˨											
又	iu6	iu6	iu˧˥											
右	iu6	iu6	iu˧˥											
宥	iu6	iu6	iu˧˥											
祐	iu6	iu6	iu˧˥											
油	iu5	iu5	iu˥˥											
遊	iu5	iu5	iu˥˥											
悠	hiunn1	hiun1	hiu ̃˧˧											
悠	iu1	iu1	iu˧˧	文										
猶	iu5	iu5	iu˥˥											
由	iu5	iu5	iu˥˥											
酉	iu2	iu2	iu˥˨											
莠	iu2	iu2	iu˥˨											
誘	iu2	iu2	iu˥˨											
釉	iu5	iu5	iu˥˥											
柚	iu7	iu7	iu˧˩											
彪	piu1	biu1	piu˧˧											
謬	miu6	miu6	miu˧˥											
謬	niu6	niu6	niu˧˥	又										
丟	tiu1	diu1	tiu˧˧											
糾	kiu6	giu6	kiu˧˥											
幽	hiunn1	hiun1	hiu ̃˧˧											
幼	iunn3	iun3	iu ̃˨˩˨											
耽	tam1	dam1	tam˧˧											
貪	tham1	tam1	tʰam˧˧											
探	tham3	tam3	tʰam˨˩˨											
潭	tham5	tam5	tʰam˥˥											
譚	tham5	tam5	tʰam˥˥											
南	nam5	nam5	nam˥˥											
男	nam5	nam5	nam˥˥											
婪	nam5	nam5	nam˥˥											
簪	tsam1	zam1	tsam˧˧											
參	tsham1	cam1	tsʰam˧˧											
慘	tsham2	cam2	tsʰam˥˨											
蠶	tshoinn5	coin5	tsʰoi ̃˥˥											
感	kam2	gam2	kam˥˨											
堪	kham1	kam1	kʰam˧˧											
龕	kham1	kam1	kʰam˧˧											
坎	kham2	kam2	kʰam˥˨											
砍	kham2	kam2	kʰam˥˨											
勘	kham3	kam3	kʰam˨˩˨											
勘	kham1	kam1	kʰam˧˧	又										
湛	tam1	dam1	tam˧˧											
湛	kham1	kam1	kʰam˧˧	又，~江										
湛	tsam3	zam3	tsam˨˩˨	又										
含	kam5	gam5	kam˥˥											
含	ham5	ham5	ham˥˥	文										
函	ham5	ham5	ham˥˥											
撼	ham2	ham2	ham˥˨											
撼	ham6	ham6	ham˧˥	又										
憾	ham6	ham6	ham˧˥											
庵	am1	am1	am˧˧											
諳	am1	am1	am˧˧	又										
諳	am3	am3	am˨˩˨											
暗	am3	am3	am˨˩˨											
擔	tann1	dan1	ta ̃˧˧											
擔	tam1	dam1	tam˧˧	文										
膽	tann2	dan2	ta ̃˥˨											
擔	tann3	dan3	ta ̃˨˩˨											
坍	thang1	tang1	tʰaŋ˧˧											
毯	thang2	tang2	tʰaŋ˥˨											
痰	tham5	tam5	tʰam˥˥											
談	tham5	tam5	tʰam˥˥											
淡	tann6	dan6	ta ̃˧˥											
淡	tam6	dam6	tam˧˥											
