#符号说明	-白=文?待考																									
#调值	［1］⁵⁵［2］²⁴［3］²¹［5］²¹³［6］³³																									
#ɿ																										
tsʰ	［1］操{出～}［2］曹槽{猪食～}□{（植物叶子）蔫}［3］草钞{～票}□{龙～锅：本地最大的锅，蒸东西、煮猪食用}［5］糙{～米}凑{再}［6］造{～谣}凿																									
s	［1］臊［3］嫂［5］扫{～地}潲{～水}嗽{咳～}索																									
ʈʂ	［5］罩{菜～}桌□{～田塍：修筑田埂}																									
ʈʂʰ	［1］抄［2］□{～被 u˧：睡觉时蹬被子}［3］炒吵［5］耖戳{性交}																									
ʂ	［1］搜［3］□{一～：一伙，一群（鸡、鸭子）}［5］缩{～水}																									
k	［1］高膏篙交{寻}铰{～断：剪断；一～指甲儿：剪指甲}沟蛟{～潭：地名}茭{～笋：茭白}［3］狗［5］教较{～～看：试试看}窖够校{学～；上～}觉{睏～：睡觉}告{～sɿ˧：告诉}□{烘（干）}各郭角搁{～几儿：放在厅堂最里面正下方的条案}搁{～脚：跷二郎腿}																									
kʰ	［1］丘{一～田}［3］考口［5］靠扣{～～儿}叩{～头}确搉{敲}																									
ŋ	［1］□{～子：傻子}［2］熬{～糖}鳌{～鱼翻身：地震}［3］袄咬藕［5］坳{山～：两山之间的低洼处}呕{发～：想呕吐的感觉}沤{粪～一下}恶{善～}																									
x	［1］豪毫喉侯［3］好［5］好{～吃懒做；～一门：专门喜欢那一种}孝藿{～香}［］效校{～长}号{南大～：解放初期的一个水稻品种}号{～渠一句：喊他一声；～何样个名字：叫什么名字}后厚鹤学																									
#iau																										
p	［1］标彪［3］表{树～：树杪，树的顶端}婊																									
pʰ	［1］飘漂{～起来}［2］瓢［3］漂{～粉：芡粉}［5］票{～子：人民币}																									
m	［2］矛{～子：长矛}苗{椿～：香椿树的嫩芽}［3］秒［5］□{细（与粗相对）}［6］庙																									
t	［1］刁貂{～老鼠儿：松鼠}［2］鸟{～巴儿：男阴}［3］鸟{～儿}［5］钓吊																									
tʰ	［1］挑［2］条笤{～帚}［3］调{调换}［5］跳																									
l	［2］□{～田：地势高不好灌溉的田}［6］料																									
ts	［1］焦{心～}蕉{芭～}椒																									
tsʰ	［1］□{把粗壮的苗挖出来移栽}［3］□{发霉后长出的白毛}																									
s	［1］消宵硝销萧箫［3］小［5］笑																									
tɕ	［1］朝{～霞}召招骄蛟{出～：地下涌出大水}［3］樵{擦拭}［5］照叫{～吓：治疗小孩惊风}																									
tɕʰ	［1］超□{～天：一大群人海阔天空地聊}［2］朝潮{回～}桥侨荞{～麦}［3］巧［5］翘{～嘴：撅嘴}［6］赵轿藠{～头儿}																									
ɕ	［1］烧馊［3］少晓［5］少瘦［6］兆																									
∅	［1］腰妖邀{～伴}［2］饶摇谣窑{～里：地名}姚［3］舀［5］要［6］耀																									
#əu																										
t	［1］都［3］堵赌绿?{～树：青㭎树}［5］妒{眼～：眼红，嫉妒}𧰵{（针）扎}厾{（针）扎}𡰪{底部，尾部}㞘{底部，尾部}																									
tʰ	［2］图徒屠{～夫涂}［3］土［5］吐{～口茶：吐痰}兔{～儿}［6］肚{～里痛：肚子疼}杜度渡{～船}独毒碡{碌～一下：（心里）咯噔一下}																									
l	［2］奴{～才}卢鸬{～鹚}庐{～山}［3］鲁橹卤［5］熝{～饭：做饭}□{～地：整理旱地、菜地等}［6］路露鹭{～鸶}鹿碌{～碡}																									
ts	［1］租［3］祖组［5］足																									
