聲	呼	等	韻	調	組	攝	單字	多音	罕度	檢	原註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	新註	分韻(1782)	英華(1856)	分部(1914)	道漢(1939)	穗書	穗習				
見	開	三	鍾	平	見	通	共	0	0	0		k	ʊŋ	33					gung1	gung1	gung6	gung1	gung6					
見	開	三	鍾	平	見	通	恭	0	0	0		k	ʊŋ	55					gung1	gung1	gung1	gung1	gung1					
見	開	三	鍾	平	見	通	供	1	0	0		k	ʊŋ	55				提供	gung1	gung1	gung1	gung1	gung1					
見	開	三	鍾	去	見	通	供	1	0	0		k	ʊŋ	33				供奉					gung3					
曉	開	三	鍾	平	影	通	凶	0	0	0		h	ʊŋ	55					hung1	hung1	hung1	hung1	hung1					
曉	開	三	鍾	平	影	通	洶	0	1	0		h	ʊŋ	55					hung1	hung1	hung1	hung1	hung1					
曉	開	三	鍾	平	影	通	兇	0	0	0		h	ʊŋ	55					hung1	hung1	hung1	hung1	hung1					
曉	開	三	鍾	平	影	通	匈	0	1	0		h	ʊŋ	55					hung1	hung1	hung1	hung1	hung1					
影	開	三	鍾	平	影	通	雍	0	2	0		j	ʊŋ	55					jung1	jung1	jung1	jung1	jung1					
以	開	三	鍾	平	以	通	蓉	0	1	0		j	ʊŋ	51					jung4	jung4	jung4	jung4	jung4					
以	開	三	鍾	平	以	通	溶	0	1	0		j	ʊŋ	51					jung4	jung4	jung4	jung4	jung4					
以	開	三	鍾	平	以	通	容	0	0	0		j	ʊŋ	51					jung4	jung4	jung4	jung4	jung4					
以	開	三	鍾	平	以	通	傭	0	0	0		j	ʊŋ	51					jung4	jung4	-	jung4	jung4					
以	開	三	鍾	平	以	通	鎔	0	2	0		j	ʊŋ	51					jung4	jung4	jung4	jung4	jung4					
以	開	三	鍾	平	以	通	頌	0	0	0		ts	ʊŋ	33					sung6	zung6	zung6	zung6	zung6					
以	開	三	鍾	平	以	通	庸	0	0	0		j	ʊŋ	51					jung4	jung4	jung4	jung4	jung4					
幫	合	三	鍾	平	幫	通	封	0	0	0		h	ʊŋ	55					fung1	fung1	fung1	fung1	fung1					
並	合	三	鍾	平	幫	通	逢	0	0	0		h	ʊŋ	51					fung4	fung4	fung4	fung4	fung4					
並	合	三	鍾	平	幫	通	縫	1	0	0		h	ʊŋ	51				裁縫	fung4	fung4	fung4	fung4	fung4					
並	合	三	鍾	去	幫	通	縫	1	0	0		h	ʊŋ	33				裂縫					fung6					
滂	合	三	鍾	平	幫	通	鋒	0	0	0		h	ʊŋ	55					fung1	fung1	fung1	fung1	fung1					
滂	合	三	鍾	平	幫	通	烽	0	2	0		h	ʊŋ	55					fung1	fung1	fung1	fung1	fung1					
滂	合	三	鍾	平	幫	通	丰	0	0	0		h	ʊŋ	55					fung1	fung1	fung1	fung1	fung1					
來	開	三	鍾	上	來	通	隴	0	2	0		l	ʊŋ	213					lung5	lung5	lung5	lung5	lung5					
心	開	三	鍾	上	精	通	聳	0	1	0		s	ʊŋ	213					sung2	sung2	sung2	sung2	sung2					
心	開	三	鍾	上	精	通	悚	0	2	0		s	ʊŋ	213					sung2	sung2	sung2	sung2	sung2					
心	開	三	鍾	上	精	通	慫	0	2	0		s	ʊŋ	213					-	sung2	sung2	sung2	sung2					
知	開	三	鍾	上	知	通	冢	0	2	0		tsʰ	ʊŋ	213					chung2	chung2	cung2	cung2	cung2					
知	開	三	鍾	上	知	通	塚	0	2	0		tsʰ	ʊŋ	213					chung2	chung2	cung2	cung2	cung2					
徹	開	三	鍾	上	知	通	寵	0	1	0		tsʰ	ʊŋ	213					chung2	chung2	cung2	cung2	cung2					
