#来源：湖南省宜章县栗源镇土话语音研究，作者：王颖，湖南师范大学硕士论文，2018年6月，导师：罗昕如 教授			
#转录者：DaiDzao			
IPA	調號	調值	單字
tʰaŋ	2	41	堂唐糖塘
tʰaŋ	3	55	躺淌[端菜时汤洒出来]
tʰaŋ	5	22	□[生小猪]
naŋ	1	35	瓤
naŋ	3	55	□[左右晃使子的液体搅匀]
naŋ	5	22	□[~ʨiang55:食物很腻人]
laŋ	1	35	冷□[牙齿掉了变稀疏了]
laŋ	2	41	郎廊狼
laŋ	3	55	朗
laŋ	5	22	浪[~费]
ʦaŋ	1	35	张樟争正
ʦaŋ	3	55	掌长[生~]
ʦaŋ	5	22	丈仗杖葬帐账障藏脏
ʦʰaŋ	1	35	仓窗疮
ʦʰaŋ	2	41	长长度肠床常
ʦʰaŋ	3	55	厂
ʦʰaŋ	5	22	唱撑
saŋ	1	35	上桑丧商伤生[未煮熟的饭]声
saŋ	2	41	尝生[活物]
saŋ	3	55	赏磉
saŋ	5	22	甥
kaŋ	1	35	钢缸-抗江-粥-
kaŋ	3	55	岗进-港
kaŋ	5	22	杠虹
kʰaŋ	1	35	康
kʰaŋ	5	22	□[~到:撞到]
ŋaŋ	1	35	刚硬
xaŋ	1	35	糠
xaŋ	2	41	行杭
xaŋ	3	55	□[食物发霉变质]
xaŋ	5	22	巷
Øaŋ	1	35	缸□[用拳头砸]
Øaŋ	3	55	□[~眼珠:刺眼]
piaŋ	5	22	饼-
pʰiaŋ	1	35	病
pʰiaŋ	2	41	平坪评
miaŋ	1	35	命
miaŋ	2	41	明名
tiaŋ	1	35	钉叮装
tiaŋ	3	55	长鼎
tiaŋ	5	22	涨
tʰiaŋ	1	35	听-
liaŋ	1	35	亮
liaŋ	2	41	良凉量粮梁粱
liaŋ	3	55	两
ʨiaŋ	1	35	将僵姜江=
ʨiaŋ	3	55	蒋奖桨颈井讲=
ʨiaŋ	5	22	匠浆酱降
ʨʰiaŋ	1	35	枪青-像
ʨʰiaŋ	2	41	墙强晴
ʨʰiaŋ	3	55	抢
ʨʰiaŋ	5	22	像腔呛
ȵiaŋ	1	35	让
ȵiaŋ	2	41	娘
ȵiaŋ	5	22	酿
ɕiaŋ	1	35	箱湘镶香乡星
ɕiaŋ	2	41	祥详降
