简体	声母	韵母	声调	注释	录者注	[1]⁵⁵[2]³¹[3]³⁵[4]²⁴[5]⁵²[6]²²[7]³²³[8]²¹²
车	tsʰ	o	[1]	汽～		
差	tsʰ	o	[1]	～不多		
创	tsʰ	o	[5]			
岔	tsʰ	o	[5]	～口		
错	tsʰ	o	[7]			
茶	dz	o	[2]			
搽	dz	o	[2]			
査	dz	o	[2]			
沙	s	o	[1]			
纱	s	o	[1]			
桑	s	o	[1]			
蓑	s	o	[1]			
所	s	o	[3]			
爽	s	o	[3]	白读		
丧	s	o	[5]	～失		
索	s	o	[7]			
藏	z	o	[2]	隐～		
坐	z	o	[4]			
脏	z	o	[6]			
昨	z	o	[8]			
加	k	o	[1]			
嘉	k	o	[1]			
家	k	o	[1]			
佳	k	o	[1]			
冈	k	o	[1]			
岗	k	o	[1]			
钢	k	o	[1]			
刚	k	o	[1]			
纲	k	o	[1]			
江	k	o	[1]			
缸	k	o	[1]			
肛	k	o	[1]			
光	k	o	[1]			
广	k	o	[3]			
港	k	o	[3]			
讲	k	o	[3]			
贾	k	o	[3]			
假	k	o	[3]	真～		
架	k	o	[5]			
驾	k	o	[5]			
嫁	k	o	[5]			
降	k	o	[5]	升～		
价	k	o	[5]			
假	k	o	[5]	放～		
各	k	o	[7]			
角	k	o	[7]			
搁	k	o	[7]			
阁	k	o	[7]		阁巷的阁是去声而非入声	
觉	k	o	[7]	～得		
郭	k	o	[7]			
廓	k	o	[7]			
康	kʰ	o	[1]			
糠	kʰ	o	[1]			
可	kʰ	o	[3]			
抗	kʰ	o	[5]			
扩	kʰ	o	[5]			
旷	kʰ	o	[5]			
矿	kʰ	o	[5]			
慷	kʰ	o	[5]			
确	kʰ	o	[7]			
壳	kʰ	o	[7]			
牙	ŋ	o	[2]			
芽	ŋ	o	[2]			
雅	ŋ	o	[4]			
瓦	ŋ	o	[4]			
昂	ŋ	o	[4]			
岳	ŋ	o	[8]			
鹤	ŋ	o	[8]			
鄂	ŋ	o	[8]			
乐	ŋ	o	[8]	音～		
荒	h	o	[1]			
慌	h	o	[1]			
谎	h	o	[1]			
虾	h	o	[1]			
吓	h	o	[7]			
霍	h	o	[7]			
黄	ɦ	o	[2]			
簧	ɦ	o	[2]			
皇	ɦ	o	[2]			
蝗	ɦ	o	[2]			
煌	ɦ	o	[2]			
杭	ɦ	o	[2]			
航	ɦ	o	[2]			
行	ɦ	o	[2]	银～		
霞	ɦ	o	[2]			
项	ɦ	o	[4]			
下	ɦ	o	[4]			
夏	ɦ	o	[6]			
厦	ɦ	o	[6]			
巷	ɦ	o	[6]			
旺	ɦ	o	[6]			
学	ɦ	o	[8]			
峃	ɦ	o	[8]			
镬	ɦ	o	[8]	锅		
汪	ˀ	o	[1]			
鸦	ˀ	o	[1]			
蛙	ˀ	o	[1]			
肮	ˀ	o	[1]	～脏		
哑	ˀ	o	[3]			
亚	ˀ	o	[5]			
恶	ˀ	o	[7]			
巴	p	uo	[1]			
疤	p	uo	[1]			
邦	p	uo	[1]			
帮	p	uo	[1]			
把	p	uo	[3]			
榜	p	uo	[3]			
绑	p	uo	[3]			
坝	p	uo	[5]			
霸	p	uo	[5]			
八	p	uo	[7]			
剥	p	uo	[7]			
博	p	uo	[7]			
驳	p	uo	[7]			
怕	pʰ	uo	[5]			
扑	pʰ	uo	[7]			
爬	b	uo	[2]			
旁	b	uo	[2]			
罢	b	uo	[2]			
薄	b	uo	[8]			
龙	l	uo	[2]			
垄	l	uo	[4]			
录	l	uo	[8]			
绿	l	uo	[8]			
瓜	k	uo	[1]			
寡	k	uo	[3]			
挂	k	uo	[5]			
卦	k	uo	[5]			
花	h	uo	[1]			
化	h	uo	[5]			
华	ɦ	uo	[2]			
铧	ɦ	uo	[2]			
划	ɦ	uo	[2]	～船		
话	ɦ	uo	[6]			
画	ɦ	uo	[6]			
缚	ɦ	uo	[8]			
钟	tɕ	yo	[1]			
桩	tɕ	yo	[1]			
供	tɕ	yo	[1]			
恭	tɕ	yo	[1]			
种	tɕ	yo	[3]			
肿	tɕ	yo	[3]			
