简体	音標	注释	[1]⁵⁵
□	bei8	追趕	
眠	mei1	眠床頭：床頭	
迷	mei2		
谜	mei2		
媒	mei2		
梅	mei2		
糜	mei2		
弥	mei2		
眉	mei2		
楣	mei2		
霉	mei2		
微	mei2		
溦	mei2	溦毛滋	
未	mei2		
棉	mei2	棉毛衫	
米	mei4		
每	mei4		
靡	mei4		
美	mei4		
尾	mei4		
昧	mei6		
妹	mei6		
泌	mei6		
秘	mei6		
媚	mei6		
寐	mei6		
味	mei6		
觅	mei8		
飞	fei1		
非	fei1		
妃	fei1		
菲	fei1		
匪	fei3		
痱	fei3		
痱	fei5		
费	fei5		
肥	vei2		
薇	vei2		
微	vei2		
爹	tei1		
堤	tei1		
低	tei1		
底	tei3		
抵	tei5		
渧	tei5	滴也	
帝	tei5		
德	tei7		
得	tei7		
滴	tei7		
嫡	tei7		
的	tei7		
梯	tʰei1		
体	tʰei3		
替	tʰei5		
涕	tʰei5		
剃	tʰei5		
踢	tʰei7		
剔	tʰei7		
提	dei2		
题	dei2		
蹄	dei2		
啼	dei2		
弟	dei4		
第	dei6		
递	dei6		
地	dei6		
狄	dei8		
笛	dei8		
敌	dei8		
籴	dei8		
呢	nei0		
来	lei2		
犁	lei2		
黎	lei2		
篱	lei2		
离	lei2		
璃	lei2		
梨	lei2		
厘	lei2		
婪	lei2		
礼	lei4		
丽	lei4		
李	lei4		
理	lei4		
里	lei4		
里	lei4		
鲤	lei4		
裸	lei4	赤裸腳：光腳	
厉	lei6		
励	lei6		
例	lei6		
丽	lei6		
隶	lei6		
荔	lei6		
利	lei6		
痢	lei6		
吏	lei6		
劣	lei8		
肋	lei8		
勒	lei8		
力	lei8		
历	lei8		
历	lei8		
嗟	tsei1		
遮	tsei1		
猪	tsei1	白讀	
灾	tsei1		
栽	tsei1		
支	tsei1		
枝	tsei1		
肢	tsei1		
只	tsei1		
脂	tsei1	胭脂	
姐	tsei3		
者	tsei3		
煮	tsei3		
宰	tsei3		
载	tsei3		
挤	tsei3		
纸	tsei3		
借	tsei5		
蔗	tsei5		
再	tsei5		
载	tsei5		
祭	tsei5		
际	tsei5		
穄	tsei5		
滞	tsei5		
制	tsei5		
制	tsei5		
济	tsei5		
最	tsei5		
藉	tsei7		
浙	tsei7		
即	tsei7		
鲫	tsei7		
稷	tsei7		
织	tsei7		
职	tsei7		
积	tsei7		
迹	tsei7		
脊	tsei7		
籍	tsei7		
藉	tsei7		
掷	tsei7		
只	tsei7		
炙	tsei7		
绩	tsei7		
□	tsʰei0	語氣詞，我常讀tsʰei輕聲	
车	tsʰei1		
□	tsʰei1	斜著	
妻	tsʰei1		
凄	tsʰei1		
且	tsʰei3		
扯	tsʰei3		
鼠	tsʰei3	老鼠	
采	tsʰei3		
睬	tsʰei3		
彩	tsʰei3		
菜	tsʰei5		
砌	tsʰei5		
□	tsʰei7	斜著	
厕	tsʰei7		
饬	tsʰei7		
侧	tsʰei7		
测	tsʰei7		
恻	tsʰei7		
赤	tsʰei7		
斥	tsʰei7		
尺	tsʰei7		
戚	tsʰei7		
箸	dzei2	筷子	
池	dzei2		
苎	dzei4		
蛰	dzei8		
直	dzei8		
值	dzei8		
殖	dzei8		
植	dzei8		
□	sei1	搞亂東西	
些	sei1		
奢	sei1		
赊	sei1		
西	sei1		
栖	sei1		
犀	sei1		
写	sei3		
舍	sei3		
舍	sei3		
洗	sei3		
玺	sei3		
徙	sei3		
髓	sei3		
泻	sei5		
卸	sei5		
赦	sei5		
势	sei5		
世	sei5		
誓	sei5		
逝	sei5		
细	sei5		
婿	sei5		
啻	sei5		
泄	sei7		
设	sei7		
悉	sei7		
塞	sei7		
息	sei7		
熄	sei7		
媳	sei7		
色	sei7		
识	sei7		
式	sei7		
饰	sei7		
昔	sei7		
惜	sei7		
适	sei7		
释	sei7		
锡	sei7		
析	sei7		
邪	zei2		
斜	zei2		
蛇	zei2		
徐	zei2	白讀，姓氏	
薯	zei2	地瓜	
裁	zei2		
材	zei2		
才	zei2		
纔	zei2		
财	zei2		
在	zei2		
齐	zei2		
脐	zei2		
荠	zei2		
携	zei2		
池	zei2	上岸池	
匙	zei2		
随	zei2		
社	zei4		
惹	zei4		
荠	zei4		
罪	zei4	罪過	
褯	zei6		
谢	zei6		
射	zei6		
□	zei8	跑步	
贼	zei8		
食	zei8		
蚀	zei8		
席	zei8		
夕	zei8		
□	zei8	跑	
射	zei8		
石	zei8		
硕	zei8		
寂	zei8		
兜	taʊ1		
斗	taʊ3		
抖	taʊ3		
陡	taʊ3		
斗	taʊ5		
偷	tʰaʊ1		
透	tʰaʊ5		
投	daʊ2	又讀，投降	
□	daʊ6	毒药	
冇	naʊ4	沒有	
冇	naʊ5	沒有	
□	laʊ1	挖	
楼	laʊ2		
缕	laʊ4		
屡	laʊ4		
搂	laʊ4		
篓	laʊ4		
漏	laʊ6		
陋	laʊ6		
邹	tsaʊ1		
走	tsaʊ3		
奏	tsaʊ5		
皱	tsaʊ5		
绉	tsaʊ5		
凑	tsʰaʊ5		
骤	dzau6		
勾	kau1		
钩	kau1		
沟	kau1		
狗	kau3		
苟	kau3		
垢	kau5		
彀	kau5		
够	kau5		
构	kau5		
购	kau5		
媾	kau5		
□	kau7	个屋合音	
抠	kʰau1		
口	kʰau3		
快	kʰau5	快活	
叩	kʰau5		
扣	kʰau5		
寇	kʰau5		
蔻	kʰau5		
□	ɡau2	消痕	
𨉣	ɡau2	弯曲	
厚	ɡau4		
牛	ŋau2		
□	ŋau2	灵喉	
藕	ŋau4		
偶	ŋau4		
偶	ŋau6		
𨉣	hau1	弯曲	
□	hau3	許屋：那裡	
吼	hau3		
吼	hau5		
侯	ɦau2		
喉	ɦau2		
猴	ɦau2		
后	ɦau4		
后	ɦau4		
候	ɦau6		
□	au1	彎曲的意思相似於gau2	
讴	au1		
欧	au1		
区	au1		
呕	au1		
殴	au1		
沤	au1		
沤	au3		
怄	au3		
□	au5	应和声	
多	tɤu1		
丢	tɤu1		
躲	tɤu3		
剁	tɤu5	剁，剁碎	
笃	tɤu7		
督	tɤu7		
拖	tʰɤu1		
妥	tʰɤu3		
唾	tʰɤu5		
秃	tʰɤu7		
驼	dɤu2		
陀	dɤu2		
驮	dɤu2		
头	dɤu2		
舵	dɤu4		
惰	dɤu4		
堕	dɤu4		
徒	dɤu4		
大	dɤu6	大，大個之物	
豆	dɤu6		
逗	dɤu6		
袖	dɤu6	衫袖日常音	
度	dɤu8		
独	dɤu8		
读	dɤu8		
牍	dɤu8		
毒	dɤu8		
努	nɤu4		
怒	nɤu6		
□	nɤu8	嘴一直動	
溜	lɤu1	lɤu⁵²癢，痒	
罗	lɤu2		
锣	lɤu2		
箩	lɤu2		
啰	lɤu2		
骡	lɤu2		
螺	lɤu2		
脶	lɤu2		
留	lɤu2		
榴	lɤu2		
刘	lɤu2		
流	lɤu2		
硫	lɤu2		
琉	lɤu2		
柳	lɤu4		
摞	lɤu6		
溜	lɤu6		
鹿	lɤu8		
禄	lɤu8		
六	lɤu8		
陆	lɤu8		
戮	lɤu8		
□	tsɤu0	冰甃：冰涼，個人意見	
揪	tsɤu1		
周	tsɤu1		
舟	tsɤu1		
洲	tsɤu1		
州	tsɤu1		
左	tsɤu3		
佐	tsɤu3		
阻	tsɤu3		
酒	tsɤu3		
肘	tsɤu3		
帚	tsɤu3		
做	tsɤu5		
做	tsɤu5		
咒	tsɤu5		
竹	tsɤu7		
筑	tsɤu7		
祝	tsɤu7		
粥	tsɤu7		
搓	tsʰɤu1		
初	tsʰɤu1		
刍	tsʰɤu1		
秋	tsʰɤu1		
抽	tsʰɤu1		
楚	tsʰɤu3		
丑	tsʰɤu3		
丑	tsʰɤu3		
错	tsʰɤu5		
措	tsʰɤu5		
臭	tsʰɤu5		
错	tsʰɤu5		
畜	tsʰɤu7		
绸	dzɤu2		
稠	dzɤu2		
筹	dzɤu2		
雠	dzɤu2		
酬	dzɤu2		
售	dzɤu2		
纣	dzɤu4		
宙	dzɤu6		
逐	dzɤu8		
娑	sɤu1		
蓑	sɤu1		
梭	sɤu1		
唆	sɤu1		
靴	sɤu1		
修	sɤu1		
羞	sɤu1		
收	sɤu1		
锁	sɤu3		
数	sɤu3		
手	sɤu3		
首	sɤu3		
守	sɤu3		
数	sɤu5	講數話	
秀	sɤu5		
锈	sɤu5		
绣	sɤu5		
宿	sɤu5		
兽	sɤu5		
速	sɤu7		
肃	sɤu7		
夙	sɤu7		
宿	sɤu7		
缩	sɤu7		
叔	sɤu7		
雏	zɤu2		
囚	zɤu2		
泅	zɤu2	舊語，泅河兒：游泳	
柔	zɤu2		
揉	zɤu2		
就	zɤu4		
受	zɤu4		
锄	zɤu6		
袖	zɤu6		
就	zɤu6	符合也	
寿	zɤu6		
授	zɤu6		
族	zɤu8		
轴	zɤu8		
熟	zɤu8		
淑	zɤu8		
菊	tɕiɤu7		
曲	tɕʰiɤu7		
肉	ȵiɤu8		
靴	ɕiɤu1		
畜	ɕiɤu7		
蓄	ɕiɤu7		
郁	iɤu7		
育	jɤu8		
都	təʉ1		
堵	təʉ3		
赌	təʉ3		
肚	təʉ3		
妒	təʉ5		
蠹	təʉ5		
土	tʰəʉ3		
吐	tʰəʉ5		
兔	tʰəʉ5		
途	dəʉ2		
屠	dəʉ2		
图	dəʉ2		
徒	dəʉ4		
肚	dəʉ4		
杜	dəʉ4		
度	dəʉ6		
渡	dəʉ6		
镀	dəʉ6		
度	dəʉ6		
奴	nəʉ2		
卢	ləʉ2		
炉	ləʉ2		
庐	ləʉ2		
驴	ləʉ2		
卤	ləʉ4		
鲁	ləʉ4		
橹	ləʉ4		
虏	ləʉ4		
吕	ləʉ4		
侣	ləʉ4		
旅	ləʉ4		
缕	ləʉ4		
屡	ləʉ4		
履	ləʉ4		
露	ləʉ6		
路	ləʉ6		
赂	ləʉ6		
虑	ləʉ6		
滤	ləʉ6		
租	tsəʉ1		
诸	tsəʉ1		
蛛	tsəʉ1		
株	tsəʉ1		
诛	tsəʉ1		
珠	tsəʉ1		
朱	tsəʉ1		
追	tsəʉ1		
槌	tsəʉ1		
锥	tsəʉ1		
祖	tsəʉ3		
组	tsəʉ3		
主	tsəʉ3		
嘴	tsəʉ3		
着	tsəʉ5		
驻	tsəʉ5		
注	tsəʉ5		
注	tsəʉ5		
铸	tsəʉ5		
缀	tsəʉ5		
赘	tsəʉ5		
醉	tsəʉ5		
粗	tsʰəʉ1		
蛆	tsʰəʉ1		
疽	tsʰəʉ1		
趋	tsʰəʉ1		
吹	tsʰəʉ1		
炊	tsʰəʉ1		
处	tsʰəʉ3		
取	tsʰəʉ3		
醋	tsʰəʉ5		
处	tsʰəʉ5		
趣	tsʰəʉ5		
除	dzəʉ2		
储	dzəʉ2		
厨	dzəʉ2		
垂	dzəʉ2		
锤	dzəʉ2		
褚	dzəʉ4		
署	dzəʉ4		
柱	dzəʉ4		
住	dzəʉ6		
坠	dzəʉ6		
苏	səʉ1		
酥	səʉ1		
疏	səʉ1		
蔬	səʉ1		
书	səʉ1		
舒	səʉ1		
□	səʉ1	身體虛弱	
需	səʉ1		
须	səʉ1		
枢	səʉ1		
输	səʉ1		
绥	səʉ1		
虽	səʉ1		
尿	səʉ1		
昼	səʉ1		
暑	səʉ3		
黍	səʉ3		
数	səʉ3		
水	səʉ3		
素	səʉ5		
塑	səʉ5		
诉	səʉ5		
嗉	səʉ5		
胥	səʉ5		
絮	səʉ5		
疏	səʉ5		
庶	səʉ5		
恕	səʉ5		
墅	səʉ5		
数	səʉ5		
戍	səʉ5		
岁	səʉ5	歲大：過輩，老了	
税	səʉ5		
说	səʉ5		
如	zəʉ2		
殊	zəʉ2		
遂	zəʉ2		
谁	zəʉ2		
序	zəʉ4		
绪	zəʉ4		
叙	zəʉ4		
汝	zəʉ4		
聚	zəʉ4		
竖	zəʉ4		
儒	zəʉ4		
乳	zəʉ4		
蕊	zəʉ4		
树	zəʉ6		
瑞	zəʉ6		
隧	zəʉ6		
穗	zəʉ6		
奔	paŋ1		
本	paŋ3		
喷	pʰaŋ1	噴出	
喷	pʰaŋ5	噴香	
笨	baŋ6		
闷	maŋ1		
门	maŋ2		
蚊	maŋ2		
忘	maŋ2		
明	maŋ2		
问	maŋ6		
昏	faŋ1	昏君	
婚	faŋ1	婚姻	
分	faŋ1		
芬	faŋ1		
纷	faŋ1		
粉	faŋ3		
粪	faŋ5		
奋	faŋ5		
愤	faŋ5		
馄	vaŋ2	餛飩	
焚	vaŋ2		
文	vaŋ2		
纹	vaŋ2		
闻	vaŋ2		
坟	vaŋ4		
吻	vaŋ4		
刎	vaŋ4		
混	vaŋ6		
浑	vaŋ6		
忿	vaŋ6		
份	vaŋ6		
问	vaŋ6	問題	
敦	taŋ1		
蹲	taŋ1		
登	taŋ1		
灯	taŋ1		
瞪	taŋ1		
墩	taŋ1	矮墩墩	
等	taŋ3		
凼	taŋ3	水坑	
敦	taŋ5	物事豎放或者自上而下放置。	
顿	taŋ5		
凳	taŋ5		
瞪	taŋ5		
吞	tʰaŋ1		
㖔	tʰaŋ1	突出，占	
瞪	tʰaŋ5		
藤	daŋ2		
腾	daŋ2		
誊	daŋ2		
断	daŋ4		
沌	daŋ4		
盾	daŋ4		
断	daŋ6		
段	daŋ6		
饨	daŋ6		
遁	daŋ6	掉落	
邓	daŋ6		
人	naŋ2		
能	naŋ2		
暖	naŋ4		
圞	laŋ1	圓	
伦	laŋ2		
沦	laŋ2		
轮	laŋ2	輪胎	
薐	laŋ2	菠薐菜	
卵	laŋ4		
仑	laŋ4		
圞	laŋ4	圓	
□	laŋ4	打□taŋ ŋ	
楞	laŋ6		
针	tsaŋ1		
斟	tsaŋ1		
珍	tsaŋ1		
榛	tsaŋ1		
臻	tsaŋ1		
真	tsaŋ1		
增	tsaŋ1		
曾	tsaŋ1		
筝	tsaŋ1		
枕	tsaŋ3		
诊	tsaŋ3		
疹	tsaŋ3		
憎	tsaŋ3		
浸	tsaŋ5		
进	tsaŋ5		
晋	tsaŋ5		
镇	tsaŋ5		
振	tsaŋ5		
震	tsaŋ5		
娠	tsaŋ5		
侵	tsʰaŋ1		
琛	tsʰaŋ1		
亲	tsʰaŋ1		
寝	tsʰaŋ3		
亲	tsʰaŋ5		
趁	tsʰaŋ5		
衬	tsʰaŋ5		
沉	dzaŋ2		
岑	dzaŋ2		
秦	dzaŋ2		
陈	dzaŋ2		
臣	dzaŋ2		
曾	dzaŋ2		
朕	dzaŋ4		
尘	dzaŋ6		
阵	dzaŋ6		
心	saŋ1		
森	saŋ1		
参	saŋ1	人參	
深	saŋ1		
辛	saŋ1		
新	saŋ1		
薪	saŋ1		
身	saŋ1		
申	saŋ1		
伸	saŋ1		
娠	saŋ1		
僧	saŋ1		
莘	saŋ1	莘塍	
渖	saŋ3		
审	saŋ3		
婶	saŋ3		
渗	saŋ5		
信	saŋ5		
讯	saŋ5		
迅	saŋ5		
寻	zaŋ2		
岑	zaŋ2		
任	zaŋ2		
秦	zaŋ2		
神	zaŋ2		
神	zaŋ2		
辰	zaŋ2		
晨	zaŋ2		
曾	zaŋ2		
层	zaŋ2		
人	zaŋ2	人民	
蕈	zaŋ4		
葚	zaŋ4		
肾	zaŋ4		
赁	zaŋ6		
甚	zaŋ6		
尽	zaŋ6		
慎	zaŋ6		
赠	zaŋ6		
跟	kaŋ1		
昆	kaŋ1		
昆	kaŋ1		
坤	kaŋ1		
□	kaŋ3	蓋子	
滚	kaŋ3		
棍	kaŋ5		
亘	kaŋ5		
謴	kaŋ5	罵，訓罵	
昆	kʰaŋ1		
坤	kʰaŋ1		
垦	kʰaŋ3		
恳	kʰaŋ3		
肯	kʰaŋ3		
困	kʰaŋ5	困難	
□	ɡaŋ2	蓋下	
很	haŋ3		
恨	haŋ5		
含	ɦaŋ2		
痕	ɦaŋ2		
恒	ɦaŋ2		
温	ʋaŋ1	溫湯	
瘟	ʋaŋ1		
稳	ʋaŋ3		
今	tɕiaŋ1		
金	tɕiaŋ1		
襟	tɕiaŋ1		
禁	tɕiaŋ1		
津	tɕiaŋ1		
巾	tɕiaŋ1		
斤	tɕiaŋ1		
筋	tɕiaŋ1		
均	tɕiaŋ1		
钧	tɕiaŋ1		
君	tɕiaŋ1		
军	tɕiaŋ1		
兢	tɕiaŋ1		
茎	tɕiaŋ1		
京	tɕiaŋ1		
荆	tɕiaŋ1		
惊	tɕiaŋ1		
经	tɕiaŋ1		
锦	tɕiaŋ3		
紧	tɕiaŋ3		
谨	tɕiaŋ3		
境	tɕiaŋ3		
景	tɕiaŋ3		
警	tɕiaŋ3		
敬	tɕiaŋ3		
颈	tɕiaŋ3		
禁	tɕiaŋ5		
劲	tɕiaŋ5		
竟	tɕiaŋ5		
镜	tɕiaŋ5		
劲	tɕiaŋ5		
径	tɕiaŋ5		
钦	tɕʰiaŋ1		
卿	tɕʰiaŋ1		
轻	tɕʰiaŋ1		
倾	tɕʰiaŋ1		
顷	tɕʰiaŋ3		
庆	tɕʰiaŋ5		
磬	tɕʰiaŋ5		
琴	dʑiaŋ2		
禽	dʑiaŋ2		
擒	dʑiaŋ2		
勤	dʑiaŋ2		
芹	dʑiaŋ2		
群	dʑiaŋ2		
裙	dʑiaŋ2		
擎	dʑiaŋ2		
鲸	dʑiaŋ2		
近	dʑiaŋ4		
仅	dʑiaŋ6		
劲	dʑiaŋ6		
近	dʑiaŋ6		
郡	dʑiaŋ6		
竞	dʑiaŋ6		
劲	dʑiaŋ6		
壬	ȵiaŋ2		
任	ȵiaŋ2		
吟	ȵiaŋ2		
龈	ȵiaŋ2		
仁	ȵiaŋ2		
银	ȵiaŋ2		
凝	ȵiaŋ2		
迎	ȵiaŋ2		
宁	ȵiaŋ2		
人	ȵiaŋ2	老人客	
忍	ȵiaŋ4		
认	ȵiaŋ4		
妊	ȵiaŋ6		
刃	ȵiaŋ6	擦傷痕	
宁	ȵiaŋ6		
佞	ȵiaŋ6		
掀	ɕiaŋ1		
欣	ɕiaŋ1		
熏	ɕiaŋ1		
勋	ɕiaŋ1		
熏	ɕiaŋ1		
荤	ɕiaŋ1		
兴	ɕiaŋ1		
□	ɕiaŋ1	凶	
馨	ɕiaŋ1		
行	ɕiaŋ3	官音：弗行	
行	ɕiaŋ3		
衅	ɕiaŋ5		
训	ɕiaŋ5		
兴	ɕiaŋ5		
□	ɕiaŋ5	晃	
音	iaŋ1		
阴	iaŋ1		
荫	iaŋ1		
因	iaŋ1		
姻	iaŋ1		
殷	iaŋ1		
晕	iaŋ1		
鹰	iaŋ1		
应	iaŋ1		
蝇	iaŋ1		
莺	iaŋ1		
鹦	iaŋ1		
樱	iaŋ1		
英	iaŋ1		
婴	iaŋ1		
缨	iaŋ1		
饮	iaŋ3		
引	iaŋ3		
隐	iaŋ3		
影	iaŋ3		
荫	iaŋ5		
窨	iaŋ5		
印	iaŋ5		
熨	iaŋ5		
应	iaŋ5		
映	iaŋ5		
淫	jaŋ2		
寅	jaŋ2		
云	jaŋ2		
云	jaŋ2		
盈	jaŋ2		
赢	jaŋ2		
刑	jaŋ2		
型	jaŋ2		
形	jaŋ2		
颖	jaŋ4		
闰	jaŋ6		
韵	jaŋ6		
运	jaŋ6		
孕	jaŋ6		
崩	poŋ1		
迸	poŋ5		
膨	pʰoŋ1	膨脹袋子	
捧	pʰoŋ3		
朋	boŋ2		
棚	boŋ2		
篷	boŋ2		
蓬	boŋ2		
□	boŋ6	頭髮糟糕	
蒙	moŋ1		
懵	moŋ1		
蠓	moŋ2	青蟹	
□	moŋ3	随便	
梦	moŋ6		
风	foŋ1		
疯	foŋ1		
丰	foŋ1		
封	foŋ1		
峰	foŋ1		
蜂	foŋ1		
锋	foŋ1		
讽	foŋ3		
俸	foŋ3		
俸	foŋ5		
冯	voŋ2		
逢	voŋ2		
缝	voŋ2		
奉	voŋ4		
凤	voŋ6		
缝	voŋ6		
东	toŋ1		
冬	toŋ1		
董	toŋ3		
懂	toŋ3		
栋	toŋ5		
冻	toŋ5		
通	tʰoŋ1		
捅	tʰoŋ3		
统	tʰoŋ3		
疼	tʰoŋ5		
痛	tʰoŋ5		
同	doŋ2		
铜	doŋ2		
桐	doŋ2		
筒	doŋ2		
童	doŋ2		
瞳	doŋ2		
桶	doŋ4		
动	doŋ4		
洞	doŋ6		
农	noŋ2		
脓	noŋ2		
糯	noŋ5	糯米	
笼	loŋ2		
聋	loŋ2		
隆	loŋ2		
龙	loŋ2		
拢	loŋ4		
陇	loŋ4		
垄	loŋ4		
弄	loŋ6		
谆	tsoŋ1		
棕	tsoŋ1		
鬃	tsoŋ1		
宗	tsoŋ1		
忠	tsoŋ1		
中	tsoŋ1		
终	tsoŋ1		
踪	tsoŋ1		
盅	tsoŋ1		
准	tsoŋ3		
准	tsoŋ3		
总	tsoŋ3		
冢	tsoŋ3		
俊	tsoŋ5		
竣	tsoŋ5		
粽	tsoŋ5		
中	tsoŋ5		
仲	tsoŋ5		
众	tsoŋ5		
穿	tsʰoŋ1	伸、穿	
皴	tsʰoŋ1		
椿	tsʰoŋ1		
春	tsʰoŋ1		
聪	tsʰoŋ1		
匆	tsʰoŋ1		
葱	tsʰoŋ1		
囱	tsʰoŋ1		
充	tsʰoŋ1		
从	tsʰoŋ1		
蠢	tsʰoŋ3		
宠	tsʰoŋ3		
串	tsʰoŋ5		
铳	tsʰoŋ5		
虫	dzoŋ2		
荀	soŋ1		
询	soŋ1		
送	soŋ1		
松	soŋ1		
嵩	soŋ1		
松	soŋ1		
笋	soŋ3		
怂	soŋ3		
迅	soŋ5		
浚	soŋ5		
宋	soŋ5		
索	soŋ7	索面	
唇	zoŋ2		
纯	zoŋ2		
莼	zoŋ2		
醇	zoŋ2		
丛	zoŋ2		
崇	zoŋ2		
绒	zoŋ2		
戎	zoŋ2		
茸	zoŋ2		
冗	zoŋ4		
顺	zoŋ6		
舜	zoŋ6		
瞬	zoŋ6		
润	zoŋ6		
闰	zoŋ6		
公	koŋ1		
工	koŋ1		
功	koŋ1		
攻	koŋ1		
恭	koŋ1		
供	koŋ1		
汞	koŋ3		
拱	koŋ3		
巩	koŋ3		
鞏	koŋ3		
贡	koŋ5		
汞	koŋ5		
拱	koŋ5	人頂進去	
巩	koŋ5		
空	kʰoŋ1		
孔	kʰoŋ3		
恐	kʰoŋ3		
空	kʰoŋ5		
控	kʰoŋ5		
□	kʰoŋ7	匄我合音	
轰	ɡoŋ2	雷声、巨大的滚动声	
轰	hoŋ1		
烘	hoŋ1		
哄	hoŋ3		
閧	hoŋ3		
閧	hoŋ5		
□	hoŋ5	嗅	
虹	ɦoŋ2		
弘	ɦoŋ2		
宏	ɦoŋ2		
红	ɦoŋ2		
洪	ɦoŋ2		
鸿	ɦoŋ2		
翁	oŋ1		
瓮	oŋ1		
□	oŋ5	踩泥裡	
□	oŋ5	臭，食物壞了的味道	
肫	tɕioŋ1		
弓	tɕioŋ1		
躬	tɕioŋ1		
宫	tɕioŋ1		
迥	tɕioŋ3		
□	tɕioŋ7	脚儿合音	
穹	tɕʰioŋ1		
琼	dʑioŋ2		
穷	dʑioŋ2		
盾	dʑioŋ4		
菌	dʑioŋ4		
窘	dʑioŋ4		
吮	dʑioŋ4		
兄	ɕioŋ1		
笋	ɕioŋ3		
雍	ioŋ1		
拥	ioŋ1		
庸	ioŋ1		
允	ioŋ3		
尹	ioŋ3		
永	ioŋ3		
雍	ioŋ5		
旬	joŋ2		
循	joŋ2		
巡	joŋ2		
匀	joŋ2		
荣	joŋ2		
营	joŋ2		
茔	joŋ2		
萤	joŋ2		
熊	joŋ2		
雄	joŋ2		
融	joŋ2		
容	joŋ2		
熔	joŋ2		
陨	joŋ4		
永	joŋ4		
泳	joŋ4		
咏	joŋ4		
萤	joŋ4		
殉	joŋ6		
彬	pəŋ1		
宾	pəŋ1		
槟	pəŋ1		
冰	pəŋ1		
浜	pəŋ1		
兵	pəŋ1		
禀	pəŋ3		
丙	pəŋ3		
秉	pəŋ3		
柄	pəŋ3		
饼	pəŋ3		
殡	pəŋ5		
并	pəŋ5		
屏	pəŋ5		
拚	pʰəŋ1		
姘	pʰəŋ1		
拼	pʰəŋ1		
品	pʰəŋ3		
凭	pʰəŋ3		
聘	pʰəŋ5		
贫	bəŋ2		
频	bəŋ2		
平	bəŋ2		
评	bəŋ2		
瓶	bəŋ2		
屏	bəŋ2		
牝	bəŋ4		
并	bəŋ4		
病	bəŋ6		
民	məŋ2		
泯	məŋ2		
明	məŋ2		
鸣	məŋ2		
盟	məŋ2		
名	məŋ2		
铭	məŋ2		
冥	məŋ2		
闽	məŋ4		
泯	məŋ4		
敏	məŋ4		
悯	məŋ4		
皿	məŋ4		
命	məŋ6		
丁	təŋ1		
钉	təŋ1		
顶	təŋ3		
鼎	təŋ3		
钉	təŋ5		
订	təŋ5		
听	tʰəŋ1		
汀	tʰəŋ1		
厅	tʰəŋ1		
听	tʰəŋ1		
挺	tʰəŋ3		
艇	tʰəŋ3		
澄	dəŋ2		
廷	dəŋ2		
停	dəŋ2		
亭	dəŋ2		
庭	dəŋ2		
蜓	dəŋ2		
锭	dəŋ6		
定	dəŋ6		
扔	ləŋ1		
拎	ləŋ1		
铃	ləŋ1		
林	ləŋ2		
淋	ləŋ2		
临	ləŋ2		
邻	ləŋ2		
鳞	ləŋ2		
磷	ləŋ2		
凌	ləŋ2		
菱	ləŋ2		
陵	ləŋ2		
令	ləŋ2		
灵	ləŋ2		
零	ləŋ2		
铃	ləŋ2		
伶	ləŋ2		
凛	ləŋ4		
廪	ləŋ4		
领	ləŋ4		
岭	ləŋ4		
吝	ləŋ6		
令	ləŋ6		
另	ləŋ6		
憎	tsəŋ1		
征	tsəŋ1		
蒸	tsəŋ1		
精	tsəŋ1		
晶	tsəŋ1		
旌	tsəŋ1		
睛	tsəŋ1		
贞	tsəŋ1		
侦	tsəŋ1		
征	tsəŋ1		
正	tsəŋ1		
拯	tsəŋ3		
井	tsəŋ3		
整	tsəŋ3		
证	tsəŋ5		
症	tsəŋ5		
正	tsəŋ5		
政	tsəŋ5		
称	tsʰəŋ1		
清	tsʰəŋ1		
蛏	tsʰəŋ1		
青	tsʰəŋ1		
蜻	tsʰəŋ1		
请	tsʰəŋ3		
称	tsʰəŋ5		
秤	tsʰəŋ5		
澄	dzəŋ2		
惩	dzəŋ2		
橙	dzəŋ2		
剩	dzəŋ2		
逞	dzəŋ2		
呈	dzəŋ2		
程	dzəŋ2		
剩	dzəŋ6		
净	dzəŋ6		
郑	dzəŋ6		
新	səŋ1		
申	səŋ1		
升	səŋ1		
声	səŋ1		
星	səŋ1		
腥	səŋ1		
省	səŋ3		
醒	səŋ3		
胜	səŋ5		
性	səŋ5		
姓	səŋ5		
圣	səŋ5		
仍	zəŋ2		
乘	zəŋ2		
绳	zəŋ2		
承	zəŋ2		
丞	zəŋ2		
城	zəŋ2		
成	zəŋ2		
诚	zəŋ2		
盛	zəŋ2		
情	zəŋ6		
晴	zəŋ6		
静	zəŋ6		
盛	zəŋ6		
鹅	ŋ2		
俄	ŋ2		
讹	ŋ2		
梧	ŋ2		
吴	ŋ2		
无	ŋ2	無娘教	
儿	ŋ2		
我	ŋ4		
吾	ŋ4		
五	ŋ4		
午	ŋ4		
伍	ŋ4		
尔	ŋ4		
耳	ŋ4		
卧	ŋ6		
悟	ŋ6		
误	ŋ6		
义	ŋ6		
二	ŋ6		
贰	ŋ6		
