繁體	简体	吳拼	備註
𧙇	𧙇	dzoŋ²¹³	𧙇被
誦	诵	dzoŋ²¹³	
頌	颂	dzoŋ²¹³	
訟	讼	dzoŋ²¹³	
吅	吅	dzoŋ²¹³	
潨	潨	dzoŋ²¹³	
慒	慒	dzoŋ²¹³	
仲	仲	dzoŋ²¹³	
緟	𫟆	dzoŋ²¹³	
松	松	soŋ⁵³	
鬆	松	soŋ⁵³	
凇	凇	soŋ⁵³	
菘	菘	soŋ⁵³	
淞	淞	soŋ⁵³	
忪	忪	soŋ⁵³	
蜙	蜙	soŋ⁵³	
崧	崧	soŋ⁵³	
硹	硹	soŋ⁵³	
倯	倯	soŋ⁵³	
𪁿	𪁿	soŋ⁵³	
嵩	嵩	soŋ⁵³	
娀	娀	soŋ⁵³	
憽	憽	soŋ⁵³	
叔	叔	soŋ⁵³	兒化殘留
憃	憃	soŋ⁵³	
檧	檧	soŋ⁵³	
𢱤	𢱤	soŋ³⁵	
悚	悚	soŋ³⁵	
竦	竦	soŋ³⁵	
駷	駷	soŋ³⁵	
聳	耸	soŋ³⁵	
傱	傱	soŋ³⁵	
愯	愯	soŋ³⁵	
檧	檧	soŋ³⁵	
慫	怂	soŋ⁴⁴	弄慫
宋	宋	soŋ⁴⁴	
送	送	soŋ⁴⁴	
𢱤	𢱤	soŋ⁴⁴	推；托
公	公	koŋ⁵³	
工	工	koŋ⁵³	
紅	红	koŋ⁵³	僅限於「苗紅」一詞
功	功	koŋ⁵³	
恭	恭	koŋ⁵³	
蚣	蚣	koŋ⁵³	
䰸	䰸	koŋ⁵³	
妐	蚣	koŋ⁵³	
汞	汞	koŋ⁵³	化學元素
銾	汞	koŋ⁵³	化學元素，又稱「汞」
躬	躬	koŋ⁵³	
躳	躬	koŋ⁵³	
肱	肱	koŋ⁵³	
疘	肛	koŋ⁵³	胴肛
肛	肛	koŋ⁵³	胴肛
弓	弓	koŋ⁵³	
貢	贡	koŋ⁵³	
愩	愩	koŋ⁵³	
碽	䂵	koŋ⁵³	
篢	篢	koŋ⁵³	
珙	珙	koŋ⁵³	
卄	卄	koŋ⁵³	
髸	髸	koŋ⁵³	
觥	觥	koŋ⁵³	
觵	觵	koŋ⁵³	
匑	匑	koŋ⁵³	
侊	侊	koŋ⁵³	
玒	玒	koŋ⁵³	
拱	拱	koŋ³⁵	
栱	栱	koŋ³⁵	
鞏	巩	koŋ³⁵	
巩	巩	koŋ³⁵	
廾	廾	koŋ³⁵	
拲	拲	koŋ³⁵	
蛬	蛬	koŋ³⁵	
輁	輁	koŋ³⁵	
攻	攻	koŋ⁴⁴	
宮	宫	koŋ⁴⁴	
宫	宫	koŋ⁴⁴	
龔	龚	koŋ⁴⁴	
供	供	koŋ⁴⁴	
𠞖	𠞖	koŋ⁴⁴	𠞖洞
羾	羾	koŋ⁴⁴	
龏	龏	koŋ⁴⁴	
空	空	kʰoŋ⁵³	空氣
箜	箜	kʰoŋ⁵³	
倥	倥	kʰoŋ⁵³	
控	控	kʰoŋ⁵³	
崆	崆	kʰoŋ⁵³	
涳	涳	kʰoŋ⁵³	
悾	悾	kʰoŋ⁵³	
埪	埪	kʰoŋ⁵³	
硿	硿	kʰoŋ⁵³	
鵼	鵼	kʰoŋ⁵³	
椌	椌	kʰoŋ⁵³	
銎	銎	kʰoŋ⁵³	
恐	恐	kʰoŋ³⁵	
孔	孔	kʰoŋ³⁵	
空	空	kʰoŋ⁴⁴	
鞚	鞚	kʰoŋ⁴⁴	
蛬	蛬	ɡoŋ²⁴	
輁	輁	ɡoŋ²⁴	
共	共	ɡoŋ²¹³	
跫	跫	ɡoŋ²¹³	
烘	烘	hoŋ⁵³	
薨	薨	hoŋ⁵³	
訇	訇	hoŋ⁵³	
揈	揈	hoŋ⁵³	
輷	𫐒	hoŋ⁵³	
渹	渹	hoŋ⁵³	
鍧	鍧	hoŋ⁵³	
舡	舡	hoŋ⁵³	
焢	焢	hoŋ⁵³	
蕻	蕻	hoŋ⁵³	
吽	吽	hoŋ⁵³	
谾	谾	hoŋ⁵³	
銎	銎	hoŋ⁵³	
哄	哄	hoŋ³⁵	
嗊	唝	hoŋ³⁵	
𢦅	𢦅	hoŋ³⁵	
轟	轰	hoŋ⁴⁴	
㶹	㶹	hoŋ⁴⁴	
佝	佝	hoŋ⁴⁴	佝背
紅	红	ɦoŋ²⁴	
洪	洪	ɦoŋ²⁴	
虹	虹	ɦoŋ²⁴	文讀
魟	𫚉	ɦoŋ²⁴	
宏	宏	ɦoŋ²⁴	
紘	纮	ɦoŋ²⁴	
㢬	㢬	ɦoŋ²⁴	
吰	吰	ɦoŋ²⁴	
𧈽	𧈽	ɦoŋ²⁴	
閎	闳	ɦoŋ²⁴	
鋐	鋐	ɦoŋ²⁴	
弘	弘	ɦoŋ²⁴	
泓	泓	ɦoŋ²⁴	
苰	苰	ɦoŋ²⁴	
鴻	鸿	ɦoŋ²⁴	
黌	黉	ɦoŋ²⁴	
訌	讧	ɦoŋ²⁴	
叿	叿	ɦoŋ²⁴	
嵤	嵤	ɦoŋ²⁴	
浤	浤	ɦoŋ²⁴	
竑	竑	ɦoŋ²⁴	
紭	紭	ɦoŋ²⁴	
翃	翃	ɦoŋ²⁴	
耾	耾	ɦoŋ²⁴	
鈜	鈜	ɦoŋ²⁴	
仜	仜	ɦoŋ²⁴	
垬	垬	ɦoŋ²⁴	
渱	渱	ɦoŋ²⁴	
葒	荭	ɦoŋ²⁴	
葓	葓	ɦoŋ²⁴	
谼	谼	ɦoŋ²⁴	
鉷	𫟹	ɦoŋ²⁴	
鞃	鞃	ɦoŋ²⁴	
鑊	镬	ɦoŋ²⁴	兒化殘留，表小稱
宖	宖	ɦoŋ²⁴	
彋	彋	ɦoŋ²⁴	
洚	洚	ɦoŋ²⁴	
哄	哄	ɦoŋ²¹³	
鬨	哄	ɦoŋ²¹³	
閧	哄	ɦoŋ²¹³	
翁	翁	oŋ⁵³	
蕹	蕹	oŋ⁵³	蕹菜
䐥	䐥	oŋ⁵³	䐥氣
鎓	鎓	oŋ⁵³	化學用字
滃	滃	oŋ⁵³	
螉	螉	oŋ⁵³	
𤌏	𤌏	oŋ⁵³	
䩺	䩺	oŋ⁵³	
鶲	鹟	oŋ⁵³	
齆	齆	oŋ⁵³	文讀
紅	红	oŋ⁵³	僅限於「鼻頭紅」
屋	屋	oŋ⁵³	又音 僅限於「五架屋」等
蓊	蓊	oŋ³⁵	芋艿蓊
瞈	瞈	oŋ³⁵	
勜	勜	oŋ³⁵	
塕	塕	oŋ³⁵	
暡	暡	oŋ³⁵	
瓮	瓮	oŋ⁴⁴	
罋	瓮	oŋ⁴⁴	
甕	瓮	oŋ⁴⁴	
嗡	嗡	oŋ⁴⁴	
𨞑	𨞑	oŋ⁴⁴	
傴	伛	oŋ⁴⁴	傴背
冂	冂	tɕyoŋ⁵³	
坰	坰	tɕyoŋ⁵³	
駉	駉	tɕyoŋ⁵³	
扃	扃	tɕyoŋ⁵³	
駫	𫘡	tɕyoŋ⁵³	
冋	冋	tɕyoŋ⁵³	
絅	䌹	tɕyoŋ⁵³	
炅	炅	tɕyoŋ³⁵	
囧	囧	tɕyoŋ³⁵	
冏	冏	tɕyoŋ³⁵	
迥	迥	tɕyoŋ³⁵	
逈	迥	tɕyoŋ³⁵	
炯	炯	tɕyoŋ³⁵	
烱	炯	tɕyoŋ³⁵	
泂	泂	tɕyoŋ³⁵	
褧	褧	tɕyoŋ³⁵	
煛	煛	tɕyoŋ³⁵	
熲	颎	tɕyoŋ³⁵	
暻	暻	tɕyoŋ³⁵	
煚	煚	tɕyoŋ³⁵	
臩	臩	tɕyoŋ³⁵	
窮	穷	dʑyoŋ²⁴	
藭	䓖	dʑyoŋ²⁴	
穹	穹	dʑyoŋ²⁴	
芎	芎	dʑyoŋ²⁴	
瓊	琼	dʑyoŋ²⁴	
邛	邛	dʑyoŋ²⁴	
筇	筇	dʑyoŋ²⁴	
桏	桏	dʑyoŋ²⁴	
蛩	蛩	dʑyoŋ²⁴	
煢	茕	dʑyoŋ²⁴	
睘	睘	dʑyoŋ²⁴	
惸	惸	dʑyoŋ²⁴	
憌	憌	dʑyoŋ²⁴	
焭	焭	dʑyoŋ²⁴	
璚	璚	dʑyoŋ²⁴	
藑	藑	dʑyoŋ²⁴	
赹	赹	dʑyoŋ²⁴	
舼	舼	dʑyoŋ²⁴	
匑	匑	dʑyoŋ²⁴	
焪	焪	dʑyoŋ²⁴	
苘	苘	dʑyoŋ²¹³	
烓	烓	dʑyoŋ²¹³	
絅	䌹	dʑyoŋ²¹³	
顈	顈	dʑyoŋ²¹³	
焪	焪	dʑyoŋ²¹³	
戎	戎	ȵyoŋ²⁴	
絨	绒	ȵyoŋ²⁴	
羢	绒	ȵyoŋ²⁴	
毧	绒	ȵyoŋ²⁴	
狨	狨	ȵyoŋ²⁴	
濃	浓	ȵyoŋ²⁴	
穠	秾	ȵyoŋ²⁴	
醲	醲	ȵyoŋ²⁴	
𧲤	𧲤	ȵyoŋ²⁴	
顒	颙	ȵyoŋ²⁴	
𡢿	𭑸	ȵyoŋ²⁴	
檂	檂	ȵyoŋ²⁴	
鰅	鰅	ȵyoŋ²⁴	
搑	搑	ȵyoŋ²¹³	人多互相推擠
喗	喗	ȵyoŋ²¹³	
夽	夽	ȵyoŋ²¹³	
齳	齳	ȵyoŋ²¹³	
肉	肉	ʔȵyoŋ⁵³	肉肉 兒童用語
兄	兄	ɕyoŋ⁵³	
兇	凶	ɕyoŋ⁵³	
凶	凶	ɕyoŋ⁵³	
匈	匈	ɕyoŋ⁵³	
汹	汹	ɕyoŋ⁵³	
洶	汹	ɕyoŋ⁵³	
胸	胸	ɕyoŋ⁵³	
胷	胸	ɕyoŋ⁵³	
酗	酗	ɕyoŋ⁵³	
恟	恟	ɕyoŋ⁵³	
訩	讻	ɕyoŋ⁵³	
詾	詾	ɕyoŋ³⁵	
詗	诇	ɕyoŋ³⁵	
嗅	嗅	ɕyoŋ⁴⁴	
敻	敻	ɕyoŋ⁴⁴	
夐	夐	ɕyoŋ⁴⁴	
矎	矎	ɕyoŋ⁴⁴	
詗	诇	ɕyoŋ⁴⁴	
醟	蒏	ɕyoŋ⁴⁴	
榮	荣	ɦyoŋ²⁴	
栄	荣	ɦyoŋ²⁴	
嶸	嵘	ɦyoŋ²⁴	
蠑	蝾	ɦyoŋ²⁴	
融	融	ɦyoŋ²⁴	
螎	融	ɦyoŋ²⁴	
瀜	瀜	ɦyoŋ²⁴	
容	容	ɦyoŋ²⁴	
蓉	蓉	ɦyoŋ²⁴	
溶	溶	ɦyoŋ²⁴	
鎔	镕	ɦyoŋ²⁴	
熔	熔	ɦyoŋ²⁴	
榕	榕	ɦyoŋ²⁴	
搈	搈	ɦyoŋ²⁴	
𪃾	𪃾	ɦyoŋ²⁴	
瑢	瑢	ɦyoŋ²⁴	
傛	傛	ɦyoŋ²⁴	
嵱	嵱	ɦyoŋ²⁴	
褣	褣	ɦyoŋ²⁴	
雄	雄	ɦyoŋ²⁴	
熊	熊	ɦyoŋ²⁴	
庸	庸	ɦyoŋ²⁴	庸俗
鄘	墉	ɦyoŋ²⁴	
墉	墉	ɦyoŋ²⁴	
慵	慵	ɦyoŋ²⁴	
鱅	鳙	ɦyoŋ²⁴	
槦	槦	ɦyoŋ²⁴	
滽	滽	ɦyoŋ²⁴	
鏞	镛	ɦyoŋ²⁴	
肜	肜	ɦyoŋ²⁴	
揘	揘	ɦyoŋ²⁴	
螢	萤	ɦyoŋ²⁴	又音 僅限於「火螢頭」
蛍	萤	ɦyoŋ²⁴	又音 僅限於「火螢頭」
銿	銿	ɦyoŋ²⁴	
禜	禜	ɦyoŋ²⁴	
佣	佣	ɦyoŋ²¹³	
傭	佣	ɦyoŋ²¹³	
用	用	ɦyoŋ²¹³	
禜	禜	ɦyoŋ²¹³	
醟	蒏	ɦyoŋ²¹³	
壅	壅	yoŋ⁵³	
饔	饔	yoŋ⁵³	
擁	拥	yoŋ⁵³	
臃	臃	yoŋ⁵³	
邕	邕	yoŋ⁵³	
癰	痈	yoŋ⁵³	
郺	郺	yoŋ⁵³	
䗸	䗸	yoŋ⁵³	
𩌋	𩌋	yoŋ⁵³	
嗈	嗈	yoŋ⁵³	
噰	噰	yoŋ⁵³	
廱	廱	yoŋ⁵³	
澭	澭	yoŋ⁵³	
灉	灉	yoŋ⁵³	
永	永	yoŋ³⁵	
泳	泳	yoŋ³⁵	
詠	咏	yoŋ³⁵	
咏	咏	yoŋ³⁵	
甬	甬	yoŋ³⁵	
涌	涌	yoŋ³⁵	
湧	涌	yoŋ³⁵	
勇	勇	yoŋ³⁵	
踊	踊	yoŋ³⁵	
踴	踊	yoŋ³⁵	
蛹	蛹	yoŋ³⁵	
俑	俑	yoŋ³⁵	
恿	恿	yoŋ³⁵	
惥	恿	yoŋ³⁵	
慂	恿	yoŋ³⁵	
𧗴	𧗴	yoŋ³⁵	
埇	埇	yoŋ³⁵	
悀	悀	yoŋ³⁵	
塎	塎	yoŋ³⁵	
𦨤	𦨤	yoŋ³⁵	
栐	栐	yoŋ³⁵	
雍	雍	yoŋ⁴⁴	
雝	雍	yoŋ⁴⁴	
灉	灉	yoŋ⁴⁴	
八	八	pɐʔ⁵	
丷	八	pɐʔ⁵	
捌	捌	pɐʔ⁵	
䤢	䤢	pɐʔ⁵	
百	百	pɐʔ⁵	
佰	佰	pɐʔ⁵	數字「百」的大寫
柏	柏	pɐʔ⁵	
栢	柏	pɐʔ⁵	
伯	伯	pɐʔ⁵	
𦯉	𦯉	pɐʔ⁵	
掰	掰	pɐʔ⁵	
湐	湐	pɐʔ⁵	
哵	哵	pɐʔ⁵	
玐	玐	pɐʔ⁵	
釟	𫓥	pɐʔ⁵	
敀	敀	pɐʔ⁵	
糪	糪	pɐʔ⁵	
不	不	pɐʔ⁵	
鈈	钚	pɐʔ⁵	化學元素
撥	拨	pɐʔ⁵	
癶	癶	pɐʔ⁵	
鱍	鱍	pɐʔ⁵	
蹳	𫏆	pɐʔ⁵	
鮁	鲅	pɐʔ⁵	
醱	酦	pɐʔ⁵	醱醅
襏	袯	pɐʔ⁵	
驋	𩧯	pɐʔ⁵	
缽	钵	pɐʔ⁵	
鉢	钵	pɐʔ⁵	
盋	钵	pɐʔ⁵	
迫	迫	pɐʔ⁵	
廹	迫	pɐʔ⁵	
檗	檗	pɐʔ⁵	
爸	爸	pɐʔ⁵	阿爸
襞	襞	pɐʔ⁵	用漿糊粘合後曬乾的多層硬布，舊時用來做鞋幫及鞋底的襯層
癟	瘪	pɐʔ⁵	又音 僅限於「乾薑癟棗」
㿜	瘪	pɐʔ⁵	又音 僅限於「乾薑癟棗」
白	白	pɐʔ⁵	又音 僅限於「空頭白腦」
拍	拍	pʰɐʔ⁵	
啪	啪	pʰɐʔ⁵	
帕	帕	pʰɐʔ⁵	
魄	魄	pʰɐʔ⁵	
珀	珀	pʰɐʔ⁵	
泊	泊	pʰɐʔ⁵	湖泊
舶	舶	pʰɐʔ⁵	
迫	迫	pʰɐʔ⁵	
蘗	蘗	pʰɐʔ⁵	
𤖼	𤖼	pʰɐʔ⁵	𤖼開
敀	敀	pʰɐʔ⁵	
洦	洦	pʰɐʔ⁵	
皛	皛	pʰɐʔ⁵	
糪	糪	pʰɐʔ⁵	
汃	汃	pʰɐʔ⁵	
擘	擘	pʰɐʔ⁵	
潑	泼	pʰɐʔ⁵	
鏺	䥽	pʰɐʔ⁵	
哱	哱	pʰɐʔ⁵	
昢	昢	pʰɐʔ⁵	
趴	趴	pʰɐʔ⁵	
白	白	bɐʔ¹²	
鮊	鲌	bɐʔ¹²	文讀
拔	拔	bɐʔ¹²	
抜	拔	bɐʔ¹²	
鈸	钹	bɐʔ¹²	
坺	坺	bɐʔ¹²	
跋	跋	bɐʔ¹²	
祓	祓	bɐʔ¹²	祓秋。音特殊，或爲寧波俗音，The Ningpo Syllabary 亦記作 bah
魃	魃	bɐʔ¹²	
茇	茇	bɐʔ¹²	
胈	胈	bɐʔ¹²	
炦	炦	bɐʔ¹²	熱炦炦
妭	妭	bɐʔ¹²	
犮	犮	bɐʔ¹²	
癹	癹	bɐʔ¹²	
馛	馛	bɐʔ¹²	
鼥	鼥	bɐʔ¹²	
薄	薄	bɐʔ¹²	又音
欂	欂	bɐʔ¹²	
繴	繴	bɐʔ¹²	
菝	菝	bɐʔ¹²	
鼻	鼻	bɐʔ¹²	白讀
帛	帛	bɐʔ¹²	
孛	孛	bɐʔ¹²	
勃	勃	bɐʔ¹²	
餑	饽	bɐʔ¹²	
浡	浡	bɐʔ¹²	吹浡
脖	脖	bɐʔ¹²	
鵓	鹁	bɐʔ¹²	
渤	渤	bɐʔ¹²	
䪬	䪬	bɐʔ¹²	
荸	荸	bɐʔ¹²	
馞	馞	bɐʔ¹²	
葧	葧	bɐʔ¹²	
挬	挬	bɐʔ¹²	
桲	桲	bɐʔ¹²	
郣	郣	bɐʔ¹²	
佛	佛	bɐʔ¹²	僅限於「大佛」
百	百	bɐʔ¹²	僅限於「害連百場」
𦤣	𦤣	bɐʔ¹²	又音 餲𦤣
軷	𫐈	bɐʔ¹²	
颰	𩙥	bɐʔ¹²	
麥	麦	mɐʔ¹²	
䥑	鿏	mɐʔ¹²	化學元素
嘜	唛	mɐʔ¹²	
脈	脉	mɐʔ¹²	
脉	脉	mɐʔ¹²	
衇	脉	mɐʔ¹²	
霢	霡	mɐʔ¹²	
眽	眽	mɐʔ¹²	
𢫦	𢫦	mɐʔ¹²	用棍棒打
貊	貊	mɐʔ¹²	
貘	貊	mɐʔ¹²	
銆	銆	mɐʔ¹²	
蛨	蛨	mɐʔ¹²	
佰	佰	mɐʔ¹²	
帞	帞	mɐʔ¹²	
驀	蓦	mɐʔ¹²	
襪	袜	mɐʔ¹²	
韈	袜	mɐʔ¹²	
韤	袜	mɐʔ¹²	
袜	袜	mɐʔ¹²	
帓	帓	mɐʔ¹²	
睰	睰	mɐʔ¹²	
礣	礣	mɐʔ¹²	
妺	妺	mɐʔ¹²	
昩	昩	mɐʔ¹²	
覛	𫌪	mɐʔ¹²	
齂	齂	mɐʔ¹²	
陌	陌	mɐʔ¹²	
沒	没	mɐʔ¹²	
没	没	mɐʔ¹²	
歿	殁	mɐʔ¹²	
殁	殁	mɐʔ¹²	
莈	莈	mɐʔ¹²	
默	默	mɐʔ¹²	
黙	默	mɐʔ¹²	
末	末	mɐʔ¹²	
抹	抹	mɐʔ¹²	
沫	沫	mɐʔ¹²	
靺	靺	mɐʔ¹²	
茉	茉	mɐʔ¹²	
𠇱	𠇱	mɐʔ¹²	𠇱㒓
皌	皌	mɐʔ¹²	
𥬎	𥬎	mɐʔ¹²	
𥿉	𥿉	mɐʔ¹²	
秣	秣	mɐʔ¹²	
枚	枚	mɐʔ¹²	又音 量詞
瀎	瀎	mɐʔ¹²	
眜	眜	mɐʔ¹²	
粖	粖	mɐʔ¹²	
韎	韎	mɐʔ¹²	
沒	没	ʔmɐʔ⁵	
發	发	fɐʔ⁵	
発	发	fɐʔ⁵	
髮	发	fɐʔ⁵	
髪	发	fɐʔ⁵	
醱	酦	fɐʔ⁵	醱酵
法	法	fɐʔ⁵	
灋	法	fɐʔ⁵	
𠵽	𠵽	fɐʔ⁵	
砝	砝	fɐʔ⁵	
珐	珐	fɐʔ⁵	
琺	珐	fɐʔ⁵	
鍅	钫	fɐʔ⁵	化學元素，又稱「鈁」
冹	冹	fɐʔ⁵	
颰	𩙥	fɐʔ⁵	
弗	弗	fɐʔ⁵	不。俗亦作「勿」
彿	佛	fɐʔ⁵	彷彿
佛	佛	fɐʔ⁵	彷彿
髴	佛	fɐʔ⁵	彷彿
拂	拂	fɐʔ⁵	拂曉
氟	氟	fɐʔ⁵	化學元素
咈	咈	fɐʔ⁵	
艴	艴	fɐʔ⁵	
怫	怫	fɐʔ⁵	
茀	茀	fɐʔ⁵	
紼	绋	fɐʔ⁵	
𩎛	𩎛	fɐʔ⁵	
炥	炥	fɐʔ⁵	
𢂀	𢂀	fɐʔ⁵	
袚	袚	fɐʔ⁵	
黻	黻	fɐʔ⁵	
蛂	蛂	fɐʔ⁵	
帗	帗	fɐʔ⁵	
芾	芾	fɐʔ⁵	
綍	綍	fɐʔ⁵	
乀	乀	fɐʔ⁵	
巿	巿	fɐʔ⁵	
柫	柫	fɐʔ⁵	
甶	甶	fɐʔ⁵	
笰	笰	fɐʔ⁵	
紱	绂	fɐʔ⁵	
翇	翇	fɐʔ⁵	
勿	勿	fɐʔ⁵	又音 不。本字爲「弗」或「不」
刜	刜	fɐʔ⁵	
韍	韨	fɐʔ⁵	
乏	乏	vɐʔ¹²	
罰	罚	vɐʔ¹²	
罸	罚	vɐʔ¹²	
伐	伐	vɐʔ¹²	
𠲎	𠲎	vɐʔ¹²	
筏	筏	vɐʔ¹²	
栰	筏	vɐʔ¹²	
閥	阀	vɐʔ¹²	
𤇰	𤇰	vɐʔ¹²	
茷	茷	vɐʔ¹²	
垡	垡	vɐʔ¹²	
瞂	瞂	vɐʔ¹²	
藅	藅	vɐʔ¹²	
姂	姂	vɐʔ¹²	
橃	橃	vɐʔ¹²	
勿	勿	vɐʔ¹²	不。本字爲「弗」或「不」
物	物	vɐʔ¹²	
伆	伆	vɐʔ¹²	
弗	弗	vɐʔ¹²	不。俗亦作「勿」
佛	佛	vɐʔ¹²	
仏	佛	vɐʔ¹²	
鉘	鉘	vɐʔ¹²	
坲	坲	vɐʔ¹²	
岉	岉	vɐʔ¹²	
芴	芴	vɐʔ¹²	
刜	刜	vɐʔ¹²	
昒	昒	vɐʔ¹²	
沕	沕	vɐʔ¹²	
妲	妲	tɐʔ⁵	
靼	靼	tɐʔ⁵	
怛	怛	tɐʔ⁵	
呾	呾	tɐʔ⁵	
炟	炟	tɐʔ⁵	
耷	耷	tɐʔ⁵	
𡍲	𡍲	tɐʔ⁵	地名用字
𢝉	𢝉	tɐʔ⁵	𢝉𢝉動
𢱕	𢱕	tɐʔ⁵	𢱕𢱕動
笚	笚	tɐʔ⁵	
咄	咄	tɐʔ⁵	
啄	啄	tɐʔ⁵	又音 禽類用嘴叩擊、夾食
矺	矺	tɐʔ⁵	
答	答	tɐʔ⁵	
荅	荅	tɐʔ⁵	
搭	搭	tɐʔ⁵	
溚	溚	tɐʔ⁵	溚溚渧
嗒	嗒	tɐʔ⁵	品味兒
㿯	㿯	tɐʔ⁵	寬㿯㿯
㾑	㾑	tɐʔ⁵	壯㾑㾑
瘩	瘩	tɐʔ⁵	
褡	褡	tɐʔ⁵	
鎝	𨱏	tɐʔ⁵	化學元素，又稱「鍀」
德	德	tɐʔ⁵	
徳	德	tɐʔ⁵	
悳	德	tɐʔ⁵	
惪	德	tɐʔ⁵	
得	得	tɐʔ⁵	
𢔶	𢔶	tɐʔ⁵	古同「得」
鍀	锝	tɐʔ⁵	化學元素
嘚	嘚	tɐʔ⁵	
掇	掇	tɐʔ⁵	兩手端東西（一般不過胸）
鵽	鵽	tɐʔ⁵	
剟	剟	tɐʔ⁵	
裰	裰	tɐʔ⁵	
鎉	鎉	tɐʔ⁵	
褟	褟	tɐʔ⁵	
淂	淂	tɐʔ⁵	
撘	撘	tɐʔ⁵	
畣	畣	tɐʔ⁵	
狚	狚	tɐʔ⁵	
敠	敠	tɐʔ⁵	
祋	祋	tɐʔ⁵	
腏	腏	tɐʔ⁵	
柮	柮	tɐʔ⁵	
塔	塔	tʰɐʔ⁵	
墖	塔	tʰɐʔ⁵	
獺	獭	tʰɐʔ⁵	水獺
塌	塌	tʰɐʔ⁵	
榻	榻	tʰɐʔ⁵	
鰈	鲽	tʰɐʔ⁵	箬鰈魚
鰨	鳎	tʰɐʔ⁵	鰙鰨
搨	搨	tʰɐʔ⁵	
溻	溻	tʰɐʔ⁵	
傝	傝	tʰɐʔ⁵	
遢	遢	tʰɐʔ⁵	
蹋	蹋	tʰɐʔ⁵	
毾	毾	tʰɐʔ⁵	
𩥑	𩨌	tʰɐʔ⁵	
䌈	𦈖	tʰɐʔ⁵	
𡍲	𡍲	tʰɐʔ⁵	量詞
撻	挞	tʰɐʔ⁵	
闥	闼	tʰɐʔ⁵	
沓	沓	tʰɐʔ⁵	
䵬	䵬	tʰɐʔ⁵	黑䵬䵬
㒓	𠉂	tʰɐʔ⁵	𠇱㒓
狧	狧	tʰɐʔ⁵	
鞳	鞳	tʰɐʔ⁵	
羍	羍	tʰɐʔ⁵	
嚃	嚃	tʰɐʔ⁵	
濌	濌	tʰɐʔ⁵	
錔	錔	tʰɐʔ⁵	
鞜	鞜	tʰɐʔ⁵	
脫	脱	tʰɐʔ⁵	
禿	秃	tʰɐʔ⁵	
秃	秃	tʰɐʔ⁵	
鵚	𪉍	tʰɐʔ⁵	
忒	忒	tʰɐʔ⁵	
鋱	铽	tʰɐʔ⁵	化學元素
忑	忑	tʰɐʔ⁵	
慝	慝	tʰɐʔ⁵	
拓	拓	tʰɐʔ⁵	拓碑
突	突	tʰɐʔ⁵	僅限眼珠凸出一義
搭	搭	tʰɐʔ⁵	又音
脦	脦	tʰɐʔ⁵	
侻	侻	tʰɐʔ⁵	
宊	宊	tʰɐʔ⁵	
魼	魼	tʰɐʔ⁵	
貣	貣	tʰɐʔ⁵	
佮	佮	tʰɐʔ⁵	
挩	捝	tʰɐʔ⁵	
莌	莌	tʰɐʔ⁵	
踏	踏	dɐʔ¹²	
達	达	dɐʔ¹²	
鐽	𫟼	dɐʔ¹²	化學元素
躂	跶	dɐʔ¹²	
澾	㳠	dɐʔ¹²	
韃	鞑	dɐʔ¹²	
薘	荙	dɐʔ¹²	
噠	哒	dɐʔ¹²	化學用字
墶	垯	dɐʔ¹²	
涾	涾	dɐʔ¹²	涾涾渧
𤒻	𪹹	dɐʔ¹²	腐𤒻𤒻
躢	躢	dɐʔ¹²	
闒	阘	dɐʔ¹²	
眔	眔	dɐʔ¹²	
誻	誻	dɐʔ¹²	
蹹	蹹	dɐʔ¹²	
龖	𱍂	dɐʔ¹²	
龘	𮹝	dɐʔ¹²	
凸	凸	dɐʔ¹²	
奪	夺	dɐʔ¹²	
突	突	dɐʔ¹²	
特	特	dɐʔ¹²	
沓	沓	dɐʔ¹²	量詞
𧌏	𧌏	dɐʔ¹²	
䂿	䂿	dɐʔ¹²	
螣	螣	dɐʔ¹²	
腯	腯	dɐʔ¹²	
遝	遝	dɐʔ¹²	
鴏	鴏	dɐʔ¹²	
敓	敚	dɐʔ¹²	
敚	敚	dɐʔ¹²	
痥	痥	dɐʔ¹²	
鮵	𫚛	dɐʔ¹²	
堗	堗	dɐʔ¹²	
揬	揬	dɐʔ¹²	
葖	葖	dɐʔ¹²	
鈯	𨱄	dɐʔ¹²	
鍎	鍎	dɐʔ¹²	
鶟	鶟	dɐʔ¹²	
鼵	鼵	dɐʔ¹²	
陀	陀	dɐʔ¹²	僅限於「搣陀螺」
棏	棏	dɐʔ¹²	
樴	樴	dɐʔ¹²	
貣	貣	dɐʔ¹²	
譶	譶	dɐʔ¹²	
挩	捝	dɐʔ¹²	
莌	莌	dɐʔ¹²	
倷	倷	nɐʔ¹²	
捺	捺	nɐʔ¹²	
𤷈	𤷈	nɐʔ¹²	
䖧	䖧	nɐʔ¹²	
笝	笝	nɐʔ¹²	
蒳	蒳	nɐʔ¹²	
軜	𫐇	nɐʔ¹²	
哪	哪	nɐʔ¹²	
辣	辣	nɐʔ¹²	又音 僅限於「煞辣」
痆	痆	nɐʔ¹²	
吶	呐	nɐʔ¹²	
呐	呐	nɐʔ¹²	
鈉	钠	nɐʔ¹²	化學元素
納	纳	nɐʔ¹²	
衲	衲	nɐʔ¹²	
訥	讷	nɐʔ¹²	
抐	抐	nɐʔ¹²	
㨥	㨥	nɐʔ¹²	
肭	肭	nɐʔ¹²	
