来源：	唐爱华 刘玲燕 2015 《东至龙泉方言研究》
ʂ	［1］杉{～树}沙纱赊靴{₁}［2］蛇佘［3］舍{～不得}［6］厦{大～}麝射{～箭}石{～头}头煠{～咯咯：水煮带壳鸡蛋}［7］杀
ts	［7］杂
tsʰ	［6］□{溅}［7］擦插?{～屄：交合}
s	［7］撒{～手}［0］萨{菩～}
k	［1］家加痂稼{庄～}［3］假{真～；放～}［5］架{（动词）}嫁价［7］夹{～菜}
kʰ	［1］抲{用虎口掐：～人}［2］跨［3］卡□{～渠要：向他要}□{咳嗽}［5］胯［6］□{～起来：粘起来；～皮：锅巴}［7］掐
ŋ	［1］鸦丫{～头}桠{树～}［2］牙芽衙崖［3］哑瓦［5］亚［6］砑{～平}轧{驮车～：被车子碾压}［7］鸭压{～个砖}
x	［1］□{～人：痒}［2］□{～人：光线刺眼}［3］□{傻}［6］下{～猪儿儿：猪生崽}［7］瞎
#io	
p	［7］壁-
pʰ	［7］劈
t	［1］爹{₁}［6］栗{₁～树}［7］□{～人：逗人}
tʰ	［2］提-［7］踢□{用绳捆绑}
tɕ	［1］佳嘉家{～具}具［3］姐{₁～夫}解{～放}［5］借{₁～钱}［7］迹{₁脚～}脊{屋～}夹{～子}甲
tɕʰ	［2］脐{₁肚～}□{发～：突然做出令人吃惊的事，贬义；～子：经常发笑，令人感觉很傻的人}［7］吃{₂}恰{～当}
ɕ	［1］些{₁一大～：很多}［2］霞斜［3］写{～字}［5］谢{花～}［6］夏厦{～门}泻［7］锡狭峡匣辖
∅	［2］爷{～娘；老～}［3］雅惹野［6］砑=夜□{～粪：下粪肥}［7］压{～迫}
#uo	
k	［1］瓜［3］寡［5］挂卦［7］刮聒{～耳朵儿}括{包～}
kʰ	［1］夸［3］剐垮［7］括{～号儿}
x	［1］花［2］华桦{～杨树：桦树}划{～船}［5］化［6］滑猾获划{计～}画{～画儿}［7］豁{～口}
∅	［1］蛙{青～}［2］□{小孩子睡觉}［3］瓦=［5］洼［6］话{～话儿：说话}［7］挖袜
#ɷ	
t	［1］刀多［3］躲岛倒{打～}［5］到倒{～水}剁［7］沰
tʰ	［1］涛拖［2］桃淘陶萄掏驮驼［3］讨妥椭导{₂}［5］套［6］导{₁}道稻夺□{一～纸：一沓纸}［7］托
n	［1］铙挠［3］脑［6］闹糯［7］诺□{揉搓：～衣裳；～粉：和面}
l	［1］捞啰{～嗦}□{～脚：串门儿}［2］劳牢罗萝{～卜}锣箩骡螺{～蛳}脶［3］瘰{～疬}老［6］涝落{～雨}［7］落{～后}烙洛乐{快～}
tʂ	［1］朝{今～}招啄沼{～气}召{～开}［5］照罩［7］捉桌着{～衣裳}斫
tʂʰ	［1］超抄［2］潮朝{～代}［3］吵［5］钞［6］赵召{号～}着{烧～}镯{手～}［7］绰{～号}戳
ʂ	［1］烧捎稍［2］韶［3］少{多～}［5］少{～年}潲{～雨}［6］绍［7］□{躲}
ʐ	［3］扰{₂}绕{₂}
ts	［1］遭糟［3］早枣澡左佐［5］灶躁做［7］作
tsʰ	［1］操搓［2］曹槽［3］草{花～；～狗：母狗}［5］锉莝措错糙造［6］矬皂{肥～}凿坐座昨{～日}
s	［1］臊蓑梭飕{₂凉～～}［3］嫂锁［5］扫［7］索塑{₂～料}嗍{～鱼头}缩
k	［1］高膏篙糕铰哥歌交{～把渠：交给他}胶［3］稿搞果［5］告窖教珓膏{～车}个{一～}□{一～茶叶：一茬茶叶}［7］合{十～一升；～伙}葛{～根}搁郭角{牛～；一～钱}
kʰ	［1］科窠棵觉{睏一～}敲［3］考烤可［5］课靠［6］□{搅拌：打～，～糖水}［7］磕渴廓扩确{正～}壳各{～人}□{～章：盖章}
ŋ	［2］蛾鹅讹熬［3］袄沤［5］坳{山～}怄澳奥［6］傲饿□{～子：疯子}［7］恶□{睡觉}
x	［2］豪{～猪}壕毫嚎河何荷禾=和{～气}［3］好{～坏}吼{₂～叫}［5］货好{喜～}耗孝［6］合{～并}祸号候鹤贺学{～堂}［7］喝镬霍{掣～：打闪}藿{～香}郝核{₂～桃}
∅	［0］哦
#iɷ	
p	［1］彪标膘［3］表裱婊
pʰ	［1］飘漂{水上～}［2］瓢嫖［3］漂{～洗}［5］票漂{～亮}［6］薸{浮萍}
m	［1］□{～轻个：很轻}［2］苗描瞄［3］秒杪［6］庙妙谬
t	［1］刁貂雕［2］燎疗聊辽撩嘹{～望}［3］鸟{₁飞鸟；男阴}［5］钓吊调{～查}掉［6］料［7］略掠
tʰ	［1］挑［2］条调{～位子}［5］跳
tɕ	［1］郊交胶骄娇焦蕉浇椒揪［3］狡绞剿{～匪}缴{～枪}饺［5］较校{～对}叫［7］脚觉{知～}角{～色}
tɕʰ	［1］锹缲{～边}敲［2］桥侨荞瞧［3］巧［5］窍［6］轿嚼［7］却鹊雀确
ȵ	［2］饶尧［3］扰{₁}绕{₁}鸟{₂}［7］弱虐箬
ɕ	［1］消硝销箫□{薄}萧箫［2］淆［3］小晓［5］孝笑［6］效校{～长}学{～费}［7］削
∅	［1］妖邀腰要{～求}么{～二三}□{～草：捆草}［2］摇窑姚谣［3］舀［5］要{重～}耀［7］药钥约乐{音～}
#ui	
tʂ	［1］锥［5］缀赘
ʂ	［2］谁［5］睡税［6］瑞
ʐ	［3］蕊［6］锐芮
k	［1］归闺规龟［3］轨鬼［5］桂贵跪癸［7］骨
kʰ	［1］亏盔［2］奎葵［3］□{～尾：尾骨}［5］愧［6］柜［7］窟{～凼：小水坑}
x	［1］挥{指～}辉徽
∅	［1］威［2］桅危为{～难；作～}维微违围苇［3］伟尾{结～}委伪［5］慰胃［6］魏卫位{₂～子}味为{～么ȵi6：为什么}
#au	
m	［1］猫{～头鹰；熊～}［2］髦{₂时～}谋{₂参～长}［3］□{～着：忘了}［6］□{ti7～：对小孩的昵称}
f	［3］否{₂}
t	［1］都［3］堵赌肚{～子}［5］妒□{蛤蟆～：蝌蚪}［7］笃督㞘{器物的底部}□{嘴一～倒：鼓着嘴，不高兴}
tʰ	［2］徒屠图［3］土［5］吐［6］度{温～}渡镀{～金}毒独读肚{～脐}［7］突秃
n	［1］孬［2］奴［3］努［6］□{～精：邋遢}
l	［2］炉庐芦［3］鲁卤虏［6］路露鹭{～鸶}［7］鹿禄录陆熝?{～饭：做饭}
tʂ	［1］周舟州洲［3］帚肘［5］咒昼［7］烛嘱竹筑粥祝
