tɕʰiɛ	1	55	切(～开)		
tɕʰiɛ	2	213	截茄(文)怯(畏～)捷劫		
tɕʰiɛ	3	21	且		
tɕʰiɛ	5	35	妾賊		
tɕʰiɛ̃	1	55	殲鑒謙遷箋千牽		
tɕʰiɛ̃	2	213	鉗錢乾(～坤)虔(～诚)掮前		
tɕʰiɛ̃	3	21	潜淺遣件(白)		
tɕʰiɛ̃	5	35	歉欠		
tɕʰin	1	55	欽輕((文)年～)卿蜻(～蜓)傾親(～人)侵		
tɕʰin	2	213	琴禽擒秦勤芹肫情晴(文)		
tɕʰin	3	21	寢近請		
tɕʰin	5	35	浸慶磬		
tɕʰio	2	213	雀(麻～)鵲(喜～)		
tɕʰio	5	35	嚼確		
tɕʰioŋ	2	213	瓊穹窮松((白)～树)		
tɕʰɿ	1	55	妻溪欺七漆膝吃(文)		
tɕʰɿ	2	213	齊臍奇騎歧祁鰭其棋期(时～)旗祈戚		
tɕʰɿ	3	21	起啟企徛(立)在((存疑)白)		
tɕʰɿ	5	35	砌契(～约)器弃氣泣乞迄汽		
tɕʰy	1	55	蛆(生～)趨樞區驅吹黢(～黑)		
tɕʰy	2	213	除儲(～蓄)薯渠廚雛瞿臼((白)碓～)		
tɕʰy	3	21	褚(姓～)處(相～)杵署(～名)取曲(～折)		
tɕʰy	5	35	去(文)趣		
tɕʰya	1	55	跨(白)		
tɕʰya	2	213	瘸(～脚)		
tɕʰyɛ	1	55	出		
tɕʰyɛ	2	213	缺卻		
tɕʰyɛ	5	35	絕(白)		
tɕʰyɛ̃	1	55	川穿圈(圆～)		
tɕʰyɛ̃	2	213	全泉傳(～达)椽船拳權顴(～骨)		
tɕʰyɛ̃	3	21	犬喘(～气)		
tɕʰyɛ̃	5	35	串勸		
tɕʰyn	1	55	春椿(～树)		
tɕʰyn	2	213	群裙		
tɕʰyn	3	21	蠢頃		
tɕia	1	55	佳家(文)加痂(文)嘉(文)稼		
tɕia	2	213	夾(文)甲胛(肩～)		
tɕia	3	21	姐(白)賈(姓)假(放～，真～)		
tɕia	5	35	架(文)駕嫁(文)價借(白)		
tɕiɑ̃	1	55	將(～来，～军)漿疆僵薑礓(～石)韁江(文)		
tɕiɑ̃	3	21	蔣獎槳井(白)頸(白)		
tɕiɑ̃	5	35	醬降(下～)將(大～)		
tɕiau	1	55	交郊膠較焦椒驕嬌澆蕉(香～)		
