t0用字	记音	备注																
遍	pʰiɛn5																	
憋	pie1																	
片	pʰiɛn5																	
片	pʰiɛn3																	
撇	pʰie2																	
辮	piɛn5																	
癟	pie3																	
癟	pia3																	
蹩	pie2																	
眠	miɛn2																	
麵	miɛn5																	
篾	mie2																	
蔑	mie2																	
顛	tiɛn1																	
癫	tiɛn1																	
典	tiɛn3																	
碘	tiɛn3																	
天	tʰiɛn1																	
腆	tʰiɛn3																	
鐵	tʰie2																	
田	tʰiɛn2																	
塡	tʰiɛn2																	
電	tiɛn5																	
殿	tiɛn5																	
奠	tiɛn5																	
佃	tiɛn5																	
墊	tiɛn5																	
淀	tiɛn5																	
年	ȵiɛn2																	
撚	ȵiɛn3																	
攆	ȵiɛn3																	
捏	ȵie2																	
憐	liɛn2																	
蓮	liɛn2																	
練	liɛn5																	
鍊	liɛn5																	
楝	liɛn5																	
炼	liɛn5																	
僆	liɛn5																	
㼑	liɛn5																	
捩	li2																	
箋	ʨiɛn1																	
薦	ʨiɛn5																	
節	ʨie2																	
癤	ʨie2																	
千	ʨʰiɛn1																	
切	ʦʰe2																	
竊	ʦʰe2																	
前	ʨʰiɛn2																	
截	ʨie2																	
先	ɕiɛn1																	
筅	ɕiɛn1																	
屑	ɕye2																	
楔	ɕi2																	
肩	ʨiɛn1																	
堅	ʨiɛn1																	
繭	ʨiɛn3																	
趼	ʨiɛn3																	
筧	ʨiɛn3																	
見	ʨiɛn5																	
結	ke2																	
結	ʨie2																	
潔	ʨie2																	
䥛	ʨie2																	
牽	ʨʰiɛn1																	
纤	ʨʰiɛn1																	
研	ȵiɛn1																	
硯	ȵiɛn5																	
顯	ɕiɛn3																	
賢	ɕiɛn2																	
弦	ɕyɛn2																	
舷	ɕyɛn2																	
現	ɕyɛn5																	
現	ɕiɛn5																	
煙	iɛn1																	
燕	iɛn1																	
胭	iɛn1																	
燕	iɛn5																	
嚥	iɛn5																	
宴	iɛn5																	
噎	i2																	
般	pan1																	
搬	pan1																	
半	pan5																	
絆	pʰan5																	
鉢	po2																	
撥	po2																	
潘	pʰan1																	
拚	pʰan1																	
判	pʰan5																	
潑	pʰo2																	
盤	pʰan2																	
磐	pʰan2																	
伴	pan5																	
拌	pan5																	
拌	pən5																	
叛	pʰan5																	
畔	pʰan5																	
鈸	pʰo2																	
瞞	man2																	
饅	man2																	
鰻	man2																	
滿	man3																	
漫	mən1																	
漫	man5																	
漫	mən5																	
幔	man5																	
末	mo2																	
沫	mo2																	
抹	ma2																	
茉	mo2																	
端	tuan1																	
短	tuan3																	
斷	tuan5																	
鍛	tuan5																	
掇	to2																	
掇	to2																	
疃	tʰuan3																	
脱	tʰo2																	
團	tʰuan2																	
糰	tʰuan2																	
斷	tuan5																	
段	tuan5																	
緞	tuan5																	
椴	tuan5																	
奪	tʰo2																	
奪	to2																	
暖	luan3																	
鸞	luan2																	
鑾	luan2																	
巒	luan2																	
孿	luan2																	
卵	luan3																	
亂	luan5																	
捋	luei3																	
捋	lo2																	
鑽	ʦuan1																	
纂	ʦuan5																	
攢	ʦan3																	
鑽	ʦuan5																	
汆	ʦʰuan1																	
竄	ʦʰuan5																	
躥	ʦʰuan5																	
撮	ʦʰo2																	
酸	suan1																	
算	suan5																	
蒜	suan5																	
官	kuan1																	
棺	kuan1																	
觀	kuan1																	
冠	kuan1																	
管	kuan3																	
館	kuan3																	
貫	kuan5																	
灌	kuan5																	
罐	kuan5																	
觀	kuan5																	
冠	kuan5																	
括	kua2																	
聒	kua2																	
寬	kʰuan1																	
款	kʰuan3																	
闊	kʰua2																	
玩	uan2																	
歡	xuan1																	
喚	xuan5																	
煥	xuan5																	
瘓	xuan5																	
豁	xuo2																	
桓	xuan2																	
完	uan2																	
丸	uan2																	
丸	yɛn2																	
紈	xuan2																	
緩	xuan3																	
皖	uan3																	
皖	kʰuan3																	
換	xuan5																	
活	xuo2																	
豌	uan1																	
剜	uan1																	
碗	uan3																	
腕	uan3																	
鰥	kuan1																	
頑	uan2																	
幻	xuan5																	
滑	xua2																	
猾	xua2																	
挖	ua1																	
篡	ʦʰuan5																	
撰	ʦuan5																	
閂	suan1																	
拴	suan1																	
涮	suan5																	
刷	sua2																	
關	kuan1																	
慣	kuan5																	
摜	kuan5																	
刮	kua2																	
還	xuan2																	
還	xai2																	
環	xuan2																	
患	xuan5																	
宦	xuan5																	
彎	uan1																	
灣	uan1																	
戀	liɛn5																	
𥽸	luan5																	
劣	lie2																	
全	ʨʰyɛn2																	
泉	ʨʰyɛn2																	
絕	ʨye2																	
宣	ɕyɛn1																	
選	ɕyɛn3																	
雪	ɕye2																	
旋	ɕyɛn2																	
旋	ɕyɛn5																	
鏇	ɕyɛn5																	
轉	ʦuan3																	
轉	ʦuan5																	
傳	ʦʰuan2																	
椽	ʦʰuan2																	
篆	ʦuan5																	
傳	ʦuan5																	
專	ʦuan1																	
磚	ʦuan1																	
膞	ʦuan1																	
拙	ʦue2																	
拙	ʦʰo2																	
川	ʦʰuan1																	
穿	ʦʰuan1																	
喘	ʦʰuan3																	
串	ʦʰuan5																	
船	ʦʰuan2																	
説	so2																	
篅	suan1																	
軟	zuan3																	
娟	ʨyɛn1																	
鵑	ʨyɛn1																	
捲	ʨyɛn3																	
捲	ʨyɛn1																	
眷	ʨyɛn5																	
卷	ʨyɛn5																	
卷	ʨʰyɛn5																	
絹	ʨyɛn5																	
圈	ʨʰyɛn1																	
拳	ʨʰyɛn2																	
權	ʨʰyɛn2																	
顴	kʰuan1																	
圈	ʨyɛn5																	
倦	ʨyɛn5																	
儇	xuan1																	
圓	yɛn2																	
員	yɛn2																	
院	yɛn5																	
院	uan5																	
緣	yɛn2																	
沿	yɛn2																	
鉛	yɛn2																	
捐	ʨyɛn1																	
兖	iɛn3																	
悦	io2																	
閲	io2																	
藩	fan1																	
反	fan3																	
返	fan3																	
販	fan5																	
畈	fan5																	
㽹	fan5																	
髮	fa2																	
發	fa2																	
翻	fan1																	
番	fan1																	
嬔	fan5																	
煩	fan2																	
藩	fan2																	
礬	fan2																	
繁	fan2																	
樊	fan2																	
飯	fan5																	
飯	mɑŋ1	训读																
伐	fa2																	
筏	fa2																	
罰	fa2																	
晚	uan3																	
挽	uan3																	
挽	miɛn3																	
萬	uan5																	
蔓	man5																	
襪	ua2																	
厥	ʨye2																	
憠	ʨye2																	
蕨	ʨye2																	
勸	ʨʰyɛn5																	
券	ʨʰyɛn5																	
掘	ʨio2																	
掘	ʨʰiu2																	
橛	ʨye2																	
元	yɛn2																	
原	yɛn2																	
源	yɛn2																	
阮	yɛn3																	
願	yɛn5																	
月	ye2																	
喧	ɕyɛn1																	
楦	ɕyɛn5																	
冤	yɛn1																	
鴛	yɛn1																	
宛	uan3																	
惋	uan3																	
䘼	uan3																	
怨	yɛn5																	
苑	yɛn5																	
噦	ye2																	
袁	yɛn2																	
轅	yɛn2																	
園	yɛn2																	
援	yɛn2																	
猿	yɛn2																	
遠	yɛn3																	
越	ye2																	
曰	ua2																	
粵	ye2																	
決	ʨye2																	
訣	ʨye2																	
犬	ʨʰyɛn3																	
缺	ʨʰye2																	
血	ɕye2																	
玄	ɕyɛn2																	
懸	ɕyɛn2																	
縣	ɕiɛn5																	
眩	ɕyɛn5																	
穴	ɕie2																	
淵	yɛn1																	
吞	tʰən1																	
跟	kən1																	
根	kən1																	
懇	kʰən3																	
墾	kʰən3																	
齦	kʰən3																	
痕	xən2																	
痕	kən5																	
很	xən3																	
狠	xən3																	
恨	xən5																	
恩	ŋən1																	
彬	pin1																	
斌	pin1																	
賓	pin1																	
檳	pin1																	
濱	pin1																	
殯	pin5																	
鬢	pin5																	
筆	pi2																	
潷	pi2																	
畢	pi2																	
必	pi2																	
匹	pʰi2																	
䏘	pʰi2																	
貧	pʰin2																	
苹	pʰin2																	
頻	pʰin2																	
弼	pʰi2																	
閩	min3																	
民	min2																	
憫	min3																	
敏	min3																	
抿	min3																	
泯	min3																	
密	mi2																	
蜜	mi2																	
鄰	lin2																	
鱗	lin2																	
燐	lin2																	
疄	lin2																	
吝	lin5																	
栗	li2																	
津	ʨin1																	
儘	ʨin3																	
進	ʨin5																	
晉	ʨin5																	
親	ʨʰin1																	
親	ʨʰin5																	
瀙	ʨʰin1																	
七	ʨʰi2																	
漆	ʨʰi2																	
秦	ʨʰin2																	
盡	ʨin5																	
疾	ʨi2																	
辛	ɕin1																	
新	ɕin1																	
薪	ɕin1																	
信	ɕin5																	
訊	ɕyn5																	
悉	ɕi2																	
膝	ʨʰi2																	
蟋	ɕi2																	
珍	ʦən1																	
鎮	ʦən5																	
趁	ʦʰən5																	
陳	ʦʰən2																	
塵	ʦʰən2																	
陣	ʦən5																	
姪	ʦɿ2																	
秩	ʦʰɿ2																	
榛	ʦən1																	
臻	ʦən1																	
襯	ʦʰən5																	
瑟	ɕie2																	
蝨	ɕie2																	
真	ʦən1																	
診	ʦən1																	
疹	ʦən3																	
振	ʦən3																	
震	ʦən3																	
震	tʰən3																	
質	ʦɿ2																	
神	sən2																	
實	sɿ2																	
身	sən1																	
申	sən1																	
伸	sən1																	
绅	sən1																	
娠	sən1																	
失	sɿ2																	
室	sɿ2																	
辰	sən2																	
晨	sən2																	
臣	ʦʰən2																	
腎	sən5																	
慎	ʦʰən5																	
人	zən2																	
仁	zən2																	
忍	zən3																	
刃	zən3																	
認	zən5																	
靭	zən3																	
日	zɿ2																	
巾	ʨin1																	
緊	ʨin3																	
吉	ʨi2																	
僅	ʨin3																	
銀	in2																	
釁	ɕin5																	
因	in1																	
姻	in1																	
洇	in1																	
印	in5																	
乙	i2																	
一	i2																	
寅	in2																	
引	in3																	
逸	i2																	
斤	ʨin1																	
筋	ʨin1																	
筋	kən1																	
謹	ʨin3																	
槿	ʨin3																	
勁	ʨin5																	
訖	ʨʰi2																	
乞	ʨʰi2																	
勤	ʨʰin2																	
芹	ʨʰin2																	
近	ʨin5																	
欣	ɕin1																	
殷	in1																	
隱	in3																	
癮	in3																	
奔	pən1																	
錛	pən1																	
本	pən3																	
畚	pən3																	
逩	pən5																	
不	pu2																	
噴	pʰən1																	
噴	pfʰən5																	
盆	pʰən2																	
笨	pən5																	
勃	pʰu2																	
𡋯	pʰu2																	
餑	pʰu2																	
脖	pʰu2																	
門	mən2																	
悶	mən1																	
悶	mən5																	
没	mo2																	
敦	tən1																	
墩	tən1																	
頓	tən5																	
扽	tən5																	
暾	tʰən1																	
氽	tʰən3																	
褪	tʰən5																	
褪	tʰuei5																	
屯	tʰən2																	
豚	tʰən2																	
飩	tʰən2																	
臀	tʰən2																	
囤	tʰən2																	
沌	tʰən5																	
盾	tən5																	
鈍	tən5																	
遁	tən5																	
突	tʰu2																	
凸	tʰu2																	
嫩	lən5																	
論	lən2																	
崙	lən1																	
論	lən5																	
尊	ʦən1																	
撙	ʦən3																	
卒	ʨiu2																	
村	ʦʰən1																	
忖	ʦʰən3																	
寸	ʦʰən5																	
猝	ʨʰiu2																	
存	ʦʰən2																	
蹲	tən1																	
孫	sən1																	
損	sən3																	
遜	ɕyn5																	
昆	kʰuən1																	
崑	kʰuən1																	
滚	kuən3																	
棍	kuən5																	
骨	kuo2																	
骨	ku2																	
坤	kʰuən1																	
綑	kʰuən3																	
困	kʰuən5																	
睏	kʰuən5																	
窟	kʰu2																	
杌	vu2																	
昏	xuən1																	
婚	xuən1																	
忽	fu2																	
魂	xuən2																	
餛	xuən2																	
渾	xuən2																	
混	xuən2																	
混	xuən3																	
𣝗	xua2																	
温	uən1																	
瘟	uən1																	
穩	uən3																	
倫	lən2																	
淪	lən2																	
輪	lən2																	
綸	lən2																	
律	lu2																	
率	luei2																	
遵	ʦən1																	
俊	ʨyn5																	
峻	ʨyn5																	
駿	ʨyn5																	
皴	ʦʰən1																	
焌	ʦʰo2																	
黢	ʨʰy1																	
荀	ɕyn2																	
詢	ɕyn2																	
筍	ɕyn3																	
榫	ɕyn5																	
迅	ɕyn5																	
濬	ɕyn5																	
戌	ɕiu2																	
恤	ɕye2																	
旬	ɕyn2																	
循	ɕyn2																	
巡	ɕyn2																	
馴	ɕyn5																	
殉	ɕyn5																	
椿	ʦʰuən1																	
术	su5																	
率	so2																	
率	suai5																	
蟀	so2																	
蟀	suai5																	
肫	ʦən1																	
準	ʦuən3																	
准	ʦən3																	
准	ʦuən3																	
圳	ʦən5																	
春	ʦʰuən1																	
蠢	ʦʰuən3																	
出	ʦʰu2																	
脣	suən2																	
盾	suən3																	
吮	suən3																	
順	suən5																	
術	su5																	
述	su2																	
秫	su2																	
舜	suən5																	
純	suən2																	
蒓	suən2																	
醇	suən2																	
淳	suən2																	
鹑	suən2																	
潤	zuən5																	
閏	zuən5																	
均	ʨyn1																	
鈞	ʨyn1																	
橘	ʨiu2																	
窘	ʨyn3																	
菌	ʨyn5																	
匀	yn2																	
允	ioŋ3																	
尹	yn3																	
分	fən1																	
吩	fən1																	
饙	fən1																	
粉	fən3																	
糞	fən5																	
奮	fən5																	
弗	fu2																	
芬	fən1																	
紛	fən1																	
彿	fu2																	
焚	fən2																	
墳	fən2																	
豶	fən2																	
憤	fən5																	
忿	fən5																	
份	fən5																	
佛	fu2																	
文	uən2																	
紋	uən2																	
蚊	uən2																	
聞	uən2																	
吻	uən3																	
刎	uən3																	
問	uən5																	
璺	uən5																	
物	vu2																	
勿	vu2																	
君	ʨyn1																	
軍	ʨyn1																	
皲	ʨyn1																	
屈	ʨʰiu2																	
羣	ʨʰyn2																	
裙	ʨʰyn2																	
郡	ʨyn5																	
倔	ʨʰiu2																	
熏	ɕyn1																	
勳	ɕyn1																	
薰	ɕyn1																	
葷	ɕyn1																	
訓	ɕyn5																	
熨	yn5																	
云	yn2																	
雲	yn2																	
耘	yn2																	
韻	yn5																	
運	yn5																	
暈	yn5																	
幫	pɑŋ1																	
榜	pɑŋ3																	
謗	pɑŋ5																	
博	po2																	
膊	po2																	
搏	po2																	
滂	pʰɑŋ2																	
泊	pʰie2																	
旁	pʰɑŋ2																	
螃	pʰɑŋ2																	
膀	pʰɑŋ2																	
傍	pɑŋ5																	
薄	po2																	
泊	pie2																	
箔	pie2																	
忙	mɑŋ2																	
芒	mɑŋ2																	
茫	mɑŋ2																	
莽	mɑŋ3																	
蟒	mɑŋ3																	
莫	mo2																	
膜	mo2																	
幕	mo2																	
寞	mo2																	
摸	mo1																	
漠	mo2																	
當	tɑŋ1																	
襠	tɑŋ1																	
黨	tɑŋ3																	
擋	tɑŋ3																	
當	tɑŋ5																	
檔	tɑŋ5																	
湯	tʰɑŋ1																	
倘	tʰɑŋ3																	
躺	tʰɑŋ3																	
燙	tʰɑŋ5																	
趟	tʰɑŋ5																	
託	tʰo2																	
托	tʰo2																	
拓	tʰo2																	
箨	tʰo2																	
堂	tʰɑŋ2																	
棠	tʰɑŋ2																	
螳	tʰɑŋ2																	
唐	tʰɑŋ2																	
糖	tʰɑŋ2																	
塘	tʰɑŋ2																	
膛	tʰɑŋ2																	
蕩	tɑŋ5																	
盪	tɑŋ5																	
宕	tɑŋ5																	
鐸	to2																	
踱	to2																	
凙	to2																	
度	to2																	
囊	lɑŋ2																	
曩	lɑŋ3																	
諾	lo2																	
郎	lɑŋ2																	
廊	lɑŋ2																	
狼	lɑŋ2																	
蜋	lɑŋ2																	
榔	lɑŋ2																	
朗	lɑŋ3																	
浪	lɑŋ5																	
落	lo2																	
烙	lo2																	
駱	lo2																	
酪	lo2																	
洛	lo2																	
絡	lo2																	
樂	lo2																	
贓	ʦɑŋ1																	
髒	ʦɑŋ1																	
葬	ʦɑŋ5																	
作	ʦo2																	
倉	ʦʰɑŋ1																	
蒼	ʦʰɑŋ1																	
舱	ʦʰɑŋ1																	
沧	ʦʰɑŋ1																	
錯	ʦʰo5																	
藏	ʦʰɑŋ2																	
藏	ʨʰiɑŋ2																	
藏	ʦɑŋ5																	
臓	ʦɑŋ5																	
鑿	ʦo2																	
昨	ʦo2																	
柞	ʦo2																	
桑	sɑŋ1																	
喪	sɑŋ1																	
磉	sɑŋ3																	
嗓	sɑŋ3																	
搡	sɑŋ3																	
喪	sɑŋ5																	
索	so2																	
岡	kɑŋ1																	
崗	kɑŋ1																	
剛	kɑŋ1																	
剛	ʨiɑŋ1																	
綱	kɑŋ1																	
鋼	kɑŋ1																	
缸	kɑŋ1																	
鋼	kɑŋ5																	
各	ko2																	
閣	ko2																	
擱	ko2																	
擱	kʰo1																	
胳	ko2																	
康	kʰɑŋ1																	
糠	kʰɑŋ1																	
慷	kʰɑŋ1																	
抗	kʰɑŋ5																	
炕	kʰɑŋ5																	
囥	kʰɑŋ5																	
昂	ŋɑŋ2																	
鄂	ŋo2																	
鱷	ŋo2																	
腭	ŋo2																	
愕	ŋo2																	
郝	xo2																	
蠚	xo2																	
壑	xo2																	
行	xɑŋ2																	
航	xɑŋ2																	
杭	xɑŋ2																	
笐	xɑŋ2																	
鶴	xo2																	
骯	ŋɑŋ1																	
惡	ŋo2																	
娘	ȵiɑŋ2																	
娘	ȵiɑŋ1																	
釀	ȵiɑŋ5																	
釀	lɑŋ5																	
良	liɑŋ2																	
涼	liɑŋ2																	
量	liɑŋ2																	
糧	liɑŋ2																	
梁	liɑŋ2																	
粱	liɑŋ2																	
兩	liɑŋ3																	
亮	liɑŋ5																	
諒	liɑŋ5																	
輛	liɑŋ3																	
量	liɑŋ5																	
晾	lɑŋ5																	
略	io2																	
掠	io2																	
將	ʨiɑŋ1																	
漿	ʨiɑŋ1																	
蔣	ʨiɑŋ3																	
獎	ʨiɑŋ3																	
槳	ʨiɑŋ3																	
醬	ʨiɑŋ5																	
將	ʨiɑŋ5																	
爵	ʨio2																	
雀	ʨʰio2																	
槍	ʨʰiɑŋ1																	
搶	ʨʰiɑŋ3																	
嗆	ʨʰiɑŋ5																	
鵲	ʨʰio2																	
牆	ʨʰiɑŋ2																	
薔	ʨʰiɑŋ2																	
匠	ʨiɑŋ5																	
嚼	ʨio2																	
相	ɕiɑŋ1																	
箱	ɕiɑŋ1																	
廂	ɕiɑŋ1																	
湘	ɕiɑŋ1																	
襄	ɕiɑŋ1																	
鑲	ɕiɑŋ1																	
想	ɕiɑŋ3																	
鯗	ɕiɑŋ3																	
相	ɕiɑŋ5																	
削	ɕye2																	
詳	ɕiɑŋ2																	
祥	ɕiɑŋ2																	
翔	ɕiɑŋ2																	
象	ɕiɑŋ5																	
像	ʨʰiɑŋ5																	
像	ɕiɑŋ5																	
橡	ɕiɑŋ5																	
蟓	ɕiɑŋ5																	
張	ʦɑŋ1																	
長	ʦɑŋ3																	
漲	ʦɑŋ3																	
帳	ʦɑŋ5																	
賬	ʦɑŋ5																	
脹	ʦɑŋ5																	
着	ʦo2																	
着	ʦʰo2																	
着	ʦɑu2																	
着	tɑu3																	
暢	ʦʰɑŋ5																	
悵	ʦʰɑŋ5																	
長	ʦʰɑŋ2																	
腸	ʦʰɑŋ2																	
場	ʦʰɑŋ2																	
丈	ʦɑŋ5																	
仗	ʦɑŋ5																	
杖	ʦɑŋ5																	
莊	ʦuɑŋ1																	
裝	ʦuɑŋ1																	
壯	ʦuɑŋ5																	
瘡	ʦʰuɑŋ1																	
闖	ʦʰuɑŋ3																	
創	ʦʰuɑŋ5																	
牀	ʦʰuɑŋ2																	
狀	ʦuɑŋ5																	
霜	suɑŋ1																	
孀	suɑŋ1																	
爽	suɑŋ3																	
章	ʦɑŋ1																	
樟	ʦɑŋ1																	
蟑	ʦɑŋ1																	
彰	ʦɑŋ1																	
獐	ʦɑŋ1																	
漳	ʦɑŋ1																	
掌	ʦɑŋ3																	
障	ʦɑŋ5																	
瘴	ʦɑŋ5																	
酌	ʦo2																	
斫	ʦo2																	
昌	ʦʰɑŋ1																	
菖	ʦʰɑŋ1																	
娼	ʦʰɑŋ1																	
鯧	ʦʰɑŋ1																	
猖	ʦʰɑŋ1																	
敞	ʦʰɑŋ3																	
廠	ʦʰɑŋ3																	
唱	ʦʰɑŋ5																	
倡	ʦʰɑŋ5																	
綽	ʦʰo2																	
㪕	ʦʰo2																	
焯	ʦʰo2																	
商	sɑŋ1																	
傷	sɑŋ1																	
賞	sɑŋ3																	
晌	sɑŋ3																	
晌	sɑu3																	
餉	ɕiɑŋ3																	
常	sɑŋ2																	
嘗	sɑŋ2																	
裳	sɑŋ3																	
償	sɑŋ3																	
嫦	sɑŋ2																	
上	sɑŋ3																	
尚	sɑŋ5																	
上	sɑŋ5																	
勺	so2																	
勺	sɑu2																	
芍	sɑu2																	
瓤	zɑŋ2																	
穰	zɑŋ2																	
壤	zɑŋ3																	
攘	zɑŋ3																	
嚷	zɑŋ3																	
讓	zɑŋ5																	
若	zo2																	
箬	zo2																	
弱	zo2																	
疆	ʨiɑŋ1																	
僵	ʨiɑŋ1																	
薑	ʨiɑŋ1																	
礓	ʨiɑŋ1																	
繮	kɑŋ1																	
姜	ʨiɑŋ1																	
脚	ʨio2																	
羌	ʨʰiɑŋ1																	
卻	ʨʰio2																	
強	ʨʰiɑŋ2																	
強	ʨʰiɑŋ3																	
仰	iɑŋ3																	
虐	ȵio2																	
瘧	ȵio2																	
香	ɕiɑŋ1																	
鄉	ɕiɑŋ1																	
享	ɕiɑŋ3																	
響	ɕiɑŋ3																	
向	ɕiɑŋ5																	
央	iɑŋ1																	
秧	iɑŋ1																	
鴦	iɑŋ1																	
殃	iɑŋ1																	
約	io2																	
羊	iɑŋ2																	
洋	iɑŋ2																	
烊	iɑŋ2																	
楊	iɑŋ2																	
陽	iɑŋ2																	
揚	iɑŋ2																	
瘍	iɑŋ2																	
蛘	iɑŋ2																	
養	iɑŋ3																	
癢	iɑŋ3																	
樣	iɑŋ5																	
漾	iɑŋ5																	
藥	io2																	
鑰	io2																	
躍	io2																	
躍	iɑu5																	
光	kuɑŋ1																	
廣	kuɑŋ3																	
桄	kuɑŋ5																	
郭	kua2																	
曠	kʰuɑŋ5																	
壙	kʰuɑŋ5																	
廓	kʰua2																	
擴	kʰua2																	
荒	xuɑŋ1																	
慌	xuɑŋ1																	
謊	xuɑŋ3																	
霍	xuo2																	
藿	xuo2																	
劐	xuo2																	
黄	xuɑŋ2																	
簧	xuɑŋ2																	
皇	xuɑŋ2																	
蝗	xuɑŋ2																	
蟥	xuɑŋ2																	
凰	xuɑŋ2																	
惶	xuɑŋ2																	
晃	xuɑŋ3																	
鑊	xuo2																	
獲	xuo2																	
汪	uɑŋ1																	
蠖	uo2																	
方	fɑŋ1																	
肪	fɑŋ1																	
坊	fɑŋ1																	
倣	fɑŋ3																	
放	fɑŋ5																	
芳	fɑŋ1																	
妨	fɑŋ2																	
紡	fɑŋ3																	
仿	fɑŋ3																	
彷	fɑŋ3																	
彷	pʰɑŋ2																	
訪	fɑŋ3																	
房	fɑŋ2																	
防	fɑŋ2																	
縛	po2																	
亡	uɑŋ2																	
芒	mɑŋ2																	
網	uɑŋ3																	
輞	uɑŋ3																	
忘	uɑŋ5																	
妄	uɑŋ5																	
望	uɑŋ5																	
逛	kuɑŋ5																	
钁	kuo2																	
攫	kuo2																	
匡	kʰuɑŋ1																	
筐	kʰuɑŋ1																	
眶	kʰuɑŋ1																	
框	kʰuɑŋ1																	
狂	kʰuɑŋ2																	
况	kʰuɑŋ5																	
枉	uɑŋ3																	
王	uɑŋ2																	
往	uɑŋ3																	
旺	uɑŋ5																	
籰	uo2																	
邦	pɑŋ1																	
梆	pɑŋ1																	
綁	pɑŋ3																	
剥	po2																	
駁	po2																	
肨	pʰɑŋ5																	
胖	pʰɑŋ5																	
樸	pʰu2																	
朴	pʰu2																	
龐	pʰɑŋ2																	
棒	pɑŋ5																	
蚌	pɑŋ5																	
雹	pʰɑu2																	
雹	pɑu2																	
攮	lɑŋ3																	
樁	ʦuɑŋ1																	
桌	ʦo2																	
卓	ʦo2																	
琢	ʦo2																	
啄	ʦo2																	
啄	ʦua2																	
涿	ʦo2																	
戳	ʦʰo2																	
噇	ʦʰuɑŋ3																	
撞	ʦʰuɑŋ3																	
撞	ʦuɑŋ5																	
濁	ʦʰo2																	
擢	ʦʰo2																	
捉	ʦo2																	
窗	ʦʰɑŋ1																	
齪	ʦʰo2																	
鐲	ʦo2																	
浞	ʦʰo2																	
雙	suɑŋ1																	
雙	suɑŋ5																	
朔	so2																	
江	ʨiɑŋ1																	
扛	kɑŋ1																	
扛	kʰɑŋ2																	
豇	kɑŋ1																	
杠	kɑŋ5																	
肛	kɑŋ1																	
講	ʨiɑŋ3																	
港	kɑŋ3																	
耩	kɑŋ3																	
降	ʨiɑŋ5																	
虹	xoŋ2																	
虹	kɑŋ5																	
覺	ʨio2																	
角	ʨio2																	
角	ko2																	
餃	ʨiɑu3																	
腔	ʨʰiɑŋ1																	
確	ʨʰio2																	
搉	ʨʰio2																	
殼	kʰo2																	
嶽	io2																	
岳	io2																	
樂	io2																	
夯	xɑŋ1																	
降	ɕiɑŋ2																	
項	xɑŋ5																	
巷	xɑŋ5																	
學	ɕio2																	
握	uo2																	
龌	uo2																	
崩	pəŋ1																	
北	pie2																	
朋	pʰəŋ2																	
鵬	pʰəŋ2																	
墨	mie2																	
默	mie2																	
登	tən1																	
燈	tən1																	
等	tən3																	
戥	tən3																	
凳	tən5																	
鐙	tən5																	
得	tie2																	
德	tie2																	
忒	tʰie2																	
騰	tʰən2																	
謄	tʰən2																	
藤	tʰən2																	
疼	tʰən2																	
鄧	tən5																	
澄	tən5																	
特	tʰie2																	
能	lən2																	
楞	lən2																	
棱	lən2																	
肋	lie2																	
肋	lia2																	
勒	lie2																	
曾	ʦən1																	
增	ʦən1																	
憎	ʦən1																	
罾	ʦən1																	
則	ʨie2																	
蹭	ʦʰən5																	
曾	ʦʰən2																	
層	ʦʰən2																	
贈	ʦən5																	
賊	ʨie2																	
賊	ʦuei2																	
僧	sən1																	
塞	ɕie2																	
肯	kʰən3																	
刻	kʰe2																	
刻	kʰe2																	
克	kʰe2																	
黑	xe2																	
恒	xən2																	
冰	pin1																	
逼	pi2																	
憑	pʰin2																	
匿	ȵi2																	
陵	lin2																	
凌	lin2																	
凌	lin5																	
菱	lin2																	
力	li2																	
甑	ʦən5																	
卽	ʨi2																	
鯽	ʨi2																	
息	ɕi2																	
熄	ɕi2																	
媳	ɕi2																	
徵	ʦɿ1																	
稙	ʦɿ2																	
飭	ʦʰɿ2																	
澄	ʦʰən2																	
懲	ʦʰən2																	
橙	ʦʰən2																	
瞪	tən5																	
直	ʦɿ2																	
値	ʦɿ2																	
側	ʨʰie2																	
側	ʨie2																	
仄	ʨie2																	
測	ʨʰie2																	
惻	ʨʰie2																	
色	ɕie2																	
嗇	ɕie2																	
蒸	ʦən1																	
拯	ʦən3																	
證	ʦən5																	
症	ʦən5																	
織	ʦɿ2																	
職	ʦɿ2																	
稱	ʦʰən1																	
稱	ʦʰən5																	
秤	ʦʰən5																	
秤	ʦʰən1																	
乘	sən2																	
繩	suən2																	
塍	sən5																	
剩	sən5																	
嵊	sən5																	
食	sɿ2																	
蝕	sɿ2																	
升	sən1																	
勝	sən1																	
勝	sən5																	
識	sɿ2																	
式	sɿ5																	
飾	sɿ2																	
拭	sɿ2																	
承	sən2																	
丞	ʦʰən2																	
殖	ʦɿ2																	
植	ʦɿ2																	
仍	zən2																	
扔	zən1																	
棘	ʨi2																	
極	ʨi2																	
凝	ȵin2																	
凝	ȵin5																	
興	ɕin1																	
興	ɕin5																	
應	in1																	
鷹	in1																	
應	in5																	
憶	i2																	
億	i5																	
抑	i2																	
蠅	yn2																	
孕	zuən5																	
翼	i2																	
國	kua2																	
國	kue2																	
弘	xoŋ2																	
或	xuai2																	
惑	xua2																	
域	iu2																	
百	pie2																	
柏	pie2																	
伯	pie2																	
伯	pa2																	
迫	pʰie2																	
烹	pʰən1																	
碰	pʰəŋ5																	
碰	pʰɑŋ3																	
拍	pʰie2																	
