来源：	任冲 2018《山西偏关方言语音研究》；sainirwuu, Skanda, Hynuza 整理录入
p	［1］奔{～跑}崩□{树～～：啄木鸟}［3］本［5］笨奔{投～}迸{～裂}镚{～子：硬币}
pʰ	［1］喷{～水}烹［2］盆朋彭膨棚蓬［3］捧［5］喷{～香}
m	［2］门萌萌蒙［3］猛懵蠓{～虫}［5］闷孟梦
f	［1］分芬纷风枫疯丰封峰蜂锋［2］焚冯逢缝{～衣服}［3］粉讽［5］愤忿粪奋份问凤{～仙仙：凤仙花}奉俸缝{一条～}
v	［1］温瘟翁={主人～}□{：“我们”的合音}［2］文纹蚊闻［3］稳吻刎［5］瓮
t	［1］登灯［3］等［5］凳镫{马～}邓澄{水浑，～一～}瞪{～眼}扽{猛拉，使伸直或平整}
tʰ	［1］吞□{：“他们”的合音}［2］腾滕{姓}藤疼［5］□{：骗人}
n	［2］能［5］恁{～家：那么}
l	［3］冷［5］楞
ts	［1］曾{姓}增争筝睁□{：“咱们”的合音}［5］憎赠
tsʰ	［1］参{～差}撑［2］岑秦曾{～经}层［5］蹭{磨～}榇{棺材}
s	［1］森参{人～}僧［5］渗
tʂ	［1］针斟珍榛臻真征蒸贞侦正{～月}征［3］枕{名词}枕{动词}诊疹拯［5］镇阵振震证症锃{～光}郑掷正{～在}政
tʂʰ	［1］称{～呼}［2］沉陈尘辰晨臣澄惩橙乘承丞澄铛{烙饼用具}呈程成城诚盛{～满了}［3］牚{椅子～儿}逞整［5］趁衬称{相～}秤{一杆～}
ʂ	［1］深身申伸娠升生牲笙甥声［2］神绳塍{田间的土埂子}［3］沈审婶省{～长}省{节～}［5］葚{桑～}甚肾慎胜{～任}剩胜{～败}盛{兴～}圣
ʐ	［2］壬任{姓}人仁扔仍［3］忍［5］刃认任{责～}纫{缝～}
k	［1］根跟更{～换}庚羹耕={春～}［3］哽{骨～在喉}埂{田～}梗{～子}耿［5］更{～加}
kʰ	［1］坑［3］恳垦龈{老鼠～}肯
ŋ	［1］恩
x	［1］亨［2］痕恒衡横=［3］很［5］恨
#iɤŋ
p	［1］彬宾槟{～榔}冰兵［3］禀丙秉柄饼［5］殡鬓病并□{：“不应”的合音}
pʰ	［1］拼［2］贫频凭平坪评瓶屏萍［3］品［5］聘
m	［2］民鸣明名铭［3］闽{～越}悯敏抿皿［5］命
t	［1］丁钉{铁～}靪{补鞋底}［3］顶鼎［5］钉{～住}订{约～}定
tʰ	［1］听{～见}厅汀听{～其自然}［2］亭停廷庭蜓［3］艇挺铤{～而走险}
n	［2］凝{汤～成冻了}宁{安～}［5］硬宁{～可}佞
l	［2］林淋{～漓，～湿}陵凌菱灵零铃伶拎翎邻鳞燐［3］懔领岭［5］赁{租～}令另
tɕ	［1］今金禁{～不住}襟津巾斤筋粳{～米}耕-{～地}京荆惊擎鲸精晶睛经{～过}经{～纬}紟{：系}［3］锦尽{～管}紧仅谨景警井颈［5］浸禁{～止}妗{舅母}尽{～量}进晋近劲{有～}茎境敬竟镜竞静靖净劲{～敌}径尽{大～：指夏历有三十天的月份}
