声母	韵母	声调	字	注释	
b	əʔ	8	泊	落〜	1
b	əʔ	8	雹	龙〜	1
m	əʔ	7	望	介词	1
m	əʔ	8	没	文	1
m	əʔ	8	物	〜事	1
f	əʔ	7	覆	文	1
f	əʔ	7	腹	文	1
f	əʔ	7	復	〜员	1
v	əʔ	8	活	生～，〜动	1
v	əʔ	8	物	动〜	1
v	əʔ	8	復	恢〜	1
v	əʔ	8	服	舒〜	1
t	əʔ	7	筑	～泥墙	1
l	əʔ	8	律	〜条	1
l	əʔ	8	落	文	1
ts	əʔ	7	执	〜行	1
ts	əʔ	7	汁	墨〜	1
ts	əʔ	7	轧	〜钢厂	1
ts	əʔ	7	节	过〜	1
ts	əʔ	7	摘	文	1
tsʰ	əʔ	7	察	现〜,～看	1
tsʰ	əʔ	7	切	〜肉	1
s	əʔ	7	舍	农〜	1
s	əʔ	7	叔	〜伯	1
s	əʔ	7	畜	〜牧,六〜	1
z	əʔ	8	集	〜中,〜合	1
z	əʔ	8	习	〜惯、学〜	1
z	əʔ	8	石	〜部	1
k	əʔ	7	峡	三〜	1
k	əʔ	7	括	包〜，〜号	1
k	əʔ	7	阁	〜楼	1
kʰ	əʔ	7	磕	〜头	1
kʰ	əʔ	7	窟	〜隆	1
g	əʔ	8	何	〜物	1
g	əʔ	8	夹	名词	1
g	əʔ	8	峡	山〜	1
p	ieʔ	7	秘	〜室,〜书	1
p	ieʔ	7	辟	复〜	1
pʰ	ieʔ	7	辟	开〜	1
b	ieʔ	8	别	区～，分〜	1
m	ieʔ	7	泌	分〜	1
l	ieʔ	8	律	法～	1
l	ieʔ	8	勒	文	1
tɕ	ieʔ	7	者	记〜，学〜,之乎〜也	1
tɕ	ieʔ	7	折	〜扣	1
tɕ	ieʔ	7	揭	在〜	1
tɕ	ieʔ	7	节	～省	1
tɕ	ieʔ	7	着	衣〜,〜棋	1
tɕ	ieʔ	7	着	〜地	1
tɕ	ieʔ	7	祝	姓	1
tɕ	ieʔ	7	积	〜极，〜累	1
tɕ	ieʔ	7	迹	事〜	1
tɕʰ	ieʔ	7	处	〜底（家里）	1
tɕʰ	ieʔ	7	蹶	文	1
tɕʰ	ieʔ	7	切	一〜	1
tɕʰ	ieʔ	7	雀	孔〜	1
dʑ	ieʔ	8	直	文	1
dʑ	ieʔ	8	值	文	1
dʑ	ieʔ	8	剧	〜烈,〜团	1
ɕ	ieʔ	7	戍	卫～	1
ɕ	ieʔ	7	事	做～	1
ɕ	ieʔ	7	吸	～牢(吸住),～收	1
ɕ	ieʔ	7	设	建〜，〜计	1
ɕ	ieʔ	7	适	〜当	1
ɕ	ieʔ	7	释	解〜	1
ʑ	ieʔ	8	惹	～是生非	1
ʑ	ieʔ	8	捷	〜报	1
ʑ	ieʔ	8	袭	〜击	1
ʑ	ieʔ	8	入	出〜,收〜	1
ʑ	ieʔ	8	实	文	1
ʑ	ieʔ	8	石	姓，一〜米	1
ɦ	ieʔ	8	也	文	1
ɦ	ieʔ	8	耀	训读	1
ɦ	ieʔ	8	翼	文	1
k	uəʔ	7	括	包〜,又	1
kʰ	uəʔ	7	窟	眼珠〜	1
h	ɔʔ	8	服	佩〜	1
零	ɔʔ	7	恶	厌〜,可〜	1
零	ɔʔ	7	握	掌〜	1
ŋ	oʔ	8	雅	文〜,地名	1
零	m̩	3	母	阿〜	1
零	m̩	6	伓	不	1
零	ŋ̍	6	午	〜时，过〜	1
零	l̩	3	尔	文	1
零	l̩	3	耳	文	1
ts	ɿ	3	姊		1
ts	ɿ	3	紫		1
ts	ɿ	3	纸		1
ts	ɿ	3	只		1
ts	ɿ	3	姊		1
ts	ɿ	3	旨		1
ts	ɿ	3	指		1
ts	ɿ	3	子		1
ts	ɿ	3	梓		1
ts	ɿ	3	滓		1
ts	ɿ	3	止		1
ts	ɿ	3	趾		1
ts	ɿ	3	址		1
ts	ɿ	3	已		1
ts	ɿ	3	纪		1
ts	ɿ	3	麂		1
ts	ɿ	3	既		1
ts	ɿ	5	祭		1
ts	ɿ	5	际		1
ts	ɿ	5	脐		1
ts	ɿ	5	挤		1
ts	ɿ	5	剂		1
ts	ɿ	5	制		1
ts	ɿ	5	製		1
ts	ɿ	5	计		1
ts	ɿ	5	继		1
ts	ɿ	5	智		1
ts	ɿ	5	寄		1
ts	ɿ	5	致		1
ts	ɿ	5	至		1
ts	ɿ	5	置		1
ts	ɿ	5	志		1
ts	ɿ	5	誌		1
ts	ɿ	5	痣		1
ts	ɿ	5	记		1
ts	ɿ	5	屐		1
tsʰ	ɿ	1	粗		1
tsʰ	ɿ	1	蛆		1
tsʰ	ɿ	1	溪		1
tsʰ	ɿ	1	雌		1
tsʰ	ɿ	1	疵		1
tsʰ	ɿ	1	嗤		1
tsʰ	ɿ	1	欺		1
tsʰ	ɿ	3	扯		1
tsʰ	ɿ	3	训		1
tsʰ	ɿ	3	读		1
tsʰ	ɿ	3	启		1
tsʰ	ɿ	3	此		1
tsʰ	ɿ	3	企		1
tsʰ	ɿ	3	耻		1
tsʰ	ɿ	3	齿		1
tsʰ	ɿ	3	起		1
tsʰ	ɿ	3	岂		1
tsʰ	ɿ	5	醋		1
tsʰ	ɿ	5	刺		1
tsʰ	ɿ	5	侈		1
tsʰ	ɿ	5	翅		1
tsʰ	ɿ	5	次		1
tsʰ	ɿ	5	器		1
tsʰ	ɿ	5	弃		1
tsʰ	ɿ	5	气		1
tsʰ	ɿ	5	汽		1
dz	ɿ	2	池		1
dz	ɿ	2	驰		1
dz	ɿ	2	奇		1
dz	ɿ	2	骑		1
dz	ɿ	2	祁		1
dz	ɿ	2	鳍		1
dz	ɿ	2	持		1
dz	ɿ	2	其		1
dz	ɿ	2	棋		1
dz	ɿ	2	期		1
dz	ɿ	2	旗		1
dz	ɿ	2	祈		1
dz	ɿ	6	技		1
dz	ɿ	6	妓		1
dz	ɿ	6	雉		1
dz	ɿ	6	稚		1
dz	ɿ	6	痔		1
dz	ɿ	6	治		1
dz	ɿ	6	忌		1
s	ɿ	1	斯		1
s	ɿ	1	厮		1
s	ɿ	1	私		1
s	ɿ	1	师		1
s	ɿ	1	狮		1
s	ɿ	1	尸		1
s	ɿ	1	屍		1
s	ɿ	1	司		1
s	ɿ	1	丝		1
s	ɿ	1	思		1
s	ɿ	1	思		1
s	ɿ	1	诗		1
s	ɿ	1	嬉		1
s	ɿ	1	希		1
