繁體	简体	聲韻	聲調	注釋			
彈	弹	dɛ	13	子～			
掉	掉	diɔ	13				
椴	椴	dø	13				
段	段	dø	13				
殿	殿	die	13				
洞	洞	doŋ	13				
渡	渡	du	13				
澄	澄	diɪŋ	13	水渾，～一～			
澄	澄	dəŋ	13	水渾，～一～			
盜	盗	dɔ	13				
第	第	di	13				
緞	缎	dø	13				
蕩	荡	dɔ̃	13				
蛋	蛋	dɛ	13				
袋	袋	de	13				
調	调	diɔ	13				
豆	豆	dɤ	13				
貸	贷	de	13				
逗	逗	dɤ	13				
遁	遁	dəŋ	13				
遞	递	di	13				
鄧	邓	dəŋ	13				
鈍	钝	dəŋ	13				
鍍	镀	du	13				
隊	队	de	13				
電	电	die	13				
俱	俱	ɟy	13				
倦	倦	ɟyø	13				
健	健	ɟie	13				
僅	仅	ɟiɪŋ	13				
共	共	ɟyoŋ	13				
具	具	ɟy	13				
忌	忌	ɟi	13				
懼	惧	ɟy	13				
柩	柩	ɟiɤu	13				
櫃	柜	ɟy	13				
競	竞	ɟiɪŋ	13				
羣	羣	ɟyøŋ	13				
腱	腱	ɟie	13				
舊	旧	ɟiɤu	13				
轎	轿	ɟiɔ	13				
郡	郡	ɟyøŋ	13				
□	□	gɛ	13	東西嵌在細縫裏			
份	份	vəŋ	13				
俸	俸	voŋ	13				
傅	傅	vu	13				
務	务	vu	13				
味	味	vi	13				
問	问	vəŋ	13	文讀			
望	望	vɔ̃	13	文讀			
未	未	vi	13	文讀			
縫	缝	voŋ	13	一條～			
萬	万	vɛ	13				
護	护	vu	13				
附	附	vu	13				
霧	雾	vu	13				
飯	饭	vɛ	13				
鳳	凤	voŋ	13				
□	□	dzã	13	塞			
寨	寨	dza	13				
暫	暂	dzɛ	13				
治	治	dzɿ	13				
稚	稚	dzɿ	13				
站	站	dzɛ	13				
箸	箸	dzɿ	13	筷子			
綻	绽	dzɛ	13				
賺	赚	dzɛ	13				
鋥	锃	dzã	13				
驟	骤	dzɤ	13				
上	上	zɔ̃	13				
事	事	zɿ	13				
侍	侍	zɿ	13				
助	助	zu	13				
嗜	嗜	zɿ	13				
嗣	嗣	zɿ	13				
字	字	zɿ	13				
寺	寺	zɿ	13				
射	射	zo	13				
尚	尚	zɔ̃	13				
座	座	zo	13				
棧	栈	zɛ	13				
狀	状	zɔ̃	13				
示	示	zɿ	13				
自	自	zɿ	13				
薯	薯	zɿ	13	白讀			
視	视	zɿ	13				
豉	豉	zɿ	13	豆豉			
贈	赠	zəŋ	13				
鋭	鋭	ze	13				
飼	饲	zɿ	13				
餌	饵	zɿ	13				
髒	脏	zɔ̃	13	內～			
麝	麝	zo	13				
仲	仲	dʑyoŋ	13				
住	住	dʑy	13				
傳	传	dʑyø	13	～記			
剩	剩	dʑiɪŋ	13				
召	召	dʑiɔ	13				
售	售	dʑiɤu	13				
墜	坠	dʑy	13				
宙	宙	dʑiɤu	13				
撞	撞	dʑiɔ̃	13				
滯	滞	dʑi	13				
署	署	dʑy	13				
薯	薯	dʑy	13	文讀			
詔	诏	dʑiɔ	13				
鄭	郑	dʑiɪŋ	13				
陣	阵	dʑiɪŋ	13				
任	任	ʑiɪŋ	13	文讀			
刃	刃	ʑiɪŋ	13				
匠	匠	ʑiã	13				
單	单	ʑie	13	姓			
壽	寿	ʑiɤu	13				
就	就	ʑiɤu	13				
慎	慎	ʑiɪŋ	13				
授	授	ʑiɤu	13				
樹	树	ʑy	13				
淨	净	ʑiɪŋ	13				
潤	润	ʑyøŋ	13				
瑞	瑞	ʑy	13				
盛	盛	ʑiɪŋ	13				
睡	睡	ʑy	13				
禪	禅	ʑie	13	～讓			
穗	穗	ʑy	13				
紉	纫	ʑiɪŋ	13				
羨	羡	ʑie	13				
膳	膳	ʑie	13				
袖	袖	ʑiɤu	13				
訟	讼	ʑyoŋ	13				
誓	誓	ʑie	13				
誦	诵	ʑyoŋ	13				
謝	谢	ʑia	13				
賃	赁	ʑiɪŋ	13				
賤	贱	ʑie	13				
逝	逝	ʑie	13				
遂	遂	ʑy	13				
邵	邵	ʑiɔ	13				
順	顺	ʑyøŋ	13				
頌	颂	ʑyoŋ	13				
餞	饯	ʑie	13				
互	互	ɦu	13				
位	位	ɦue	13	新文讀			
位	位	ɦy	13				
佑	佑	ɦiɤu	13				
候	候	ɦɤ	13				
僞	僞	ɦy	13				
匯	汇	ɦue	13				
又	又	ɦiɤu	13				
和	和	ɦo	13	～面			
喻	喻	ɦy	13				
壞	坏	ɦua	13				
夏	夏	ɦo	13				
夜	夜	ɦia	13				
孕	孕	ɦiɪŋ	13				
宦	宦	ɦuɛ	13				
害	害	ɦe	13				
岸	岸	ɦø	13				
巷	巷	ɦɔ̃	13				
恨	恨	ɦəŋ	13				
悟	悟	ɦu	13				
患	患	ɦuɛ	13				
惠	惠	ɦue	13				
慧	慧	ɦue	13				
懈	懈	ɦa	13				
換	换	ɦuø	13				
效	效	ɦɔ	13				
旺	旺	ɦuɔ̃	13				
旺	旺	ɦɔ̃	13				
易	易	ɦi	13				
暇	暇	ɦo	13				
暈	晕	ɦyøŋ	13				
會	会	ɦue	13				
柚	柚	ɦiɤu	13				
校	校	ɦɔ	13	學～，上～			
械	械	ɦa	13				
樣	样	ɦiã	13				
汗	汗	ɦø	13				
泳	泳	ɦyoŋ	13				
焊	焊	ɦø	13				
焰	焰	ɦie	13				
熨	熨	ɦyøŋ	13				
爲	爲	ɦue	13	～什麼，新文讀			
爲	爲	ɦy	13	白讀，爲什麼			
現	现	ɦie	13				
用	用	ɦyoŋ	13				
畫	画	ɦua	13				
異	异	ɦi	13				
眩	眩	ɦyø	13				
硯	砚	ɦie	13				
系	系	ɦi	13	關系			
緯	纬	ɦue	13				
縣	县	ɦyø	13				
翰	翰	ɦø	13				
耀	耀	ɦiɔ	13				
肄	肄	ɦi	13	肄業			
胃	胃	ɦy	13				
艷	艷	ɦie	13				
芋	芋	ɦy	13				
號	号	ɦɔ	13				
蝟	猬	ɦy	13				
裕	裕	ɦy	13				
詠	咏	ɦyoŋ	13				
話	话	ɦua	13				
誘	诱	ɦiɤu	13				
誤	误	ɦu	13	文讀			
諱	讳	ɦue	13				
護	护	ɦu	13				
譽	誉	ɦy	13				
豫	豫	ɦy	13				
賀	贺	ɦo	13				
運	运	ɦyøŋ	13				
釉	釉	ɦiɤu	13				
閏	闰	ɦyøŋ	13				
院	院	ɦyø	13				
陷	陷	ɦɛ	13				
韻	韵	ɦyøŋ	13				
預	预	ɦy	13				
鬨	鬨	ɦoŋ	13				
鷂	鹞	ɦiɔ	13				
鹽	盐	ɦie	13	醃			
冒	冒	mɔ	13				
募	募	mo	13				
募	募	mu	13				
命	命	miɪŋ	13				
問	问	məŋ	13	白讀			
墓	墓	mo	13				
夢	梦	moŋ	13				
妄	妄	mɔ̃	13				
妙	妙	miɔ	13				
媚	媚	mi	13				
孟	孟	mã	13				
寐	寐	mi	13				
帽	帽	mɔ	13				
幔	幔	mɛ	13				
廖	廖	miɔ	13				
廟	庙	miɔ	13				
忘	忘	mɔ̃	13				
慕	慕	mu	13				
慢	慢	mɛ	13				
暮	暮	mu	13				
望	望	mɔ̃	13	白讀			
未	未	mi	13	白讀			
漫	漫	mɛ	13				
磨	磨	mo	13	名詞			
罵	骂	ma	13	文讀			
罵	骂	mo	13	白讀			
茂	茂	mɤ	13				
蔓	蔓	mɛ	13				
謬	谬	miɔ	13				
貌	貌	mɔ	13				
貿	贸	mɤ	13				
賣	卖	ma	13				
迷	迷	mi	13				
邁	迈	mɛ	13				
面	面	mie	13				
內	内	ne	13				
嫩	嫩	nəŋ	13				
怒	怒	nu	13				
糯	糯	no	13				
耐	耐	ne	13				
難	难	nɛ	13	患～			
鬧	闹	nɔ	13				
二	二	ȵi	13				
任	任	ȵiɪŋ	13	白讀			
凝	凝	ȵiɪŋ	13	湯～成凍了			
寓	寓	ȵy	13				
尿	尿	ȵiɔ	13				
念	念	ȵie	13				
毅	毅	ȵi	13				
疑	疑	ȵi	13	謎語			
禦	御	ȵy	13				
繞	绕	ȵiɔ	13	～綫			
義	义	ȵi	13				
膩	腻	ȵi	13				
藝	艺	ȵi	13				
認	认	ȵiɪŋ	13				
誼	谊	ȵi	13				
諺	谚	ȵie	13				
議	议	ȵi	13				
讓	让	ȵiã	13				
貳	贰	ȵi	13				
遇	遇	ȵy	13				
釀	酿	ȵiã	13				
願	愿	ȵyø	13				
驗	验	ȵie	13				
魏	魏	ȵy	13				
互	互	ŋu	13				
傲	傲	ŋɔ	13				
外	外	ŋa	13				
悟	悟	ŋu	13				
砑	砑	ŋo	13				
硬	硬	ŋã	13				
礙	碍	ŋe	13				
臥	卧	ŋu	13				
艾	艾	ŋe	13				
誤	误	ŋu	13	文讀			
雁	雁	ŋɛ	13				
餓	饿	ŋo	13				
亂	乱	lø	13				
亮	亮	liã	13				
令	令	liɪŋ	13				
例	例	li	13				
利	利	li	13				
勵	励	li	13				
厲	厉	li	13				
另	另	liɪŋ	13				
吏	吏	li	13				
吝	吝	liɪŋ	13				
廖	廖	liɔ	13				
弄	弄	loŋ	13				
慮	虑	ly	13				
料	料	liɔ	13				
楝	楝	lie	13				
浪	浪	lɔ̃	13				
淚	泪	li	13				
溜	溜	liɤu	13				
漏	漏	lɤ	13				
澇	涝	lɔ	13				
濫	滥	lɛ	13				
濾	滤	ly	13				
煉	炼	lie	13				
爛	烂	lɛ	13				
痢	痢	li	13				
癩	癞	la	13				
累	累	le	13				
練	练	lie	13				
諒	谅	liã	13				
論	论	ləŋ	13				
賂	赂	lu	13				
賴	赖	la	13				
路	路	lu	13				
輛	辆	liã	13				
量	量	liã	13	數～			
陋	陋	lɤ	13				
隸	隶	li	13				
露	露	lu	13				
類	类	le	13				
餾	馏	liɤu	13				
麗	丽	li	13				
二	二	ɦn	13				
貳	贰	ɦn	13				
二	二	ɦŋ	13				
貳	贰	ɦŋ	13				
丙	丙	piɪŋ	42				
保	保	pɔ	42				
俾	俾	pi	42				
匾	匾	pie	42				
堡	堡	pɔ	42				
寶	宝	pɔ	42				
彼	彼	pi	42				
扁	扁	pie	42				
扳	扳	pɛ	42				
把	把	pa	42	文讀			
把	把	po	42	白讀			
擺	摆	pa	42				
本	本	pəŋ	42				
板	板	pɛ	42				
榜	榜	pɔ̃	42				
比	比	pi	42				
版	版	pɛ	42				
秉	秉	piɪŋ	42				
稟	禀	piɪŋ	42				
綁	绑	pɔ̃	42				
表	表	piɔ	42				
補	补	pu	42				
貶	贬	pie	42				
跛	跛	pa	42				
鄙	鄙	pi	42				
飽	饱	pɔ	42				
餅	饼	piɪŋ	42				
剖	剖	pʰɤ	42				
品	品	pʰiɪŋ	42				
捧	捧	pʰoŋ	42				
普	普	pʰu	42				
浦	浦	pʰu	42				
漂	漂	pʰiɔ	42				
甫	甫	pʰu	42				
譜	谱	pʰu	42				
跑	跑	pʰɔ	42				
倒	倒	tɔ	42	打～			
典	典	tie	42				
堤	堤	ti	42				
堵	堵	tu	42				
島	岛	tɔ	42				
底	底	ti	42				
懂	懂	toŋ	42				
打	打	tã	42				
抖	抖	tɤ	42				
抵	抵	ti	42				
撣	掸	tɛ	42				
擋	挡	tɔ̃	42				
擔	担	tɛ	42	～任			
朵	朵	to	42				
短	短	tø	42				
禱	祷	tɔ	42				
等	等	təŋ	42				
肚	肚	tu	42	豬肚			
膽	胆	tɛ	42				
董	董	toŋ	42				
賭	赌	tu	42				
躲	躲	to	42				
陡	陡	tɤ	42				
頂	顶	tiɪŋ	42				
鬥	斗	tɤ	42				
鳥	鸟	tiɔ	42	白讀			
點	点	tie	42				
黨	党	tɔ̃	42				
鼎	鼎	tiɪŋ	42				
倘	倘	tʰɔ̃	42				
吐	吐	tʰu	42	吐痰			
土	土	tʰu	42				
妥	妥	tʰo	42				
挺	挺	tʰiɪŋ	42				
捅	捅	tʰoŋ	42				
敨	敨	tʰɤ	42	展開，～氣			
橢	椭	tʰo	42				
毯	毯	tʰɛ	42				
疃	疃	tʰe	42				
統	统	tʰoŋ	42				
腿	腿	tʰe	42				
舔	舔	tʰie	42				
艇	艇	tʰiɪŋ	42				
討	讨	tʰɔ	42				
躺	躺	tʰɔ̃	42				
體	体	tʰi	42				
久	久	ciɤu	42				
九	九	ciɤu	42				
假	假	cia	42	文讀，真假			
僥	侥	ciɔ	42				
儉	俭	cie	42				
剿	剿	ciɔ	42				
卷	卷	cyø	42				
□	□	cie	42	鐮刀			
境	境	ciɪŋ	42				
己	己	ci	42				
幾	几	ci	42	茶幾			
幾	几	ci	42	幾個			
拱	拱	cyoŋ	42				
景	景	ciɪŋ	42				
桔	桔	cyøŋ	42				
檢	检	cie	42				
灸	灸	ciɤu	42				
狡	狡	ciɔ	42	文讀			
癸	癸	cy	42				
矩	矩	cy	42				
矯	矫	ciɔ	42				
竟	竟	ciɪŋ	42				
筧	笕	cie	42				
糾	纠	ciɤu	42	～正			
絞	绞	ciɔ	42	文讀			
緊	紧	ciɪŋ	42				
繭	茧	cie	42				
繳	缴	ciɔ	42				
舉	举	cy	42				
襟	襟	ciɪŋ	42				
詭	诡	cy	42				
謹	谨	ciɪŋ	42				
警	警	ciɪŋ	42				
賈	贾	cia	42	文讀			
軌	轨	cy	42				
錦	锦	ciɪŋ	42				
鞏	巩	cyoŋ	42				
韭	韭	ciɤu	42				
頸	颈	ciɪŋ	42				
鬼	鬼	cy	42				
企	企	cʰi	42				
啓	啓	cʰi	42				
圈	圈	cʰyø	42	豬～			
恐	恐	cʰyoŋ	42				
杞	杞	cʰi	42				
犬	犬	cʰyø	42				
豈	岂	cʰi	42				
起	起	cʰi	42				
遣	遣	cʰie	42				
頃	顷	cʰiɪŋ	42				
估	估	ku	42				
假	假	ko	42	白讀，真～			
剮	剐	kua	42				
古	古	ku	42				
哥	哥	ko	42				
埂	埂	kã	42				
堿	碱	kɛ	42				
寡	寡	kua	42				
廣	广	kɔ̃	42				
感	感	kø	42				
憾	憾	kø	42				
揀	拣	kɛ	42				
搞	搞	kɔ	42				
擀	擀	kø	42				
攪	搅	kɔ	42				
改	改	ke	42				
敢	敢	kø	42				
杆	杆	kø	42				
果	果	ko	42				
枴	枴	kua	42				
梗	梗	kã	42				
橄	橄	kø	42				
橄	橄	kɛ	42				
減	减	kɛ	42				
港	港	kɔ̃	42				
滾	滚	kuəŋ	42				
牯	牯	ku	42				
狗	狗	kɤ	42				
狡	狡	kɔ	42	白讀			
禍	祸	ko	42				
稈	秆	kø	42				
稿	稿	kɔ	42				
竿	竿	kø	42				
管	管	kuø	42				
簡	简	kɛ	42				
絞	绞	kɔ	42	白讀			
耿	耿	kã	42				
股	股	ku	42				
苟	苟	kɤ	42				
裹	裹	ku	42				
襇	裥	kɛ	42				
解	解	ka	42				
講	讲	kɔ̃	42				
賈	贾	ko	42	白讀			
趕	赶	kø	42				
鉸	铰	kɔ	42				
館	馆	kuø	42				
馃	馃	ko	42				
鴿	鸽	kø	42				
鼓	鼓	ku	42				
傀	傀	kʰue	42				
凱	凯	kʰe	42				
口	口	kʰɤ	42				
叩	叩	kʰɤ	42				
可	可	kʰo	42				
啃	啃	kʰəŋ	42				
坎	坎	kʰø	42				
垮	垮	kʰua	42				
墾	垦	kʰəŋ	42				
孔	孔	kʰoŋ	42				
巧	巧	kʰɔ	42				
慷	慷	kʰɔ̃	42				
懇	恳	kʰəŋ	42				
捆	捆	kʰuəŋ	42				
楷	楷	kʰa	42				
款	款	kʰø	42				
烤	烤	kʰɔ	42				
砍	砍	kʰø	42				
考	考	kʰɔ	42				
肯	肯	kʰəŋ	42				
艦	舰	kʰɛ	42				
苦	苦	kʰu	42				
裸	裸	kʰo	42				
顆	颗	kʰo	42				
仿	仿	fɔ̃	42				
俯	俯	fu	42				
倣	倣	fɔ̃	42				
匪	匪	fi	42				
反	反	fɛ	42				
否	否	fɤ	42				
帆	帆	fɛ	42				
府	府	fu	42				
彷	彷	fɔ̃	42				
斧	斧	fu	42				
榧	榧	fi	42				
殕	殕	fu	42	食上生白毛			
甫	甫	fu	42				
粉	粉	fəŋ	42				
紡	纺	fɔ̃	42				
肪	肪	fɔ̃	42				
腑	腑	fu	42				
址	址	tsɿ	42				
姊	姊	tsɿ	42				
子	子	tsɿ	42				
宰	宰	tse	42				
左	左	tso	42				
找	找	tsɔ	42				
指	指	tsɿ	42				
掌	掌	tsɔ̃	42				
斬	斩	tsɛ	42				
旨	旨	tsɿ	42				
早	早	tsɔ	42				
梓	梓	tsɿ	42				
棗	枣	tsɔ	42				
止	止	tsɿ	42				
滓	滓	tsɿ	42				
澡	澡	tsɔ	42				
煮	煮	tsɿ	42				
爪	爪	tsɔ	42				
盞	盏	tsɛ	42				
祖	祖	tsu	42				
紙	纸	tsɿ	42				
紫	紫	tsɿ	42				
組	组	tsu	42				
總	总	tsoŋ	42				
蚤	蚤	tsɔ	42				
走	走	tsɤ	42				
趾	趾	tsɿ	42				
阻	阻	tsu	42				
吵	吵	tsʰɔ	42				
彩	彩	tsʰe	42				
忖	忖	tsʰəŋ	42				
恥	耻	tsʰɿ	42				
慘	惨	tsʰø	42				
扯	扯	tsʰɿ	42				
楚	楚	tsʰu	42				
此	此	tsʰɿ	42				
炒	炒	tsʰɔ	42				
猜	猜	tsʰe	42				
睬	睬	tsʰe	42				
礎	础	tsʰɿ	42	柱下石			
草	草	tsʰɔ	42				
采	采	tsʰe	42				
鏟	铲	tsʰɛ	42				
騲	騲	tsʰɔ	42				
鼠	鼠	tsʰɿ	42				
齒	齿	tsʰɿ	42				
使	使	sɿ	42				
傘	伞	sɛ	42				
傻	傻	sa	42				
叟	叟	sɤ	42				
史	史	sɿ	42				
嗓	嗓	sɔ̃	42				
始	始	sɿ	42				
嫂	嫂	sɔ	42				
所	所	su	42				
掃	扫	sɔ	42				
損	损	səŋ	42				
搡	搡	sɔ̃	42				
散	散	sɛ	42	鞋帶～了			
數	数	su	42	動詞			
死	死	sɿ	42				
灑	洒	sa	42				
爽	爽	sɔ̃	42				
瑣	琐	so	42				
產	产	sɛ	42				
省	省	sã	42				
磉	磉	sɔ̃	42	柱下石			
耍	耍	sa	42				
舍	舍	so	42				
賞	赏	sɔ̃	42				
鎖	锁	so	42				
駛	驶	sa	42	白讀			
駛	驶	sɿ	42	文讀			
主	主	tɕy	42				
井	井	tɕiɪŋ	42				
准	准	tɕyøŋ	42				
剪	剪	tɕie	42				
嘴	嘴	tɕy	42				
姐	姐	tɕia	42	白讀			
展	展	tɕie	42				
帚	帚	tɕiɤu	42				
拄	拄	tɕy	42				
拯	拯	tɕiɪŋ	42				
擠	挤	tɕi	42				
整	整	tɕiɪŋ	42				
枕	枕	tɕiɪŋ	42				
槳	桨	tɕiã	42				
沼	沼	tɕiɔ	42				
漲	涨	tɕiã	42				
獎	奖	tɕiã	42				
疹	疹	tɕiɪŋ	42				
種	种	tɕyoŋ	42	～類			
者	者	tɕia	42				
肘	肘	tɕiɤu	42				
腫	肿	tɕyoŋ	42				
蔣	蒋	tɕiã	42				
診	诊	tɕiɪŋ	42				
轉	转	tɕyø	42				
酒	酒	tɕiɤu	42				
長	长	tɕiã	42	生～			
雀	雀	tɕiã	42				
且	且	tɕʰia	42				
取	取	tɕʰy	42				
喘	喘	tɕʰyø	42				
娶	娶	tɕʰy	42				
寢	寝	tɕʰiɪŋ	42				
寵	宠	tɕʰyoŋ	42				
搶	抢	tɕʰiã	42				
杵	杵	tɕʰy	42				
淺	浅	tɕʰie	42				
蠢	蠢	tɕʰyøŋ	42				
褚	褚	tɕʰy	42				
請	请	tɕʰiɪŋ	42				
醜	丑	tɕʰiɤu	42				
闖	闯	tɕʰiɔ̃	42				
刷	刷	ɕyø	42				
嬸	婶	ɕiɪŋ	42				
守	守	ɕiɤu	42				
審	审	ɕiɪŋ	42				
寫	写	ɕia	42				
小	小	ɕiɔ	42				
少	少	ɕiɔ	42				
悄	悄	ɕiɔ	42				
想	想	ɕiã	42				
手	手	ɕiɤu	42				
晌	晌	ɕiã	42				
暑	暑	ɕy	42				
榫	榫	ɕyøŋ	42				
水	水	ɕy	42				
沈	沈	ɕiɪŋ	42				
洗	洗	ɕi	42				
瓖	瓖	ɕiã	42				
癬	癣	ɕie	42				
省	省	ɕiɪŋ	42	反～			
筍	笋	ɕyøŋ	42				
蟀	蟀	ɕyøŋ	42				
選	选	ɕyø	42				
醒	醒	ɕiɪŋ	42				
陝	陕	ɕie	42				
餉	饷	ɕiã	42				
首	首	ɕiɤu	42				
髓	髓	ɕy	42				
鯗	鲞	ɕiã	42				
享	享	çiã	42				
喜	喜	çi	42				
嬉	嬉	çi	42				
曉	晓	çiɔ	42				
朽	朽	çiɤu	42				
毀	毁	çy	42				
蟢	蟢	çi	42				
許	许	çy	42				
險	险	çie	42				
響	响	çiã	42				
顯	显	çie	42				
吼	吼	hɤ	42				
哄	哄	hoŋ	42				
喊	喊	hɛ	42				
夥	伙	ho	42				
好	好	hɔ	42	～壞			
很	很	həŋ	42				
晃	晃	hɔ̃	42				
海	海	he	42				
滸	浒	hu	42				
火	火	ho	42				
虎	虎	hu	42				
蟹	蟹	ha	42				
謊	谎	hɔ̃	42				
賄	贿	hue	42				
了	了	ʔliɔ	42	～結			
儡	儡	ʔle	42				
兩	两	ʔliã	42				
冷	冷	ʔlã	42				
卵	卵	ʔlo	42	文讀			
卵	卵	ʔlø	42	白讀			
呂	吕	ʔly	42				
壘	垒	ʔle	42				
屢	屡	ʔly	42				
履	履	ʔly	42				
嶺	岭	ʔliɪŋ	42				
懶	懒	ʔlɛ	42				
拎	拎	ʔliɪŋ	42				
摟	搂	ʔlɤ	42				
撈	捞	ʔlɔ	42				
攋	攋	ʔla	42				
攬	揽	ʔlɛ	42				
旅	旅	ʔly	42				
朗	朗	ʔlɔ̃	42				
李	李	ʔli	42				
柳	柳	ʔliɤu	42				
櫓	橹	ʔlu	42				
欖	榄	ʔlɛ	42				
理	理	ʔli	42				
禮	礼	ʔli	42				
簍	篓	ʔlɤ	42				
累	累	ʔle	42	～積			
縷	缕	ʔly	42				
纜	缆	ʔlɛ	42				
老	老	ʔlɔ	42				
臉	脸	ʔlie	42				
虜	虏	ʔlo	42				
裏	里	ʔli	42				
覽	览	ʔlɛ	42				
領	领	ʔliɪŋ	42				
魯	鲁	ʔlu	42				
鯉	鲤	ʔli	42				
鹵	卤	ʔlu	42				
免	免	ʔmie	42				
勉	勉	ʔmie	42				
卯	卯	ʔmɔ	42				
娩	娩	ʔme	42				
尾	尾	ʔmi	42	白讀			
憫	悯	ʔmiɪŋ	42				
懵	懵	ʔmoŋ	42				
抿	抿	ʔmiɪŋ	42				
拇	拇	ʔmɤ	42	文讀			
拇	拇	ʔm	42	白讀			
挽	挽	ʔmɛ	42				
敏	敏	ʔmiɪŋ	42				
晚	晚	ʔmɛ	42				
某	某	ʔm	42				
母	母	ʔmɤ	42	文讀			
母	母	ʔm	42	白讀			
每	每	ʔme	42				
渺	渺	ʔmiɔ	42				
滿	满	ʔmø	42				
澠	渑	ʔmie	42				
牡	牡	ʔmɤ	42				
猛	猛	ʔmã	42				
畝	亩	ʔm	42				
皿	皿	ʔmiɪŋ	42				
碼	码	ʔmo	42				
秒	秒	ʔmiɔ	42				
米	米	ʔmi	42				
網	网	ʔmɔ̃	42				
緬	缅	ʔmie	42				
美	美	ʔme	42				
莽	莽	ʔmã	42				
藐	藐	ʔmiɔ	42				
蟒	蟒	ʔmã	42				
買	买	ʔma	42				
閩	闽	ʔmiɪŋ	42				
靡	靡	ʔmi	42				
馬	马	ʔmo	42				
乃	乃	ʔna	42				
努	努	ʔnu	42				
哪	哪	ʔna	42				
奈	奈	ʔna	42				
奶	奶	ʔna	42				
惱	恼	ʔnɔ	42				
暖	暖	ʔnəŋ	42	熱			
腦	脑	ʔnɔ	42				
那	那	ʔna	42				
五	五	ʔŋ	42				
偶	偶	ʔŋɤ	42				
午	午	ʔŋ	42				
咬	咬	ʔŋɔ	42				
我	我	ʔŋe	42	白讀			
我	我	ʔŋo	42	文讀			
爾	尔	ʔŋ	42				
瓦	瓦	ʔŋo	42				
眼	眼	ʔŋɛ	42				
耳	耳	ʔŋ	42	白讀			
藕	藕	ʔŋɤ	42				
駭	骇	ʔŋa	42				
仰	仰	ʔȵiã	42				
女	女	ʔȵy	42				
扭	扭	ʔȵiɤu	42				
拈	拈	ʔȵie	42				
揉	揉	ʔȵiɤu	42				
撚	捻	ʔȵie	42				
染	染	ʔȵie	42				
碾	碾	ʔȵie	42				
粘	粘	ʔȵie	42				
紐	纽	ʔȵiɤu	42				
耳	耳	ʔȵi	42	白讀			
蕊	蕊	ʔȵy	42				
語	语	ʔȵy	42				
軟	软	ʔȵyø	42				
輦	辇	ʔȵie	42				
迎	迎	ʔȵiɪŋ	42				
阮	阮	ʔȵyø	42				
鳥	鸟	ʔȵiɔ	42	文讀			
黏	黏	ʔȵie	42				
下	下	o	42				
也	也	ia	42				
亥	亥	e	42				
以	以	i	42				
伍	伍	u	42				
偉	伟	y	42				
允	允	yøŋ	42				
劃	划	ua	42	劃船			
勇	勇	yoŋ	42				
厚	厚	ɤ	42				
友	友	iɤu	42				
右	右	iɤu	42				
啞	哑	o	42				
嘔	呕	ɤ	42				
塢	坞	u	42				
委	委	ue	42				
宇	宇	y	42				
宛	宛	yø	42				
宴	宴	ie	42				
尹	尹	yøŋ	42				
已	已	i	42				
幸	幸	ã	42				
幻	幻	uɛ	42				
廈	厦	o	42				
引	引	iɪŋ	42				
影	影	iɪŋ	42				
往	往	iɔ̃	42				
往	往	uɔ̃	42				
後	后	ɤ	42				
愈	愈	y	42				
戶	户	u	42				
掩	掩	ie	42				
揞	揞	e	42	～住			
擁	拥	yoŋ	42				
旱	旱	ø	42				
有	有	iɤu	42				
杏	杏	ã	42				
杳	杳	iɔ	42				
枉	枉	uɔ̃	42				
枉	枉	ɔ̃	42				
椅	椅	y	42				
毆	殴	ɤ	42				
永	永	yoŋ	42				
浩	浩	ɔ	42				
渾	浑	uəŋ	42				
湧	涌	yoŋ	42				
滬	沪	u	42				
演	演	ie	42				
甬	甬	yoŋ	42				
癢	痒	iã	42				
皖	皖	uø	42				
矮	矮	a	42				
碗	碗	uø	42				
禍	祸	o	42				
禹	禹	y	42				
穎	颖	iɪŋ	42				
穩	稳	uəŋ	42				
緩	缓	uø	42				
罕	罕	ø	42				
羽	羽	y	42				
腕	腕	uø	42				
舀	舀	iɔ	42				
萎	萎	ue	42				
葫	葫	u	42				
襖	袄	ɔ	42				
豌	豌	uø	42				
遠	远	yø	42				
酉	酉	iɤu	42				
野	野	ia	42				
限	限	ɛ	42				
隱	隐	iɪŋ	42				
雅	雅	ia	42	文讀			
雨	雨	y	42				
項	项	ɔ̃	42				
飲	饮	iɪŋ	42				
養	养	iã	42				
餡	馅	ɛ	42				
鴨	鸭	ɛ	42				
並	并	piɪŋ	55	合～			
半	半	pø	55				
報	报	pɔ	55				
壩	坝	po	55				
布	布	pu	55				
庇	庇	pi	55				
怖	怖	pu	55				
扮	扮	pɛ	55				
拜	拜	pa	55				
斃	毙	pi	55				
柄	柄	piɪŋ	55				
欛	欛	po	55				
殯	殡	piɪŋ	55				
泌	泌	pi	55				
痹	痹	pi	55				
秘	秘	pi	55				
簸	簸	pe	55	動詞			
簸	簸	po	55	～箕			
絆	绊	pɛ	55				
背	背	pe	55				
臂	臂	pi	55				
謗	谤	pɔ̃	55				
變	变	pie	55				
豹	豹	pɔ	55				
貝	贝	pe	55				
輩	辈	pe	55				
迸	迸	poŋ	55				
逩	逩	pəŋ	55				
遍	遍	pie	55				
閉	闭	pi	55	文讀			
霸	霸	po	55				
鬢	鬓	piɪŋ	55				
判	判	pʰø	55				
屁	屁	pʰi	55				
怕	怕	pʰo	55				
沛	沛	pʰe	55				
泡	泡	pʰɔ	55				
