fanti	jianti	pinyin2	pinyin	ipa	beizhu
嗅	嗅	caau	caau5	tsʰau³³	
巢	巢	caau	caau2	tsʰau⁴⁴	
囚	囚	caau	caau2	tsʰau⁴⁴	
惆	惆	caau	caau2	tsʰau⁴⁴	
綢	绸	caau	caau2	tsʰau⁴⁴	
稠	稠	caau	caau2	tsʰau⁴⁴	
籌	筹	caau	caau2	tsʰau⁴⁴	
酬	酬	caau	caau2	tsʰau⁴⁴	
修	修	saau	saau1	sau²⁴	
羞	羞	saau	saau1	sau²⁴	
搜	搜	saau	saau1	sau²⁴	
颼	飕	saau	saau1	sau²⁴	
收	收	saau	saau1	sau²⁴	
叟	叟	saau	saau3	sau³⁵	
手	手	saau	saau3	sau³⁵	
首	首	saau	saau3	sau³⁵	
守	守	saau	saau3	sau³⁵	
潲	潲	saau	saau5	sau³³	
嗽	嗽	saau	saau5	sau³³	
秀	秀	saau	saau5	sau³³	
繡	绣	saau	saau5	sau³³	
餿	馊	saau	saau5	sau³³	
瘦	瘦	saau	saau5	sau³³	
漱	漱	saau	saau5	sau³³	
獸	兽	saau	saau5	sau³³	
愁	愁	saau	saau2	sau⁴⁴	
仇	仇	saau	saau2	sau⁴⁴	
受	受	saau	saau6	sau²²	
壽	寿	saau	saau6	sau²²	
授	授	saau	saau6	sau²²	
售	售	saau	saau6	sau²²	
交	交	gaau	gaau1	kau²⁴	
膠	胶	gaau	gaau1	kau²⁴	
溝	沟	gaau	gaau1	kau²⁴	
鳩	鸠	gaau	gaau1	kau²⁴	
郊	郊	gaau	gaau1h	kau⁵⁵	
絞	绞	gaau	gaau3	kau³⁵	
狡	狡	gaau	gaau3	kau³⁵	
攪	搅	gaau	gaau3	kau³⁵	
搞	搞	gaau	gaau3	kau³⁵	
狗	狗	gaau	gaau3	kau³⁵	
苟	苟	gaau	gaau3	kau³⁵	
九	九	gaau	gaau3	kau³⁵	
久	久	gaau	gaau3	kau³⁵	
韭	韭	gaau	gaau3	kau³⁵	
餃	饺	gaau	gaau3	kau³⁵	
酵	酵	gaau	gaau3	kau³⁵	白读。
教	教	gaau	gaau5	kau³³	
鉸	铰	gaau	gaau5	kau³³	
校	校	gaau	gaau5	kau³³	上~；~对。
較	较	gaau	gaau5	kau³³	
窖	窖	gaau	gaau5	kau³³	
覺	觉	gaau	gaau5	kau³³	睡~。
夠	够	gaau	gaau5	kau³³	
構	构	gaau	gaau5	kau³³	
購	购	gaau	gaau5	kau³³	
灸	灸	gaau	gaau5	kau³³	
救	救	gaau	gaau5	kau³³	
究	究	gaau	gaau5	kau³³	
廄	厩	gaau	gaau5	kau³³	
咎	咎	gaau	gaau5	kau³³	
垢	垢	gaau	gaau6	kau²²	
臼	臼	gaau	gaau6	kau²²	
舊	旧	gaau	gaau6	kau²²	
柩	柩	gaau	gaau6	kau²²	
鬮	阄	kaau	kaau1	kʰau²⁴	
摳	抠	kaau	kaau1h	kʰau⁵⁵	
靠	靠	kaau	kaau5	kʰau³³	
叩	叩	kaau	kaau5	kʰau³³	
口	口	kaau	kaau5	kʰau³³	
寇	寇	kaau	kaau5	kʰau³³	
磕	磕	kaau	kaau5	kʰau³³	以“叩”训“磕”。
求	求	kaau	kaau2	kʰau⁴⁴	
球	球	kaau	kaau2	kʰau⁴⁴	
裘	裘	kaau	kaau2	kʰau⁴⁴	
舅	舅	kaau	kaau2	kʰau⁴⁴	
敲	敲	haau	haau1	hau²⁴	
烤	烤	haau	haau1h	hau⁵⁵	
酵	酵	haau	haau1h	hau⁵⁵	文读。
吼	吼	haau	haau1h	hau⁵⁵	
考	考	haau	haau3	hau³⁵	
巧	巧	haau	haau3	hau³⁵	
口	口	haau	haau3	hau³⁵	
孝	孝	haau	haau5	hau³³	
侯	侯	haau	haau2	hau⁴⁴	
喉	喉	haau	haau2	hau⁴⁴	
猴	猴	haau	haau2	hau⁴⁴	
瘊	瘊	haau	haau2	hau⁴⁴	
厚	厚	haau	haau4	hau¹³	
後	后	haau	haau6	hau²²	
后	后	haau	haau6	hau²²	
候	候	haau	haau6	hau²²	
逅	逅	haau	haau6	hau²²	
勾	勾	ngaau	ngaau1	ŋau²⁴	
鉤	钩	ngaau	ngaau1	ŋau²⁴	
淆	淆	ngaau	ngaau2	ŋau⁴⁴	
肴	肴	ngaau	ngaau2	ŋau⁴⁴	
牛	牛	ngaau	ngaau2	ŋau⁴⁴	
咬	咬	ngaau	ngaau4	ŋau¹³	
藕	藕	ngaau	ngaau4	ŋau¹³	
偶	偶	ngaau	ngaau4	ŋau¹³	
丘	丘	jaau	jaau1	jau²⁴	
邱	邱	jaau	jaau1	jau²⁴	
休	休	jaau	jaau1	jau²⁴	
憂	忧	jaau	jaau1	jau²⁴	
優	优	jaau	jaau1h	jau⁵⁵	
幽	幽	jaau	jaau1h	jau⁵⁵	
幼	幼	jaau	jaau5	jau³³	
柔	柔	jaau	jaau2	jau⁴⁴	
揉	揉	jaau	jaau2	jau⁴⁴	
尤	尤	jaau	jaau2	jau⁴⁴	
郵	邮	jaau	jaau2	jau⁴⁴	
由	由	jaau	jaau2	jau⁴⁴	
油	油	jaau	jaau2	jau⁴⁴	
遊	游	jaau	jaau2	jau⁴⁴	
猶	犹	jaau	jaau2	jau⁴⁴	
悠	悠	jaau	jaau2	jau⁴⁴	
攸	攸	jaau	jaau2	jau⁴⁴	
有	有	jaau	jaau4	jau¹³	
友	友	jaau	jaau4	jau¹³	
酉	酉	jaau	jaau4	jau¹³	
誘	诱	jaau	jaau4	jau¹³	
又	又	jaau	jaau6	jau²²	
右	右	jaau	jaau6	jau²²	
佑	佑	jaau	jaau6	jau²²	
祐	祐	jaau	jaau6	jau²²	
柚	柚	jaau	jaau6	jau²²	
鼬	鼬	jaau	jaau6	jau²²	
釉	釉	jaau	jaau6	jau²²	
歐	欧	aau	aau1	au²⁴	
嘔	呕	aau	aau3	au³⁵	
毆	殴	aau	aau3	au³⁵	
漚	沤	aau	aau3	au³⁵	
慪	怄	aau	aau3	au³⁵	
坳	坳	aau	aau5	au³³	
標	标	biu	biu1	piu²⁴	
彪	彪	biu	biu1	piu²⁴	
飆	飙	biu	biu1h	piu⁵⁵	
錶	表	biu	biu1h	piu⁵⁵	
表	表	biu	biu3	piu³⁵	
飄	飘	piu	piu1	pʰiu²⁴	
票	票	piu	piu5	pʰiu³³	
漂	漂	piu	piu5	pʰiu³³	
嫖	嫖	piu	piu2	pʰiu⁴⁴	
苗	苗	miu	miu2	miu⁴⁴	
描	描	miu	miu2	miu⁴⁴	
廟	庙	miu	miu3	miu³⁵	
藐	藐	miu	miu4	miu¹³	
秒	秒	miu	miu4	miu¹³	
渺	渺	miu	miu4	miu¹³	
妙	妙	miu	miu4	miu¹³	
繆	缪	miu	miu4	miu¹³	姓。
刁	刁	diu	diu1	tiu²⁴	
貂	貂	diu	diu1	tiu²⁴	
雕	雕	diu	diu1	tiu²⁴	
丟	丢	diu	diu1	tiu²⁴	
釣	钓	diu	diu5	tiu³³	
吊	吊	diu	diu5	tiu³³	
掉	掉	diu	diu6	tiu²²	
調	调	diu	diu6	tiu²²	音~；~动。
挑	挑	tiu	tiu1	tʰiu²⁴	
跳	跳	tiu	tiu5	tʰiu³³	
條	条	tiu	tiu2	tʰiu⁴⁴	
調	调	tiu	tiu2	tʰiu⁴⁴	~和。
鳥	鸟	niu	niu4	niu¹³	
尿	尿	niu	niu6	niu²²	
撩	撩	liu	liu2	liu⁴⁴	
燎	燎	liu	liu2	liu⁴⁴	
療	疗	liu	liu2	liu⁴⁴	
聊	聊	liu	liu2	liu⁴⁴	
遼	辽	liu	liu2	liu⁴⁴	
寥	寥	liu	liu2	liu⁴⁴	
了	了	liu	liu4	liu¹³	
料	料	liu	liu6	liu²²	
廖	廖	liu	liu6	liu²²	
焦	焦	ziu	ziu1	tsiu²⁴	
蕉	蕉	ziu	ziu1	tsiu²⁴	
椒	椒	ziu	ziu1	tsiu²⁴	
朝	朝	ziu	ziu1	tsiu²⁴	今~。
招	招	ziu	ziu1	tsiu²⁴	
剿	剿	ziu	ziu3	tsiu³⁵	
沼	沼	ziu	ziu3	tsiu³⁵	
醮	醮	ziu	ziu5	tsiu³³	
照	照	ziu	ziu5	tsiu³³	
詔	诏	ziu	ziu5	tsiu³³	
噍	噍	ziu	ziu6	tsiu²²	
趙	赵	ziu	ziu6	tsiu²²	
召	召	ziu	ziu6	tsiu²²	
超	超	ciu	ciu1	tsʰiu²⁴	
昭	昭	ciu	ciu1h	tsʰiu⁵⁵	
悄	悄	ciu	ciu5	tsʰiu³³	
俏	俏	ciu	ciu5	tsʰiu³³	
樵	樵	ciu	ciu2	tsʰiu⁴⁴	
瞧	瞧	ciu	ciu2	tsʰiu⁴⁴	
潮	潮	ciu	ciu2	tsʰiu⁴⁴	
朝	朝	ciu	ciu2	tsʰiu⁴⁴	~代。
消	消	siu	siu1	siu²⁴	
宵	宵	siu	siu1	siu²⁴	
硝	硝	siu	siu1	siu²⁴	
銷	销	siu	siu1	siu²⁴	
霄	霄	siu	siu1	siu²⁴	
燒	烧	siu	siu1	siu²⁴	
蕭	萧	siu	siu1	siu²⁴	
簫	箫	siu	siu1	siu²⁴	
梢	梢	siu	siu1h	siu⁵⁵	
捎	捎	siu	siu1h	siu⁵⁵	
稍	稍	siu	siu1h	siu⁵⁵	
鞘	鞘	siu	siu1h	siu⁵⁵	
小	小	siu	siu3	siu³⁵	
少	少	siu	siu3	siu³⁵	多~。
笑	笑	siu	siu5	siu³³	
少	少	siu	siu5	siu³³	~年。
韶	韶	siu	siu2	siu⁴⁴	
兆	兆	siu	siu6	siu²²	
肇	肇	siu	siu6	siu²²	
紹	绍	siu	siu6	siu²²	
邵	邵	siu	siu6	siu²²	
驕	骄	giu	giu1	kiu²⁴	
嬌	娇	giu	giu1	kiu²⁴	
矯	矫	giu	giu3	kiu³⁵	
繳	缴	giu	giu3	kiu³⁵	
叫	叫	giu	giu5	kiu³³	
轎	轿	kiu	kiu3	kʰiu³⁵	
竅	窍	kiu	kiu5	kʰiu³³	
喬	乔	kiu	kiu2	kʰiu⁴⁴	
僑	侨	kiu	kiu2	kʰiu⁴⁴	
橋	桥	kiu	kiu2	kʰiu⁴⁴	
蕎	荞	kiu	kiu2	kʰiu⁴⁴	
囂	嚣	hiu	hiu1h	hiu⁵⁵	
僥	侥	hiu	hiu1h	hiu⁵⁵	
曉	晓	hiu	hiu3	hiu³⁵	
妖	妖	jiu	jiu1	jiu²⁴	
腰	腰	jiu	jiu1	jiu²⁴	
邀	邀	jiu	jiu1h	jiu⁵⁵	
要	要	jiu	jiu1h	jiu⁵⁵	~求。
夭	夭	jiu	jiu1h	jiu⁵⁵	
么	幺	jiu	jiu1h	jiu⁵⁵	
吆	吆	jiu	jiu1h	jiu⁵⁵	
鐃	铙	jiu	jiu3	jiu³⁵	
擾	扰	jiu	jiu3	jiu³⁵	
繞	绕	jiu	jiu3	jiu³⁵	
澆	浇	jiu	jiu3	jiu³⁵	
要	要	jiu	jiu5	jiu³³	重~。
饒	饶	jiu	jiu2	jiu⁴⁴	
搖	摇	jiu	jiu2	jiu⁴⁴	
謠	谣	jiu	jiu2	jiu⁴⁴	
窯	窑	jiu	jiu2	jiu⁴⁴	
姚	姚	jiu	jiu2	jiu⁴⁴	
堯	尧	jiu	jiu2	jiu⁴⁴	
舀	舀	jiu	jiu4	jiu¹³	
耀	耀	jiu	jiu6	jiu²²	
鷂	鹞	jiu	jiu6	jiu²²	
褒	褒	bou	bou1	pou²⁴	
保	保	bou	bou3	pou³⁵	
堡	堡	bou	bou3	pou³⁵	
寶	宝	bou	bou3	pou³⁵	
報	报	bou	bou5	pou³³	
瀑	瀑	bou	bou5	pou³³	
暴	暴	bou	bou6	pou²²	
曝	曝	bou	bou6	pou²²	
袍	袍	pou	pou2	pʰou⁴⁴	
抱	抱	pou	pou2	pʰou⁴⁴	
泡	泡	pou	pou2	pʰou⁴⁴	~沫。
蟆	蟆	mou	mou1	mou²⁴	
帽	帽	mou	mou3	mou³⁵	
冒	冒	mou	mou6	mou²²	
浮	浮	fou	fou2	fou⁴⁴	
刀	刀	dou	dou1	tou²⁴	
叨	叨	dou	dou1	tou²⁴	
島	岛	dou	dou3	tou³⁵	
倒	倒	dou	dou3	tou³⁵	打~。
搗	捣	dou	dou3	tou³⁵	
到	到	dou	dou5	tou³³	
倒	倒	dou	dou5	tou³³	~水。
道	道	dou	dou6	tou²²	
稻	稻	dou	dou6	tou²²	
盜	盗	dou	dou6	tou²²	
導	导	dou	dou6	tou²²	
蹈	蹈	dou	dou6	tou²²	
滔	滔	tou	tou1h	tʰou⁵⁵	
禱	祷	tou	tou3	tʰou³⁵	
套	套	tou	tou5	tʰou³³	
掏	掏	tou	tou2	tʰou⁴⁴	
桃	桃	tou	tou2	tʰou⁴⁴	
逃	逃	tou	tou2	tʰou⁴⁴	
淘	淘	tou	tou2	tʰou⁴⁴	
陶	陶	tou	tou2	tʰou⁴⁴	
萄	萄	tou	tou2	tʰou⁴⁴	
濤	涛	tou	tou2	tʰou⁴⁴	
惱	恼	nou	nou4	nou¹³	
腦	脑	nou	nou4	nou¹³	
撈	捞	lou	lou1h	lou⁵⁵	
鹿	鹿	lou	lou3	lou³⁵	
勞	劳	lou	lou2	lou⁴⁴	
牢	牢	lou	lou2	lou⁴⁴	
嘮	唠	lou	lou2	lou⁴⁴	
老	老	lou	lou4	lou¹³	
澇	涝	lou	lou4	lou¹³	
遭	遭	zou	zou1	tsou²⁴	
糟	糟	zou	zou1	tsou²⁴	
早	早	zou	zou3	tsou³⁵	
棗	枣	zou	zou3	tsou³⁵	
灶	灶	zou	zou5	tsou³³	
造	造	zou	zou6	tsou²²	
皂	皂	zou	zou6	tsou²²	
操	操	cou	cou1	tsʰou²⁴	
草	草	cou	cou3	tsʰou³⁵	
措	措	cou	cou5	tsʰou³³	
澡	澡	cou	cou5	tsʰou³³	
躁	躁	cou	cou5	tsʰou³³	
糙	糙	cou	cou5	tsʰou³³	
躁	躁	cou	cou5	tsʰou³³	
噪	噪	cou	cou5	tsʰou³³	
曹	曹	cou	cou2	tsʰou⁴⁴	
糟	糟	cou	cou2	tsʰou⁴⁴	
臊	臊	sou	sou1	sou²⁴	
嫂	嫂	sou	sou3	sou³⁵	
掃	扫	sou	sou5	sou³³	
高	高	gou	gou1	kou²⁴	
膏	膏	gou	gou1	kou²⁴	
篙	篙	gou	gou1	kou²⁴	
羔	羔	gou	gou1	kou²⁴	
糕	糕	gou	gou1	kou²⁴	
稿	稿	gou	gou3	kou³⁵	
告	告	gou	gou5	kou³³	
蒿	蒿	hou	hou1h	hou⁵⁵	
好	好	hou	hou3	hou³⁵	
犒	犒	hou	hou5	hou³³	
好	好	hou	hou5	hou³³	喜~。
豪	豪	hou	hou2	hou⁴⁴	
壕	壕	hou	hou2	hou⁴⁴	
毫	毫	hou	hou2	hou⁴⁴	
號	号	hou	hou6	hou²²	
浩	浩	hou	hou6	hou²²	
皓	皓	hou	hou6	hou²²	
昊	昊	hou	hou6	hou²²	
酷	酷	hou	hou6	hou²²	
耗	耗	hou	hou6	hou²²	
熬	熬	ngou	ngou2	ŋou⁴⁴	
傲	傲	ngou	ngou6	ŋou²²	
褥	褥	jou	jou3	jou³⁵	
懊	懊	ou	ou5	ou³³	
奧	奥	ou	ou5	ou³³	
林	林	lam	lam2	lɐm⁴⁴	
淋	淋	lam	lam2	lɐm⁴⁴	
臨	临	lam	lam2	lɐm⁴⁴	
霖	霖	lam	lam2	lɐm⁴⁴	
斟	斟	zam	zam1	tsɐm²⁴	
浸	浸	zam	zam5	tsɐm³³	
尋	寻	cam	cam2	tsʰɐm⁴⁴	
沉	沉	cam	cam2	tsʰɐm⁴⁴	
滲	渗	sam	sam2	sɐm⁴⁴	
噉	噉	gam	gam3	kɐm³⁵	~样：这样。
咁	咁	gam	gam5	kɐm³³	~多：这么多。
撳	揿	gam	gam6	kɐm²²	
冚	冚	kam	kam3	kʰɐm³⁵	盖。
琴	琴	kam	kam2	kʰɐm⁴⁴	
禽	禽	kam	kam2	kʰɐm⁴⁴	
擒	擒	kam	kam2	kʰɐm⁴⁴	
妗	妗	kam	kam4	kʰɐm¹³	
勘	勘	ham	ham5	hɐm³³	
嵌	嵌	ham	ham5	hɐm³³	
含	含	ham	ham2	hɐm⁴⁴	
陷	陷	ham	ham6	hɐm²²	
吟	吟	jam	jam2	jɐm⁴⁴	
任	任	jam	jam6	jɐm²²	
暗	暗	am	am5	ɐm³³	
仵	仵	m	m5	m³³	
吳	吴	m	m2	m⁴⁴	
蜈	蜈	m	m2	m⁴⁴	
吾	吾	m	m2	m⁴⁴	
梧	梧	m	m2	m⁴⁴	
唔	唔	m	m2	m⁴⁴	~得：不行。
五	五	m	m4	m¹³	
伍	伍	m	m4	m¹³	
午	午	m	m4	m¹³	
誤	误	m	m6	m²²	
悟	悟	m	m6	m²²	
班	班	baang	baang1	paŋ²⁴	
斑	斑	baang	baang1	paŋ²⁴	
頒	颁	baang	baang1	paŋ²⁴	
瓣	瓣	baang	baang3	paŋ³⁵	豆~酱。
板	板	baang	baang3	paŋ³⁵	
版	版	baang	baang3	paŋ³⁵	
扳	扳	baang	baang3	paŋ³⁵	
扮	扮	baang	baang6	paŋ²²	
辦	办	baang	baang6	paŋ²²	
攀	攀	paang	paang1	pʰaŋ²⁴	
烹	烹	paang	paang1	pʰaŋ²⁴	
盼	盼	paang	paang5	pʰaŋ³³	
朋	朋	paang	paang2	pʰaŋ⁴⁴	
彭	彭	paang	paang2	pʰaŋ⁴⁴	
膨	膨	paang	paang2	pʰaŋ⁴⁴	
澎	澎	paang	paang2	pʰaŋ⁴⁴	
棚	棚	paang	paang2	pʰaŋ⁴⁴	
棒	棒	paang	paang4	pʰaŋ¹³	
蠻	蛮	maang	maang2	maŋ⁴⁴	
饅	馒	maang	maang2	maŋ⁴⁴	
盲	盲	maang	maang2	maŋ⁴⁴	
晚	晚	maang	maang4	maŋ¹³	
猛	猛	maang	maang4	maŋ¹³	
慢	慢	maang	maang6	maŋ²²	
漫	漫	maang	maang6	maŋ²²	
幔	幔	maang	maang6	maŋ²²	
萬	万	maang	maang6	maŋ²²	
蔓	蔓	maang	maang6	maŋ²²	
藩	藩	faang	faang1	faŋ²⁴	
翻	翻	faang	faang1	faŋ²⁴	
番	番	faang	faang1	faŋ²⁴	
反	反	faang	faang3	faŋ³⁵	
返	返	faang	faang3	faŋ³⁵	
瓣	瓣	faang	faang3	faŋ³⁵	又，花~。
泛	泛	faang	faang5	faŋ³³	
凡	凡	faang	faang2	faŋ⁴⁴	
帆	帆	faang	faang2	faŋ⁴⁴	
梵	梵	faang	faang2	faŋ⁴⁴	
煩	烦	faang	faang2	faŋ⁴⁴	
繁	繁	faang	faang2	faŋ⁴⁴	
販	贩	faang	faang4	faŋ¹³	又。
範	范	faang	faang6	faŋ²²	
范	范	faang	faang6	faŋ²²	
犯	犯	faang	faang6	faŋ²²	
販	贩	faang	faang6	faŋ²²	
飯	饭	faang	faang6	faŋ²²	
擔	担	daang	daang1	taŋ²⁴	~任。
丹	丹	daang	daang1	taŋ²⁴	
單	单	daang	daang1	taŋ²⁴	~独。
耽	耽	daang	daang1h	taŋ⁵⁵	
擔	担	daang	daang1h	taŋ⁵⁵	挑~。
膽	胆	daang	daang3	taŋ³⁵	
旦	旦	daang	daang5	taŋ³³	
誕	诞	daang	daang6	taŋ²²	
蛋	蛋	daang	daang6	taŋ²²	
但	但	daang	daang6	taŋ²²	
彈	弹	daang	daang6	taŋ²²	子~。
談	谈	daang	daang6	taŋ²²	文读。
貪	贪	taang	taang1	tʰaŋ²⁴	
灘	滩	taang	taang1	tʰaŋ²⁴	
攤	摊	taang	taang1	tʰaŋ²⁴	
坦	坦	taang	taang3	tʰaŋ³⁵	
探	探	taang	taang5	tʰaŋ³³	
炭	炭	taang	taang5	tʰaŋ³³	
歎	叹	taang	taang5	tʰaŋ³³	
潭	潭	taang	taang2	tʰaŋ⁴⁴	
譚	谭	taang	taang2	tʰaŋ⁴⁴	
談	谈	taang	taang2	tʰaŋ⁴⁴	
痰	痰	taang	taang2	tʰaŋ⁴⁴	
檀	檀	taang	taang2	tʰaŋ⁴⁴	
壇	坛	taang	taang2	tʰaŋ⁴⁴	
彈	弹	taang	taang2	tʰaŋ⁴⁴	~琴。
淡	淡	taang	taang4	tʰaŋ¹³	白读。
南	南	naang	naang2	naŋ⁴⁴	
男	男	naang	naang2	naŋ⁴⁴	
難	难	naang	naang2	naŋ⁴⁴	~易。
腩	腩	naang	naang4	naŋ¹³	
難	难	naang	naang6	naŋ²²	患~。
藍	蓝	laang	laang2	laŋ⁴⁴	
籃	篮	laang	laang2	laŋ⁴⁴	
蘭	兰	laang	laang2	laŋ⁴⁴	
攔	拦	laang	laang2	laŋ⁴⁴	
欄	栏	laang	laang2	laŋ⁴⁴	
覽	览	laang	laang4	laŋ¹³	
攬	揽	laang	laang4	laŋ¹³	
欖	榄	laang	laang4	laŋ¹³	
濫	滥	laang	laang4	laŋ¹³	
懶	懒	laang	laang4	laŋ¹³	
冷	冷	laang	laang4	laŋ¹³	
纜	缆	laang	laang6	laŋ²²	
艦	舰	laang	laang6	laŋ²²	
爛	烂	laang	laang6	laŋ²²	
簪	簪	zaang	zaang1	tsaŋ²⁴	
爭	争	zaang	zaang1	tsaŋ²⁴	
箏	筝	zaang	zaang1	tsaŋ²⁴	
斬	斩	zaang	zaang3	tsaŋ³⁵	
眨	眨	zaang	zaang3	tsaŋ³⁵	
盞	盏	zaang	zaang3	tsaŋ³⁵	
棧	栈	zaang	zaang3	tsaŋ³⁵	
站	站	zaang	zaang5	tsaŋ³³	~立。
贊	赞	zaang	zaang5	tsaŋ³³	
暫	暂	zaang	zaang6	tsaŋ²²	
賺	赚	zaang	zaang6	tsaŋ²²	
站	站	zaang	zaang6	tsaŋ²²	车~。
綻	绽	zaang	zaang6	tsaŋ²²	
參	参	caang	caang1	tsʰaŋ²⁴	
餐	餐	caang	caang1	tsʰaŋ²⁴	
攙	搀	caang	caang1h	tsʰaŋ⁵⁵	
慘	惨	caang	caang3	tsʰaŋ³⁵	
產	产	caang	caang3	tsʰaŋ³⁵	
鏟	铲	caang	caang3	tsʰaŋ³⁵	
橙	橙	caang	caang3	tsʰaŋ³⁵	
杉	杉	caang	caang5	tsʰaŋ³³	
燦	灿	caang	caang5	tsʰaŋ³³	
撐	撑	caang	caang5	tsʰaŋ³³	
蠶	蚕	caang	caang2	tsʰaŋ⁴⁴	
慚	惭	caang	caang2	tsʰaŋ⁴⁴	
殘	残	caang	caang2	tsʰaŋ⁴⁴	
鋥	锃	caang	caang2	tsʰaŋ⁴⁴	~眼：刺眼。
三	三	saang	saang1	saŋ²⁴	
衫	衫	saang	saang1	saŋ²⁴	
杉	杉	saang	saang1	saŋ²⁴	
山	山	saang	saang1	saŋ²⁴	
刪	删	saang	saang1	saŋ²⁴	
閂	闩	saang	saang1	saŋ²⁴	
栓	栓	saang	saang1	saŋ²⁴	
生	生	saang	saang1	saŋ²⁴	
牲	牲	saang	saang1	saŋ²⁴	
笙	笙	saang	saang1	saŋ²⁴	
甥	甥	saang	saang1	saŋ²⁴	
姍	姗	saang	saang1h	saŋ⁵⁵	
散	散	saang	saang3	saŋ³⁵	鬆~。
省	省	saang	saang3	saŋ³⁵	~长；节~。
傘	伞	saang	saang5	saŋ³³	
散	散	saang	saang5	saŋ³³	分~。
疝	疝	saang	saang5	saŋ³³	
甘	甘	gaang	gaang1	kaŋ²⁴	
監	监	gaang	gaang1	kaŋ²⁴	
艱	艰	gaang	gaang1	kaŋ²⁴	
間	间	gaang	gaang1	kaŋ²⁴	空~。
奸	奸	gaang	gaang1	kaŋ²⁴	
姦	奸	gaang	gaang1	kaŋ²⁴	
更	更	gaang	gaang1	kaŋ²⁴	~换。
庚	庚	gaang	gaang1	kaŋ²⁴	
羹	羹	gaang	gaang1	kaŋ²⁴	
耕	耕	gaang	gaang1	kaŋ²⁴	
柑	柑	gaang	gaang1h	kaŋ⁵⁵	
泔	泔	gaang	gaang1h	kaŋ⁵⁵	
感	感	gaang	gaang3	kaŋ³⁵	
敢	敢	gaang	gaang3	kaŋ³⁵	
橄	橄	gaang	gaang3	kaŋ³⁵	
減	减	gaang	gaang3	kaŋ³⁵	
堿	碱	gaang	gaang3	kaŋ³⁵	
梘	枧	gaang	gaang3	kaŋ³⁵	番~：肥皂。
簡	简	gaang	gaang3	kaŋ³⁵	
柬	柬	gaang	gaang3	kaŋ³⁵	
揀	拣	gaang	gaang3	kaŋ³⁵	
繭	茧	gaang	gaang3	kaŋ³⁵	
埂	埂	gaang	gaang3	kaŋ³⁵	
尷	尴	gaang	gaang5	kaŋ³³	
鑒	鉴	gaang	gaang5	kaŋ³³	
監	监	gaang	gaang5	kaŋ³³	国子~。
間	间	gaang	gaang5	kaŋ³³	~断。
諫	谏	gaang	gaang5	kaŋ³³	
澗	涧	gaang	gaang5	kaŋ³³	
鐧	锏	gaang	gaang5	kaŋ³³	
慣	惯	gaang	gaang5	kaŋ³³	
白	白	gaang	gaang5	kaŋ³³	
框	框	kaang	kaang1	kʰaŋ²⁴	
白	白	kaang	kaang1	kʰaŋ²⁴	
砍	砍	kaang	kaang3	kʰaŋ³⁵	
哽	哽	kaang	kaang3	kʰaŋ³⁵	
骾	骾	kaang	kaang3	kʰaŋ³⁵	噎。
梗	梗	kaang	kaang3	kʰaŋ³⁵	又。
坑	坑	haang	haang1	haŋ²⁴	
函	函	haang	haang2	haŋ⁴⁴	
涵	涵	haang	haang2	haŋ⁴⁴	
鹹	咸	haang	haang2	haŋ⁴⁴	
咸	咸	haang	haang2	haŋ⁴⁴	
銜	衔	haang	haang2	haŋ⁴⁴	
閑	闲	haang	haang2	haŋ⁴⁴	
恒	恒	haang	haang2	haŋ⁴⁴	
行	行	haang	haang2	haŋ⁴⁴	~为；品~。
喊	喊	haang	haang5	haŋ³³	
憾	憾	haang	haang6	haŋ²²	
餡	馅	haang	haang6	haŋ²²	
限	限	haang	haang6	haŋ²²	
啱	啱	ngaang	ngaang1h	ŋaŋ⁵⁵	
岩	岩	ngaang	ngaang2	ŋaŋ⁴⁴	
顏	颜	ngaang	ngaang2	ŋaŋ⁴⁴	
眼	眼	ngaang	ngaang4	ŋaŋ¹³	
雁	雁	ngaang	ngaang6	ŋaŋ²²	
硬	硬	ngaang	ngaang6	ŋaŋ²²	
關	关	gwaang	gwaang1	kʷaŋ²⁴	
慣	惯	gwaang	gwaang5	kʷaŋ³³	文读。
彎	弯	waang	waang1	waŋ²⁴	
灣	湾	waang	waang1	waŋ²⁴	
頑	顽	waang	waang2	waŋ⁴⁴	
還	还	waang	waang2	waŋ⁴⁴	
環	环	waang	waang2	waŋ⁴⁴	
橫	横	waang	waang2	waŋ⁴⁴	
挽	挽	waang	waang4	waŋ¹³	
幻	幻	waang	waang6	waŋ²²	
患	患	waang	waang6	waŋ²²	
宦	宦	waang	waang6	waŋ²²	
鶯	莺	aang	aang1	aŋ²⁴	
庵	庵	aang	aang1h	aŋ⁵⁵	
晏	晏	aang	aang5	aŋ³³	
彬	彬	bang	bang1	pɐŋ²⁴	
斌	斌	bang	bang1	pɐŋ²⁴	
賓	宾	bang	bang1	pɐŋ²⁴	
檳	槟	bang	bang1	pɐŋ²⁴	
濱	滨	bang	bang1	pɐŋ²⁴	
繽	缤	bang	bang1	pɐŋ²⁴	
奔	奔	bang	bang1	pɐŋ²⁴	
崩	崩	bang	bang1	pɐŋ²⁴	
冰	冰	bang	bang1	pɐŋ²⁴	
兵	兵	bang	bang1	pɐŋ²⁴	
稟	禀	bang	bang3	pɐŋ³⁵	
丙	丙	bang	bang3	pɐŋ³⁵	
