字表	聲母	韻母	聲調		序號
忱	z	əŋ	6		1909
陳	z	əŋ	6		6980
陳	z	əŋ	6		7001
晨	z	əŋ	6		2650
塵	z	əŋ	6		1185
諶	z	əŋ	6		5851
諶	z	əŋ	6		6001
磣	tsʰ	əŋ	5		4239
磣	tsʰ	əŋ	5		4263
趁	tsʰ	əŋ	5		6195
襯	tsʰ	əŋ	5		5635
襯	tsʰ	əŋ	5		5707
稱	tsʰ	əŋ	5		4341
稱	tsʰ	əŋ	1		4342
稱	tsʰ	əŋ	5		4359
稱	tsʰ	əŋ	1		4360
撐	tsʰ	ã	1		2435
撐	tsʰ	ã	5		2436
撑	tsʰ	ã	1		2437
撑	tsʰ	ã	5		2438
瞠	tsʰ	əŋ	1		4166
成	z	əŋ	6		2108
丞	z	əŋ	6		27
呈	z	əŋ	6		840
承	z	əŋ	6		2166
城	z	əŋ	6		1144
乘	z	əŋ	6		68
程	z	əŋ	6		4348
誠	z	əŋ	6		5821
誠	z	əŋ	6		5956
澄	z	əŋ	6		3486
澄	z	ã	6	陽~湖	
憕	t	əŋ	5		2062
橙	z	əŋ	6		2997
懲	z	əŋ	6		2007
懲	z	əŋ	6		2087
逞	tsʰ	əŋ	5		6436
騁	tsʰ	əŋ	5		7327
騁	tsʰ	əŋ	5		7378
秤	tsʰ	əŋ	5		4336
牚	tsʰ	ã	5		3699
吃	tɕʰ	iɪʔ	7		792
眵	tsʰ	ɿ	1		4129
笞	tsʰ	ɿ	1		4448
喫	tɕʰ	iɪʔ	7		971
嗤	tsʰ	ɿ	1		994
痴	tsʰ	ɿ	1		3995
鴟	tsʰ	ɿ	1		7540
鴟	tsʰ	ɿ	1		7585
魑	tsʰ	ɿ	1		7442
池	z	ɿ	6		3171
弛	z	ɿ	6		1817
持	z	ɿ	6		2253
馳	z	ɿ	6		7309
馳	z	ɿ	6		7354
遲	z	ɿ	6		6405
遲	z	ɿ	6		6476
尺	tsʰ	aʔ	7		1560
侈	tsʰ	ɿ	5		250
恥	tsʰ	ɿ	5		1955
恥	tsʰ	ɿ	5		4930
豉	z	ɿ	6		6035
齒	tsʰ	ɿ	5		7672
齒	tsʰ	ɿ	5		7682
