参考资料	《桐城县志》									
ʂ	[1]衫删珊姗山[2][3]陕闪[5]疝骟扇鳝单{姓}赡善									
#iɑ̃										
Ø	[1]央秧殃[2]羊洋杨阳扬[3]痒养[5]样恙									
n	[2]娘良梁凉量{~衣}粮[3]两辆仰[5]酿亮谅量打量									
tɕ	[1]将{~军}浆疆僵姜江[3]蒋奖桨[5]酱匠降{下~}将									
tɕʰ	[1]枪腔[2]墙详祥强[3]抢[5]呛									
ɕ	[1]相箱厢襄镶香乡[2]降{投~}[3]响享想[5]像象相{长~}									
#ʯɑ̃										
tʂ	[1]庄装[5]壮状撞									
tʂʰ	[1]窗疮[2]床[3]闯[5]创									
ʂ	[1]霜双[3]爽									
#ʯɛ̃										
tʂ	[5]赚									
ʂ	[1]闩拴栓									
Ø	[2]然燃[3]冉									
#uã										
Ø	[1]弯湾[2]玩顽丸[3]宛婉晚挽[5]万									
k	[1]关[5]惯									
x	[2]还{~钱}环[5]幻									
#uɑ̃										
Ø	[1]汪									
k	[1]光[3]广[5]逛									
kʰ	[1]匡筐[2]狂[5]况旷									
x	[1]荒慌[2]黄皇蝗[3]恍谎[5]									
#õ										
p	[1]搬[5]半伴拌									
pʰ	[1]潘[2]盘[5]判叛									
m	[2]瞒馒[3]满[5]漫									
t	[1]端[3]短[5]断段锻缎									
tʰ	[1]贪[2]团潭[5]探									
n	[2]男南[3]暖卵[5]乱									
ts	[1]钻{动词}[5]钻									
tsʰ	[2]蚕									
s	[1]酸[5]算蒜									
k	[1]肝干[3]竿敢擀[5]干{~部}									
kʰ	[1]看{~门}[5]看									
x	[2]寒[5]汗									
ŋ	[1]豌									
#uõ										
Ø	[2]完[3]碗皖腕									
#õ										
k	[1]官观冠[3]管馆[5]贯灌罐冠{~军}									
kʰ	[1]宽[3]款									
x	[1]欢[3]缓[5]唤换患									
#iɛ̃										
Ø	[1]阉焉烟[2]炎盐阎檐延言沿[3]掩演[5]堰厌艳焰燕咽宴									
p	[1]边鞭编[3]蝙贬扁匾[5]变汴便辨辩辫遍									
pʰ	[1]篇[2]骈便{~宜}[5]片骗									
m	[2]绵棉眠[3]免勉娩缅[5]面									
t	[1]掂颠[3]点典[5]店垫电殿奠佃									
tʰ	[1]天添[2]田甜填[3]忝舔									
n	[1]拈粘[2]岩廉镰俨严鲶连联年怜莲[3]研敛碾辇捻脸[5]殓验念谚练炼砚恋									
tɕ	[1]监尖兼艰奸煎肩坚歼[3]减检俭简柬剪茧[5]鉴渐剑谏践箭贱溅件荐见									
tɕʰ	[1]千签纤铅[2]潜钳虔前全痊泉[3]浅[5]欠歉									
ɕ	[1]仙鲜掀先宣[2]衔嫌闲涎贤[3]险鲜癣显选[5]陷限线羡献现县									
#ʯɛ̃										
Ø	[1]冤[2]员圆缘元原源袁园援[3]染阮远软[5]院怨愿									
tʂ	[1]专砖捐涓绢[3]转{~手}卷{~纸}[5]撰转{~动}卷{试~}传{~记}篆圈{猪~}眷									
tʂʰ	[1]川穿圈{圆~}[2]传{~说}椽船拳权[3]喘犬[5]篡串劝									
ʂ	[1]弦玄悬[5]眩									
