武義同音字表							
简体	繁體	吳拼	IPA	备注			
绢	絹	ciue5	ʨye53				
蕨	蕨	ciue5	ʨye53				
决	決	ciue5	ʨye53				
诀	訣	ciue5	ʨye53				
川	川	chiue1	ʨʰye24				
穿	穿	chiue1	ʨʰye24				
圈	圈	chiue1	ʨʰye24				
犬	犬	chiue3	ʨʰye445				
劝	勸	chiue5	ʨʰye53				
券	券	chiue5	ʨʰye53				
缺	缺	chiue5	ʨʰye53				
出	出	chiue5	ʨʰye53				
传	傳	jiue2	ʥye423	~話			
椽	椽	jiue2	ʥye423				
拳	拳	jiue2	ʥye423				
权	權	jiue2	ʥye423				
篆	篆	jiue6	ʥye31				
传	傳	jiue6	ʥye31	水滸~			
倦	倦	jiue6	ʥye31				
缠	纏	jiue6	ʥye31	盤~			
冤	冤	gniue1	ȵye24				
渊	淵	gniue1	ȵye24				
丸	丸	gniue2	ȵye423				
员	員	gniue2	ȵye423				
缘	緣	gniue2	ȵye423				
元	元	gniue2	ȵye423				
原	原	gniue2	ȵye423				
源	源	gniue2	ȵye423				
袁	袁	gniue2	ȵye423				
园	園	gniue2	ȵye423				
援	援	gniue2	ȵye423				
阮	阮	gniue2	ȵye423				
玄	玄	gniue2	ȵye423				
转	轉	gniue3	ȵye445	~身			
砚	硯	gniue3	ȵye445	~瓦：硯台			
软	軟	gniue4	ȵye334				
远	遠	gniue4	ȵye334				
月	月	gniue4	ȵye334				
怨	怨	gniue5	ȵye53				
院	院	gniue6	ȵye31				
愿	願	gniue6	ȵye31				
县	縣	gniue6	ȵye31				
靴	靴	shiue1	ɕye24				
宣	宣	shiue1	ɕye24				
喧	喧	shiue1	ɕye24				
楦	楦	shiue3	ɕye445	~頭			
税	稅	shiue5	ɕye53				
陕	陝	shiue5	ɕye53	~西			
船	船	zhiue2	ʑye423				
旋	旋	zhiue6	ʑye31	頭髮旋			
锯	鋸	kou5	kɯ53				
去	去	kou0	kɯ0	補語			
去	去	khou5	kʰɯ53				
渠	渠	gou4	ɡɯ334	他			
去	去	hou0	xɯ0	補語。常讀得接近[xə0]			
包	包	pau1	pɑo24				
胞	胞	pau1	pɑo24				
保	保	pau3	pɑo445				
堡	堡	pau3	pɑo445				
宝	寶	pau3	pɑo445				
饱	飽	pau3	pɑo445				
菠	菠	pau3	pɑo445	~薐菜			
报	報	pau5	pɑo53				
豹	豹	pau5	pɑo53				
趵	趵	pau5	pɑo53	球彈			
脬	脬	phau1	pʰɑo24	大卵~：疝氣			
炮	炮	phau5	pʰɑo53				
泡	泡	phau5	pʰɑo53	起~			
袍	袍	bau2	bɑo423				
暴	暴	bau6	bɑo31				
鲍	鮑	bau6	bɑo31				
爆	爆	bau6	bɑo31				
刨	鉋	bau6	bɑo31	名詞			
卯	卯	mau4	mɑo334				
谋	謀	mau5	mɑo53	陰~			
冒	冒	mau6	mɑo31				
貌	貌	mau6	mɑo31				
亩	畝	mau6	mɑo31				
茂	茂	mau6	mɑo31				
贸	貿	mau6	mɑo31				
牡	牡	mau	mɑo33	~丹			
矛	矛	mau	mɑo21	~盾			
梦	夢	mau	mɑo21	~眠：做夢			
负	負	vau4	vɑo334				
戊	戊	vau6	vɑo31				
骰	骰	tau5	tɑo53	~子			
偷	偷	thau1	tʰɑo24				
㪗	㪗	thau3	tʰɑo445	展開			
透	透	thau5	tʰɑo53				
头	頭	dau2	dɑo423				
投	投	dau2	dɑo423				
豆	豆	dau6	dɑo31				
逗	逗	dau6	dɑo31	~號			
痘	痘	dau6	dɑo31				
楼	樓	lau2	lɑo423				
抖	抖	lau3	lɑo445				
斗	鬥	lau3	lɑo445	~爭			
落	落	lau4	lɑo334				
洛	洛	lau4	lɑo334				
乐	樂	lau4	lɑo334	音~			
乐	樂	lau4	lɑo334	快~			
斗	斗	lau5	lɑo53	一~			
骆	駱	lau5	lɑo53				
络	絡	lau5	lɑo53	~麻：麻的一種			
了	了	lau6	lɑo31	補語			
漏	漏	lau6	lɑo31				
陋	陋	lau6	lɑo31				
抓	抓	tsau1	tsɑo24	~癢			
邹	鄒	tsau1	tsɑo24				
爪	爪	tsau3	tsɑo445				
找	找	tsau3	tsɑo445				
罩	罩	tsau5	tsɑo53				
奏	奏	tsau5	tsɑo53				
皱	皺	tsau5	tsɑo53				
走	走	tsau5	tsɑo53	~狗			
操	操	tshau1	tsʰɑo24	體~			
抄	抄	tshau1	tsʰɑo24				
钞	鈔	tshau1	tsʰɑo24				
炒	炒	tshau3	tsʰɑo445				
吵	吵	tshau3	tsʰɑo445				
剿	剿	tshau3	tsʰɑo445	~匪			
糙	糙	tshau5	tsʰɑo53				
耖	耖	tshau5	tsʰɑo53				
凑	湊	tshau5	tsʰɑo53				
骚	騷	sau1	sɑo24				
梢	梢	sau1	sɑo24				
搜	搜	sau1	sɑo24				
嗽	嗽	sau5	sɑo53				
愁	愁	zau2	zɑo423				
凿	鑿	zau4	zɑo334				
𠀊	𠀊	zau6	zɑo31	豬~：半大小的豬。約50-60公斤			
交	交	kau1	kɑo24	交子：硬币			
郊	郊	kau1	kɑo24				
胶	膠	kau1	kɑo24				
勾	勾	kau1	kɑo24				
钩	鉤	kau1	kɑo24				
沟	溝	kau1	kɑo24				
购	購	kau1	kɑo24				
绞	絞	kau3	kɑo445				
狡	狡	kau3	kɑo445				
狗	狗	kau3	kɑo445				
枸	枸	kau3	kɑo445				
教	教	kau5	kɑo53	動詞			
校	校	kau5	kɑo53	~對			
较	較	kau5	kɑo53				
够	夠	kau5	kɑo53				
茭	茭	kau5	kɑo53	~筍：茭白			
铰	鉸	kau5	kɑo53	~剪：剪刀			
敲	敲	khau1	kʰɑo24				
考	考	khau3	kʰɑo445				
考	攷	khau3	kʰɑo445				
口	口	khau3	kʰɑo445	~嘴：嘴巴			
扣	扣	khau5	kʰɑo53				
寇	寇	khau5	kʰɑo53				
蔻	蔻	khau5	kʰɑo53				
厚	厚	gau4	ɡɑo334				
藕	藕	ngau4	ŋɑo334				
偶	偶	ngau4	ŋɑo334				
后	后	ngau4	ŋɑo334	皇~			
鄂	鄂	ngau4	ŋɑo334				
鹤	鶴	ngau4	ŋɑo334				
岳	岳	ngau4	ŋɑo334	~飛			
乐	樂	ngau5	ŋɑo53	要			
喉	喉	ngau5	ŋɑo53	~嚨：喉嚨			
乐	樂	ngau6	ŋɑo31	要			
呴	呴	hau1	xɑo24	~muo53：氣喘			
孝	孝	hau5	xɑo53				
鲎	鱟	hau5	xɑo53	虹			
欧	歐	au1	ɑo24				
瓯	甌	au1	ɑo24				
讴	謳	au1	ɑo24	叫			
侯	侯	au2	ɑo423				
后	後	au4	ɑo334				
学	學	au4	ɑo334				
喉	喉	au5	ɑo53	~嚨：喉嚨			
效	效	au6	ɑo31				
候	候	au6	ɑo31				
藐	藐	miau6	miɑo31				
渺	渺	miau6	miɑo31				
秒	秒	miau6	miɑo31				
刁	刁	liau1	liɑo24				
略	略	liau4	liɑo334				
掠	掠	liau4	liɑo334	梳~：梳子			
了	了	liau5	liɑo53	~解			
饺	餃	ciau5	ʨiɑo53	~子			
着	着	jiau4	ʥiɑo334	火~；補語			
尧	堯	gniau2	ȵiɑo423				
箬	箬	gniau4	ȵiɑo334	竹葉			
芍	芍	shiau5	ɕiɑo53	~藥			
勺	勺	zhiau4	ʑiɑo334				
若	若	zhiau4	ʑiɑo334	~干：很多			
弱	弱	zhiau4	ʑiɑo334				
摇	搖	iau2	iɑo423				
邀	邀	iau3	iɑo445	~請			
要	要	iau3	iɑo445	~求			
药	藥	iau4	iɑo334				
箬	箬	iau5	iɑo53	~帽：斗笠			
耀	耀	iau6	iɑo31				
跃	躍	iau6	iɑo31				
丢	丟	lieu1	liu24	丟棄			
流	流	lieu2	liu423				
刘	劉	lieu2	liu423				
留	留	lieu2	liu423				
榴	榴	lieu2	liu423				
硫	硫	lieu2	liu423				
琉	琉	lieu2	liu423				
瘤	瘤	lieu2	liu423				
柳	柳	lieu4	liu334				
溜	溜	lieu6	liu31	逃			
周	周	cieu1	ʨiu24				
舟	舟	cieu1	ʨiu24				
州	州	cieu1	ʨiu24				
洲	洲	cieu1	ʨiu24				
阄	鬮	cieu1	ʨiu24				
酒	酒	cieu3	ʨiu445				
帚	帚	cieu3	ʨiu445				
九	九	cieu3	ʨiu445				
久	久	cieu3	ʨiu445				
韭	韭	cieu3	ʨiu445				
咒	咒	cieu5	ʨiu53				
灸	灸	cieu5	ʨiu53				
救	救	cieu5	ʨiu53				
究	究	cieu5	ʨiu53				
鸠	鳩	cieu5	ʨiu53	斑~			
纠	糾	cieu5	ʨiu53	~正			
秋	秋	chieu1	ʨʰiu24				
鳅	鰍	chieu1	ʨʰiu24				
抽	抽	chieu1	ʨʰiu24				
邱	邱	chieu1	ʨʰiu24				
取	取	chieu3	ʨʰiu445	贖			
丑	丑	chieu3	ʨʰiu445				
丑	醜	chieu3	ʨʰiu445				
臭	臭	chieu5	ʨʰiu53				
丘	丘	chieu5	ʨʰiu53	一~田			
绸	綢	jieu2	ʥiu423				
仇	仇	jieu2	ʥiu423				
酬	酬	jieu2	ʥiu423				
求	求	jieu2	ʥiu423				
球	球	jieu2	ʥiu423				
裘	裘	jieu2	ʥiu423				
臼	臼	jieu4	ʥiu334				
舅	舅	jieu4	ʥiu334				
售	售	jieu6	ʥiu31				
旧	舊	jieu6	ʥiu31				
柩	柩	jieu6	ʥiu31				
纣	紂	jieu	ʥiu33	~王			
筹	籌	jieu	ʥiu21	~備			
扭	扭	gnieu1	ȵiu24	擰			
牛	牛	gnieu2	ȵiu423				
纽	紐	gnieu4	ȵiu334	秤~			
修	修	shieu1	ɕiu24				
馊	餿	shieu1	ɕiu24	~臭：餿			
收	收	shieu1	ɕiu24				
休	休	shieu1	ɕiu24				
手	手	shieu3	ɕiu445				
首	首	shieu3	ɕiu445				
守	守	shieu3	ɕiu445				
朽	朽	shieu5	ɕiu53				
秀	秀	shieu5	ɕiu53				
锈	銹	shieu5	ɕiu53				
绣	繡	shieu5	ɕiu53				
兽	獸	shieu5	ɕiu53				
瘦	瘦	shieu5	ɕiu53				
受	受	zhieu4	ʑiu334				
授	授	zhieu4	ʑiu334				
就	就	zhieu6	ʑiu31				
袖	袖	zhieu6	ʑiu31				
寿	壽	zhieu6	ʑiu31				
周	周	ieu1	iu24	~歲			
忧	憂	ieu1	iu24				
优	優	ieu1	iu24				
幽	幽	ieu1	iu24				
尤	尤	ieu2	iu423				
邮	郵	ieu2	iu423				
由	由	ieu2	iu423				
油	油	ieu2	iu423				
游	游	ieu2	iu423				
游	遊	ieu2	iu423				
犹	猶	ieu2	iu423				
有	有	ieu4	iu334				
友	友	ieu4	iu334				
酉	酉	ieu4	iu334				
幼	幼	ieu5	iu53				
诱	誘	ieu6	iu31				
又	又	ieu6	iu31				
右	右	ieu6	iu31				
佑	佑	ieu6	iu31				
釉	釉	ieu6	iu31				
圭	圭	kui1	kui24				
闺	閨	kui1	kui24				
归	歸	kui1	kui24				
癸	癸	kui3	kui445				
鬼	鬼	kui3	kui445				
规	規	kui3	kui445	~矩			
会	會	kui5	kui53	~計			
桂	桂	kui5	kui53				
亏	虧	khui1	kʰui24				
愧	愧	khui5	kʰui53				
逵	逵	gui2	ɡui423				
轨	軌	gui2	ɡui423				
葵	葵	gui	ɡui21	~花			
灰	灰	hui1	xui24				
挥	揮	hui1	xui24				
辉	輝	hui1	xui24				
徽	徽	hui1	xui24				
毁	毀	hui3	xui445				
悔	悔	hui5	xui53				
讳	諱	hui5	xui53				
煨	煨	ui1	ui24				
威	威	ui1	ui24				
回	回	ui2	ui423				
茴	茴	ui2	ui423				
违	違	ui2	ui423				
围	圍	ui2	ui423				
委	委	ui3	ui445				
慰	慰	ui3	ui445				
危	危	ui3	ui445	~險			
畏	畏	ui5	ui53	食~：喫膩			
汇	匯	ui6	ui31				
汇	彙	ui6	ui31				
会	會	ui6	ui31	開~			
卫	衛	ui6	ui31				
惠	惠	ui6	ui31				
慧	慧	ui6	ui31				
伪	偽	ui6	ui31				
为	為	ui6	ui31	介詞			
位	位	ui6	ui31				
魏	魏	ui6	ui31				
胃	胃	ui6	ui31				
谓	謂	ui6	ui31				
猬	猬	ui6	ui31				
为	為	ui6	ui31	行~			
蛔	蛔	ui	ui21	~蟲			
伟	偉	ui	ui21	~大			
膀	膀	phan3	pʰaŋ445				
胖	胖	phan5	pʰaŋ53				
旁	旁	ban2	baŋ423				
庞	龐	ban2	baŋ423				
棒	棒	ban4	baŋ334				
帮	幫	man1	maŋ24				
邦	邦	man1	maŋ24				
忙	忙	man2	maŋ423				
芒	芒	man2	maŋ423	~種			
榜	榜	man3	maŋ445				
莽	莽	man3	maŋ445				
膀	膀	man3	maŋ445				
绑	綁	man3	maŋ445				
网	網	man4	maŋ334				
蟒	蟒	man5	maŋ53	~蛇			
望	望	man6	maŋ31	看			
忘	忘	man	maŋ33	~記			
方	方	fan1	faŋ24				
芳	芳	fan1	faŋ24				
纺	紡	fan3	faŋ445				
仿	仿	fan3	faŋ445				
访	訪	fan3	faŋ445				
彷	彷	fan3	faŋ445	~彿			
放	放	fan5	faŋ53				
坊	坊	fan5	faŋ53	牌~			
望	望	fan5	faŋ53	希~			
妨	妨	van2	vaŋ423				
房	房	van2	vaŋ423				
防	防	van2	vaŋ423				
亡	亡	van2	vaŋ423				
忘	忘	van2	vaŋ423				
汤	湯	than1	tʰaŋ24				
躺	躺	than3	tʰaŋ445				
耥	耥	than3	tʰaŋ445				
烫	燙	than5	tʰaŋ53				
慷	慷	than5	tʰaŋ53	~慨			
堂	堂	dan2	daŋ423				
棠	棠	dan2	daŋ423				
唐	唐	dan2	daŋ423				
糖	糖	dan2	daŋ423				
塘	塘	dan2	daŋ423				
荡	盪	dan4	daŋ334	漱口			
蛋	蛋	dan46	daŋ431				
荡	蕩	dan46	daŋ431	逛			
当	當	nan1	naŋ24	相~			
党	黨	nan3	naŋ445				
当	當	nan5	naŋ53	~官			
当	當	nan5	naŋ53	~店			
郎	郎	lan2	laŋ423				
廊	廊	lan2	laŋ423				
狼	狼	lan2	laŋ423				
莨	莨	lan2	laŋ423	~萁：蕨			
朗	朗	lan6	laŋ31	明~			
浪	浪	lan6	laŋ31				
㫰	㫰	lan6	laŋ31	晾			
螂	螂	lan	laŋ21	~ɡaŋ31：螳螂			
榔	榔	lan	laŋ21	~頭			
赃	贓	tsan1	tsaŋ24				
葬	葬	tsan5	tsaŋ53				
仓	倉	tshan1	tsʰaŋ24				
苍	蒼	tshan1	tsʰaŋ24				
桑	桑	san1	saŋ24				
丧	喪	san1	saŋ24	~事			
藏	藏	san5	saŋ53	西~			
脏	臟	san5	saŋ53	心~			
磉	磉	zan	zaŋ33	柱~盤：柱子底下的石墩			
冈	岡	kan1	kaŋ24				
刚	剛	kan1	kaŋ24				
纲	綱	kan1	kaŋ24				
钢	鋼	kan1	kaŋ24				
缸	缸	kan1	kaŋ24				
江	江	kan1	kaŋ24				
扛	扛	kan1	kaŋ24				
豇	豇	kan1	kaŋ24				
讲	講	kan3	kaŋ445				
港	港	kan3	kaŋ445				
岗	崗	kan5	kaŋ53				
杠	杠	kan5	kaŋ53				
降	降	kan5	kaŋ53	~神：一種搞迷信的男人			
康	康	khan1	kʰaŋ24				
糠	糠	khan1	kʰaŋ24				
抗	抗	khan5	kʰaŋ53				
囥	囥	khan5	kʰaŋ53	放			
圹	壙	khan5	kʰaŋ53	ʨie53~：墓穴			
慷	慷	khan5	kʰaŋ53	~慨			
行	行	an2	aŋ423	茶葉~			
航	航	an2	aŋ423				
杭	杭	an2	aŋ423				
绗	絎	an2	aŋ423				
蟥	蟥	an2	aŋ423	螞~			
降	降	an2	aŋ423	投~			
项	項	an4	aŋ334				
笐	笐	an6	aŋ31	竹~：曬衣服用的竹竿			
巷	巷	an6	aŋ31				
昂	昂	an6	aŋ31	馬~：地名			
辆	輛	nian5	niaŋ53				
帐	帳	nian5	niaŋ53				
账	賬	nian5	niaŋ53				
良	良	lian2	liaŋ423				
凉	涼	lian2	liaŋ423				
量	量	lian2	liaŋ423	~米			
粮	糧	lian2	liaŋ423				
梁	梁	lian2	liaŋ423				
梁	梁	lian2	liaŋ423				
杨	楊	lian3	liaŋ445	~柳樹			
两	兩	lian4	liaŋ334	數詞			
亮	亮	lian6	liaŋ31				
谅	諒	lian6	liaŋ31				
量	量	lian6	liaŋ31	質~			
两	兩	lian6	liaŋ31	重量單位			
将	將	cian1	ʨiaŋ24	~來			
浆	漿	cian1	ʨiaŋ24				
张	張	cian1	ʨiaŋ24	姓			
章	章	cian1	ʨiaŋ24				
樟	樟	cian1	ʨiaŋ24				
蟑	蟑	cian1	ʨiaŋ24				
疆	疆	cian1	ʨiaŋ24				
僵	僵	cian1	ʨiaŋ24				
姜	姜	cian1	ʨiaŋ24	姓			
姜	薑	cian1	ʨiaŋ24				
蒋	蔣	cian1	ʨiaŋ24				
奖	獎	cian3	ʨiaŋ445				
桨	槳	cian3	ʨiaŋ445				
长	長	cian3	ʨiaŋ445	部~			
掌	掌	cian3	ʨiaŋ445				
上	上	cian3	ʨiaŋ445	~頂面：上面			
仗	仗	cian5	ʨiaŋ53	打~			
酱	醬	cian5	ʨiaŋ53				
将	將	cian5	ʨiaŋ53	名詞			
障	障	cian5	ʨiaŋ53				
丈	丈	cian5	ʨiaŋ53	~人			
绱	緔	cian5	ʨiaŋ53	~鞋兒			
枪	槍	chian1	ʨʰiaŋ24				
昌	昌	chian1	ʨʰiaŋ24				
菖	菖	chian1	ʨʰiaŋ24				
腔	腔	chian1	ʨʰiaŋ24				
抢	搶	chian3	ʨʰiaŋ445				
厂	廠	chian3	ʨʰiaŋ445				
强	強	chian3	ʨʰiaŋ445	勉~			
畅	暢	chian5	ʨʰiaŋ53				
唱	唱	chian5	ʨʰiaŋ53				
倡	倡	chian5	ʨʰiaŋ53				
呛	嗆	chian5	ʨʰiaŋ53				
长	長	jian2	ʥiaŋ423	形容詞			
肠	腸	jian2	ʥiaŋ423				
场	場	jian2	ʥiaŋ423				
强	強	jian2	ʥiaŋ423	~固			
像	像	jian4	ʥiaŋ334	相~			
上	上	jian4	ʥiaŋ334	動詞			
丈	丈	jian6	ʥiaŋ31	一~			
娘	娘	gnian2	ȵiaŋ423				
娘	孃	gnian4	ȵiaŋ334				
仰	仰	gnian6	ȵiaŋ31				
让	讓	shian1	ɕiaŋ24				
相	相	shian1	ɕiaŋ24	~信			
箱	箱	shian1	ɕiaŋ24				
厢	廂	shian1	ɕiaŋ24				
镶	鑲	shian1	ɕiaŋ24				
商	商	shian1	ɕiaŋ24				
伤	傷	shian1	ɕiaŋ24				
香	香	shian1	ɕiaŋ24				
乡	鄉	shian1	ɕiaŋ24				
偿	償	shian3	ɕiaŋ445				
想	想	shian3	ɕiaŋ445				
鲞	鲞	shian3	ɕiaŋ445				
赏	賞	shian3	ɕiaŋ445				
晌	晌	shian3	ɕiaŋ445				
享	享	shian3	ɕiaŋ445				
响	響	shian3	ɕiaŋ445				
相	相	shian5	ɕiaŋ53	宰~			
向	嚮	shian5	ɕiaŋ53				
襄	襄	shian5	ɕiaŋ53	~陽			
裳	裳	shian5	ɕiaŋ53	衣~			
墙	牆	zhian2	ʑiaŋ423				
详	詳	zhian2	ʑiaŋ423				
祥	祥	zhian2	ʑiaŋ423				
常	常	zhian2	ʑiaŋ423				
尝	嘗	zhian2	ʑiaŋ423				
像	像	zhian4	ʑiaŋ334				
象	象	zhian4	ʑiaŋ334				
壤	壤	zhian6	ʑiaŋ31				
匠	匠	zhian6	ʑiaŋ31				
尚	尚	zhian6	ʑiaŋ31				
剩	剩	zhian6	ʑiaŋ31				
上	上	zhian4	ʑiaŋ334	~年：去年			
央	央	ian1	iaŋ24				
秧	秧	ian1	iaŋ24				
殃	殃	ian1	iaŋ24				
羊	羊	ian2	iaŋ423				
洋	洋	ian2	iaŋ423				
烊	烊	ian2	iaŋ423				
杨	楊	ian2	iaŋ423	姓			
阳	陽	ian2	iaŋ423				
扬	揚	ian2	iaŋ423				
蛘	蛘	ian2	iaŋ423	蛀~：蛀蟲			
养	養	ian4	iaŋ334				
痒	癢	ian4	iaŋ334				
样	樣	ian6	iaŋ31				
光	光	kuan1	kuaŋ24				
广	廣	kuan3	kuaŋ445				
筐	筐	khuan5	kʰuaŋ53				
匡	匡	khuan5	kʰuaŋ53				
矿	礦	khuan5	kʰuaŋ53				
旷	曠	khuan5	kʰuaŋ53				
掼	摜	guan6	ɡuaŋ31	扔			
慌	慌	huan1	xuaŋ24				
荒	荒	huan1	xuaŋ24				
谎	謊	huan3	xuaŋ445				
晃	晃	huan3	xuaŋ445				
况	況	huan5	xuaŋ53				
黄	黃	uan2	uaŋ423				
簧	簧	uan2	uaŋ423				
皇	皇	uan2	uaŋ423				
隍	隍	uan2	uaŋ423				
王	王	uan2	uaŋ423				
枉	枉	uan3	uaŋ445				
往	往	uan4	uaŋ334				
旺	旺	uan6	uaŋ31				
庄	莊	ciuan1	ʨyaŋ24				
装	裝	ciuan1	ʨyaŋ24				
妆	妝	ciuan1	ʨyaŋ24				
壮	壯	ciuan5	ʨyaŋ53				
疮	瘡	chiuan1	ʨʰyaŋ24				
闯	闖	chiuan3	ʨʰyaŋ445				
创	創	chiuan5	ʨʰyaŋ53				
狂	狂	jiuan2	ʥyaŋ423				
状	狀	jiuan6	ʥyaŋ31	形~			
撞	撞	jiuan6	ʥyaŋ31				
重	重	jiuan6	ʥyaŋ31	一~碗：一摞碗			
霜	霜	shiuan1	ɕyaŋ24				
双	雙	shiuan1	ɕyaŋ24				
舂	舂	shiuan1	ɕyaŋ24				
爽	爽	shiuan3	ɕyaŋ445				
双	雙	shiuan3	ɕyaŋ445	~生：雙胞胎			
床	牀	zhiuan2	ʑyaŋ423				
状	狀	zhiuan6	ʑyaŋ31	告~			
庄	莊	iuan1	yaŋ24	坐~			
桩	樁	iuan1	yaŋ24				
喷	噴	phen1	pʰen24	~漆			
盆	盆	ben2	ben423				
朋	朋	ben2	ben423				
笨	笨	ben6	ben31				
𡊄	𡊄	men1	men24	用簸箕摟在一起			
门	門	men2	men423				
本	本	men3	men445	日~			
闷	悶	men6	men31				
焖	燜	men6	men31				
分	分	fen1	fen24				
芬	芬	fen1	fen24				
纷	紛	fen1	fen24				
吩	吩	fen1	fen24				
粉	粉	fen3	fen445				
尾	尾	fen3	fen445	三~魚：金魚			
奋	奮	fen5	fen53				
文	文	ven2	ven423				
纹	紋	ven2	ven423				
闻	聞	ven2	ven423				
刎	刎	ven4	ven334				
份	份	ven6	ven31				
问	問	ven	ven33	~題			
坟	墳	ven	ven21	~頭：墳			
吞	吞	then3	tʰen445	溫~暖：溫水			
褪	褪	then5	tʰen53	脫，~帽：脫帽			
囤	囤	den2	den423				
腾	騰	den2	den423				
藤	藤	den2	den423				
疼	疼	den2	den423				
断	斷	den4	den334	斷絕			
段	段	den6	den31				
盾	盾	den6	den31				
遁	遁	den6	den31				
邓	鄧	den6	den31				
饨	飩	den6	den31	餛~			
砧	砧	nen1	nen24	板~：砧板			
敦	敦	nen1	nen24				
炖	燉	nen1	nen24				
登	登	nen1	nen24				
灯	燈	nen1	nen24				
能	能	nen2	nen423				
等	等	nen3	nen445				
颠	顛	nen3	nen445	~倒畈：地名			
暖	暖	nen4	nen334				
暖	暖	nen5	nen53	溫吞~：溫水			
吨	噸	nen5	nen53				
顿	頓	nen5	nen53				
凳	凳	nen5	nen53				
墩	墩	nen5	nen53	橋~			
橙	橙	nen5	nen53	甜~：一種橙子			
伦	倫	len2	len423				
沦	淪	len2	len423				
乱	亂	len3	len445	~kuen53念：亂說話			
卵	卵	len4	len334	蛋			
仑	崙	len5	len53	崑~			
戥	戥	len5	len53	~秤			
薐	薐	len5	len53	菠~菜			
论	論	len6	len31				
针	針	tsen1	tsen24				
斟	斟	tsen1	tsen24				
櫼	櫼	tsen1	tsen24	楔子			
珍	珍	tsen1	tsen24				
榛	榛	tsen1	tsen24				
臻	臻	tsen1	tsen24				
真	真	tsen1	tsen24				
尊	尊	tsen1	tsen24				
遵	遵	tsen1	tsen24				
曾	曾	tsen1	tsen24	姓			
增	增	tsen1	tsen24				
贞	貞	tsen1	tsen24				
侦	偵	tsen1	tsen24				
桢	楨	tsen3	tsen445	擠			
诊	診	tsen3	tsen445	~所			
浸	浸	tsen5	tsen53				
镇	鎮	tsen5	tsen53				
振	振	tsen5	tsen53				
震	震	tsen5	tsen53				
枕	枕	tsen5	tsen53	~頭			
趁	趁	tshen5	tsʰen53				
衬	襯	tshen5	tsʰen53				
沉	沉	dzen2	dzen423				
陈	陳	dzen2	dzen423				
尘	塵	dzen2	dzen423				
存	存	dzen2	dzen423				
阵	陣	dzen6	dzen31				
赠	贈	dzen6	dzen31				
森	森	sen1	sen24				
参	參	sen1	sen24	人~			
深	深	sen1	sen24				
删	刪	sen1	sen24	間苗			
身	身	sen1	sen24				
申	申	sen1	sen24				
伸	伸	sen1	sen24				
孙	孫	sen1	sen24	姓			
狲	猻	sen1	sen24				
沈	沈	sen3	sen445				
审	審	sen3	sen445				
损	損	sen3	sen445				
笋	筍	sen3	sen445				
榫	榫	sen3	sen445				
僧	僧	sen5	sen53	唐~			
寻	尋	zen2	zen423				
神	神	zen2	zen423				
辰	辰	zen2	zen423				
晨	晨	zen2	zen423				
臣	臣	zen2	zen423				
层	層	zen2	zen423				
尽	盡	zen4	zen334	~大：最大			
慎	慎	zen6	zen31				
跟	跟	ken1	ken24				
根	根	ken1	ken24				
桊	桊	ken5	ken53	牛鼻頭~			
啃	啃	khen1	kʰen24				
垦	墾	khen3	kʰen445				
恳	懇	khen3	kʰen445				
肯	肯	khen3	kʰen445				
揿	撳	khen5	kʰen53	按			
狠	狠	hen3	xen445				
很	很	hen5	xen53				
恩	恩	en1	en24				
含	含	en2	en423				
恒	恆	en2	en423				
恨	恨	en6	en31				
苹	蘋	pin3	pin445	~果			
拼	拼	phin1	pʰin24				
品	品	phin3	pʰin445				
姘	姘	phin3	pʰin445	~頭			
聘	聘	phin5	pʰin53				
贫	貧	bin2	bin423				
频	頻	bin2	bin423				
凭	憑	bin2	bin423				
平	平	bin2	bin423				
坪	坪	bin2	bin423				
评	評	bin2	bin423				
瓶	瓶	bin2	bin423				
屏	屏	bin2	bin423				
病	病	bin6	bin31				
并	並	bin	bin33	~立			
彬	彬	min1	min24				
斌	斌	min1	min24				
宾	賓	min1	min24				
冰	冰	min1	min24				
兵	兵	min1	min24				
民	民	min2	min423				
明	明	min2	min423				
名	名	min2	min423				
铭	銘	min2	min423				
禀	稟	min3	min445				
闽	閩	min3	min445				
丙	丙	min3	min445				
炳	炳	min3	min445				
殡	殯	min5	min53				
命	命	min6	min31				
眠	眠	min6	min31	夢~：做夢			
蚊	蚊	min	min21	~蟲			
庭	庭	tin5	tin53	家~			
蜓	蜓	tin5	tin53	蜻~			
厅	廳	thin1	tʰin24				
汀	汀	thin1	tʰin24				
艇	艇	thin3	tʰin445				
听	聽	thin5	tʰin53				
桯	桯	thin5	tʰin53	牀~：牀兩邊的木條			
亭	亭	din2	din423				
停	停	din2	din423				
廷	廷	din2	din423				
定	定	din6	din31				
丁	丁	nin1	nin24				
钉	釘	nin1	nin24	名詞			
疔	疔	nin1	nin24				
叮	叮	nin1	nin24	蚊子咬			
顶	頂	nin3	nin445	顶好：最好			
钉	釘	nin5	nin53	動詞			
订	訂	nin5	nin53				
林	林	lin2	lin423				
淋	淋	lin2	lin423				
临	臨	lin2	lin423				
邻	鄰	lin2	lin423				
鳞	鱗	lin2	lin423				
磷	磷	lin2	lin423				
凌	凌	lin2	lin423				
菱	菱	lin2	lin423				
灵	靈	lin2	lin423				
零	零	lin2	lin423				
铃	鈴	lin2	lin423				
领	領	lin4	lin334				
岭	嶺	lin4	lin334				
令	令	lin6	lin31				
