#来源	Pekkhak（啵啵）整理自顏森《高安（老屋周家）方言的语音系统》																																								
#说明	這份資料記錄的並非高安市區方言，其面貌與高安市區方言存在一定的差異																																								
#符号说明：-白=文*俗?待考																																									
#调值	［1］⁵⁵［2］²⁴［3］⁴²［5］³³［6］¹¹［7］³［8］¹［0］⁰																																								
#a																																									
p	［1］膘标鳔䅺{比喻杰出者}彪□{喷射，溅：水～到身上}［3］表錶																																								
pʰ	［1］飘［2］嫖薸{浮萍}［3］漂{～白}［5］票漂{～板：上下船用的跳板}漂{～牙：龅牙}																																								
m	［2］苗描矛{～子：梭标}［3］藐渺秒鸟［6］庙妙谬																																								
tʰ	［1］挑［2］条调{～和}跳［3］糶［6］调{音～}掉{～头}□{扔，抛}																																								
l	［1］刁貂雕［2］燎療聊辽［3］了［5］钓吊［6］料廖{集韵去声啸韵力吊切}［0］鵰{跍～：猫头鹰}□{天～子：傻瓜}																																								
ts	［1］焦蕉椒［3］剿［5］醮																																								
tsʰ	［1］锹缲［2］樵瞧［6］噍{嚼：～烂来}																																								
s	［1］消宵硝销萧箫［3］小［5］笑																																								
tɕ	［1］朝{今～}昭招骄娇沼浇［3］狡缴饺［5］觉=照诏叫																																								
tɕʰ	［1］超［2］朝{～代}潮［6］赵兆召																																								
ɕ	［1］烧嚣侥{～倖}［2］韶乔侨桥荞［3］少{多～}晓［5］酵少{～年}窍［6］效=绍邵轿藠{～头：菜名，根如蒜头}																																								
k	［1］勾钩沟阄{集韵平声侯韵居侯切}［3］狗苟枸{～杞}［5］够构购媾{～架：劝架}																																								
kʰ	［1］抠［3］口［5］扣寇簆{织布机上经线通过之处}□{朵：一～棉花}［6］□{闲逛：到墟（集市）上～下子}																																								
ŋ	［1］欧殴［2］牛□{～罗～罗：小孩缠住大人，使人心烦}［3］藕偶呕［5］沤怄熰{焐着取暖}																																								
∅	［1］妖邀要{～求}［2］饶{上～：江西地名}桡摇谣窑姚尧［3］舀［5］要{想～}［6］耀尿																																								
#iu																																									
l	［1］丢□{～软：很软；～酸：很酸}［2］流刘留硫□{～～凌：冰锥}［3］柳［6］溜{～筒：笕}［0］榴{石～}																																								
ts	［1］揪□{～韧：很韧}［3］酒［5］㾭{～筋：痉挛}																																								
tsʰ	［1］秋鳅［6］就袖																																								
s	［1］修羞［2］囚泅［5］秀绣锈																																								
tɕ	［1］周舟州洲纠［3］帚九久韭灸［5］昼咒救究																																								
tɕʰ	［1］抽［2］绸稠筹酬售［3］丑醜［5］臭［6］纣宙																																								
ɕ	［1］收丘休［2］仇讎求球［3］手首守［5］兽［6］受舅咎寿授旧柩																																								
∅	［1］忧优幽［2］牛尤邮由油游犹［3］纽扭有友酉［5］幼［6］又右佑柚釉［0］悠{闲～}																																								
#am																																									
t	［1］耽頕{抬，仰～起头}［3］胆																																								
tʰ	［2］谭痰［6］淡=																																								
l	［1］□{～稀：（头发）稀疏}［2］蓝篮［3］揽爁{烧，燎：火～眉毛}［6］滥缆																																								
ts	［3］斩［5］蘸																																								
tsʰ	［2］惭攙{扎，刺：拿针～人}［6］暂																																								
s	［1］三																																								
k	［1］尴监{～牢}［3］减碱［5］鉴监{太～}□{～淡：很淡，不咸}																																								
kʰ	［1］嵌{～块玻璃}［3］㦿{～子：窗户}［6］□{张开的大拇指和食指两端间的距离；一条腿迈出的距离；跨越：～过沟去}																																								
ŋ	［2］岩{～固：顽固}［5］□{硌：床冇铺平，好～人}																																								
h	［2］咸衔［3］喊{广韵上声赚韵呼豏切}［6］淡陷																																								
#ɔm																																									
t	［1］㴷?{～哩：水勺}																																								
tʰ	［1］贪=［5］探																																								
l	［1］□{～䋾：把织布机上的布撑开}［2］南男［3］揇{搂抱}																																								
ts	［1］簪																																								
tsʰ	［1］参{～加}涎?{～水}［2］蚕［3］惨［6］錾{～磨哩：凿深石磨的槽}																																								
s	［1］□{～手：两手交置于袖筒内}																																								
k	［1］甘柑［3］感敢㔶{覆盖：拿碗～到}																																								
kʰ	［1］龛［3］砍□{～头：汉字偏旁，宝盖儿}［5］勘□{沙滩}［6］撼{莫～桌子}																																								
ŋ	［1］庵□{两手合起来捧：～些花生来；量词，捧}［3］揞{捂住：拿手～到钱}顉{～头，点头}［5］暗																																								
h	［1］贪憨酣［2］潭{水圹}坛含函［5］□{～潲：煮猪食}［6］鼾?{睏觉打～}□{～壳哩：蚌壳}																																								
#ɛm																																									
t	［1］□{～厚：很厚}																																								
l	［3］染																																								
ts	［1］砧□{摞：拿书一本一本～起来}																																								
s	［1］森参{人～}［3］□{～黄：很黄}																																								
#iɛm																																									
tʰ	［2］甜［6］簟																																								
l	［2］廉镰帘［3］点［5］店																																								
ts	［1］尖																																								
tsʰ	［1］籤签［2］挦{拔（毛髮）：～鸡毛}																																								
tɕ	［1］沾兼□{～米：大米，包括早米、晚米、红米}［3］捡检［5］占剑																																								
ɕ	［1］谦［2］蟾{～酥}钳嫌［3］陕闪险［5］欠歉																																								
∅	［1］腌拈［2］粘炎盐阎檐严□{溅：～一身箇水}□{沿，顺：～到墙边走}［3］掩{帐～子：蚊帐前的装饰布}掩{惭愧，害臊}［5］厌□{～裤哩：老式便裤}［6］验艳焰酽念□{in˩～in˩～：嘟嘟囔囔}																																								
#im																																									
ts	［1］□{～嘴：亲嘴}□{小口地喝：～酒}［5］浸																																								
tsʰ	［2］寻																																								
s	［1］心																																								
tɕ	［1］针斟金［3］枕锦［5］禁																																								
tɕʰ	［2］沉［3］□{～头：低头}																																								
ɕ	［1］深钦［2］禽擒［3］沈婶审																																								
∅	［1］阴［2］淫［3］饮{米汤}［5］荫窨																																								
#an																																									
p	［1］班斑扳［3］板版［5］扮																																								
pʰ	［1］颁攀［5］盼［6］办瓣□{静～：静悄悄}																																								
m	［2］蛮［6］慢																																								
f	［1］翻番蕃{～茄}［2］凡帆烦藩矾繁还=［3］反［5］泛贩［6］范範犯幻患饭																																								
t	［1］丹单担{～任}［3］掸［5］旦担{扁～}石{两～谷}□{缝：～被火（被子）}																																								
