字目	音节	声调	注释	备注		
亭	tʰin	13				
廳	tʰiaŋ	44				
聽	tʰaŋ	44	～話			
汀	tʰin	44				
汀	sioŋ	44				
鐵	tʰet	1				
貼	tiap	1	粘～			
貼	tʰiap	1	碑～			
跳	tʰiau	53				
條	tʰiau	13				
挑	tʰiau	44				
腆	tʰen	31	～肚			
填	tʰen	13				
甜	tʰiam	13				
田	tʰen	13				
添	tʰiam	44				
天	tʰen	44				
替	tʰi	53				
剃	tʰai	53				
體	tʰi	31				
題	tʰi	13				
蹄	tʰai	13				
啼	tʰai	13				
提	tʰi	13				
踢	tʰet	1				
梯	tʰoi	44				
剔	tʰit	1				
騰	tʰen	13				
藤	tʰen	13				
謄	tʰen	13				
疼	tʰuŋ	53				
特	tʰit	5				
忒	tʰet	1	～好，太好			
套	tʰau	53				
討	tʰau	31				
淘	tʰau	13	～米			
萄	tʰau	13				
陶	tʰau	13				
桃	tʰau	13				
桃	koŋ	53				
逃	tʰau	13				
濤	tʰau	13				
滔	tʰau	44				
絛	tit	1	～綸			
掏	tʰau	13				
燙	tʰoŋ	31				
趟	tʰoŋ	53	一～			
躺	tʰoŋ	31				
糖	tʰoŋ	13				
塘	tʰoŋ	13				
棠	tʰoŋ	13				
堂	tʰoŋ	13				
唐	tʰoŋ	13				
嘡	tʰoŋ	13				
湯	tʰoŋ	44				
歎	tʰan	53				
碳	tʰan	53				
探	tʰam	53	偵～			
炭	tʰan	53				
毯	tʰan	31				
坦	tʰan	31				
譚	tʰam	13				
檀	tʰan	13				
壇	tʰan	13				
潭	tʰam	13				
談	tʰam	13				
痰	tʰam	13				
癱	tʰan	44				
灘	tʰan	44				
灘	tsun	31				
攤	tʰan	44				
貪	tʰam	44				
坍	tan	44				
泰	tʰai	53				
太	tʰai	53				
臺	tʰoi	13	～球			
苔	tʰoi	13	舌～			
抬	tʰoi	13				
胎	tʰoi	44				
踏	tʰap	5				
榻	tʰap	1				
遝	tʰap	5				
搨	tʰap	5				
獺	tʰap	1				
塔	tʰap	1				
溻	tap	1	汗～濕衫褲			
他	tʰa	44				
鎖	so	31				
瑣	so	31	～碎			
索	sok	1				
所	so	31				
縮	sək	1				
蓑	so	44	～衣			
梭	so	44				
唆	so	44	啰～			
榫	sun	31	～頭			
損	sun	31				
筍	sun	13				
孫	sin	44				
穗	fi	31				
隧	sui	31	～道			
歲	soi	53				
碎	sui	53	～石			
遂	sui	31				
髓	soi	13				
隨	tsʰi	13	～便			
隨	tʂʰui	13				
雖	si	44				
算	son	53				
蒜	son	53				
酸	son	44				
肅	siuk	1				
塑	sok	1				
訴	sɿ	53				
粟	siuk	1				
速	sək	1				
素	sɿ	53				
俗	siuk	5	風～			
蘇	sɿ	44				
酥	sɿ	44				
嗽	seu	53				
叟	seu	44				
颼	sau	44				
餿	seu	44	～飯			
搜	sau	44				
誦	siuŋ	31				
頌	siuŋ	31				
訟	siuŋ	31	訴～			
送	səŋ	53				
宋	səŋ	53				
慫	tsiuŋ	31	～恿			
嵩	suŋ	44				
松	səŋ	44	輕～			
松	tsʰiuŋ	13	～樹			
飼	sɿ	44				
祀	sɿ	53				
四	si	53				
巳	sɿ	31				
死	si	31				
撕	sɿ	44				
絲	sɿ	44				
斯	sɿ	44				
思	sɿ	44				
私	sɿ	44				
司	sɿ	44				
朔	sok	1				
說	ʂot	1				
舜	ʂun	53				
順	ʂun	31	～利			
順	ʂun	53	豐～，地名			
睡	ʂoi	31				
稅	ʂoi	53				
水	ʂui	31				
誰	ʂui	13				
爽	soŋ	31				
孀	soŋ	44				
雙	səŋ	44	～生；一雙			
霜	soŋ	44				
涮	son	53	～洗			
閂	tsʰon	44				
蟀	sut	1				
帥	sai	53				
甩	sai	31				
摔	soi	44				
衰	soi	44				
刷	sot	1				
樹	ʂu	31				
數	sɿ	53				
漱	seu	53				
庶	ʂu	53				
術	ʂut	5	算～			
恕	ʂu	53				
述	ʂut	5				
屬	ʂuk	5				
薯	ʂu	13	番～			
鼠	tʂʰu	31				
蜀	tʂuk	1				
署	tʂʰu	31	專～			
暑	tʂʰu	31				
贖	ʂuk	5				
熟	ʂuk	5				
秫	ʂut	5				
輸	ʂu	44	贏～；運～			
蔬	so	44				
疏	so	44				
舒	ʂu	44				
淑	ʂuk	1				
梳	so	44				
書	ʂu	44				
殊	ʂu	13				
叔	ʂuk	1				
獸	tsʰu	53	野～			
瘦	seu	53				
壽	ʂu	53				
售	tsʰiu	13				
授	ʂu	31				
受	ʂu	31				
首	ʂu	31				
手	ʂu	31				
匙	tʂʰi	13				
釋	sit	1				
適	ʂit	1				
試	tʂʰi	53				
飾	ʂit	1				
勢	ʂi	53				
視	ʂi	31				
舐	tʰe	44	～東西			
逝	ʂi	53				
室	ʂit	1				
柿	sɿ	31				
事	sɿ	31				
似	sɿ	31				
式	ʂit	1				
世	ʂi	53				
示	ʂi	31				
氏	ʂi	53				
士	sɿ	31				
駛	sɿ	31				
屎	ʂi	31				
始	tʂʰi	31				
使	sɿ	31				
矢	tʂʰi	44				
史	sɿ	31				
鰣	ʂi	13				
識	ʂit	1				
實	ʂit	5				
蝕	ʂet	5	～本，虧本			
時	ʂi	13				
食	ʂit	5				
拾	ʂip	5				
石	ʂak	5				
十	ʂip	5				
濕	ʂip	1				
詩	ʂi	44				
獅	sɿ	44				
師	sɿ	44				
屍	ʂi	44				
施	ʂi	44				
虱	sit	1				
失	ʂit	1				
聖	ʂin	53	神～			
勝	ʂin	53				
剩	ʂin	53				
盛	ʂin	31	興～			
盛	tʂʰin	13	～滿			
省	sen	31	反～；節～			
聲	ʂaŋ	44				
甥	saŋ	44	外～			
笙	sen	44				
牲	sen	44				
生	saŋ	44	～還			
升	ʂin	44				
慎	ʂim	31				
腎	ʂin	31				
甚	ʂim	31				
嬸	ʂim	31				
審	ʂim	31				
沈	ʂim	31				
神	ʂin	13				
深	tʂʰim	44				
娠	ʂin	13				
身	ʂin	44				
伸	ʂin	44				
申	ʂin	44				
麝	ʂa	31				
攝	ŋiap	1	～影			
設	ʂet	1				
赦	ʂa	53				
涉	sap	5				
射	ʂa	31				
社	ʂa	44				
舍	ʂa	31				
舍	ʂa	53				
蛇	ʂa	13				
舌	ʂet	5				
賒	tʂʰa	44				
奢	tʂʰa	44				
潲	sau	53	～水，豬食			
紹	ʂau	53				
邵	ʂau	53	姓			
少	ʂau	31	多～			
少	ʂau	53	～年			
韶	ʂau	13				
芍	ʂok	1	～藥花			
勺	ʂok	5	～嬷，勺子			
燒	ʂau	44				
梢	sau	44				
捎	sau	44				
尚	ʂoŋ	53				
上	ʂoŋ	44	～山			
上	ʂoŋ	31	～背，上面			
賞	ʂoŋ	31				
晌	ʂoŋ	31				
商	ʂoŋ	44				
善	hien	53				
扇	hien	53				
疝	san	44				
閃	ʂam	31				
陝	ʂam	31	～西			
煽	hien	53				
搧	hien	53				
珊	san	44				
衫	sam	44				
刪	san	44				
杉	tsʰam	53	～樹			
山	san	44				
曬	sai	53				
篩	si	44				
廈	ha	31	～門			
傻	so	13				
紗	sa	44				
殺	sat	1				
沙	sa	44				
僧	tsen	44				
森	sem	44				
澀	sep	1				
嗇	set	1	吝～			
色	set	1				
臊	sau	44	～氣			
嫂	sau	31				
掃	sau	53	～地			
騷	sau	44				
磉	soŋ	44				
嗓	soŋ	44				
搡	soŋ	44				
喪	soŋ	44	～事			
喪	soŋ	31	～失			
桑	soŋ	44				
散	san	31	～文			
散	san	53	分文～			
傘	san	31	文			
三	sam	44				
賽	soi	53				
鰓	soi	44				
塞	set	1				
腮	sai	44				
薩	sat	1	拉～，地名			
灑	sa	31				
撒	sa	31				
弱	ŋiok	5				
