#备注：湖南道县( 梅花) 土话音系 沈明、周建芳		
#调值	[1]51 [2]21 [3]55 [4]33 [5]44 [7]35	
#符号说明：!西官阴平借词@西官阳平借词$西官上声借词%西官去声借词		
#ɿ		
ɕ̟	[1]食{粮~}莳{~田：插秧}十{~一}设@{1}[4]□{河岸}[5]试[7]识	
Ø	[1]□{谁；哪}□{~lɤ³⁵：哪里}食{动词。读音符合《集韵》羊吏切}□{薄的}□{~石：一种游戏，抓子儿}	
#uo		
p	[1]□{量词：一~戏；洗一~；一~雨；一~麻将}[4]□{~丝网：蜘蛛}[5]□{花~~：花蕾}波!菠!玻!	
m	[1]魔@{变~术}馍@膜@	
t	[1]渡{~船}堆读毒独□{~凳：长方形凳子}□{~牯：地方：tɤ⁵¹是nᵈ̩⁵⁵ ŋᶢɤ⁵⁵~牯人?（他是什么地方的人？）}夺@[2]徒屠{~人公：屠夫}□{床}[3]赌堵{一~墙}[4]肚{牛~子；~子}[5]队兑对碓	
tʰ	[1]推催{~生：孕妇产前一周左右的时间，娘家人带一只公鸡来探望，意思是快点儿生}□{~阔：堂屋}[3]土[4]罪{有~}[5]吐兔退蜕	
nᵈ	[5]莴!{~笋}	
l	[1]路露鹭辘{~子：砻}□{捞}□{埋}□{~一ti：焯一下（水）}摞@{~起来}[2]炉{大炼钢铁用的高炉}鸬雷□{黄ɕ̟ya~：黄鼠狼}	
ts	[1]租□{~家：自己}[3]祖	
tsʰ	[1]粗初住□{量词：一~房子（一处房子）}[2]锄厨橱[4]柱苎□{积；累}[5]醋搓!	
s	[1]梳疏{稀疏}[3]所数{动词}[5]诉数{名词}□{~ɕ̟i⁵¹：爱惜}梭!{织布用的~子}[7]缩	
k	[1]姑箍[3]鼓古{~uenᵈ⁵⁵：谜语}估{~ti：估量}牯{~子：公牛}果${水~}角{八~。一种调料}[5]顾锞{~子：死人口里含的钱}□{垮；倒}□{~药：搽药膏}哥!{堂~；表~}[7]□{打~：打倒}谷{~子；~雨}□{~起：躺下}国{北京音}	
kʰ	[1]□{打火~：拔火罐}[3]苦{~楝树}[7]课%	
ŋᶢ	[1]误@握{~手}[2]吴鱼[5]□{量词，一~橘子（一瓣橘子）}	
x	[1]枯{人瘦}会{开~}灰活和@{~气}[2]壶□{病轻点儿了}[3]虎苦{~瓜；味道~}[5]去□{打~□ɕ̟i：打哈欠}[7]阔哭	
Ø	[1]乌{皮肤淤血后青紫}污{~屎：垃圾；形容脏}煨会{~不~}外{~家：娘家}[3]□{~水：挑水}[7]屋	
#yo		
nᵈ	[1]玉{~米}[4]女	
l	[1]绿	
tɕ̟	[1]猪株{~州}朱珠□{一~鞋子：一双鞋}[3]蔗煮主嘴[5]锯句[7]烛	
tɕ̟ʰ	[1]蛆□{拄}[2]朝{~天辣子：朝天椒}[3]肘暑{处~}[4]□{大~：同族}□{偷；窃}[5]处{~暑}	
ɕ̟	[1]书薯{芋~：芋头}输树赎□{~餈：一种糍粑。用糯米粉和米粉做的食物，花生或者芝麻做馅儿，用桐子叶折起来。端午节吃的}[2]□{~子：坛子}[3]鼠举许{~愿}[5]□{碎}□{野~□uaŋᶢ⁵¹ ki：野兽}□{大~：大小}	
Ø	[1]浴□{tɕ̟i³⁵~ sɿ：蝉}□{第一人称代词复数：我们}岳@{~飞}[4]与	
#io		
ts	[7]足{味道不~}	
s	[1]削@[4]絮[7]粟	
#iu		
nᵈ	[1]□{沾；粘}□{我~尔：我和你}□{交合}[2]赢[3]影{~子}	
tɕ̟	[1]遮惊{~蛰}正{~月}郑{姓}[3]整颈□{~意：主意}[5]镜正{~在}证{~明}[7]炙{~火：烤火}	
tɕ̟ʰ	[1]车轻□{宝~：宝塔}[3]扯[4]□{馋~：馋嘴}[5]差{~不多}[7]尺赤{~源：地名}□{~菜：芥菜}	
ɕ̟	[1]赊射兄声石□{~来：刚来}[2]蛇成盛{~饭}城[3]舍{~得}[4]社{春~；~湾：地名}□{tɕ̟ʰiaŋᶢ⁴⁴~：作揖}[7]腋	
Ø	[1]夜{食iɤ⁵¹~：吃晚饭}[2]爷{继~：继父}营[4]我野	
#ai		
t	[7]贷%	
tʰ	[4]大{1，~小（另一音说tu⁵¹）}[7]态%泰%	
l	[7]癞%	
ts	[7]债%	
s	[7]赛%	
k	[7]介%	
kʰ	[3]凯%{人名}	
ŋᶢ	[2]捱	
x	[1]□{打~扯：打喷嚏}[3]蟹${螃~（有些动物称谓在后字时总是3调值，不单说）}[7]亥${~时}	
#uai		
s	[7]帅%{象棋“帅”}	
k	[3]拐${拐~：中式拐杖}	
kʰ	[7]□{~子moŋᶢ²¹ moŋᶢ²¹：萤火虫}	
Ø	[3]崴{脚~了}[7]外{~行；~国人}	
#uei		
