#备注：《广东电白旧时正话》 陈云龙	
#调值	[1]³³ [2]²¹³ [3]³¹ [5]⁵⁵ [7a]⁵ [7b]²¹⁴
#ɨ	
tʰ	[1]汤烫1{~伤}劏{宰杀}[2]堂棠螳唐糖塘[3]躺[5]趟烫2{~衫裤}盪{~板：泥板}
n	[2]囊{篾~：篾黄}瓤[5]裆{裤~}
ɬ	[1]桑丧霜媚[3]嗓
l	[2]郎廊狼浪[3]朗呤{冚𠾴~：全部}□{~口：漱口}[5]浪晾
k	[1]冈岗刚纲缸江扛[3]讲港[5]钢杠降汞
kʰ	[1]慷[5]抗
ŋ	[2]昂[3]仰[5]戆{疯}
h	[1]糠康匡{赵~胤}[2]行{银~}航杭[5]巷项烘{白：炙烤}

#iaŋ	
pʰ	[1]砰{象声词，金属落地声}[3]□{较大的瓦器碎片}
m	[5]□{遮盖}
t	[2]□{“怎样”的合音}
n	[1]娘1{夫~婆：妇女}□{植物黏液}[2]娘2{母亲}
ɬ	[1]相{互~}箱厢湘镶[3]想[5]相{看~}像2{~头：像章}
l	[2]良凉量1粮梁粱[3]两辆[5]亮谅量2
