	注释：-白，=文
k	[1]姑菇孤[3]古鼓估牯股[5]故固锢雇[7]骨谷国牯
kʰ	[1]枯箍[3]苦[5]库裤[7]窟哭酷
ŋ	[2]吴蜈梧吾11五伍午忤[6]误悟
∅	[1]乌污坞[2]无糊={动词}[3]舞=武鹉侮芜[5]恶{可～}雾=[6]勿物滑[7]屋握-
#ɛŋ	
p	[1]兵宾滨摈鬓乒冰奔彬斌[3]禀本丙炳饼=秉[5]笨殡柄=并
pʰ	[1]拼□{蚜虫}[2]凭贫频苹盆平=评瓶=棚=坪=便-{～宜}[3]品□{着～：着凉}[5]喷姘聘[6]病=
m	[1]□{溢出}[2]民明闽门名=铭茗鸣馒-[3]皿闵悯敏[5]问-[6]闷命=焖[7]蚊{小黑蚊}□{出麻疹}
f	[1]分=芬纷香婚荤晕[2]坟魂馄焚[3]粉蚊[5]粪奋[6]份混
t	[1]敦墩=[3]顶=盾鼎=[5]顿=钝遁□{捅}吨镇[7]钝-墩{树～}
tʰ	[1]订厅吞[2]沉-藤=滕澄适庭亭=停婷[3]艇挺=[5]听=[6]定=[7]钝-{不利}
l	[1]□{龟缩}[2]林淋鳞临邻怜轮伦沦[3]冷领=岭=[5]□{躲}[6]吝蔺论嫩令[7]□{稍微睡一会儿}
ts	[1]斟针侵珍贞侦祯尊遵真睛晶征精=[3]枕准井=整拯震振诊疹[5]浸进俊晋圳正政证症
tsʰ	[1]亲村春青=清菁氰声-蛏[2]沉=陈尘=存秦呈逞程晴=情橙[3]寝蠢请=[5]趁寸忖秤馨称衬[6]尽陈静净=
s	[1]心新薪身孙申呻伸辛莘声=星=娠[2]神纯醇巡唇蝇臣展旬=殉丞承成=城=诚乘舷{边缘}[3]审沈荷损笋醒=[5]信讯迅逊舜圣胜性姓=[6]渗肾慎顺盛剩[7]蝇榫
k	[1]金斤群军均钧京惊=鲸荆经今衿[3]竟径迳锦紧仅谨馑景境警[5]禁劲颈=敬镜=竞
kʰ	[1]轻=卿倾薰-{烟～}[2]岑琴群裙勤芹琼[3]菌顷窘倾□{鸡～：鸡肫}[5]庆薰{烟呛}[6]近=郡
ŋ	[2]人仁银凝迎=[3]耳-忍[5]润-{潮}[6]认
x	[1]欣薰=兴馨[2]形刑型[3]□{高声斥人}[5]训兴{高～}[7]眩
∅	[1]音喑阴因烟婴缨樱鹦英荫[2]谣盈赢=仍[3]饮引颖影=瘾{过～}[5]印=应映[6]孕刃韧纽任赁妊壬
v	[1]温瘟[2]文浑闻纹蚊云匀筠[3]稳隐久永尹吻刎陨[5]问=闰润韵=运咏泳
#e	
p	[1]拔-{～起}[5]闭-{尿秘}[7]北百=伯=陌
pʰ	[1]批坯[2]□{开裂}[6]别篦帛[7]迫撇魄
m	[2]眉[3]□{捉弄}[5]□{母亲}[6]灭篾墨月
t	[7]得德跌
tʰ	[3]弟-娣{人名用字}[5]□{个～：半个}[6]碟牒蝶叠地-{墓}[7]帖贴铁
l	[3]你[5]□{很}[6]列裂例烈猎力=劣肋勒
