来源：	李小平 1991《临县方言志》；灰原哀 木瓜 整理录入
p	［1］包胞{胎～～}刨{～山药}鲍{姓}帮=邦［2］跛帛{(新)}［3］褒保宝饱榜绑［5］抱报暴豹爆谤棒蚌曝伴-{～儿}拌-半-刨{推～儿：刨子}
pʰ	［1］波颇抛［2］胞{同～}刨{～咾：减去}剖袍滂旁螃傍-庞=盘-［3］跑［5］泡炮胖=判-{～徒刑}
m	［1］猫［2］毛茅矛忙=芒=茫盲瞒［3］牡卯峁莽蟒满［5］冒帽锚貌茂贸
f	［1］方=肪妨=［2］房=防=芳［3］仿={～效}纺=访=［5］放=
t	［1］端-［3］短-［5］断-{～决}锻段缎椴□{～得走哩：赶得走了}
tʰ	［1］猯{獾}［2］团-湍
n	［3］暖-
l	［2］恋-［3］□{糠～下去哩：麻疹退下去了}［5］乱-□{陆～：陆续准备}
k	［1］官-棺-光=［3］管-馆-广［5］灌-罐-
kʰ	［1］匡筐眶狂宽-［3］款-［5］旷况矿
x	［1］荒=慌=谎晃欢［2］黄=簧=皇=蝗=［3］缓［5］唤=焕=换=
Ø	［1］剜-{～地：用锹翻地}［2］倭完-丸亡王=沃={土地肥～}［3］腕-碗-网枉往=［5］汪忘妄望
#ou	
t	［1］刀叨盗［3］祷岛倒{～塌}稻=［5］道到倒水导
tʰ	［1］掏［2］滔桃逃淘陶涛［3］讨稻{(旧)}萄［5］套稻-{～柔，高梁}
n	［1］铙挠脑{头}［3］瑙恼脑{～子}［5］闹□{毒药～死鸡儿哩}
l	［1］□{圪～：角落}［2］劳捞牢唠［3］老咾［5］涝烙=骆酪□{～崖：底部空上部向外倾的悬崖}□{偏心一方}□{～开掏：从根部掏地}
ts	［1］遭糟嘈□{～羊：用特制的铁梳子从羊身上取毛}［3］早枣蚤澡爪{～牙}找［5］皂罩笊{～篱}灶
tsʰ	［1］操抄钞巢剿［2］曹槽［3］草炒吵［5］造糙躁
s	［1］骚臊梢捎诉-{告～}［2］□{～住：身体收缩住}［3］扫{～地}嫂［5］扫{～带}潲{雨～了一张皮：雨刚下湿了地皮}踃{蹦吆喝驴马等牲口后退的口令}臊{～子：特指猪肉菜}
z	［1］□{孩子唠切要干什么事}［2］□{～咬人：挠痒}
tʂ	［1］朝夕沼{～气}召诏昭招着［5］赵兆照
tsʰ	［1］超［2］朝{～代}潮□{～子：呆子}［3］□{朝～前走：向前走}［5］□{吆喝羊向前走的声音}
ʂ	［1］烧=［2］韶{～山}芍{～药}［3］少{多～}绍尚-{和～}［5］少{～年}邵□{～咾大沟哩：掉到大沟里了}□{喝犬向前冲的声音}烧={一火～哩}
ɻ	［1］□{～，是个你：呀!是你}［3］饶［v］扰绕{围～}［5］绕{～线线}
k	［1］高篙膏～药羔糕［J］稿搞［］告
kʰ	［3］考烤［5］靠犒
x	［1］蒿□{动弹得～～地：干活很出力的样子}［2］豪壕毫号{呼～}耗嚎［3］好{～赖}［5］浩好{爱～}号{～子：宿舍}孝-{～衣；丧服}
ŋ	［1］熬{～夜}［2］熬{～人：累人}［3］袄［5］傲膏{～油：上油}奥懊□{～起来：撬起来}
Ø	［1］噢{叹词，表示惊讶：～，是你}［2］噢{象声词，～～叫}［3］噢叹词，表示惊节［5］噢{叹词，表示领悟～，解下理}
#iou	
p	［1］标彪□{～上做：监督着干活}［3］表［5］□{烧～：烧一种迷信信物}
pʰ	［1］飘漂{～流}［2］嫖［3］鳔瞟{～把哩：偏了方向了}［5］瓢票漂-{～亮}
m	［1］妙{圪～：单薄，不中用}［2］苗描［3］藐渺秒［5］庙妙{巧～}
f	［5］□{～，好疼：哎呀，好疼}
t	［1］刁叼貂雕［5］钓吊掉调{音～}□{灰～草}
tʰ	［3］挑{～东西}［2］条调{～和}［3］挑{～担子；～一点油}［5］跳粜
n	［3］咬鸟谬［5］尿
l	［2］燎疗辽聊撩{～饭：舀饭}［3］燎{火～}了{～结}寥廖{姓}［5］瞭料撂
ts	［1］焦蕉{巴～，香～}椒樵［5］酵-{老～气}醮{打～}□{牛倒～}
tsʰ	［1］锹缲{～边儿：缝边儿}悄{静～～}劁{～猪：阄割猪}［2］瞧［3］雀-{～儿：特指麻雀}［1］俏鞘{刀～}
s	［1］消宵霄硝销屑{不～，木～}萧箫［3］小［5］笑
tɕ	［1］交郊胶教{～你去嘞：让你去呢}狡骄娇矫浇缴{～枪}［3］绞铰搅侥［5］教{～育}校{～对}较窖觉{睡～}轿叫
tɕʰ	［1］敲{跷～腿：迈腿}［2］乔侨桥翘{～首}［3］巧［5］窍翘{木板晒干后变弯曲}
ɕ	［1］嚣□{～薄：单薄}［2］学-{～人：学别人或教别人}［3］淆晓［5］酵=孝={～顺}效校{学校}
Ø	［1］约妖肴邀要{～求}腰么{～二}吆{～喝}鼬［2］摇谣窑姚尧［3］舀{～水}杳{～无音讯}［5］靿{高～皮鞋}要{需～}耀曜鹞跃□{～子：束缚的绳索}
#ɔ	
t	［1］多当{～代}［3］党挡档［5］大驮荡当{应～}宕
