漢字	音標	注釋	
擽	niɔ̃1	俗，搔	
兩	niɔ̃3	白	
漿	tsiɔ̃1		
樟	tsiɔ̃1		
漳	tsiɔ̃1	白，～浦	
章	tsiɔ̃1		
蔣	tsiɔ̃3		
槳	tsiɔ̃3		
醬	tsiɔ̃5		
槍	tsʰiɔ̃1		
鯧	tsʰiɔ̃1		
搶	tsʰiɔ̃3		
廠	tsʰiɔ̃3	白	
唱	tsʰiɔ̃5	白	
刺	tsʰiɔ̃ʔ7	俗，～毛蟲	
箱	siɔ̃1		
傷	siɔ̃1	白	
賞	siɔ̃3		
肖	siɔ̃5		
相	siɔ̃5	白	
薑	kiɔ̃1		
羌	kiɔ̃1	白，～仔	
蜣	kiɔ̃1	俗，赤～	
腔	kʰiɔ̃1		
香	hiɔ̃1	白	
鄉	hiɔ̃1		
向	hiɔ̃5	白	
鴦	iɔ̃1		
舀	iɔ̃3		
潮	tiɔ̃2		
場	tiɔ̃2		
長	tiɔ̃2	白，～泰	
丈	tiɔ̃6	白	
娘	niɔ̃2		
量	niɔ̃2		
糧	niɔ̃2		
涼	niɔ̃2	白，～傘	
量	niɔ̃6	白	
讓	niɔ̃6		
上	tsiɔ̃6	白	
癢	tsiɔ̃6		
牆	tsʰiɔ̃2		
象	tsʰiɔ̃6	白	
像	tsʰiɔ̃6		
匠	tsʰiɔ̃6		
上	tsʰiɔ̃6	～墓	
想	siɔ̃6	白	
尚	siɔ̃6		
聖	siɔ̃6	俗	
儉	kʰiɔ̃6	俗，～喙	
羊	iɔ̃2		
洋	iɔ̃2		
楊	iɔ̃2	白	
融	iɔ̃2		
樣	iɔ̃6	白	
中	tiɔŋ1	文	
忠	tiɔŋ1		
𢪠	tiɔŋ1	俗	
中	tiɔŋ3		
築	tiɔk7		
塚	tʰiɔŋ3		
寵	tʰiɔŋ3		
暢	tʰiɔŋ5		
畜	tʰiɔk7		
蓄	tʰiɔk7		
終	tsiɔŋ1		
舂	tsiɔŋ1	文	
螿	tsiɔŋ1	俗	
種	tsiɔŋ3	文	
眾	tsiɔŋ5	文	
足	tsiɔk7		
充	tsʰiɔŋ1		
衝	tsʰiɔŋ1		
縱	tsʰiɔŋ5		
促	tsʰiɔk7		
粟	tsʰiɔk7	文	
續	siɔk7		
縮	siɔk7		
淑	siɔk7		
屬	siɔk7		
辱	dziɔk7		
躬	kiɔŋ1		
恭	kiɔŋ1		
供	kiɔŋ1		
芎	kiɔŋ1		
宮	kiɔŋ1		
弓	kiɔŋ1		
龔	kiɔŋ3		
克	kʰiɔk7		
曲	kʰiɔk7	文	
玉	ɡiɔk7		
兇	hiɔŋ1		
凶	hiɔŋ1		
胸	hiɔŋ1		
勇	iɔŋ3		
湧	iɔŋ3		
仲	tiɔŋ6		
重	tiɔŋ6	文	
中	tiɔŋ6		
逐	tiɔk8		
軸	tiɔk8		
龍	liɔŋ2		
陸	liɔk8		
六	liɔk8	文	
從	tsiɔŋ2		
狀	tsiɔŋ6		
松	siɔŋ2	文	
訟	siɔŋ6		
俗	siɔk8		
續	siɔk8		
贖	siɔk8		
屬	siɔk8		
熟	siɔk8	文	
絨	dziɔŋ2		
戎	dziɔŋ2		
茸	dziɔŋ2		
弱	dziɔk8		
褥	dziɔk8		
搙	dziɔk8	俗	
窮	kiɔŋ2		
共	kiɔŋ6	文	
局	kiɔk8		
曲	kʰiɔk8		
玉	ɡiɔk8		
熊	hiɔŋ2		
蓉	iɔŋ2		
雍	iɔŋ2		
容	iɔŋ2		
庸	iɔŋ2		
融	iɔŋ2	文	
用	iɔŋ6		
壅	iɔŋ6		
育	iɔk8		
莢	ŋieʔ8	俗	
挾	ŋieʔ8		
鞭	pian1		
編	pian1		
邊	pian1	文	
匾	pian3		
扁	pian3	文	
遍	pian5		
變	pian5	文	
別	piat7	文	
編	pʰian1		
篇	pʰian1		
偏	pʰian1		
騙	pʰian5		
片	pʰian5	文	
撇	pʰiat7		
免	bian3		
勉	bian3		
緬	bian3		
顛	tian1		
碾	tian3		
展	tian3		
典	tian3		
哲	tiat7		
天	tʰian1	文	
徹	tʰiat7		
蓮	lian3	俗	
輦	lian5	俗，獨～車	
煎	tsian1	文	
剪	tsian3		
戰	tsian5		
踐	tsian5		
薦	tsian5		
截	tsiat7		
節	tsiat7	文	
折	tsiat7		
遷	tsʰian1		
千	tsʰian1	文	
仙	tsʰian1	俗，～草粿	
淺	tsʰian3		
切	tsʰiat7		
雀	tsʰiat7	孔～	
先	sian1	文	
仙	sian1		
癬	sian3		
線	sian5		
設	siat7		
搧	siat7	俗	
掮	kian1		
堅	kian1		
肩	kian1		
荊	kian1	～公：王安石	
建	kian5		
見	kian5	文	
揭	kiat7		
潔	kiat7		
吉	kiat7		
結	kiat7	文	
牽	kʰian1	文	
鏲	kʰian1	俗，～門	
遣	kʰian3		
犬	kʰian3		
研	ɡian3		
癮	ɡian5		
掀	hian1		
𣔙	hian1	俗	
顯	hian3	文	
獻	hian5		
憲	hian5		
歇	hiat7		
胭	ian1		
煙	ian1		
淵	ian1		
鵪	ian1		
演	ian3		
燕	ian5	文	
晏	ian5		
辯	pian6		
辨	pian6		
便	pian6		
別	piat8	文	
面	bian6	文	
滅	biat8		
電	tian6		
殿	tian6		
奠	tian6		
甸	tian6		
秩	tiat8		
填	tʰian2		
年	nian2		
槤	lian2		
鰱	lian2		
褳	lian2	褡～	
練	lian6		
鍊	lian6		
煉	lian6		
列	liat8		
虐	liat8		
裂	liat8	文	
前	tsian2	文	
賤	tsian6		
捷	tsiat8		
錢	tsʰian2	文	
蟬	sian2		
善	sian6		
膳	sian6		
鱔	sian6		
然	dzian2		
熱	dziat8		
鍵	kian6		
健	kian6	文	
傑	kiat8		
乾	kʰian2		
顏	ɡian2		
言	ɡian2		
孽	ɡiat8		
鎳	ɡiat8	～幣	
賢	hian2		
玄	hian2		
懸	hian2	文	
弦	hian2		
現	hian6		
延	ian2		
緣	ian2		
莞	ian2		
浴	iat8		
拽	iat8	俗，～葵扇	
富	pu5	白	
武	bu3		
舞	bu3		
侮	bu3		
撫	bu3		
蛛	tu1		
拄	tu3	俗	
朱	tsu1		
硃	tsu1		
珠	tsu1	文	
主	tsu3		
註	tsu5		
注	tsu5		
鑄	tsu5		
厝	tsʰu5		
覷	tsʰuʔ7	俗	
輸	su1		
噓	su1	俗，～尿	
乳	dzu3		
龜	ku1	白	
痀	ku1	俗，瘕～	
韭	ku3		
久	ku3	白	
句	ku5		
炙	ku5	針～	
邱	kʰu1		
坵	kʰu1		
夫	hu1	文	
烌	hu1	火～	
灰	hu1	火～	
府	hu3		
脯	hu3		
腐	hu3	文	
付	hu5		
赴	hu5		
附	hu5		
副	hu5		
富	hu5	文	
傅	hu5		
污	u1		
趺	u1	俗，骹頭～	
宇	u3		
羽	u3		
禹	u3		
雨	u3	文	
焐	u5	俗	
塢	u5	模子	
瓠	pu2		
炰	pu2	俗	
垺	pu2		
孵	pu6		
婦	pu6	白	
芙	pʰu2		
浮	pʰu2		
烰	pʰu2	俗	
無	bu2	文	
務	bu6		
霧	bu6		
廚	tu2		
櫥	tu2		
聚	tsu6		
住	tsu6		
柱	tsu6	文	
䟣	suʔ8	俗，～溜籠	
儒	dzu2		
舊	ku6		
舅	ku6		
踞	kʰu2	俗	
臼	kʰu6		
牛	ɡu2	白	
扶	hu2		
負	hu6		
婦	hu6	文	
腐	hu6	白	
有	u6	白	
痱	pui5		
屁	pʰui5		
唾	pʰui5	訓	
堆	tui1		
追	tui1		
□	tui3	俗，用力拉	
對	tui5		
碓	tui5		
梯	tʰui1		
推	tʰui1	文	
腿	tʰui3		
儡	lui3		
壘	lui3		
累	lui3		
蕊	lui3		
錐	tsui1		
椎	tsui1		
水	tsui3	白	
媠	tsui3	俗	
醉	tsui5		
催	tsʰui1		
崔	tsʰui1		
吹	tsʰui1		
炊	tsʰui1	文，～事員	
碎	tsʰui5		
粹	tsʰui5		
脆	tsʰui5		
翠	tsʰui5		
雖	sui1		
簑	sui1		
水	sui3	文	
規	kui1		
歸	kui1		
閨	kui1		
龜	kui1	文	
機	kui1	白，狗～	
鬼	kui3		
幾	kui3	白	
桂	kui5		
貴	kui5		
季	kui5		
瑰	kui5		
癸	kui5		
盔	kʰui1		
虧	kʰui1		
開	kʰui1	白	
傀	kʰui3		
軌	kʰui3		
氣	kʰui5	白	
魏	ɡui5		
非	hui1		
妃	hui1		
揮	hui1		
輝	hui1		
徽	hui1	安～	
啡	hui1		
飛	hui1	文	
毀	hui3		
匪	hui3		
費	hui5		
廢	hui5		
肺	hui5		
諱	hui5		
威	ui1		
醫	ui1	白	
衣	ui1		
委	ui3		
偉	ui3		
慰	ui5		
肥	pui2		
吠	pui6		
隊	tui6		
墜	tui6		
錘	tʰui2		
墜	tʰui6	鉛～	
雷	lui2		
蕾	lui2	芥藍～：高麗菜	
累	lui6		
淚	lui6		
類	lui6		
唯	lui6		
隨	sui2		
誰	sui2		
葚	sui2		
瑞	sui6		
穗	sui6	粟～	
跪	kui6		
櫃	kui6		
膭	kui6	俗，胎	
葵	kʰui2		
危	ŋui2		
違	ŋui2		
磁	hui2	訓	
慧	hui6		
費	hui6		
爲	ui2		
維	ui2		
惟	ui2		
圍	ui2		
遺	ui2		
爲	ui6		
位	ui6		
謂	ui6		
胃	ui6		
方	puĩ1	白	
楓	puĩ1		
本	puĩ3	白	
轉	tuĩ3	～風	
頓	tuĩ5	白	
團	tʰuĩ2		
褪	tʰuĩ5		
軟	nuĩ3		
軁	nuĩ5	俗，～鑽	
卵	nuĩ6		
磚	tsuĩ1	白	
鑽	tsuĩ5	白	
穿	tsʰuĩ1	白	
川	tsʰuĩ1	白	
酸	suĩ1		
荽	suĩ1		
孫	suĩ1	白	
選	suĩ3	白，～舉	
光	kuĩ1		
捲	kuĩ3		
廣	kuĩ3	白	
管	kuĩ3		
卷	kuĩ5		
券	kuĩ5		
眷	kuĩ5		
貫	kuĩ5	白	
勸	kʰuĩ5		
荒	huĩ1	白	
昏	huĩ1	下～，晚上	
阮	uĩ3		
䘼	uĩ3	手～	
箢	uĩ3	～仔	
畏	uĩ5		
飯	puĩ6		
門	muĩ2		
問	muĩ6		
園	huĩ2	白	
遠	huĩ6	白	
黃	uĩ2	白	
磺	uĩ2		
奔	pun1		
分	pun1	白	
本	pun3	文	
糞	pun5	白	
不	put7		
潘	pʰun1		
噴	pʰun5		
刜	pʰut7	俗，砍	
敦	tun1		
鈍	tun1		
墩	tun1		
沌	tun3		
盾	tun3		
屯	tun5		
頓	tun5	文	
吞	tʰun1		
脫	tʰut7	俗，粉～：板擦	
碖	lun3	俗，～仔	
懔	lun3	加～恂：起雞皮疙瘩	
𢫫	lut7	俗，～膜	
尊	tsun1		
遵	tsun1		
準	tsun3		
准	tsun3		
撙	tsun3	～節	
俊	tsun5		
卒	tsut7		
村	tsʰun1		
春	tsʰun1		
鶉	tsʰun1	鵪～	
伸	tsʰun1		
蠢	tsʰun3		
寸	tsʰun5		
出	tsʰut7		
孫	sun1	文	
損	sun3		
筍	sun3		
恂	sun3	加懔～	
榫	sun3		
舜	sun5		
遜	sun5		
戌	sut7		
蟀	sut7		
昆	kun1		
崑	kun1		
軍	kun1		
君	kun1		
滾	kun3		
棍	kun5		
骨	kut7		
坤	kʰun1	乾～	
捆	kʰun3		
綑	kʰun3		
菌	kʰun3		
困	kʰun5		
窟	kʰut7		
屈	kʰut7		
崛	kʰut7		
倔	kʰut7		
婚	hun1		
芬	hun1		
紛	hun1		
薰	hun1		
分	hun1	文	
昏	hun1		
粉	hun3		
餛	hun3		
憤	hun5		
奮	hun5		
訓	hun5		
糞	hun5	文	
忽	hut7		
溫	un1		
穩	un3		
允	un3		
蚓	un3		
熅	un3	俗	
搵	un5	俗	
熨	ut7		
鬱	ut7		
笨	pun6		
盆	pʰun2		
墳	pʰun2		
文	bun2		
聞	bun2		
玫	bun2	～瑰花	
悶	bun6		
蝒	bun6	俗，～蟲：蛔蟲	
沒	but8		
物	but8	文	
𢪱	but8	俗	
臀	tun2		
豚	tun2	河～	
飩	tun6		
燉	tun6	俗	
突	tut8	衝～	
豚	tʰun2		
黗	tʰun2	俗，火～黸	
淪	lun2		
崙	lun2		
輪	lun2		
倫	lun2		
腀	lun2	俗，伸～	
論	lun6		
閏	lun6		
𢫫	lut8	俗	
船	tsun2		
存	tsun2		
秫	tsut8	～米：糯米	
荀	sun2		
循	sun2		
旬	sun2		
巡	sun2		
殉	sun2		
純	sun2		
順	sun6		
術	sut8		
述	sut8		
捽	sut8	俗，～陀螺	
嫩	dzun6		
潤	dzun6		
韌	dzun6		
拳	kun2		
裙	kun2		
郡	kun6		
掘	kut8		
滑	kut8		
拳	kʰun2		
群	kʰun2		
掘	kʰut8		
魂	hun2		
痕	hun2		
雲	hun2	白	
混	hun6		
份	hun6		
核	hut8		
佛	hut8		
雲	un2	文，雲霄：地名	
運	un6		
韻	un6		
簸	puaʔ7	～箕	
撥	puaʔ7		
鉢	puaʔ7		
破	pʰua5	白	
潑	pʰuaʔ7		
抹	buaʔ7		
帶	tua5	白	
拖	tʰua1	白	
泰	tʰua5	白，長～：地名	
烙	luaʔ7	俗	
紙	tsua3		
蔡	tsʰua5		
磜	tsʰuaʔ7	俗	
掣	tsʰuaʔ7		
痧	sua1		
沙	sua1	白	
徙	sua3		
刷	suaʔ7		
殺	suaʔ7		
石	suaʔ7	俗，～榴	
瓜	kua1	文	
歌	kua1	白	
掛	kua5		
蓋	kua5	白	
芥	kua5		
過	kua5	白，罪～	
割	kuaʔ7		
括	kuaʔ7		
葛	kuaʔ7	白	
誇	kʰua1		
可	kʰua3	白	
闊	kʰuaʔ7		
渴	kʰuaʔ7		
砉	huaʔ7		
喝	huaʔ7	白	
蛙	ua1		
倚	ua3		
我	ua3	白	
鈸	puaʔ8		
磨	bua2	白	
末	buaʔ8	白	
大	tua6	白	
舵	tua6		
汰	tʰua6	俗	
辣	luaʔ8		
捋	luaʔ8	俗，～仔	
蛇	tsua2		
迣	tsua6	俗	
𤆬	tsʰua6	俗，斜～	
娶	tsʰua6		
泄	tsʰua6		
□	dzua6	加～：蟑螂	
熱	dzuaʔ8	白	
外	ɡua6		
伐	huaʔ8	俗	
何	ua2		
活	uaʔ8	白	
乖	kuai1		
拐	kuai3		
𧊅	kuai3	俗，蛤牯～仔	
怪	kuai5		
塊	kʰuai5		
快	kʰuai5		
歪	uai1		
懷	huai2		
淮	huai2		
槐	huai2	指桑罵～	
壞	huai6		
搬	puã1		
半	puã5		
潘	pʰuã1		
幔	muã1		
滿	muã3		
單	tuã1	白	
旦	tuã5	白，小～	
灘	tʰuã1		
癱	tʰuã1	白	
攤	tʰuã1		
鏟	tʰuã3	俗，～草	
炭	tʰuã5	白	
挪	nuã3	俗	
淖	nuã5	俗	
煎	tsuã1	白	
盞	tsuã3	白	
閂	tsʰuã5		
蔡	tsʰuã5		
串	tsʰuã5		
山	suã1	白	
線	suã5		
傘	suã5		
汕	suã5		
腺	suã5	腮～	
散	suã5	白	
菅	kuã1	～榛	
官	kuã1	白	
棺	kuã1		
肝	kuã1		
竿	kuã1		
乾	kuã1		
趕	kuã3		
寬	kʰuã1	白	
看	kʰuã5	白	
歡	huã1	白	
安	uã1	白	
鞍	uã1		
碗	uã3		
瓦	uã3	文	
晏	uã5	白	
盤	puã2		
叛	puã6		
拌	puã6	俗，擢	
盤	pʰuã2		
伴	pʰuã6		
鰻	muã2		
痳	muã2	～痺	
麻	muã2	白	
檀	tuã2	白	
彈	tuã2		
壇	tuã2		
彈	tuã6		
段	tuã6	白	
賴	nuã6	白	
爛	nuã6		
瀾	nuã6	俗	
惰	nua6	貧～	
泉	tsuã2		
鱔	tsʰuã6	俗，塍～	
寒	kuã2	白	
汗	kuã6		
摜	kuã6	俗	
岸	huã6	海～	
換	uã6		
旱	uã6	白	
檨	suãi5		
泛	huam5		
法	huap7		
凡	huam2		
患	huam6		
範	huam6		
犯	huam6		
范	huam6		
判	pʰuan5		
晚	buan3		
端	tuan1		
煅	tuan5	俗，～芳	
卵	luan3	文	
專	tsuan1		
磚	tsuan1	文	
鑽	tsuan5	文	
川	tsʰuan1		
穿	tsʰuan1	文	
喘	tsʰuan3		
闖	tsʰuan5		
宣	suan1		
喧	suan1		
酸	suan1	文	
選	suan3	文	
爽	suan3		
蒜	suan5		
算	suan5	文	
說	suat7	文	
暖	dzuan3		
觀	kuan1		
官	kuan1	文	
棺	kuan1		
關	kuan1		
管	kuan3	文	
罐	kuan5		
灌	kuan5		
冠	kuan5		
慣	kuan5		
貫	kuan5	文	
顴	kuan5		
決	kuat7		
訣	kuat7		
圈	kʰuan1		
寬	kʰuan1	文	
款	kʰuan3		
缺	kʰuat7	文	
藩	huan1		
番	huan1		
翻	huan1		
反	huan3		
幻	huan5		
煥	huan5		
瘓	huan5	癱～	
發	huat7		
灣	uan1		
彎	uan1		
冤	uan1		
鴛	uan1		
玩	uan3		
腕	uan3		
頑	uan3		
宛	uan3		
遠	uan3	文	
怨	uan5		
拔	puat8	文	
末	muat8	文，～日	
斷	tuan6	文	
段	tuan6		
團	tʰuan2		
戀	luan2		
亂	luan6		
全	tsuan2		
絕	tsuat8	文	
傳	tsʰuan2		
旋	suan2		
璇	suan6	俗，鑽石	
縣	kuan6		
環	kʰuan2	白	
元	ɡuan2		
原	ɡuan2		
源	ɡuan2		
願	ɡuan6		
月	ɡuat8	文	
煩	huan2		
藩	huan2		
礬	huan2		
繁	huan2		
袁	huan2		
環	huan2	文	
還	huan2		
喚	huan6		
罰	huat8		
伐	huat8		
筏	huat8		
灣	uan2		
員	uan2		
園	uan2		
圓	uan2		
緩	uan6		
援	uan6		
越	uat8		
曰	uat8		
粵	uat8		
活	uat8	文	
滿	buaŋ3		
管	kuaŋ3	文	
罐	kuaŋ5		
歡	huaŋ1	文	
髮	huak7		
阮	uaŋ3		
篆	tuaŋ6	秀～	
傳	tʰuaŋ2		
撞	tsuaŋ6		
罐	kuaŋ6		
瓜	kuɛ1	白	
卦	kuɛ5		
花	huɛ1		
瘕	huɛ1	俗，～痀：氣喘	
化	huɛ5		
枒	uɛ1		
華	huɛ2		
話	uɛ6		
畫	uɛ6		
劃	uɛʔ8		
關	kuɛ̃1	白	
寡	kuɛ̃3		
桿	kuɛ̃3	拍麥～	
寬	kʰuɛ̃1	白	
橫	huɛ̃2		
莖	huɛ̃2	訓，芋～	
杯	pue1		
菠	pue1		
飛	pue1	白	
輩	pue3		
掊	pue3	俗	
背	pue5		
褙	pue5	貼	
胚	pʰue1		
配	pʰue5		
每	bue3		
尾	bue3		
綴	tue5		
退	tʰue5		
最	tsue5		
□	tsue5	魚鱗～	
吹	tsʰue1		
炊	tsʰue1		
髓	tsʰue3		
衰	sue1		
帥	sue5		
稅	sue5		
歲	sue5	文	
說	sueʔ7	白	
果	kue3	白	
庋	kue3	俗，～骹	
鱖	kue5		
髻	kue5		
檜	kue5		
過	kue5	白	
郭	kueʔ7		
魁	kʰue1		
恢	kʰue1		
檜	kʰue5		
課	kʰue5	工～	
缺	kʰueʔ7		
灰	hue1		
恢	hue1		
火	hue3		
貨	hue5		
悔	hue5		
歲	hue5	白	
血	hueʔ7		
鍡	ue1	俗	
萵	ue1		
涴	ue5	俗，～著	
賠	pue2		
陪	pue2		
培	pue2		
焙	pue6		
倍	pue6		
背	pue6		
陪	pʰue2		
皮	pʰue2		
被	pʰue6		
沫	pʰueʔ8	訓	
梅	bue2		
莓	bue2		
媒	bue2		
脢	bue2	俗，～肉	
未	bue6	白	
兌	tue6		
內	lue6		
罪	tsue6		
𢶀	tsʰue6	俗，找	
捼	dzue2	俗	
銳	dzue6		
葵	kue2	～笠	
魏	ɡue6		
襪	ɡueʔ8		
月	ɡueʔ8	白	
回	hue2		
匯	hue6		
會	hue6		
衛	ue6		
□	ueʔ8	糠～	
捼	nueʔ7	俗，捏	
糜	muẽ2		
妹	muẽ6		
摁	hmʔ7	俗	
姆	m3		
茅	hm2	白	
毋	m6		
榜	pŋ3		
當	tŋ1		
頓	tŋ5	白	
當	tŋ5		
湯	tʰŋ1		
杖	tʰŋ3	刺～	
褪	tʰŋ5		
肫	tʰŋ5	俗，手～	
女	nŋ3		
莊	tsŋ1		
裝	tsŋ1	白	
掌	tsŋ3	俗，手～指仔	
倉	tsʰŋ1		
瘡	tsʰŋ1		
擤	tsʰŋ5	俗	
霜	sŋ1	白	
酸	sŋ1		
爽	sŋ3	拍～	
損	sŋ3		
算	sŋ5	白	
光	kŋ1		
扛	kŋ1		
缸	kŋ1		
崗	kŋ1	黃～	
捲	kŋ3		
鋼	kŋ5	～鐵	
貫	kŋ5		
卷	kŋ5		
糠	kʰŋ1		
康	kʰŋ1		
囥	kʰŋ5		
方	hŋ1	白	
央	ŋ1	白	
嚶	ŋ1	俗	
影	ŋ3	白	
䚆	ŋ5	俗，～牛	
塘	tŋ2		
堂	tŋ2	白	
長	tŋ2		
腸	tŋ2		
丈	tŋ6	白	
斷	tŋ6		
堂	tʰŋ2	煥～：地名	
瑭	tʰŋ6	俗，淋～：搪瓷	
郎	nŋ2		
瓤	nŋ2		
榔	nŋ2		
圇	nŋ2	俗，加～：完全	
卵	nŋ6	白	
旋	tsŋ6		
吮	tsŋ6	俗	
牀	tsʰŋ6		
牀	sŋ6	籠～	
櫞	ŋ6	香～	
