来源：	李小芳 2001《临县三交话研究》；木瓜, 灰原哀 整理录入
ts	［7］桌｛又～子、～～｝捉｛又骗：不要～人家侯孩弥（小孩子）｝□｛拿：～起书就是圪且念（拿起书就念）｝卓
tsʰ	［7］戳｛～～，～子，图章｝撞｛听说那家儿的教车～哩｝镯｛用于手～龊｝
s	［7］刷缩
z	［8］□｛使劲刷洗｝
k	［7］刮｛用于～风、～胡子｝剐逛｛～街、瞎～｝括｛挺～｝
kʰ	［7］□｛碰：路上没拉看见车了教～老下｝
x	［8］滑获猾
Ø	［7］握龌
#yaʔ	
tɕ	［7］觉｛感觉：～见不对劲赶紧往居舍（家）走：又～意，感觉：睡着哩，没拉～见有人来｝角
tɕʰ	［7］□｛脏｝确
ɕ	［7］穴
#əʔ	
p	［7］拨不焙｛～在锅下｝钵｛～～、～子｝帛舶箔钹播勃饽博泊驳卜膊
pʰ	［7］扑泡｛～茶，又量词｝破｛用于～鞋｝泼朴仆曝瀑渤噗［8］薄饽｛面～，做面食时撒在案板卜面的干面｝
m	［8］沫抹摸穆末没莫寞木日默们陌母｛娘～们｝
f	［7］福幅氟蝠复腹覆辐佛｛仿～｝［8］缚服佛｛～教｝伏袱
v	［8］物勿
t	［7］得的德
tʰ	［7］托特忑
l	［8］雒｛姓｝肋勒
ts	［7］子｛后缀｝则
tsʰ	［7］□｛放：把东西～好｝取｛～过来｝
s	［7］瑟相｛～守～打｝
tʂ	［7］蜇折直｛形容词｝织只炙□｛～不得：～不得那着～手～落｝褶｛圪～～｝蛰执汁哲辙浙秩质值=｛用于价～，～日｝职殖植帜谪［8］这
tʂʰ	［7］吃尺撤赤斥彻坼掣澈炽［8］着｛～地，点～火，又表示由动作发出而造成的损伤：跌～，说～，打～｝值｛～钱｝□｛～～地：～～地教我等老三个钟头｝□｛～天起，睡觉时脸朝上：～天起睡不好｝□｛圪～：｝侄-直-｛～正｝
ʂ	［7］湿设｛做数学时用｝□｛来～，规矩：这孩怎么越来越没来个来～哩｝饬｛整～，收拾｝摄涉识式饰适释什轼赦慑失室［8］十拾折实石佘｛姓｝射｛操心～出去，一～爬起身｝舌蚀食殖｛骨～｝
ɻ	［7］弱［8］热日若
k	［7］各格吊隔合□｛种食品用淀粉及各种调料加水拌好蒸熟而成｝去｛用作趋向补语：出念书～哩（到外头上学去了）｝□｛用葱、海带及具他调料作汤：给咱先～上口调和汤｝阁搁嗝旮膈骼鸽｛木～～｝圪｛词缀｝胳咯袼□｛～杀，包圆：谁把我的这几根黄瓜～杀老嘞｝
kʰ	［7］磕可｛非常：可好嘞｝客刻□｛～底，～总：以后～底是看更（白己）嘞么，靠人能靠老一辈子啦｝瞌咳克渴｛干～｝□｛～戏，带有赞叹的感情色彩：看你些们家～戏嘞不，两个戏还都念老大学｝［8］去｛动词：那～老太原哩｝
x	［7］郝｛姓｝黑喝□｛～里，里：箱了～里，箱子里头｝鹤核赫淌［8］□｛学，不要～我｝合□｛在油中炸葱做汤用：给咱～上口葱｝［7］恶｛学习或做事情等厉害：这孩学去可～哩吧；他做营生去可～哩｝鄂额扼轭
#iəʔ	
p	［7］北憋笔逼滗鳖□｛饱满，今年的这瓜了都痛～｝壁｛～子｝别｛～离｝毕必弼碧璧哔
pʰ	［7］撇匹劈辟霹瞥［8］别｛～人、～处、～东西｝鼻｛～子｝
m	［8］蜜幂篾蔑密觅泌秘墨
t	［7］跌滴笛狄｛姓｝籴翟迭□｛耍,～黑皮｝□｛他一个人～老三张王了：那家一人～的发老五千家奖金｝□｛圪～撒娇，倚小卖小｝牒蝶谍的｛～确｝嫡敌迪涤耋叠=碟=
tʰ	［7］贴铁踢帖剔［8］叠碟｛～子、～～｝
n	［7］聂｛姓｝捏□｛长得～，说的圪且家话来～的来；又～脑，～扎扎，不顺眼｝那｛用于～个、～里｝［8］镊｛～子｝蹑孽涅嗫啮逆溺.
l	［7］裂粒猎烈列栗溧历雳冽趔笠［8］立｛又陡：这个坡坡可～嘞，爬去可熬人嘞｝力□｛支撑：熬老一黑间一白日，实在～不住哩｝沥裂｛～子，龟裂：手上开老好几圪且～子哩｝
ts	［7］接节｛又圪～｝□｛～怕，担心害怕：～修，只要：～修教我查出来，叮没拉你些的好看的（只要让我查出来，就没有你们的好瞧的）｝截=捷辑疾即鲫迹脊籍藉绩寂缉棘集｛～合｝辑瘠
tsʰ	［7］七漆戚｛姓｝切沏砌妾缉窃碛［8］集｛赶～｝截
s	［7］薛｛～姓｝塞｛～住、～子｝膝｛圪～｝屑楔悉息熄媳惜袭昔夕锡析晰淅蜥蟋隰［8］席□｛刺眼：太阳～老眼也｝习
k	［7］看｛他的个样样象个甚嘞？｝
tɕ	［7］急级揭结脚吉｛姓｝激劫极及杰洁戟击圾稽羁岌□｛圪～，打扰｝
tɕʰ	［7］怯｛又～护，担心害怕：我可～护这孩嘞，即怕那做下些不好收拾的事｝讫乞泣［8］□｛一上一下的动作：～黑楞板（翘翘板）｝趄
ɕ	［7］歇吸□｛火旺：今的火正痛～；用火烤：～馍馍｝□｛打：～上那两搭（打他两巴掌）｝蝎｛～子｝携［8］学□｛树木或建筑物遮挡阳光，影响周围植物的生长：树～庄稼｝
Ø	［7］噎乙约给｛～东西，递～那｝壹乐｛音～｝逸抑益亦译揖［8］药岳｛姓｝页叶往｛～前走｝那｛～家，他们，口语中用｝业钥
#uəʔ	
t	［7］读毒厾｛去用指头棍棒等指点：不要～地人家的眉眼卷人（不要指着别人的脸骂）｝□｛屁股｝□｛立，放：把锹～在当院｝掇铎踱独=牍笃督渎椟黩髑□｛圪～：再教饭圪～上-会吧｝
tʰ	［7］脱｛又表示动作脱离：撂～、滑～、踩～，又碗～子｝秃凸托突拓拆［8］夺-犊
l	［8］鹿绿录陆｛姓｝禄烙碌辘麓律率氯轳
ts	［7］做拙｛笨：～得连个三加二也解不下｝术｛金兀～｝□｛打，捶：～老他一圪都：打了他一拳｝□｛堵：操心把烟简～住｝祝竹｛～子｝琢酌浊族筑逐足烛嘱濯擢啄斫卓茁灼竺
tsʰ	［7］出□｛有头绪的线团成无头绪的线团：操心把线线～老；又圪～，不平展｝□｛加热使面糊更粘稠：～凉粉～面丝｝□｛往上拥，把袖子～起去｝猝促触绰［8］卒｛～子｝□｛鬼～上哩，鬼迷心窍｝焌｛～灯，火柴｝妯
s	［7］说束叔术｛算术｝述秫朔速肃宿粟淑烁硕簌溯妁［8］熟赎勺｛～子｝塾孰俗=蜀属
z	［7］弱［8］辱褥入
k	［7］郭｛姓｝国谷｛～姓，割～、打～｝个｛量词，一般读轻声｝聒｛吵：外头怎么好～呀｝核｛～子、～～｝骨｛～头｝帼虢囫｛用于～囵，整个：～囵吃下去｝□｛～芦，西葫芦｝
kh	［7］□｛洼：一～水、一～尿｝括｛用括号～住｝阔窟廓扩哭酷
x	［7］豁｛又～～、～子｝攉霍｛姓｝忽蓿劐或惑［8］活□｛～赤：扔（生气时）｝
Ø	［7］□｛弄弯，折：用铁丝～上几个衣架架｝煴｛暖：窑里可～嘞｝屋沃渥□｛～水，脏衣服：洗～水。注：县城音读u｝［8］五伍兀｛那，远指｝午
#yəʔ	
n	［7］虐
l	［7］劣略掠
tɕ	［7］局□｛用力扯：～断｝□｛憋：～疯哩；～藕人，因憋闷而心烦状｝撅橛｛～子｝镢｛～头｝绝厥决爵嚼桔｛～子｝橘掘倔诀抉獗蹶攫矍□｛～发气，越发气｝
tɕʰ	［7］掬黢｛程度深：～黑、～红、～白｝缺屈雀鹊却菊麴曲蛐阙阕
ɕ	［7］雪削血蓄畜旭□｛野～子｝［8］续｛～老二斤花｝荽｛用于芫～｝俗-｛风~｝
Ø	［7］阅□｛将饺子的边捏紧：把扁食～一下｝岳｛姓｝育悦域郁峪欲浴裕曰粤越｛～南｝狱愈跃熨｛～贴｝［8］月越｛～来～好｝
