简	繁	注释	IPA	吴拼
遇	遇		y³¹³	iu6
寓	寓		y³¹³	iu6
芋	芋		y³¹³	iu6
愈	愈		y³¹³	iu6
愈	癒		y³¹³	iu6
喻	喻		y³¹³	iu6
裕	裕		y³¹³	iu6
猪	豬		tsʮ⁴⁴³	tsyu1
居	居	文读，～民	tsʮ⁴⁴³	tsyu1
车	車	～马炮	tsʮ⁴⁴³	tsyu1
蛛	蛛		tsʮ⁴⁴³	tsyu1
株	株		tsʮ⁴⁴³	tsyu1
诛	誅		tsʮ⁴⁴³	tsyu1
刍	芻		tsʮ⁴⁴³	tsyu1
雏	雛		tsʮ⁴⁴³	tsyu1
珠	珠		tsʮ⁴⁴³	tsyu1
朱	朱		tsʮ⁴⁴³	tsyu1
拘	拘		tsʮ⁴⁴³	tsyu1
驹	駒		tsʮ⁴⁴³	tsyu1
句	句	～容	tsʮ⁴⁴³	tsyu1
狙	狙		tsʮ⁴⁴³	tsyu1
诸	諸		tsʮ³²⁴	tsyu3
煮	煮		tsʮ³²⁴	tsyu3
举	舉		tsʮ³²⁴	tsyu3
主	主		tsʮ³²⁴	tsyu3
拄	拄		tsʮ³²⁴	tsyu3
矩	矩		tsʮ³²⁴	tsyu3
