#符号说明：-白=文/书*俗?待考	
#调值	[1]⁴⁴ [2]²¹ [3]³⁵³ [5]³⁵ [7]²
#ɿ	
x	[7]忽复核𣝗{龙眼~}佛或获福幅蝠覆腹服伏
Ø	[7]物屋

#yʔ	
l	[7]率{效~}律
tʃʰ	[7]出
k	[7]局菊掬剧鞠
kʰ	[7]屈曲
x	[7]戌恤畜{~牧}
Ø	[7]于淤疫役玉狱欲浴育熨

#aʔ	
p	[7]八拨
m	[7]抹
t	[7]搭答达
tʰ	[7]踏搨{~本}沓{一~纸}塔榻塌獭
l	[7]拿捺辣癞纳拉
ts	[7]杂铡扎眨闸札
tsʰ	[7]搽插檫察
s	[7]撒萨杀
kʰ	[7]揢{抽屉卡住，拉不开}
x	[7]吓
Ø	[7]阿{~哥}鸭

#iaʔ	
k	[7]甲胛挟{~菜}
ʃ	[7]吓{文读}匣
x	[7]瞎辖
Ø	[7]鸭{文读}押压轧

#uaʔ	
s	[7]刷涮
k	[7]括刮
x	[7]滑法乏猾发伐
Ø	[7]袜

#oʔ	
p	[7]钵拨博薄泊剥驳帛
pʰ	[7]泼朴勃
m	[7]末沫莫膜寞
t	[7]夺铎踱
tʰ	[7]蜕{蛇~皮}脱托
l	[7]捋{~袖}落烙骆酪洛络乐{快~}揉{训读}
ts	[7]作凿昨桌浊
tsʰ	[7]撮{一~米}戳
s	[7]索缩
k	[7]蛤{~蜊}鸽葛割各阁搁胳□{头昂起来}郭
kʰ	[7]磕阔壳廓扩
x	[7]合盒活鹋霍缚惑
Ø	[7]鄂恶握沃

#yoʔ	
l	[7]略虐弱疟
tʃ	[7]爵嚼着{~衣，睡~}酌
tʃʰ	[7]雀鹊
ʃ	[7]削{文读}学
k	[7]脚觉{知~}角
kʰ	[7]确却
Ø	[7]若约药钥乐{音~}跃岳

#eʔ	
p	[7]别鼈
pʰ	[7]撇
m	[7]□{嘴扁凹，如假牙脱掉后嘴的状态}灭篾没{~有}
t	[7]跌叠碟谍蝶牒
tʰ	[7]帖{请~}贴铁
ts	[7]聂镊蹑猎列烈裂孽捏劣
tsʰ	[7]接捷摺{~叠}褶哲辙折浙节截
s	[7]妾怯切撒彻
k	[7]舌设
x	[7]杰揭结洁劫□{生气}
Ø	[7]协胁歇血穴

#ieʔ	
Ø	[7]葉页业热

#yeʔ	
tʃ	[7]绝
tʃʰ	[7]薛雪说
k	[7]决诀
kʰ	[7]厥掘缺
Ø	[7]悦阅月越曰粤

#ɤʔ	
p	[7]北百柏伯白泊{梁山~}
pʰ	[7]拍魂迫
m	[7]墨默麦脉□{用舌头一下一下地舔食物}
t	[7]德得
tʰ	[7]特
ts	[7]则贼责择泽窄摘责
tsʰ	[7]厕侧拆测策册
s	[7]涩瑟虱塞色啬
k	[7]给格革隔
kʰ	[7]咳渴刻克客
x	[7]喝{~水}黑核{审~}
Ø	[7]额

#ieuʔ	
ʃ	[7]蓄{储~}
kʰ	[7]粬{酒~}
Ø	[7]肉辱褥
