汉字	拼音	IPA	注释		
數	siau5	siau˨˩˨	白		
珠	tsu1	tsu˧˧			
珠	tsiu1	tsiu˧˧	白，目~		
朱	tsu1	tsu˧˧			
主	tsu3	tsu˥˩			
注	tsu5	tsu˨˩˨			
鑄	tsu5	tsu˨˩˨			
樞	khu1	kʰu˧˧			
輸	su1	su˧˧			
戍	sue5	sue˨˩˨			
輸	su1	su˧˧			
殊	su2	su˥˥			
豎	su4	su˨˥			
樹	su4	su˨˥	文		
樹	tshiu6	tsʰiu˨˩	白		
儒	ju2	dzu˥˥			
乳	ju3	dzu˥˩			
拘	khu1	kʰu˧˧			
駒	khu1	kʰu˧˧			
俱	ku4	ku˨˥			
矩	kur3	kɯ˥˩			
句	ku5	ku˨˩˨			
區	khu1	kʰu˧˧			
驅	khu1	kʰu˧˧			
瞿	khur2	kʰɯ˥˥			
具	ku4	ku˨˥			
具	khu4	kʰu˨˥	又		
懼	ku4	ku˨˥			
栩	hu3	hu˥˩			
虞	ngo2	ŋo˥˥			
愚	ngo2	ŋo˥˥			
娛	u2	u˥˥			
娛	gu2	gu˥˥	又		
遇	ngo4	ŋo˨˥			
寓	ngo4	ŋo˨˥			
寓	ngo2	ŋo˥˥	又		
吁	ju4	dzu˨˥			
迂	u1	u˧˧			
于	u1	u˧˧	單~		
盂	hu2	hu˥˥	訓		
雨	u3	u˥˩	文，節氣		
雨	hou4	hou˨˥	白		
禹	u3	u˥˩			
宇	u3	u˥˩			
羽	u3	u˥˩			
芋	ou6	ou˨˩			
逾	ju2	dzu˥˥			
榆	ju2	dzu˥˥			
愉	ju2	dzu˥˥			
愈	ju3	dzu˥˩			
喻	ju4	dzu˨˥			
裕	ju4	dzu˨˥			
獃	tai1	tai˧˧			
戴	tai5	tai˨˩˨	文		
戴	to5	to˨˩˨	白，姓氏		
戴	ti5	ti˨˩˨	白，~帽		
胎	tho1	tʰo˧˧			
台	thai1	tʰai˧˧			
態	thai5	tʰai˨˩˨			
貸	tai5	tai˨˩˨			
臺	thai2	tʰai˥˥			
臺	tai2	tai˥˥	祝英~		
苔	thai2	tʰai˥˥	文		
苔	thi2	tʰi˥˥	白，青~		
抬	thai2	tʰai˥˥			
殆	tai4	tai˨˥			
待	thai4	tʰai˨˥			
怠	tai4	tai˨˥			
代	tai5	tai˨˩˨	交~		
代	to6	to˨˩	白		
代	thoi5	tʰoi˨˩˨	訓“替”		
袋	to6	to˨˩			
埭	to6	to˨˩			
乃	nai3	nai˥˩			
耐	nai4	nai˨˥			
來	lai2	lai˥˥			
災	tsai1	tsai˧˧			
栽	tsai1	tsai˧˧			
宰	tsai3	tsai˥˩			
載	tsai3	tsai˥˩			
再	tsai5	tsai˨˩˨			
載	tsai5	tsai˨˩˨			
載	tsai6	tsai˨˩			
猜	tshai1	tsʰai˧˧			
采	tshai3	tsʰai˥˩			
睬	tshai3	tsʰai˥˩			
彩	tshai3	tsʰai˥˩			
菜	tshai5	tsʰai˨˩˨			
裁	tshai2	tsʰai˥˥			
材	tshai2	tsʰai˥˥			
才	tshai2	tsʰai˥˥			
才	tsai2	tsai˥˥	秀~		
纔	tshai2	tsʰai˥˥			
財	tshai2	tsʰai˥˥			
在	tsai4	tsai˨˥			
在	to4	to˨˥	訓		
腮	sai1	sai˧˧	文		
腮	tshi1	tsʰi˧˧	白		
鰓	sai1	sai˧˧	文		
鰓	tshi1	tsʰi˧˧	白		
賽	sai5	sai˨˩˨			
該	kai1	kai˧˧			
改	koi3	koi˥˩			
溉	khai5	kʰai˨˩˨			
概	khai5	kʰai˨˩˨			
開	khai1	kʰai˧˧	文		
開	khui1	kʰui˧˧	白		
凱	khai3	kʰai˥˩			
愷	khai3	kʰai˥˩			
慨	khai5	kʰai˨˩˨			
呆	ngai2	ŋai˥˥			
礙	gai6	gai˨˩			
海	hai3	hai˥˩			
孩	hai2	hai˥˥			
亥	hai4	hai˨˥			
哀	ai1	ai˧˧			
埃	ai1	ai˧˧			
唉	ai1	ai˧˧			
愛	ainn5	ãi˨˩˨			
貝	pue4	pue˨˥			
貝	pue5	pue˨˩˨	寶~		
沛	phai5	pʰai˨˩˨			
帶	tua5	tua˨˩˨			
泰	thai5	tʰai˨˩˨			
太	thai5	tʰai˨˩˨			
大	tai4	tai˨˥	文		
大	tua6	tua˨˩	白		
奈	nai4	nai˨˥			
賴	nai4	nai˨˥	文		
賴	lua6	lua˨˩	白		
癩	nai4	nai˨˥			
蔡	tshua5	tsʰua˨˩˨			
蓋	kai5	kai˨˩˨	文		
蓋	kua5	kua˨˩˨	白		
丐	kai5	kai˨˩˨			
艾	ngai4	ŋai˨˥	文		
艾	hiann6	hiã˨˩	白		
害	hai6	hai˨˩			
藹	ai3	ai˥˩			
靄	ai3	ai˥˩			
拜	pai5	pai˨˩˨			
排	phai2	pʰai˥˥	~場		
排	pai2	pai˥˥			
埋	mai2	mai˥˥			
齋	tse1	tsɛ˧˧			
豺	tshai2	tsʰai˥˥			
皆	kai1	kai˧˧			
偕	kai1	kai˧˧			
稭	kai1	kai˧˧			
街	koi1	koi˧˧			
階	kai1	kai˧˧			
戒	kai5	kai˨˩˨			
芥	kai5	kai˨˩˨	文		
