	字	音	調	注			聲調																																										
	蝶	tiɛʔ	7																																														
	蝴	hu	2																																														
	蝠	fuʔ	7																																														
	蠍	hiɛʔ	7																																														
	蝌	kʰuə	1																																														
	蝗	huaŋ	2																																														
	蝙	piən	1																																														
	嘿	həi	1																																														
	囑	tsuʔ	7																																														
	幢	tsuaŋ	5																																														
	幢	tsʰuaŋ	2																																														
	墨	mɔʔ	7																																														
	鎮	tsen	5																																														
	鎬	kau	3																																														
	鎊	paŋ	5																																														
	靠	kʰau	5																																														
	稽	ki	1																																														
	稻	tau	5																																														
	黎	li	2																																														
	稿	kau	3																																														
	稼	kia	5																																														
	箱	siaŋ	1																																														
	簍	ləu	3																																														
	箭	tsiən	5																																														
	篇	pʰiən	1																																														
	僵	kiaŋ	1																																														
	躺	tʰaŋ	3																																														
	僻	pʰiʔ	7																																														
	德	tɤʔ	7																																														
	艘	səu	1																																														
	膝	siʔ	7																																														
	膛	tʰaŋ	2																																														
	鯉	li	3																																														
	鯽	tsiʔ	7																																														
	熟	suʔ	7																																														
	摩	mɔ	2																																														
	褒	pau	1																																														
	癟	piɛ	3																																														
	瘤	liu	2																																														
	癱	tʰaŋ	1																																														
	凜	len	3																																														
	顔	zən	2																																														
	毅	zi	5																																														
	糊	hu	2																																														
	遵	tsuən	1																																														
	憋	piɛʔ	7																																														
	潛	tsʰiən	3																																														
	澎	pʰəŋ	2																																														
	潮	tsʰau	2																																														
	潭	tʰaŋ	2																																														
	鯊	sa	1																																														
	澳	au	5																																														
	潘	pʰan	1																																														
	澈	tsʰiɛʔ	7																																														
	瀾	lan	2																																														
	澄	tsʰəŋ	2																																														
	懂	tuŋ	3																																														
	憔	tsʰiau	2																																														
	懊	au	5																																														
	憎	tsəŋ	5																																														
	額	ɤʔ	7																																														
	翩	pʰiən	1																																														
	褥	zuʔ	7																																														
	譴	kʰiən	3																																														
	鶴	hɔʔ	7																																														
	憨	han	1																																														
	慰	vəi	5																																														
	劈	pʰiʔ	7																																														
	履	li	3																																														
	豫	zy	5																																														
	繚	liau	2																																														
	撼	han	5																																														
	擂	ləi	5																																														
	操	tsʰau	1																																														
	擅	siən	5																																														
	擅	san	5																																														
	燕	zən	5																																														
	蕾	ləi	3																																														
	薯	syi	2																																														
	薛	siɛʔ	7																																														
	薇	vəi	1																																														
	擎	kʰeŋ	2																																														
	薪	sen	1																																														
	薄	pɔʔ	7																																														
	顛	tiən	1																																														
	翰	han	5																																														
	噩	ɤʔ	7																																														
	櫥	tsʰy	2																																														
	橙	tsʰəŋ	2																																														
	橘	kiʔ	7																																														
	整	tseŋ	3																																														
	融	zuŋ	2																																														
	瓢	pʰiau	2																																														
	醒	seŋ	3																																														
	霍	hɔʔ	7																																														
	霎	saʔ	7																																														
	轍	tsiɛʔ	7																																														
	冀	ki	5																																														
	餐	tsʰan	1																																														
	嘴	tsəi	3																																														
	踱	tɔʔ	7																																														
	蹄	tʰi	2																																														
	蹂	zəu	2																																														
	蟆	ma	2																																														
	螃	pʰai	3	螃蟹																																													
	器	kʰi	5																																														
	噪	tsau	5																																														
	鸚	zeŋ	1																																														
	贈	tsəŋ	5																																														
	默	mɔʔ	7																																														
	黔	kʰiən	2																																														
	鏡	keŋ	5																																														
	贊	tsan	5																																														
	穆	muʔ	7																																														
	籃	lan	2																																														
	篡	tsʰuən	5																																														
	篷	pʰuŋ	2																																														
	籬	li	2																																														
	儒	zy	2																																														
	邀	zau	1																																														
	衡	həŋ	2																																														
	膨	pʰuŋ	2																																														
	雕	tiau	1																																														
	鯨	keŋ	1																																														
	磨	mɔ	2																																														
	磨	mɔ	5																																														
	癮	zen	3																																														
	瘸	kʰiɛ	2																																														
	凝	neŋ	2																																														
	辨	piən	5																																														
	辯	piən	5																																														
	糙	tsʰau	1																																														
	糖	tʰaŋ	2																																														
	糕	kau	1																																														
	燃	zən	2																																														
	瀕	pen	1																																														
	澡	tsau	3																																														
	激	kiʔ	7																																														
	懶	lan	3																																														
	憾	han	5																																														
	懈	hai	5																																														
	懈	hiɛ	5																																														
	窿	luŋ	1																																														
	壁	piʔ	7																																														
	壁	pi	5																																														
	避	pi	5																																														
	繮	kiaŋ	1																																														
	繳	kiau	3																																														
	戴	tai	5																																														
	擦	tsʰaʔ	7																																														
	藉	tsiɛ	5																																														
	藉	tsiʔ	7																																														
	鞠	kyʔ	7																																														
	藏	tsaŋ	5																																														
	藏	tsʰaŋ	2																																														
	藏	tsʰiaŋ	2																																														
	藐	miau	3																																														
	檬	muŋ	2																																														
	簷	zən	2																																														
	檀	tʰan	2																																														
	礁	tsiau	1																																														
	磷	len	2																																														
	霜	suaŋ	1																																														
	霞	hia	2																																														
	瞭	liau	5																																														
	瞧	tsʰiau	2																																														
	瞬	suən	5																																														
	瞳	tʰuŋ	2																																														
	矚	tsuʔ	7																																														
	瞪	təŋ	5																																														
	曙	sy	5																																														
	蹋	tʰaʔ	7																																														
	蹈	tau	3																																														
	螺	lɔ	2																																														
	蟋	siʔ	7																																														
	蟀	syʔ	7																																														
	蟀	suai	5																																														
	嚎	hau	2																																														
	贍	san	5																																														
	穗	suəi	5																																														
	魏	vəi	5																																														
	簧	huaŋ	2																																														
	簇	tsʰuʔ	7																																														
	繁	fan	2																																														
	徽	huəi	1																																														
	爵	tsiɔʔ	7																																														
	朦	muŋ	2																																														
	臊	sau	5																																														
	鱷	ɔʔ	7																																														
	癌	ai	2																																														
	辮	piən	5																																														
	贏	zeŋ	2																																														
	糟	tsau	1																																														
	糠	kʰaŋ	1																																														
	燥	tsau	5																																														
	懦	nɔ	5																																														
	豁	huəʔ	7																																														
	臀	tʰuən	2																																														
	臂	pi	5																																														
	翼	ziʔ	7																																														
	驟	tsəu	5																																														
	藕	əu	3																																														
	鞭	piən	1																																														
	藤	tʰəŋ	2																																														
	覆	fu	5																																														
	覆	fuʔ	7																																														
	瞻	tsan	1																																														
	蹦	puŋ	5																																														
	囂	hiau	1																																														
	鐮	liən	2																																														
	翻	fan	1																																														
	鰭	kʰi	2																																														
	鷹	zeŋ	1																																														
	瀑	pʰuʔ	7																																														
	襟	ken	1																																														
	璧	piʔ	7																																														
	戳	tsʰɔʔ	7																																														
	孽	niɛʔ	7																																														
	警	keŋ	3																																														
	蘑	mɔ	2																																														
	藻	tsau	3																																														
	攀	pʰan	1																																														
	曝	pau	5																																														
	蹲	tən	1																																														
	蹭	tsʰəŋ	5																																														
	蹬	təŋ	5																																														
	巔	tiən	1																																														
	簸	pɔ	5																																														
	簿	pu	5																																														
	蟹	hai	5																																														
	顫	tsʰan	5																																														
	靡	mi	2																																														
	癬	siən	3																																														
	瓣	pan	5																																														
	羹	kəŋ	1																																														
	鼈	piɛʔ	7																																														
	爆	pau	5																																														
	疆	kiaŋ	1																																														
	鬢	pen	5																																														
	壤	zaŋ	3																																														
	馨	heŋ	1																																														
	耀	zau	5																																														
	躁	tsau	5																																														
	蠕	zy	2																																														
	嚼	tsiɔʔ	7																																														
	嚷	zaŋ	1																																														
	巍	vəi	1																																														
	籍	tsiʔ	7																																														
	鱗	len	2																																														
	魔	mɔ	2																																														
	糯	lɔ	5																																														
	灌	kuən	5																																														
	譬	pʰi	5																																														
	蠢	tsʰuən	3																																														
	霸	pa	5																																														
	露	lu	5																																														
	霹	pʰiʔ	7																																														
	躪	len	5																																														
	黯	an	5																																														
	髓	suəi	3																																														
	贛	kaŋ	5																																														
	囊	naŋ	2																																														
	鑲	siaŋ	1																																														
	瓤	zaŋ	2																																														
	罐	kuan	5																																														
	矗	tsʰuʔ	7																																														
	乂	zi	5																																														
	乜	mə	1																																														
	兀	vuʔ	7																																														
	弋	ziʔ	7																																														
	孑	kiɛʔ	7																																														
	孓	kyɛʔ	7																																														
	麽	mə	1																																														
	亓	kʰi	2																																														
	韋	vəi	3																																														
	廿	ziʔ	7																																														
	廿	niən	5																																														
	丏	miən	3																																														
	卅	saʔ	7																																														
	仄	tsɤʔ	7																																														
	厄	ɤʔ	7																																														
	仃	teŋ	1																																														
	仉	tsaŋ	3																																														
	仂	lɤʔ	7																																														
	兮	hi	1																																														
	刈	zi	5																																														
	爻	hiau	2																																														
	卞	piən	5																																														
	閂	suən	1																																														
	訃	pʰu	5																																														
	尹	zi	1																																														
	夬	kuai	5																																														
	爿	pʰan	2																																														
	毋	vu	2																																														
	邗	han	2																																														
	邛	kʰiuŋ	2																																														
	艽	kiu	3																																														
	艿	zeŋ	2																																														
	劄	tsaʔ	7																																														
	叵	pʰuə	3																																														
	匝	tsaʔ	7																																														
	丕	pʰi	1																																														
	匜	zi	2																																														
	勱	mai	5																																														
	卟	puʔ	7																																														
	叱	tsʰiʔ	7																																														
	叻	lɤʔ	7																																														
	仨	sa	1																																														
	仕	si	5																																														
	仟	tsʰiən	1																																														
	仡	kɔ	1																																														
	仫	mu	5																																														
	仞	zen	5																																														
	卮	tsi	1																																														
	氐	tsi	1																																														
	氐	ti	1																																														
	犰	kʰiu	2																																														
	芻	tsʰy	1																																														
	鄺	kʰuaŋ	5																																														
	邙	maŋ	2																																														
	汀	tʰeŋ	1																																														
	訐	kiɛʔ	7																																														
	訌	huŋ	5																																														
	訕	san	5																																														
	訖	kʰiʔ	7																																														
	尻	kʰau	1																																														
	阡	tsʰiən	1																																														
	尕	ka	3																																														
	弁	piən	5																																														
	馭	zy	5																																														
	匡	kʰuaŋ	1																																														
	耒	ləi	3																																														
	玎	teŋ	1																																														
	璣	ki	1																																														
	邢	heŋ	2																																														
	圩	hy	1																																														
	圩	vəi	2																																														
	圬	vu	1																																														
	圭	kuəi	1																																														
	扡	tʰɔ	1																																														
	圪	kɔʔ	7																																														
	圳	tsən	5																																														
	壙	kʰuaŋ	5																																														
	捫	mən	2																																														
	圮	pʰi	3																																														
	圯	zi	2																																														
	芊	tsʰiən	1																																														
	芍	sɔʔ	7																																														
	芄	zuən	2																																														
	芨	kiʔ	7																																														
	芑	kʰi	3																																														
	芎	kʰiuŋ	2																																														
	薌	hiaŋ	1																																														
	亙	kəŋ	5																																														
	厙	sa	5																																														
	夼	kʰuaŋ	3																																														
	戍	sy	5																																														
	尥	liau	5																																														
	乩	ki	1																																														
	旯	la	1																																														
	曳	zi	5																																														
	岌	kiʔ	7																																														
	屺	kʰi	3																																														
	氹	taŋ	5																																														
	囡	nan	2																																														
	釔	ziʔ	7																																														
	缶	fəu	3																																														
	氘	tau	1																																														
	氖	lai	3																																														
	牝	pʰen	5																																														
	伎	tsi	5																																														
	傴	zy	3																																														
	伢	za	2																																														
	佤	va	3																																														
	仵	vu	3																																														
	倀	tsʰaŋ	1																																														
	傖	tsʰaŋ	1																																														
	伉	kʰaŋ	5																																														
	佇	tsʰy	3																																														
	囟	sen	5																																														
	汆	tsʰuən	1																																														
	刖	zyɛʔ	7																																														
	夙	suʔ	7																																														
	旮	ka	3																																														
	刎	vən	3																																														
	獷	kuaŋ	3																																														
	獁	ma	3																																														
	舛	tsʰuən	3																																														
	鳧	fu	2																																														
	鄔	vu	1																																														
	餳	tʰaŋ	2																																														
	汕	san	5																																														
	汔	hiʔ	7																																														
	汐	siʔ	7																																														
	汲	kiʔ	7																																														
	汜	sɿ	3																																														
	汊	tsʰa	5																																														
	忖	tsʰən	3																																														
	懺	tsʰan	5																																														
	謳	əu	1																																														
	詎	ky	5																																														
	祁	kʰi	2																																														
	訥	naʔ	7																																														
	聿	zyʔ	7																																														
	艮	kən	5																																														
	厾	tɔʔ	7																																														
	阱	tseŋ	3																																														
	阮	zuən	3																																														
	阪	pan	3																																														
	丞	tsʰəŋ	2																																														
	妁	sɔʔ	7																																														
	牟	məu	2																																														
	紆	zy	1																																														
	紂	tsəu	5																																														
	紇	hɔʔ	7																																														
	紈	van	2																																														
	玕	kan	1																																														
	璵	zy	2																																														
	摶	tʰuən	2																																														
	抔	pʰəi	1																																														
	圻	kʰi	2																																														
	阪	pan	3																																														
	坍	tʰan	1																																														
	塢	vu	1																																														
	抃	piən	5																																														
	抉	kiɛʔ	7																																														
	㧐	suŋ	3																																														
	芫	zuən	2																																														
	邯	han	2																																														
	芸	zyin	2																																														
	芾	fuʔ	7																																														
	藶	liʔ	7																																														
	苣	ky	5																																														
	芷	tsi	3																																														
	芮	zuəi	5																																														
	莧	hiən	5																																														
	芼	mau	2																																														
	萇	tsʰaŋ	2																																														
	蓯	tsuŋ	1																																														
	芩	kʰen	2																																														
	芪	kʰi	2																																														
	芡	kʰiən	5																																														
	芟	san	1																																														
	苄	piən	5																																														
	苧	tsy	5																																														
	苡	zi	3																																														
	杌	vuʔ	7																																														
	杓	sɔʔ	7																																														
	杞	kʰi	3																																														
	杈	tsʰa	1																																														
	忑	tʰɤʔ	7																																														
	孛	pɔʔ	7																																														
	邴	peŋ	3																																														
	邳	pʰi	1																																														
	磯	ki	1																																														
	奩	liən	2																																														
	豕	si	3																																														
	忒	tʰɤʔ	7																																														
	歟	zy	2																																														
	軔	zen	5																																														
	迓	za	5																																														
	邶	pəi	5																																														
	忐	tʰan	3																																														
	卣	zəu	3																																														
	鄴	liɛʔ	7																																														
	旰	kan	5																																														
	呋	fu	1																																														
	嘸	vu	2																																														
	囈	zi	5																																														
	呔	tʰai	5																																														
	嚦	liʔ	7																																														
	呃	ɤʔ	7																																														
	暘	zaŋ	2																																														
	吡	pi	3																																														
	町	tʰeŋ	1																																														
	虯	kʰiu	2																																														
	唄	pəi	5																																														
	吽	həu	3																																														
	唚	tsʰen	5																																														
	吲	zen	3																																														
	幃	vəi	2																																														
	岐	kʰi	2																																														
	岈	za	2																																														
	峴	hiən	5																																														
	岑	tsʰen	2																																														
	嵐	lan	2																																														
	兕	sɿ	5																																														
	圇	lən	2																																														
	囫	huʔ	7																																														
	釗	tsau	1																																														
	釙	pʰɔʔ	7																																														
	釕	liau	3																																														
	迕	vu	3																																														
	氙	siən	1																																														
	氚	tsʰuən	1																																														
	牤	maŋ	2																																														
	佞	neŋ	5																																														
	邱	kʰiu	1																																														
	攸	zəu	1																																														
	佚	ziʔ	7																																														
	佝	kəu	1																																														
	佟	tʰuŋ	2																																														
	佗	tʰɔ	2																																														
	伽	kia	1																																														
	彷	faŋ	3																																														
	佘	siɛ	2																																														
	僉	tsiən	1																																														
	孚	fu	1																																														
	豸	tsi	5																																														
	坌	pən	5																																														
	肟	vu	1																																														
	邸	ti	3																																														
	奐	huən	5																																														
	劬	kʰy	2																																														
	狄	tiʔ	7																																														
	狁	zyin	3																																														
	鳩	kiu	1																																														
	鄒	tsəu	1																																														
	飩	tən	5																																														
	餼	hi	5																																														
	飪	zen	5																																														
	飫	zy	5																																														
	飭	tsʰiʔ	7																																														
	亨	həŋ	1																																														
	廡	vu	3																																														
	庋	ki	3																																														
	庋	kuəi	3																																														
	疔	teŋ	1																																														
	癤	tsiɛʔ	7																																														
	肓	huaŋ	1																																														
	闈	vəi	2																																														
	閎	huŋ	2																																														
	閔	men	3																																														
	羌	kʰiaŋ	1																																														
	煬	zaŋ	2																																														
	灃	fuŋ	1																																														
	沅	zuən	2																																														
	沔	miən	3																																														
	漚	əu	5																																														
	沌	tən	5																																														
	沏	tsʰiɛʔ	7																																														
	沚	tsi	3																																														
	汩	kuʔ	7																																														
	汨	miʔ	7																																														
	沂	zi	2																																														
	汾	fen	2																																														
	渢	fuŋ	1																																														
	汴	piən	5																																														
	汶	ven	2																																														
	沆	haŋ	5																																														
	潙	kuəi	1																																														
	泐	lɤʔ	7																																														
	憮	vu	3																																														
	慪	əu	5																																														
	忡	tsʰuŋ	1																																														
	忤	vu	3																																														
	愾	kʰai	5																																														
	悵	tsʰaŋ	5																																														
	忻	hen	1																																														
	忪	suŋ	1																																														
	愴	tsʰuaŋ	5																																														
	忭	piən	5																																														
	忸	niu	3																																														
	詁	ku	3																																														
	訶	hɔ	1																																														
	詛	tsu	3																																														
	詆	ti	3																																														
	謅	tsəu	1																																														
	詔	tsau	5																																														
	詒	zi	2																																														
	孜	tsɿ	1																																														
	隴	luŋ	3																																														
	陀	tʰɔ	2																																														
	陂	pi	1																																														
	陘	heŋ	1																																														
	妍	zən	2																																														
	嫵	vu	3																																														
	嫗	zy	5																																														
	妣	pi	3																																														
	妊	zen	5																																														
	妗	ken	5																																														
	嬀	kuəi	1																																														
	妞	niu	1																																														
	姒	sɿ	5																																														
	妤	zy	2																																														
	邵	sau	5																																														
	劭	sau	5																																														
	剄	keŋ	3																																														
	甬	zuŋ	3																																														
	邰	tʰai	2																																														
	紜	zyin	2																																														
	紕	pʰi	1																																														
	紝	zen	5																																														
	綸	lən	2																																														
	紓	sy	1																																														
	瑋	vəi	3																																														
	玡	ai	2																																														
	玭	pʰeŋ	2																																														
	玠	kai	5																																														
	玢	pen	1																																														
	玥	zyɛʔ	7																																														
	玦	kiɛʔ	7																																														
	盂	zy	2																																														
	忝	tʰiən	3																																														
	匭	kui	3																																														
	坩	kʰan	2																																														
	抨	pʰəŋ	1																																														
	拤	kʰa	3																																														
	坫	tiən	5																																														
	拈	niən	2																																														
	壚	lu	2																																														
	抻	tsʰyin	1																																														
	劼	kʰiɛʔ	7																																														
	拃	tsa	3																																														
	拊	fu	3																																														
	坼	tsʰɤʔ	7																																														
	坻	ti	3																																														
	㧟	kʰuai	3																																														
	坨	tʰɔ	2																																														
	坭	ni	2																																														
	抿	meŋ	3																																														
	坳	au	5																																														
	耶	ziɛ	1																																														
	苷	kan	1																																														
	苯	pən	3																																														
	苤	pʰi	1																																														
	蘢	luŋ	2																																														
	苫	san	1																																														
	苜	muʔ	7																																														
	苴	tsʰy	1																																														
	苒	zan	3																																														
	檾	kʰeŋ	3																																														
	茌	si	2																																														
	苻	fu	2																																														
	苓	leŋ	2																																														
	茚	zen	5																																														
	茆	mau	3																																														
	蔦	niau	3																																														
	茓	syɛʔ	7																																														
	塋	zeŋ	2																																														
	煢	kʰiuŋ	2																																														
	茀	fuʔ	7																																														
	苕	tʰiau	2																																														
	櫪	liʔ	7																																														
	枇	pʰi	2																																														
	杪	miau	3																																														
	杳	zau	3																																														
	梘	kiən	3																																														
	杵	tsʰy	3																																														
	棖	tsʰaŋ	2																																														
	樅	tsuŋ	1																																														
	枋	faŋ	1																																														
	杻	niu	3																																														
	杷	pʰa	2																																														
	杼	tsy	5																																														
	矸	kan	1																																														
	碭	taŋ	5																																														
	刳	kʰu	1																																														
	奄	zən	3																																														
	甌	əu	1																																														
	歿	mɔʔ	7																																														
	郟	kiaʔ	7																																														
	軛	ɤʔ	7																																														
	郅	tsiʔ	7																																														
	鳶	zən	1																																														
	盱	hy	1																																														
	昊	hau	5																																														
	曇	tʰan	2																																														
	杲	kau	3																																														
	昃	tsɤʔ	7																																														
	咂	tsaʔ	7																																														
	呸	pʰəi	5																																														
	昕	hen	1																																														
	昀	zyin	2																																														
	旻	meŋ	2																																														
	昉	faŋ	3																																														
	炅	tsiuŋ	3																																														
	哢	luŋ	5																																														
	畀	pi	5																																														
	蟣	ki	3																																														
	咀	tsy	3																																														
	呷	hiaʔ	7																																														
	黽	men	3																																														
	呱	kua	1																																														
	呤	leŋ	2																																														
	咚	tuŋ	1																																														
	咆	pʰau	2																																														
	嚀	neŋ	2																																														
	呶	nau	2																																														
	呣	mu	3																																														
	呦	zəu	1																																														
	噝	sɿ	1																																														
	岢	kʰɔ	3																																														
	巋	kʰuəi	1																																														
	岬	kiaʔ	7																																														
	岫	siu	5																																														
	帙	tsiʔ	7																																														
	岣	kəu	3																																														
	峁	mau	3																																														
	劌	kuəi	5																																														
	迥	kiuŋ	3																																														
	岷	meŋ	2																																														
	剴	kʰai	3																																														
	帔	pʰi	1																																														
	嶧	ziʔ	7																																														
	遝	tʰaʔ	7																																														
	囹	leŋ	2																																														
	罔	vaŋ	3																																														
	釷	tʰu	3																																														
	釺	tsʰiən	1																																														
	釧	tsʰuən	1																																														
	釩	faŋ	2																																														
	釹	ny	3																																														
	釵	tsʰai	1																																														
	邾	tsy	1																																														
	迮	tsaʔ	7																																														
	犛	mau	2																																														
	竺	tsuʔ	7																																														
	迤	zi	2																																														
	佶	kiʔ	7																																														
	佬	lau	3																																														
	佰	mɔʔ	7																																														
	侑	zəu	5																																														
	侉	kʰua	3																																														
	臾	zy	2																																														
	岱	tai	5																																														
	侗	tuŋ	5																																														
	侃	kʰan	3																																														
	侏	tsy	1																																														
	儈	kʰuai	5																																														
	佻	tʰiau	1																																														
	佾	ziʔ	7																																														
	儕	tsʰai	2																																														
	佼	kiau	3																																														
	佯	zaŋ	2																																														
	儂	nuŋ	2																																														
	帛	pɔʔ	7																																														
	阜	fu	5																																														
	侔	məu	2																																														
	徂	tsʰu	2																																														
	劊	kuəi	5																																														
	郤	kʰiʔ	7																																														
	慫	suŋ	3																																														
	糴	tiʔ	7																																														
	甕	uŋ	5																																														
	戧	tsʰiaŋ	1																																														
	肼	tseŋ	3																																														
	膞	tsuən	1																																														
	肽	tʰai	5																																														
	肱	kuŋ	1																																														
	肫	tsən	1																																														
	剁	tɔ	5																																														
	邇	ɤ	3																																														
	郇	syin	2																																														
	狙	tsy	1																																														
	狎	hiaʔ	7																																														
	麅	pʰau	2																																														
	狒	fəi	5																																														
	咎	kiu	5																																														
	炙	tsiʔ	7																																														
	梟	hiau	1																																														
	餞	tsiən	5																																														
	飴	zi	2																																														
	冽	liɛʔ	7																																														
	冼	siən	3																																														
	庖	pʰau	2																																														
	癘	li	5																																														
	疝	saŋ	1																																														
	瘍	zaŋ	2																																														
	兗	zən	3																																														
	妾	tsʰiɛʔ	7																																														
	劾	hɔʔ	7																																														
	煒	vəi	3																																														
