广韵字	繁体字	简体字	常用级	频率	声母	韵母	调值	声调	国际音标	说明	
麼	麼	么	A2	477969	m	o	13	阴平	mo13		
摩	摩	摩	B	23645	m	o	13	阴平	mo13	摩托	
摩	摩	摩	B	23645	m	o	24	阳平	mo24		
嫫	嫫	嫫	E		m	o	24	阳平	mo24		
摹	摹	摹	C	1879	m	o	24	阳平	mo24		
模	模	模	B	54891	m	o	24	阳平	mo24		
糢	糢	模	D		m	o	24	阳平	mo24		
膜	膜	膜	C	7694	m	o	24	阳平	mo24		
謨	謨	谟	D		m	o	24	阳平	mo24		
末	末	末	B	23526	m	o	24	阳平	mo24		
沫	沫	沫	C	3731	m	o	24	阳平	mo24		
磨	磨	磨	B	13082	m	o	24	阳平	mo24		
膜	膜	膜	C	7694	m	o	24	阳平	mo24		
茉	茉	茉	C	545	m	o	24	阳平	mo24		
莫	莫	莫	A3	34097	m	o	24	阳平	mo24		
蘑	蘑	蘑	C	998	m	o	24	阳平	mo24		
饃	饃	馍	C	540	m	o	24	阳平	mo24		
魔	魔	魔	B	22835	m	o	24	阳平	mo24		
秣	秣	秣	D		m	o	24	阳平	mo24		
么	么	么	A2	477969	m	o	42	上声	mo42		
嬤	嬤	嬷	D		m	o	42	上声	mo42		
寞	寞	寞	C	3217	m	o	45	去声	mo45		
漠	漠	漠	B	9366	m	o	45	去声	mo45		
瘼	瘼	瘼	E		m	o	45	去声	mo45		
磨	磨	磨	B	13082	m	o	45	去声	mo45		
鏌	鏌	镆	E		m	o	45	去声	mo45		
驀	驀	蓦	D		m	o	45	去声	mo45		
矇	矇	蒙	C		m	oŋ	13	阴平	moŋ13		
蒙	蒙	蒙	B	29019	m	oŋ	13	阴平	moŋ13		
朦	朦	朦	C	2394	m	oŋ	24	阳平	moŋ24		
檬	檬	檬	C	613	m	oŋ	24	阳平	moŋ24		
濛	濛	蒙	C		m	oŋ	24	阳平	moŋ24		
盟	盟	盟	B	23581	m	oŋ	24	阳平	moŋ24		
萌	萌	萌	C	2229	m	oŋ	24	阳平	moŋ24		
猛	猛	猛	B	23862	m	oŋ	42	上声	moŋ42		
艋	艋	艋	E		m	oŋ	42	上声	moŋ42		
蜢	蜢	蜢	D		m	oŋ	42	上声	moŋ42		
蠓	蠓	蠓	E		m	oŋ	42	上声	moŋ42		
錳	錳	锰	C	459	m	oŋ	42	上声	moŋ42		
孟	孟	孟	B	12274	m	oŋ	45	去声	moŋ45		
夢	夢	梦	A3	39486	m	oŋ	45	去声	moŋ45		
哞	哞	哞	E		m	əu	24	阳平	məu24		
牟	牟	牟	D		m	əu	24	阳平	məu24		
眸	眸	眸	D		m	əu	24	阳平	məu24		
蛑	蛑	蛑	E		m	əu	24	阳平	məu24		
謀	謀	谋	B	31910	m	əu	24	阳平	məu24		
拇	拇	拇	C	1839	m	əu	42	上声	məu42	老	
某	某	某	A3	79482	m	əu	42	上声	məu42		
牡	牡	牡	C	1889	m	əu	42	上声	məu42	老	
畝	畝	亩	C	4439	m	əu	42	上声	məu42	老	
茂	茂	茂	C	4798	m	əu	45	去声	məu45	老	
貿	貿	贸	B	26198	m	əu	45	去声	məu45	老	
牧	牧	牧	B	12193	m	əu	45	去声	məu45	老	
穆	穆	穆	B	10592	m	əu	45	去声	məu45	庄严肃穆	
木	木	木	A3	54433	m	u	24	阳平	mu24		
牧	牧	牧			m	u	24	阳平	mu24		
目	目	目	A2	180827	m	u	24	阳平	mu24		
睦	睦	睦	C	1859	m	u	24	阳平	mu24		
苜	苜	苜	D		m	u	24	阳平	mu24		
姆	姆	姆	B	27808	m	u	42	上声	mu42		
姥	姥	姥	C	2249	m	u	42	上声	mu42		
母	母	母	A3	71462	m	u	42	上声	mu42		
募	募	募	C	3018	m	u	45	去声	mu45		
墓	墓	墓	B	8890	m	u	45	去声	mu45		
慕	慕	慕	C	7165	m	u	45	去声	mu45		
暮	暮	暮	C	2626	m	u	45	去声	mu45		
幕	幕	幕	B	18138	m	u	45	去声	mu45		
沐	沐	沐	C	1072	m	u	45	去声	mu45		
穆	穆	穆			m	u	45	去声	mu45		
瞞	瞞	瞒	C	4191	m	uan	24	阳平	muan24	老	
鞔	鞔	鞔	E		m	uan	24	阳平	muan24	老	
饅	饅	馒	C	881	m	uan	24	阳平	muan24	老	
鰻	鰻	鳗	D		m	uan	24	阳平	muan24	老	
滿	滿	满	A3	96954	m	uan	42	上声	muan42	老	
幔	幔	幔	C	988	m	uan	45	去声	muan45	老	
曼	曼	曼			m	uan	45	去声	muan45	老	
漫	漫	漫	B	14869	m	uan	45	去声	muan45	老	
蔓	蔓	蔓			m	uan	45	去声	muan45	老	
謾	謾	谩	E		m	uan	45	去声	muan45	老	
拏	拏	拏	E		n	a	24	阳平	na24		
拿	拿	拿	A3	61798	n	a	24	阳平	na24		
納	納	纳	A3	55597	n	a	24	阳平	na24		
衲	衲	衲	E		n	a	24	阳平	na24		
訥	訥	讷	D		n	a	24	阳平	na24		
鈉	鈉	钠	C	1061	n	a	24	阳平	na24		
哪	哪	哪	A3	60708	n	a	42	上声	na42		
呐	呐	呐	C	2163	n	a	45	去声	na45		
娜	娜	娜	B	12060	n	a	45	去声	na45		
捺	捺	捺	C	670	n	a	45	去声	na45		
那	那	那	A1	638538	n	a	45	去声	na45		
奶	奶	奶	B	19219	n	ai	13	阴平	nai13		
乃	乃	乃	B	23520	n	ai	42	上声	nai42		
氖	氖	氖	D		n	ai	42	上声	nai42		
艿	艿	艿	E		n	ai	42	上声	nai42		
迺	迺	乃	D		n	ai	42	上声	nai42		
奈	奈	奈	B	11509	n	ai	45	去声	nai45		
柰	柰	柰	E		n	ai	45	去声	nai45		
耐	耐	耐	B	15629	n	ai	45	去声	nai45		
鼐	鼐	鼐	E		n	ai	45	去声	nai45		
南	南	南	A2	139078	n	an	24	阳平	nan24		
喃	喃	喃	D		n	an	24	阳平	nan24		
楠	楠	楠	D		n	an	24	阳平	nan24		
男	男	男	A3	67405	n	an	24	阳平	nan24		
腩	腩	腩	E		n	an	24	阳平	nan24		
蝻	蝻	蝻	E		n	an	24	阳平	nan24		
難	難	难	A2	144597	n	an	24	阳平	nan24		
赧	赧	赧	D		n	an	42	上声	nan42		
難	難	难	A2	144597	n	an	45	去声	nan45		
囊	囊	囊	C	6709	n	aŋ	24	阳平	naŋ24		
撓	撓	挠	C	2523	n	au	24	阳平	nau24		
猱	猱	猱	E		n	au	24	阳平	nau24		
惱	惱	恼	B	10356	n	au	42	上声	nau42		
瑙	瑙	瑙	D		n	au	42	上声	nau42		
腦	腦	脑	A3	61647	n	au	42	上声	nau42		
淖	淖	淖	E		n	au	45	去声	nau45		
鬧	鬧	闹	B	17764	n	au	45	去声	nau45		
餒	餒	馁	C	479	n	əi	42	上声	nəi42		
內	內	内	A2	231331	n	əi	45	去声	nəi45		
嫩	嫩	嫩	C	3707	n	əi	45	去声	nəi45		
掄	掄	抡	C	652	n	ən	13	阴平	nən13		
侖	侖	仑	C	5882	n	ən	24	阳平	nən24		
倫	倫	伦	A3	32822	n	ən	24	阳平	nən24		
圇	圇	囵	E		n	ən	24	阳平	nən24		
崙	崙	仑	C	5882	n	ən	24	阳平	nən24		
淪	淪	沦	C	2738	n	ən	24	阳平	nən24		
綸	綸	纶	D		n	ən	24	阳平	nən24		
論	論	论	A2	197165	n	ən	24	阳平	nən24		
輪	輪	轮	B	25958	n	ən	24	阳平	nən24		
能	能	能	A1	665358	n	ən	24	阳平	nən24		
論	論	论	A2	197165	n	ən	45	去声	nən45		
愣	愣	愣	D		n	ən	45	去声	nən45		
丫	丫	丫	D		ŋ	a	13	阴平	ŋa13		
啊	啊	啊	A3	48244	ŋ	a	13	阴平	ŋa13		
婀	婀	婀	D		ŋ	a	13	阴平	ŋa13		
鴉	鴉	鸦	C	4236	ŋ	a	13	阴平	ŋa13		
牙	牙	牙			ŋ	a	24	阳平	ŋa24		
鴨	鴨	鸭			ŋ	a	24	阳平	ŋa24	老	
啞	啞	哑	C	4406	ŋ	a	42	上声	ŋa42		
雅	雅	雅	B	24527	ŋ	a	42	上声	ŋa42		
亞	亞	亚	A3	100251	ŋ	a	45	去声	ŋa45		
哀	哀	哀	B	9693	ŋ	ai	13	阴平	ŋai13		
唉	唉	唉	C	6269	ŋ	ai	13	阴平	ŋai13		
埃	埃	埃	B	25101	ŋ	ai	13	阴平	ŋai13		
挨	挨	挨	C	6930	ŋ	ai	13	阴平	ŋai13		
鎄	鎄	锿	E		ŋ	ai	13	阴平	ŋai13		
呆	呆	呆	B	17746	ŋ	ai	24	阳平	ŋai24		
崖	崖	崖	C	5199	ŋ	ai	24	阳平	ŋai24		
捱	捱	捱	D		ŋ	ai	24	阳平	ŋai24		
涯	涯	涯	C	3206	ŋ	ai	24	阳平	ŋai24		
癌	癌	癌	B	9114	ŋ	ai	24	阳平	ŋai24		
皚	皚	皑	D		ŋ	ai	24	阳平	ŋai24		
哎	哎	哎	C	4887	ŋ	ai	42	上声	ŋai42		
曖	曖	暧	D		ŋ	ai	42	上声	ŋai42		
矮	矮	矮	C	6834	ŋ	ai	42	上声	ŋai42		
藹	藹	蔼	C	1075	ŋ	ai	42	上声	ŋai42		
噯	噯	嗳	D		ŋ	ai	45	去声	ŋai45		
嬡	嬡	嫒	E		ŋ	ai	45	去声	ŋai45		
愛	愛	爱	A2	108167	ŋ	ai	45	去声	ŋai45		
璦	璦	瑷	D		ŋ	ai	45	去声	ŋai45		
砹	砹	砹	E		ŋ	ai	45	去声	ŋai45		
礙	礙	碍	B	15121	ŋ	ai	45	去声	ŋai45		
艾	艾	艾	B	18825	ŋ	ai	45	去声	ŋai45		
隘	隘	隘	C	1570	ŋ	ai	45	去声	ŋai45		
靄	靄	霭	D		ŋ	ai	45	去声	ŋai45		
垵	垵	埯	E		ŋ	an	13	阴平	ŋan13		
安	安	安	A2	183210	ŋ	an	13	阴平	ŋan13		
庵	庵	庵	C	1851	ŋ	an	13	阴平	ŋan13		
氨	氨	氨	C	1843	ŋ	an	13	阴平	ŋan13		
菴	菴	庵	D		ŋ	an	13	阴平	ŋan13		
諳	諳	谙	E		ŋ	an	13	阴平	ŋan13		
銨	銨	铵	E		ŋ	an	13	阴平	ŋan13		
鞍	鞍	鞍	C	1545	ŋ	an	13	阴平	ŋan13		
鵪	鵪	鹌	D		ŋ	an	13	阴平	ŋan13		
俺	俺	俺	C	2671	ŋ	an	24	阳平	ŋan24		
嚴	嚴	严	A3	75278	ŋ	an	24	阳平	ŋan24	白	
眼	眼	眼	A2	152079	ŋ	an	42	上声	ŋan42		
岸	岸	岸	A3	32807	ŋ	an	45	去声	ŋan45		
按	按	按	A3	69984	ŋ	an	45	去声	ŋan45		
暗	暗	暗	A3	41881	ŋ	an	45	去声	ŋan45		
晏	晏	晏			ŋ	an	45	去声	ŋan45		
案	案	案	A3	79395	ŋ	an	45	去声	ŋan45		
桉	桉	桉	E		ŋ	an	45	去声	ŋan45		
雁	雁	雁	C	3474	ŋ	an	45	去声	ŋan45		
黯	黯	黯	D		ŋ	an	45	去声	ŋan45		
肮	肮	肮	C	1499	ŋ	aŋ	13	阴平	ŋaŋ13		
骯	骯	肮	D		ŋ	aŋ	13	阴平	ŋaŋ13		
昂	昂	昂	C	7637	ŋ	aŋ	24	阳平	ŋaŋ24		
盎	盎	盎	D		ŋ	aŋ	45	去声	ŋaŋ45		
凹	凹	凹	C	2273	ŋ	au	13	阴平	ŋau13		
嗷	嗷	嗷	D		ŋ	au	24	阳平	ŋau24		
廒	廒	廒	E		ŋ	au	24	阳平	ŋau24		
敖	敖	敖	D		ŋ	au	24	阳平	ŋau24		
熬	熬	熬	C	2841	ŋ	au	24	阳平	ŋau24		
獒	獒	獒	E		ŋ	au	24	阳平	ŋau24		
翱	翱	翱	D		ŋ	au	24	阳平	ŋau24		
聱	聱	聱	D		ŋ	au	24	阳平	ŋau24		
螯	螯	螯	E		ŋ	au	24	阳平	ŋau24		
襖	襖	袄	C	1057	ŋ	au	24	阳平	ŋau24		
遨	遨	遨	D		ŋ	au	24	阳平	ŋau24		
鏖	鏖	鏖	D		ŋ	au	24	阳平	ŋau24		
驁	驁	骜	E		ŋ	au	24	阳平	ŋau24		
鼇	鼇	鳌	D		ŋ	au	24	阳平	ŋau24		
咬	咬	咬	B	11029	ŋ	au	42	上声	ŋau42		
媼	媼	媪	D		ŋ	au	42	上声	ŋau42		
傲	傲	傲	C	7503	ŋ	au	45	去声	ŋau45		
噢	噢	噢	D		ŋ	au	45	去声	ŋau45		
坳	坳	坳	E		ŋ	au	45	去声	ŋau45		
奧	奧	奥	A3	32761	ŋ	au	45	去声	ŋau45		
嶴	嶴	岙	E		ŋ	au	45	去声	ŋau45		
懊	懊	懊	C	1462	ŋ	au	45	去声	ŋau45		
拗	拗	拗	C	881	ŋ	au	45	去声	ŋau45		
澳	澳	澳	B	11475	ŋ	au	45	去声	ŋau45		
驁	驁	骜	E		ŋ	au	45	去声	ŋau45		
額	額	额	A3	34823	ŋ	e	24	阳平	ŋe24		
餩	餩	餩	E		ŋ	e	45	去声	ŋe45		
嗯	嗯	嗯	D		ŋ	ən	13	阴平	ŋən13		
恩	恩	恩	A3	37898	ŋ	ən	13	阴平	ŋən13		
櫻	櫻	樱	C	2572	ŋ	ən	13	阴平	ŋən13	白读	
硬	硬	硬	B	23364	ŋ	ən	45	去声	ŋən45	软硬	
我	我	我	A1	1690048	ŋ	o	42	上声	ŋo42		
壅	壅	壅			ŋ	oŋ	13	阴平	ŋoŋ13	埋	
區	區	区	A2	164775	ŋ	əu	13	阴平	ŋəu13		
歐	歐	欧	A3	42504	ŋ	əu	13	阴平	ŋəu13		
毆	毆	殴	C	1221	ŋ	əu	13	阴平	ŋəu13		
漚	漚	沤	E		ŋ	əu	13	阴平	ŋəu13		
甌	甌	瓯	D		ŋ	əu	13	阴平	ŋəu13		
謳	謳	讴	E		ŋ	əu	13	阴平	ŋəu13		
鷗	鷗	鸥	C	1189	ŋ	əu	13	阴平	ŋəu13		
偶	偶	偶	B	17246	ŋ	əu	42	上声	ŋəu42		
嘔	嘔	呕	C	2292	ŋ	əu	42	上声	ŋəu42		
慪	慪	怄	E		ŋ	əu	42	上声	ŋəu42		
耦	耦	耦	E		ŋ	əu	42	上声	ŋəu42		
藕	藕	藕	C	619	ŋ	əu	42	上声	ŋəu42		
漚	漚	沤	E		ŋ	əu	45	去声	ŋəu45		
伲	伲	伲	E		ȵ	i	24	阳平	ȵi24		
倪	倪	倪	D		ȵ	i	24	阳平	ȵi24		
儀	儀	仪			ȵ	i	24	阳平	ȵi24	老	
呢	呢	呢	A2	112185	ȵ	i	24	阳平	ȵi24		
妮	妮	妮	D		ȵ	i	24	阳平	ȵi24		
宜	宜	宜			ȵ	i	24	阳平	ȵi24	老	
尼	尼	尼	A3	60474	ȵ	i	24	阳平	ȵi24		
昵	昵	昵	C	530	ȵ	i	24	阳平	ȵi24		
沂	沂	沂	E		ȵ	i	24	阳平	ȵi24		
泥	泥	泥	B	13874	ȵ	i	24	阳平	ȵi24		
猊	猊	猊	E		ȵ	i	24	阳平	ȵi24		
疑	疑	疑	A3	53982	ȵ	i	24	阳平	ȵi24		
誼	誼	谊			ȵ	i	24	阳平	ȵi24	老	
霓	霓	霓	D		ȵ	i	24	阳平	ȵi24		
鯢	鯢	鲵	E		ȵ	i	24	阳平	ȵi24		
你	你	你	A1	705205	ȵ	i	42	上声	ȵi42		
擬	擬	拟	B	12885	ȵ	i	42	上声	ȵi42		
旎	旎	旎	D		ȵ	i	42	上声	ȵi42		
匿	匿	匿	C	2479	ȵ	i	45	去声	ȵi45		
奕	奕	奕	C	1847	ȵ	i	45	去声	ȵi45	老	
屹	屹	屹	C	663	ȵ	i	45	去声	ȵi45	老	
憶	憶	忆	B	17829	ȵ	i	45	去声	ȵi45	老	
溺	溺	溺	C	1329	ȵ	i	45	去声	ȵi45		
睨	睨	睨	D		ȵ	i	45	去声	ȵi45		
繹	繹	绎	C	1870	ȵ	i	45	去声	ȵi45	老	
義	義	义			ȵ	i	45	去声	ȵi45	老	
膩	膩	腻	C	2425	ȵ	i	45	去声	ȵi45		
藝	藝	艺	A3	45218	ȵ	i	45	去声	ȵi45	老	
詣	詣	诣	D		ȵ	i	45	去声	ȵi45	老	
議	議	议			ȵ	i	45	去声	ȵi45	老	
逆	逆	逆	C	7339	ȵ	i	45	去声	ȵi45		
吝	吝	吝	C	1030	ȵ	i	45	去声	ȵi45	白	
粘	粘	粘	C	5231	ȵ	ia	13	阴平	ȵia13	白	
黏	黏	黏	D		ȵ	ia	13	阴平	ȵia13	白	
拈	拈	拈	D		ȵ	ien	13	阴平	ȵien13		
研	研	研			ȵ	ien	13	阴平	ȵien13	老	
嚴	嚴	严			ȵ	ien	24	阳平	ȵien24	文	
岩	岩	岩			ȵ	ien	24	阳平	ȵien24	老	
年	年	年	A1	601887	ȵ	ien	24	阳平	ȵien24		
延	延	延	B	25768	ȵ	ien	24	阳平	ȵien24		
炎	炎	炎			ȵ	ien	24	阳平	ȵien24	老	
簷	簷	檐			ȵ	ien	24	阳平	ȵien24	老	
粘	粘	粘			ȵ	ien	24	阳平	ȵien24	文	
言	言	言			ȵ	ien	24	阳平	ȵien24	老	
閻	閻	阎			ȵ	ien	24	阳平	ȵien24	老	
顏	顏	颜	B	12837	ȵ	ien	24	阳平	ȵien24		
鯰	鯰	鲶	E		ȵ	ien	24	阳平	ȵien24		
黏	黏	黏			ȵ	ien	24	阳平	ȵien24	文	
捻	捻	捻	C	1066	ȵ	ien	42	上声	ȵien42		
攆	攆	撵	C	716	ȵ	ien	42	上声	ȵien42		
演	演	演	A3	52394	ȵ	ien	42	上声	ȵien42	老	
碾	碾	碾	C	820	ȵ	ien	42	上声	ȵien42		
輦	輦	辇	D		ȵ	ien	42	上声	ȵien42		
輾	輾	辗	D		ȵ	ien	42	上声	ȵien42		
唸	唸	念	D		ȵ	ien	45	去声	ȵien45		
宴	宴	宴	C	5798	ȵ	ien	45	去声	ȵien45	老	
念	念	念	A3	85953	ȵ	ien	45	去声	ȵien45		
戀	戀	恋	B	14674	ȵ	ien	45	去声	ȵien45		
焰	焰	焰			ȵ	ien	45	去声	ȵien45	老	
硯	硯	砚			ȵ	ien	45	去声	ȵien45	老	
豔	豔	艳			ȵ	ien	45	去声	ȵien45	老	
驗	驗	验			ȵ	ien	45	去声	ȵien45	老	
酽	酽	酽			ȵ	ien	45	去声	ȵien45	浓	
娘	娘	娘	A3	38274	ȵ	iaŋ	24	阳平	ȵiaŋ24		
釀	釀	酿	C	2633	ȵ	iaŋ	45	去声	ȵiaŋ45		
搖	搖	摇			ȵ	iau	24	阳平	ȵiau24	白	
嬝	嬝	袅	D		ȵ	iau	42	上声	ȵiau42		
嬲	嬲	嬲	E		ȵ	iau	42	上声	ȵiau42		
裊	裊	袅	D		ȵ	iau	42	上声	ȵiau42		
鳥	鳥	鸟	B	19698	ȵ	iau	42	上声	ȵiau42		
尿	尿	尿	B	8292	ȵ	iau	45	去声	ȵiau45		
孽	孽	孽	C	2063	ȵ	ie	24	阳平	ȵie24	作孽	
捏	捏	捏	C	3824	ȵ	ie	24	阳平	ȵie24		
業	業	业	A2	296169	ȵ	ie	24	阳平	ȵie24		
涅	涅	涅	E		ȵ	ie	24	阳平	ȵie24		
齧	齧	啮	E		ȵ	ie	24	阳平	ȵie24		
孽	孽	孽			ȵ	ie	45	去声	ȵie45	孽障	
彥	彥	彦	D		ȵ	ie	45	去声	ȵie45		
聶	聶	聂	C	2503	ȵ	ie	45	去声	ȵie45		
躡	躡	蹑	D		ȵ	ie	45	去声	ȵie45		
鎳	鎳	镍	D		ȵ	ie	45	去声	ȵie45		
鑷	鑷	镊	C	125	ȵ	ie	45	去声	ȵie45		
凝	凝	凝	B	11409	ȵ	in	24	阳平	ȵin24		
吟	吟	吟	C	6916	ȵ	in	24	阳平	ȵin24		
嚀	嚀	咛	D		ȵ	in	24	阳平	ȵin24		
寧	寧	宁	B	30001	ȵ	in	24	阳平	ȵin24		
您	您	您	A3	51094	ȵ	in	24	阳平	ȵin24		
檸	檸	柠	C	434	ȵ	in	24	阳平	ȵin24		
獰	獰	狞	C	1078	ȵ	in	24	阳平	ȵin24		
聹	聹	聍	E		ȵ	in	24	阳平	ȵin24		
迎	迎	迎	B	27228	ȵ	in	24	阳平	ȵin24		
擰	擰	拧	C	1529	ȵ	in	42	上声	ȵin42		
佞	佞	佞	D		ȵ	in	45	去声	ȵin45		
毅	毅	毅	C	7686	ȵ	in	45	去声	ȵin45	白讀	
濘	濘	泞	C	614	ȵ	in	45	去声	ȵin45		
瘧	瘧	疟	C	485	ȵ	io	24	阳平	ȵio24		
虐	虐	虐	C	2979	ȵ	io	24	阳平	ȵio24		
妞	妞	妞	D		ȵ	iəu	13	阴平	ȵiəu13		
牛	牛	牛	B	30047	ȵ	iəu	24	阳平	ȵiəu24		
忸	忸	忸	E		ȵ	iəu	42	上声	ȵiəu42		
扭	扭	扭	B	9054	ȵ	iəu	42	上声	ȵiəu42		
狃	狃	狃	E		ȵ	iəu	42	上声	ȵiəu42		
紐	紐	纽	B	9466	ȵ	iəu	42	上声	ȵiəu42		
鈕	鈕	钮	C	2906	ȵ	iəu	42	上声	ȵiəu42		
扭	扭	扭			ȵ	iəu	45	去声	ȵiəu45		
挪	挪	挪	C	5500	n	o	24	阳平	no24		
懦	懦	懦	C	1531	n	o	45	去声	no45		
糯	糯	糯	C	455	n	o	45	去声	no45		
諾	諾	诺	A3	32991	n	o	45	去声	no45		
噥	噥	哝			n	oŋ	13	阴平	noŋ13	哝𤆵	
㶶	㶶	㶶			n	oŋ	13	阴平	noŋ13	软和	
儂	儂	侬	D		n	oŋ	24	阳平	noŋ24		
濃	濃	浓	B	12016	n	oŋ	24	阳平	noŋ24		
膿	膿	脓	C	1180	n	oŋ	24	阳平	noŋ24		
農	農	农	A3	88412	n	oŋ	24	阳平	noŋ24		
弄	弄	弄	B	28205	n	oŋ	45	去声	noŋ45		
噥	噥	哝	D		n	əu	24	阳平	nəu24	哝訽	
奴	奴	奴	B	15917	n	əu	24	阳平	nəu24		
孥	孥	孥	E		n	əu	24	阳平	nəu24		
駑	駑	驽	D		n	əu	24	阳平	nəu24		
𫍦	𫍦	𫍦			n	əu	24	阳平	nəu24	话多	
努	努	努	B	26564	n	əu	42	上声	nəu42		
弩	弩	弩	D		n	əu	42	上声	nəu42		
怒	怒	怒	B	24374	n	əu	45	去声	nəu45		
暖	暖	暖	B	9762	n	uan	42	上声	nuan42		
女	女	女	A2	185188	ȵ	y	42	上声	ȵy42		
啪	啪	啪	D		pʰ	a	13	阴平	pʰa13		
葩	葩	葩	D		pʰ	a	13	阴平	pʰa13		
趴	趴	趴	C	1942	pʰ	a	13	阴平	pʰa13		
扒	扒	扒	C	1623	pʰ	a	24	阳平	pʰa24		
杷	杷	杷	D		pʰ	a	24	阳平	pʰa24		
爬	爬	爬	B	15255	pʰ	a	24	阳平	pʰa24		
琶	琶	琶	D		pʰ	a	24	阳平	pʰa24		
耙	耙	耙	C	506	pʰ	a	24	阳平	pʰa24		
帕	帕	帕	B	13566	pʰ	a	45	去声	pʰa45		
怕	怕	怕	A3	63520	pʰ	a	45	去声	pʰa45		
俳	俳	俳	D		pʰ	ai	24	阳平	pʰai24		
徘	徘	徘	C	1695	pʰ	ai	24	阳平	pʰai24		
排	排	排	A3	55938	pʰ	ai	24	阳平	pʰai24		
牌	牌	牌	B	19752	pʰ	ai	24	阳平	pʰai24		
派	派	派	A3	76750	pʰ	ai	45	去声	pʰai45		
湃	湃	湃	C	689	pʰ	ai	45	去声	pʰai45		
攀	攀	攀			pʰ	an	13	阴平	pʰan13	新	
潘	潘	潘			pʰ	an	13	阴平	pʰan13	新	
盤	盤	盘			pʰ	an	24	阳平	pʰan24	新	
判	判	判			pʰ	an	45	去声	pʰan45	新	
叛	叛	叛			pʰ	an	45	去声	pʰan45	新	
畔	畔	畔			pʰ	an	45	去声	pʰan45	新	
盼	盼	盼			pʰ	an	45	去声	pʰan45	新	
絆	絆	绊			pʰ	an	45	去声	pʰan45	新	
乒	乒	乒	C	1086	pʰ	aŋ	13	阴平	pʰaŋ13		
乓	乓	乓	C	1032	pʰ	aŋ	13	阴平	pʰaŋ13		
滂	滂	滂	D		pʰ	aŋ	13	阴平	pʰaŋ13		
磅	磅	磅	C	2064	pʰ	aŋ	13	阴平	pʰaŋ13		
鎊	鎊	镑	D		pʰ	aŋ	13	阴平	pʰaŋ13		
房	房	房	A3	80320	pʰ	aŋ	24	阳平	pʰaŋ24		
旁	旁	旁	B	32268	pʰ	aŋ	24	阳平	pʰaŋ24		
膀	膀	膀	C	7731	pʰ	aŋ	24	阳平	pʰaŋ24		
螃	螃	螃	C	614	pʰ	aŋ	24	阳平	pʰaŋ24		
逄	逄	逄	E		pʰ	aŋ	24	阳平	pʰaŋ24		
龐	龐	庞	B	8531	pʰ	aŋ	24	阳平	pʰaŋ24		
掽	掽	掽	E		pʰ	aŋ	42	上声	pʰaŋ42	触碰	
碰	碰	碰	B	16919	pʰ	aŋ	42	上声	pʰaŋ42	白读	
拋	拋	抛	B	10477	pʰ	au	13	阴平	pʰau13		
脬	脬	脬	E		pʰ	au	13	阴平	pʰau13		
刨	刨	刨	C	888	pʰ	au	24	阳平	pʰau24		
匏	匏	匏	D		pʰ	au	24	阳平	pʰau24		
咆	咆	咆	C	1191	pʰ	au	24	阳平	pʰau24		
庖	庖	庖	D		pʰ	au	24	阳平	pʰau24		
拂	拂	拂			pʰ	au	24	阳平	pʰau24		
袍	袍	袍	C	4710	pʰ	au	24	阳平	pʰau24		
跑	跑	跑	A3	39497	pʰ	au	42	上声	pʰau42		
泡	泡	泡	C	7046	pʰ	au	45	去声	pʰau45		
炮	炮	炮	A3	36315	pʰ	au	45	去声	pʰau45		
皰	皰	疱	D		pʰ	au	45	去声	pʰau45		
雹	雹	雹	C	558	pʰ	au	45	去声	pʰau45	冰雹	
拍	拍	拍	B	23483	pʰ	e	24	阳平	pʰe24		
珀	珀	珀	D		pʰ	e	24	阳平	pʰe24		
迫	迫	迫	B	30930	pʰ	e	24	阳平	pʰe24		
魄	魄	魄	C	3664	pʰ	e	24	阳平	pʰe24		
丕	丕	丕			pʰ	əi	13	阴平	pʰəi13	老	
坯	坯	坯	C	720	pʰ	əi	13	阴平	pʰəi13		
批	批	批	A3	70580	pʰ	əi	13	阴平	pʰəi13	老	
披	披	披	C	6790	pʰ	əi	13	阴平	pʰəi13	老	
砒	砒	砒	E		pʰ	əi	13	阴平	pʰəi13		
胚	胚	胚	C	2093	pʰ	əi	13	阴平	pʰəi13		
邳	邳	邳			pʰ	əi	13	阴平	pʰəi13		
醅	醅	醅	E		pʰ	əi	13	阴平	pʰəi13		
培	培	培	B	24009	pʰ	əi	24	阳平	pʰəi24		
裴	裴	裴	D		pʰ	əi	24	阳平	pʰəi24		
賠	賠	赔	B	9960	pʰ	əi	24	阳平	pʰəi24		
陪	陪	陪	B	10908	pʰ	əi	24	阳平	pʰəi24		
呸	呸	呸	D		pʰ	əi	42	上声	pʰəi42		
啡	啡	啡	C	4688	pʰ	əi	42	上声	pʰəi42		
佩	佩	佩	C	13784	pʰ	əi	45	去声	pʰəi45		
沛	沛	沛	C	1834	pʰ	əi	45	去声	pʰəi45		
珮	珮	佩	D		pʰ	əi	45	去声	pʰəi45		
配	配	配	A3	49900	pʰ	əi	45	去声	pʰəi45		
噴	噴	喷	B	10026	pʰ	ən	13	阴平	pʰən13		
坋	坋	坋			pʰ	ən	13	阴平	pʰən13	灰尘	
彭	彭	彭			pʰ	ən	24	阳平	pʰən24	新派	
湓	湓	湓	E		pʰ	ən	24	阳平	pʰən24		
