#备注：	《海安县志》																		
#调值	[1]21 [2]45 [3]213 [4]33 [5]3 [6]45																		
#符号说明：-白=文																			
#ɿ																			
tsʰ	[5]焯绰勺1{用勺子，铲子等舀物}[6]凿昨-着2{睡不~;~火}																		
s	[5]索芍硕烁[6]勺□{斜，歪}																		
ʐ	[5]弱若[6]箬																		
k	[5]各角阁搁旮觉-{~察}																		
kʰ	[5]壳确-搉{敲}榷{~树}																		
x	[5]郝{姓~}涸藃{靠;贴}[6]鹤学-																		
Ø	[5]恶鄂																		
#iaʔ																			
n	[5]略掠																		
tɕ	[5]脚觉={~悟}雀1																		
tɕʰ	[5]鹊却确=雀2恰鼓[6]嚼爵皵{翘裂，指甲~嘎}																		
ɕ	[5]削[6]学=																		
Ø	[5]约岳约□{粗略量度}乐2[6]钥药																		
#uaʔ																			
k	[5]郭廓1汩{略带贬义，喝}																		
kʰ	[5]扩廓2																		
x	[5]霍藿劐{~破口子，~开}攉{用巴拿打人}获1																		
Ø	[5]鸌{池鹭，~子}握□{呕吐}洼沃沃{积~水}[6]霍{光闪动，~闪}																		
#yaʔ																			
tɕ	[5]捉□{整理,~帐}卓桌啄1{~木鸟}琢涿硺{农具名，石~}□{掼或拍}																		
tɕʰ	[5]戳[6]镯浊-□{捣,拄}																		
ɕ	[5]朔嗍□{提放或上下摆动}																		
#ɔʔ																			
p	[5]百柏北佰擘																		
pʰ	[5]迫拍扑仆朴2[6]白																		
m	[5]目墨牧穆沫[6]默木麦脉																		
f	[5]福复腹服{~务}覆幅{量词}[6]伏服{~气}																		
t	[5]笃读独督																		
tʰ	[5]秃[6]毒独																		
n	[5]禄鹿录碌[6]绿六陆漉碌																		
ts	[5]足竹筑烛祝粥卒嘱浊=																		
tsʰ	[5]畜1{~生}触族促猝逐[6]轴簇																		
s	[5]速宿3粟叔属俗肃缩续束[6]熟赎																		
ʐ	[5]辱[6]褥肉																		
k	[5]谷国																		
kʰ	[5]哭酷																		
x	[5]获2劐惑熵{起哄}[6]斛{聚集}咟{教唆}																		
Ø	[5]屋																		
#iɔʔ																			
tɕ	[5]菊麴局=锔躅																		
tɕʰ	[5]曲[6]局-																		
ɕ	[5]蓄畜2{~牧}																		
