#符号：-白=文	
ɿ	
∅	[1]威{~风}□{挨：你可以~着我坐。}薇{蔷~}[2]围{包~}[3]伟{~大}苇{芦~}尾={~巴}委{村~会}[5]喂
#au	
p	[1]包{赔：把手机丢了你必须~我一个啊！}雹{冰~}[3]饱{吃~啦！}宝{~贝}保{~护}[5]抱={~紧}报{~纸}刨{~子}
pʰ	[1]泡{尿~}抛{高~}[2]□{~树根}袍{旗~}[3]跑{~步}[5]炮{大~}
m	[1]□{“没有”的合音}[2]猫{小~}[3]□{用热水烫熟：那白菜~一下就能吃。}毛{一~钱}[5]帽{凉~}冒{~烟儿}貌
t	[1]叨2{用筷子夹：~菜}叨1{鸟吃食物：~食儿}刀{菜~}[3]捣{~蛋}导{指~}倒1{~下}[5]到{~达}道={~路}盗={~窃}稻{水~}倒2{~水}掇{把散乱或损坏的东西收拾好：拾~}
tʰ	[1]掏{~出来}涛[2]□{在水里筛：把这些菜去~~吧！}桃{~子}逃{~跑}[3]讨{~饭}[5]套{~衣服}
n	[1]孬[2]挠[3]恼{~火}脑{大~}[5]闹{乱~}
l	[1]捞{~好处}[2]捞{~鱼}劳{~动}[3]老{~人}[5]涝{河水~啦！}烙{~饼}牢{坐~}
ts	[1]燥{~鱼}[3]早{清~儿}枣{红~}澡{洗~}蚤{跳~}[5]灶{~爷}造{改~}
tsʰ	[1]操{做~}[2]曹槽[3]草{青~}[5]糙
s	[1]骚{~女}臊{~气}[3]嫂{~子}扫{~地}
tʂ	[1]召招{摸：不要~她}[3]找{~零钱}[5]罩{~住}兆肇
tʂʰ	[1]抄{~作业}[3]炒{~菜}吵{~架}[5]□{迈一大步：~过去}
ʂ	[1]捎{~东西}[2]韶{仰~}[5]潲{雨点被风吹得斜洒：雨~进来了}□{用镰刀快速割掉：把草~完啦！}哨{~儿}
ʐ	[1]绕{~着过}[2]饶{~了你}[3]扰={打~}[5]□{照亮：拿灯~一下。}
k	[1]高膏{牙~}糕{冰~}羔{小羊~儿}[3]搞{~鬼}稿{草~}[5]告{~状}
kʰ	[1]尻[3]烤{~手}考{~试}[5]靠{~住}铐{手~}
x	[1]薅{~草}[2]豪毫{~米}[3]好[5]□{类似煮，但比煮的时间要长：~辣椒。}号{~儿}
∅	[1]爊{~菜}嗷1{~儿}嗷{拟声词：如痛苦的叫声}[2]熬2{~夜}鏊{一种铁制的烙馍的炊具：~子[tɛ⁵⁵]}[3]袄{棉~}[5]傲{骄~}澳{~门}
#iau	
p	[1]膘彪{长~}标[3]表[5]□{比：他俩~咧，看谁跑得快。}婊摽{添乱：加~儿}
pʰ	[1]飘漂{水上~}[2]瓢{水~}[3]漂1{水~儿}瞟{~一眼儿}[5]票漂2{~亮}
m	[1]瞄{~一眼}[2]苗描瞄{~准}渺[3]秒藐={~视}[5]庙妙
t	[1]钓刁雕貂叼1[3]屌{男生殖器}[5]掉吊调
tʰ	[1]挑1{~水}[2]条{柳~儿}调窕{窈~}[3]挑2{用杆子把东西举起或支起：~起来}[5]跳
