简体	繁體	注释	声母	韵母	声调	IPA	吴拼	
榈	櫚		l	i	⁵³	li⁵³	li3	
旅	旅		l	i	⁵³	li⁵³	li3	
缕	縷		l	i	⁵³	li⁵³	li3	
礼	禮		l	i	⁵³	li⁵³	li3	
履	履		l	i	⁵³	li⁵³	li3	
李	李		l	i	⁵³	li⁵³	li3	
理	理		l	i	⁵³	li⁵³	li3	
里	里		l	i	⁵³	li⁵³	li3	
里	裡		l	i	⁵³	li⁵³	li3	
鲤	鯉		l	i	⁵³	li⁵³	li3	
鳢	鱧	乌～头：黑鱼	l	i	⁵³	li⁵³	li3	
蠡	蠡	～湖：地名	l	i	⁵³	li⁵³	li3	
劙	劙	用刀划开或整齐撕开	l	i	⁵³	li⁵³	li3	
虑	慮		l	i	³¹³	li³¹³	li6	
滤	濾		l	i	³¹³	li³¹³	li6	
屡	屢		l	i	³¹³	li³¹³	li6	
厉	厲		l	i	³¹³	li³¹³	li6	
励	勵		l	i	³¹³	li³¹³	li6	
例	例		l	i	³¹³	li³¹³	li6	
丽	麗		l	i	³¹³	li³¹³	li6	
荔	荔		l	i	³¹³	li³¹³	li6	
利	利		l	i	³¹³	li³¹³	li6	
痢	痢		l	i	³¹³	li³¹³	li6	
吏	吏		l	i	³¹³	li³¹³	li6	
泪	淚		l	i	³¹³	li³¹³	li6	
𤃀	𤃀	过滤	l	i	³¹³	li³¹³	li6	
□	□	在～：在（近指）	l	i	³¹³	li³¹³	li6	
尖	尖	白读，东西～	ts	i	⁴⁴³	tsi⁴⁴³	tsi1	
煎	煎		ts	i	⁴⁴³	tsi⁴⁴³	tsi1	
姊	姊		ts	i	⁵³	tsi⁵³	tsi3	
挤	擠		ts	i	⁵³	tsi⁵³	tsi3	
脊	脊	背～	ts	i	⁵³	tsi⁵³	tsi3	
祭	祭		ts	i	⁴⁴	tsi⁴⁴	tsi5	
际	際		ts	i	⁴⁴	tsi⁴⁴	tsi5	
穄	穄		ts	i	⁴⁴	tsi⁴⁴	tsi5	
济	濟	～公	ts	i	⁴⁴	tsi⁴⁴	tsi5	
荐	薦		ts	i	⁴⁴	tsi⁴⁴	tsi5	
牮	牮	斜撑：脚～牢	ts	i	⁴⁴	tsi⁴⁴	tsi5	
雌	雌	～雄	tsʰ	i	⁴⁴³	tsʰi⁴⁴³	tshi1	
蛆	蛆	瓦～：一种在墙上生活的虫子，像马陆	tsʰ	i	⁴⁴³	tsʰi⁴⁴³	tshi1	
疽	疽		tsʰ	i	⁴⁴³	tsʰi⁴⁴³	tshi1	
觑	覷	眯眼；近～眼：近视眼	tsʰ	i	⁴⁴³	tsʰi⁴⁴³	tshi1	
妻	妻		tsʰ	i	⁴⁴³	tsʰi⁴⁴³	tshi1	
凄	淒		tsʰ	i	⁴⁴³	tsʰi⁴⁴³	tshi1	
栖	棲	～息	tsʰ	i	⁴⁴³	tsʰi⁴⁴³	tshi1	
签	簽	～子	tsʰ	i	⁴⁴³	tsʰi⁴⁴³	tshi1	
迁	遷	白读，～过来	tsʰ	i	⁴⁴³	tsʰi⁴⁴³	tshi1	
浅	淺		tsʰ	i	⁵³	tsʰi⁵³	tshi3	
刺	刺		tsʰ	i	⁴⁴	tsʰi⁴⁴	tshi5	
砌	砌		tsʰ	i	⁴⁴	tsʰi⁴⁴	tshi5	
徐	徐		dz	i	²³²	dzi²³²	dzi2	
胥	胥	～口：地名	s	i	⁴⁴³	si⁴⁴³	si1	
西	西		s	i	⁴⁴³	si⁴⁴³	si1	
栖	棲	文读，塘～：地名	s	i	⁴⁴³	si⁴⁴³	si1	
犀	犀		s	i	⁴⁴³	si⁴⁴³	si1	
尿	尿	白读	s	i	⁴⁴³	si⁴⁴³	si1	
仙	仙	白读，神～	s	i	⁴⁴³	si⁴⁴³	si1	
先	先	～生	s	i	⁴⁴³	si⁴⁴³	si1	
洗	洗	文读，～衣机	s	i	⁵³	si⁵³	si3	
玺	璽		s	i	⁵³	si⁵³	si3	
徙	徙		s	i	⁵³	si⁵³	si3	
死	死		s	i	⁵³	si⁵³	si3	
髓	髓		s	i	⁵³	si⁵³	si3	
絮	絮	棉花～	s	i	⁴⁴	si⁴⁴	si5	
细	細	文读，～节	s	i	⁴⁴	si⁴⁴	si5	
婿	婿		s	i	⁴⁴	si⁴⁴	si5	
线	線	白读，引～：针	s	i	⁴⁴	si⁴⁴	si5	
齐	齊		z	i	²³²	zi²³²	zi2	
脐	臍		z	i	²³²	zi²³²	zi2	
泉	泉	雅～：地名	z	i	²³²	zi²³²	zi2	
荠	薺		z	i	³¹³	zi³¹³	zi6	
自	自	白读，～家：自己	z	i	³¹³	zi³¹³	zi6	
旋	旋	白读，转	z	i	³¹³	zi³¹³	zi6	
漩	漩	～涡斗：漩涡	z	i	³¹³	zi³¹³	zi6	
