#a			
Ø	[4]唔{不。“冇mi²⁴”的省音}		
#an			
p	[1]班斑[3]扳{~手}板版[5]□{~谷：打稻子}		
pʰ	[1]攀[5]扮盼襻{鞋~}[6]办		
m	[1]摱{~本：扳本}[2]蛮顽{~固}盲[4]晚[6]慢漫万馒{~头}		
f	[1]番翻[2]凡烦繁[3]反返[5]贩[6]饭		
t	[1]丹单[2]坛弹檀[5]旦诞		
tʰ	[1]摊滩瘫[3]坦毯[5]叹炭[6]弹蛋		
n	[2]难{困~}[6]难{苦~}		
l	[2]兰拦栏[4]懒冷[6]烂滥		
ɬ	[3]散[5]散{分~}伞		
ts	[1]争{斗~}[2]蚕惭残[3]盏[5]赞		
tsʰ	[1]餐铛{炒菜锅}撑[3]铲产[6]赚		
s	[1]山删生{夹~}[2]涎[3]省[6]栈{碗~：碗柜}		
k	[1]干{~湿}肝间{时~}艰奸庚{~子年}耕[3]赶杆竿秆{高粱~}简拣[5]干{~部}间{~开：隔开}		
ŋ	[2]颜[6]岸雁硬		
h	[1]悭{省俭}[2]寒韩闲行{走}[3]刊[4]旱[5]看汉[6]汗限苋{~菜}焊幸		
Ø	[1]庵安鞍[5]按案晏{~中：中午}		
ŋi	[4]眼		
ku	[1]关[5]惯		
w	[1]弯湾[2]还环横{~直；椅~：椅子橕}[6]幻患		
#en			
p	[1]辫[2]□{爬}[3]扁匾		
pʰ	[3]片{切薄片}		
n	[4]碾{~船：研船}		
ɬ	[2]旋		
kʰ	[3]枧{香~：香皂}		
ŋ	[1]□{~鬼：吝啬鬼}		
h	[3]蚬{螺~：蚌}		
Ø	[3]躽{腆，挺}[5]燕		
kʰu	[1]圈		
#in			
p	[1]边鞭[2]便{~宜}[5]变		
pʰ	[1]编偏篇[5]片骗遍[6]辩便{方~}		
m	[2]绵棉眠[4]免[6]面{~盆：脸盆}麵		
t	[1]颠癫[2]田填		
tʰ	[1]天[6]电		
n	[2]年研{~究}		
l	[2]连怜莲[5]□{~地：滚地}□{（自行车等的）钢圈}[6]练炼恋		
ɬ	[1]仙鲜先宣□{撕}[3]癣选[5]线		
ts	[1]煎毡专砖[2]钱前全泉传{~达；~记}[3]剪展转{~送}[5]箭战荐转		
tsʰ	[1]千穿笺{信~}[3]浅[5]串[6]贱旋{头~：头发旋儿}		
s	[2]船[4]鳝{红~：黄鳝}[6]善[5]搧扇□{钻（窟窿）}		
k	[1]坚肩[2]乾{~坤}权拳[5]建健键见		
kʰ	[1]捐[6]件		
ŋ	[2]言		
h	[1]轩牵圈[2]燃然延弦贤缘[3]显犬[5]宪献[6]现		
Ø	[1]烟姻		
kʰu	[1]桊{牛鼻~}[3]卷		
w	[1]冤渊[2]丸完员圆元原源园[4]软远[5]怨[6]悬县院愿		
#o̞n			
p	[2]盆[3]本		
m	[2]门[6]闷焖		
n	[6]嫩		
l	[1]□{钻过，钻入}[2]圝{圆：~凳}		
ɬ	[1]孙[3]损		
ts	[1]尊遵[2]存[5]钻{一把~；~一只窟}		
tsʰ	[1]村[5]寸		
kʰ	[3]款		
#ɐn			
p	[1]宾彬奔[2]贫频		
pʰ	[3]品[5]喷坌{~尘：灰尘}[6]笨		
m	[2]民蚊闻{嗅}[4]闽敏[6]问		
f	[1]分纷芬新{~妇：儿媳妇}[2]坟文[3]粉[4]愤[5]奋粪[6]份		
t	[1]敦墩{门~}[2]屯臀{屁股~：臀部}[3]墩{桥~}[5]顿		
tʰ	[1]吞[5]褪{~后尾：往后退}[6]盾		
n	[3]撚		
l	[4]□{水溢出}		
ɬ	[1]辛新薪[3]笋榫[5]信讯		
ts	[1]津珍真樽{瓶子：酒~}[2]秦尘陈臣[3]准準□{拾捡：~粪}[5]镇进振震		
tsʰ	[1]伸{~腰。痴邻切}亲椿春[3]蠢诊{~所}[5]亲{~家}趁{~墟：赶集}衬[6]尽阵		
s	[1]伸申身[2]神晨唇纯[4]肾[5]舜[6]慎顺		
k	[1]根跟巾斤筋[2]芹勤[3]紧谨[4]近		
ŋ	[2]银		
h	[1]掀欣[2]痕□{痒}[3]垦很[6]恨		
Ø	[1]恩因[3]隐[5]印		
ŋi	[2]人仁[4]忍[6]认闰润孕□{蚜虫}		
j	[1]凐{冷。《集韵》伊真切：“寒皃”}[2]寅[4]引允瘾		
ku	[1]军君{~臣}[2]裙群[3]滚{~水：开水}[4]菌[5]棍		
kʰu	[1]昆坤均钧[3]捆混[5]困{~难}呁{骗取}		
w	[1]昏{~迷}婚瘟勋晕[2]魂云[3]稳[5]困{疲倦}[6]换{~衫}		
#ɵ̜n			
p	[1]冰兵[2]平评坪屏瓶苹{~果}[3]丙饼□{~so̞t³⁵：擦屁股}[5]柄并{合~}並{~列}		
pʰ	[1]□{~火：烤火}[5]聘拼[6]病		
m	[2]明鸣名铭[3]□{~屎狗：蜣螂}[4]□{钝}[6]命		
t	[1]丁钉{铁~}[2]廷亭庭停[3]顶鼎[5]□{蒂}钉{~扣子}		
tʰ	[1]厅[5]听[6]锭{铝~}定订		
n	[2]宁柠{~檬}		
l	[2]邻磷鳞仑伦轮陵灵铃零龄伶{~俐}[4]岭领[5]□{陡峭}[6]论令另		
ɬ	[1]星腥[3]醒[5]姓性鉎{铁锈：起~（生锈）}		
ts	[1]晶睛精侦正{~月}[2]情晴程[3]井整[5]正政		
tsʰ	[1]清青[3]请[6]静净郑		
s	[1]声[2]成诚城[5]圣[6]盛		
k	[1]京惊经{喃~：念经}[2]琼鲸{~鱼}[3]景警颈境[5]竟敬镜劲		
kʰ	[1]倾[3]顷{公~}		
ŋ	[2]迎盈		
h	[1]轻[2]赢刑形型[5]兴{高~}庆		
Ø	[1]应{~该}蝇莺樱英婴[3]影映		
j	[2]匀{均~}		
w	[1]温荤兄[2]营[4]永泳{蛙~}[5]训□{囚禁，关}[6]运韵		
#ʊn			
p	[1]般{一~}搬潘{姓~}[2]盘[5]半		
pʰ	[5]判叛[6]伴		
m	[4]满		
t	[1]端[2]团[3]短[4]断[6]段缎		
n	[4]暖		
l	[4]卵{马~牯：鹅卵石}[6]乱		
ɬ	[1]酸[5]蒜算		
k	[1]观官冠{鸡~花}[3]馆管[5]冠{~军}贯灌罐		
h	[1]宽欢[3]缓		
Ø	[3]碗腕		
#æŋ			
p	[1]帮邦[2]旁螃{~钳：螃蟹}庞彭膨[3]绑榜		
pʰ	[6]棒		
m	[2]忙[4]蟒猛		
t	[1]当{~官}裆[2]唐堂塘糖棠[3]挡党[5]当{~铺}		
tʰ	[1]汤劏{~猪佬：屠夫}[3]躺[5]烫[6]荡□{木~：树根}		
n	[2]囊{气~}		
l	[2]郎狼廊[4]朗□{~口：漱口}[5]□{游玩}[6]浪晾{晾晒}		
ɬ	[1]桑嗓[5]丧		
ts	[1]赃庄装[2]藏{收~}[5]葬壮		
tsʰ	[1]仓苍疮窗[3]闯橙[5]创[6]脏状		
s	[2]床[3]爽		
k	[1]冈刚纲缸钢江[2]扛{抬}[3]港讲[5]钢{~菜刀}降{下~}		
kʰ	[1]康[3]鲠{鱼~：鱼刺}[5]抗炕		
ŋ	[4]韧		
h	[1]糠[2]杭航行降{投~}[3]肯[6]项巷		
ku	[2]狂		
kʰu	[1]筐框[5]旷况矿[6]逛		
#eᵃŋ			
m	[1]掹{扯}		
t	[4]艇{潜水~}		
tʰ	[6]□{~（做/高）：这么（做/高）}		
n	[1]娘{老~：母亲}[2]娘{妗~：舅母}[5]□{相连}		
l	[2]良凉梁粮粱量{~米}[4]两{~个；几~}[6]亮量{数~}		
ɬ	[1]相厢箱镶[3]想[5]相{~貌}		
ts	[1]将浆{豆~}张章樟[2]墙详祥长{~短}肠场[3]奖桨蒋长{生~}掌[5]将{大~}酱帐胀账仗{打~}障		
tsʰ	[1]枪昌撑[3]抢厂[5]畅倡唱[6]匠象像丈		
s	[1]牲甥伤商生[2]常[3]赏		
k	[1]羹{调~：羹匙}薑姜[2]强		
kʰ	[1]疆腔[6]强{倔强}		
ŋ	[2]瓤[3]穰{~墩：蒲团}[6]让□{豆腐~：里边塞有馅儿的豆腐}		
j	[6]样		
#əŋ			
ɬ	[5]擤{~鼻涕}		
ts	[1]徵{~求}蒸征{长~}[5]证		
tsʰ	[1]称{~呼；相~}[5]秤		
s	[1]升[2]绳承乘塍{田~：田埂}[5]胜{~败}[6]剩		
k	[4]□{涮：~碗；~口}		
ŋ	[4]□{仰（头）}		
h	[1]兴{~旺}		
Ø	[1]鹰[5]应{~付}		
#ɐŋ			
p	[1]崩[2]朋棚凭{文~}□{~pi³³：蜻蜓}[3]榜[5]虻{蚊~：牛虻}		
pʰ	[6]凭{倚靠}		
m	[1]掹{扯（少说）}[2]盟□{未曾：佢~娶老婆}		
t	[1]灯登瞪[2]腾藤滕{当地姓氏}[3]等[5]凳		
tʰ	[6]邓□{相称，平衡}		
n	[1]□{~鸡：疤痕}[2]能□{相连：狗打~（狗交配）}		
l	[1]□{~箕：筛子}[2]螂{蚂~kɐŋ²¹：螳螂}		
ts	[1]曾增僧[2]层曾[5]甑		
tsʰ	[6]赠		
s	[4]上{~山}[6]上{~头}尚{和~}		
k	[1]更{~改；打~}[2]□{蚂螂~：螳螂}[3]梗耿[5]更{~加}		
kʰ	[1]坑		
h	[2]衡恒		
Ø	[5]哽{~屎：大便闭气使力}		
