聲韻	調類	調值	
ʦʱiɑu	1	443	缲劁锹邀（训）
ʦʱiɑu	2	14	樵瞧憔
ʦʱiɑu	3	35	悄
ʦʱiɑu	5	554	俏鞘峭
ʦʱiɑu	6	223	噍
siɑu	1	443	肖宵霄逍消销硝蛸萧潇箫
siɑu	3	35	小筱
siɑu	5	554	笑啸肖
kiɑu	1	443	骄娇浇交（文）胶（文）蛟郊
kiɑu	3	35	缴矫侥铰狡饺绞皎搅（文）
kiɑu	5	554	叫教文校文较文
kʱiɑu	1	443	跷翘
kʱiɑu	2	14	乔荞桥侨
kʱiɑu	3	35	巧（文）
kʱiɑu	4	11	藠撬（□发～）
kʱiɑu	5	554	窍
kʱiɑu	6	223	轿
ŋiɑu	1	443	蹘犹言翘也
ŋiɑu	2	14	饶尧蕘（～塘水库）挠铙
ŋiɑu	4	11	绕
ŋiɑu	5	554	尿（文：射～）
ŋiɑu	6	223	尿
xiɑu	1	443	嚣哓
xiɑu	2	14	肴淆爻
xiɑu	3	35	晓
xiɑu	5	554	孝（文）酵哮
xiɑu	6	223	效校効俲
iɑu	1	443	要腰妖夭幺邀
iɑu	2	14	窑摇谣徭瑶遥姚爻
iɑu	3	35	窈
iɑu	4	11	舀扰
iɑu	5	554	要
iɑu	6	223	耀鹞
təɯ	1	443	都
təɯ	3	35	堵睹赌肚
təɯ	5	554	妒蠹
tʱəɯ	2	14	图涂途徒屠
tʱəɯ	3	35	土
tʱəɯ	4	11	肚
tʱəɯ	5	554	兔吐
tʱəɯ	6	223	杜度渡镀
nəɯ	1	443	氇□（言锈也）
nəɯ	2	14	卢庐芦鸬炉奴
nəɯ	3	35	□（言涂抹也）
nəɯ	4	11	鲁橹卤虏努
nəɯ	5	554	漉□（打～：一种迷信活动也）
nəɯ	6	223	路鹭露怒
ʦəɯ	3	35	阻（又）
ʦʱəɯ	3	35	楚（又）
səɯ	3	35	数（～一～二）所（又：～以）
səɯ	5	554	数又素又
ʧəɯ	1	443	周州洲舟
ʧəɯ	3	35	肘帚
ʧəɯ	5	554	昼咒籀
ʧʱəɯ	1	443	抽
ʧʱəɯ	2	14	酬绸稠筹俦畴踌售谁雠仇文
ʧʱəɯ	3	35	丑醜
ʧʱəɯ	5	554	臭
ʃəɯ	1	443	收
ʃəɯ	2	14	仇（白）雠
ʃəɯ	3	35	守手首
ʃəɯ	4	11	叔（变，～叔）
ʃəɯ	5	554	兽叔（变，叔～）
ʃəɯ	6	223	寿受授绶
tiɯ	1	443	丢
niɯ	1	443	溜飗
niɯ	2	14	留瑠榴流硫琉刘浏
niɯ	4	11	柳榴
niɯ	5	554	绺溜廖又
niɯ	6	223	馏镏瘤溜
ʦiɯ	1	443	揪
ʦiɯ	2	14	□（言人集在一起也）
ʦiɯ	3	35	酒
ʦiɯ	5	554	鹫㲃
ʦʱiɯ	1	443	秋湫
ʦʱiɯ	2	14	囚泅虬酋
ʦʱiɯ	5	554	鳅
ʦʱiɯ	6	223	就袖
siɯ	1	443	修羞
siɯ	5	554	秀绣锈
kiɯ	1	443	纠赳鸠阄
kiɯ	3	35	九久玖灸韭
kiɯ	5	554	救究咎厩疚
kʱiɯ	1	443	丘邱
kʱiɯ	2	14	求球裘
kʱiɯ	4	11	舅臼
kʱiɯ	5	554	梂
kʱiɯ	6	223	旧舊柩
ŋiɯ	1	443	妞
ŋiɯ	2	14	牛揉（白）
ŋiɯ	4	11	扭（文）纽钮
ŋiɯ	5	554	扭白拗
xiɯ	1	443	休
xiɯ	3	35	朽
xiɯ	4	11	□（言很神气、很自大貌也）
xiɯ	5	554	嗅（文）
iɯ	1	443	攸悠幽优忧
iɯ	2	14	游遊尤犹由油邮柔蹂揉文
iɯ	4	11	有友酉
iɯ	5	554	幼诱
iɯ	6	223	又右佑柚釉
