	註釋：-白讀，=文讀									
ŋ	[2]牛=嶢饒-[6]□{不遜}									
h	[1]幽休囂咻枵驍梟[3]朽曉[5]□{遊手好閒}									
∅	[1]么憂優妖邀要{～求}腰夭呦[2]由油遊遊尤猶郵悠遙謠搖窯柔姚猷蹂徭瑤蝣蚰[3]有=友舀誘酉莠擾窈{又}怮[5]要幼[6]又=右岉=佑柚宥囿釉鷂耀=曜黝									
#ua										
tʰ	[1]拖									
n	[2]挪-									
ts	[1]抓=[2]□{猛吃}[3]爪=									
tsʰ	[5]□{出色}									
s	[3]耍灑-掃=									
k	[1]瓜□{割}[2]□{聒}[3]寡剮[5]卦掛褂									
kʰ	[1]誇跨[3]垮[5]跨{箕～}袴									
ŋ	[3]瓦=[6]瓦-									
h	[1]花[2]華嘩鋅驊[5]化叱{～～鳥}									
∅	[1]挖{又}蛙娃窪哇鴉{老～}[2]劃{～船}[3]斡踝[5]□{越門}[6]畫話									
#uo										
p	[1]晡夫-[2]柎{量詞}蒲=匍脯{胸～}[3]補[5]布佈怖播-[6]步部簿捕哺埠									
pʰ	[1]鋪麩-鋪{床～}菠{～薐菜}[2]扶[3]普譜浦圃脯-溥斧-頗-[5]舖{三～埠}									
m	[1]摸[2]模摹雺嫫霧[3]畝嬤□{妻子}[5]墓[6]暮慕戊瞙{不明}募									
t	[2]廚屠[3]朵躲貯{盛，～飯}[6]□{路}躲{又，～世}									
tʰ	[1]拖{又}[3]夥妥={～善}									
n	[1]娜{扭扭捏捏，～～形}									
l	[3]裹-虜-裸擄-									
ts	[1]朱硃珠=侏[3]主-乳-{又}[5]註鑄注{杜撰，亂～}									
tsʰ	[1]□{旋}[5]厝									
s	[1]輸-[6]□{墊進}									
k	[1]鍋過{又}[3]裹={包～}果=粿={米～}[5]過句									
kʰ	[1]靴科蝌窠戈髁{蹄～}[2]瘸跔[3]顆棵[5]課									
ŋ	[1]訛[6]誤悮悟寤晤臥									
h	[2]禾和={～氣}龢[3]夥火=𢒙[5]貨[6]禍雨-和-{附～}									
∅	[1]窩萵蝸渦媧撾倭[3]□乳-[5]媧{又}[6]芋									
#yo										
k	[2]橋茄									
ŋ	[1]□{傲慢}									
∅	[3]萎{花～去}[6]裔悅閱曳銳									
#ai										
p	[2]擺{又}誹徘排-{～解}敗-{落～}[3]擺-跛[5]拜=[6]敗=稗=									
pʰ	[3]痞-									
m	[1]□{孬}[2]霾[3]買=□{長不大}[6]邁腹脄脢賣{燒～}									
t	[1]呆□{小米}[2]臺臺□{米蟲}[3]滓-歹傣[5]帶碓戴殆{糟了}[6]待逮怠貸代=事-埭大=玳岱黛迨□{放置}									
tʰ	[1]拖-梯颱抬篩胎=苔-[2]治{殺}[5]太汰泰態									
n	[3]乃迺奶=[6]耐鼐奈柰捺褦{～襶lai213，不淨}									
l	[1]□{不平滑}[2]來-萊籮-蘿-{黃～，菠蘿}雷-[3]□{小口大肚竹器}[5]瀨□{不光滑}籟{又}[6]賴癩瀨籟									
ts	[1]栽哉炎齋=[2]才=材財豺纔[3]紙載滓=趾-指-宰[5]載=債再[6]在寨□{倚}									
tsʰ	[1]猜釵[2]材{棺～}才{奴～}豺{又}[3]采彩睬踩採[5]菜蔡									
s	[1]師{～公}沙-砂-獅-腮鯊-嘶{馬～}私-廝蓑-[2]臍-□{大口吞}[3]屎-使-駛-[5]婿-曬塞{要～}[6]祀-載-{蜀～，船艙滿載}									
k	[1]該皆偕階=喈垓胲{嗉囊}[3]改=解=[5]蓋芥疥=介戒誡蚧屆界丐尬[6]□{鴨聲}									
kʰ	[1]開=揩{又}[3]凱揩楷愷覬鎧[5]慨概溉暨{又}愾									
ŋ	[1]挨-{忍受}[2]獃[3]□{牙齒}[5]艾=[6]礙									
h	[1]咍臺[2]孩咳諧駭頦孩瓷{訓}骸邂[3]海醢[5]嗐{嘆詞}[6]害械亥懈解={～數}獬									
∅	[1]挨=埃哀唉[3]倚-藹靄[5]愛=隘嬡媛									
#au										
p	[1]包胞{又}[2]胞鮑庖苞咆[3]飽=[5]豹胞𥄹{目怒}□{斷，折}[6]□{手擊頭}									
pʰ	[1]拋枹{柚}柚{訓}拋=脬=[2]跑[5]炮=鮑{～魚}泡□{張大}[6]雹=□{量詞}埠{又}炮{又}									
m	[2]矛茅[3]卯鉚[6]貌貿茂									
t	[1]橷株-㨮兜[2]骰投-[3]鬥陡{踏～，樓梯}抖[5]晝-罩鬥[6]豆痘脰=□{跳動}逗竇									
tʰ	[1]偷-[2]頭-[3]敨{打開}[5]䚵毒									
n	[1]撓[3]撓繞[5]嘵[6]鬧腦-{頭～}									
l	[1]□{略視}撈{又}□{皺眉}[2]劉留-流-樓-遶{量詞，趟}[3]了-[5]漏-[6]老漏-									
ts	[1]㷮抓-糟{柴～}[2]巢剿[3]走-找蚤-爪-[5]灶皺奏[6]驟									
tsʰ	[1]抄操{體～}鈔搊{～緊，抓緊並略往上提}[3]吵=草-[5]臭-湊									
s	[1]緒捎=梢=艄搔{～擾}[3]首-稍[5]嗽掃-哨痩肖-{生～}瘦									
k	[1]溝-交=郊蛟勾-鉤-茭={～白}[2]猴-[3]九-垢搞{又}[5]窖夠遘{到}較校{～對}媾教=䃝[6]厚-									
kʰ	[1]摳鬮□{混雜}[3]口-[5]教-{～管}叩扣寇蔻									
ŋ	[1]□{～～叫}[2]肴爻淆[3]咬=[5]聱[6]藕樂{～山}									
h	[1]薅咻哮-[3]吼[5]孝=鱟酵□{～欄杆}[6]后後=校效父-{師～}腐-{豆～}侯{閩～}厚=									
∅	[1]凹坳[3]嘔[5]拗=[6]後-									
#ɛu										
pʰ	[2]浮-[3]否缶剖									
m	[2]謀牟[3]畝=									
t	[1]篼{竹轎}彫雕㨮□{味苦}[2]調-投=條[3]鬥=抖=陡=蚪									
tʰ	[1]餿偷=[2]頭=									
n	[1]□{風騷}[2]□{利益}[3]鳥=嫋									
l	[1]皺[2]樓=寮{山間小屋}撩-螻嘍耬[3]剾鏤簍螻{布～}									
ts	[1]鄒諏[3]鳥-走=									
tsʰ	[2]愁									
