来源：	沈明 2014《山西岚县方言》；sainirwuu 整理录入
p	［7］笔毕{～恭～敬；～业}必弼{人名}北逼璧{完～归赵}壁{照～：影壁}
pʰ	［7］匹{一～马；一～布}迫拍魄僻辟劈□{糊～匠：锡匠}□{寒～～：给小孩儿避邪的物件儿。用碎花布缝成一个一个的扁圆球，用线申起来，圆球之间夹着短麦秆儿，过寒食节的时候挂在小孩身上}［8］鼻-{～子}
m	［7］密蜜泌秘墨{～水：钢笔水}默灭脉
t	［7］德得{趋向补语标记：雨下～来咧；天黑～来咧；把盘子荷～来}的{目～}狄{～仁杰}
n	［7］聂镊捏孽逆觅{寻死～活}
l	［7］力暦歴立粒栗吏{贪官污～}
tɕ	［7］辑{编～}急级及极疾戟{方天画～}积迹脊{～梁骨}籍绩击激墼{土坯}甑{～箅子：笼箅}□{醋～子：用来酿醋的剩饭}集={～体}□{树㞘～：树根子}□{石～：煤矸石}
tɕʰ	［7］祈{～雨}缉{～鞋口}礘{～干}漆七柒戚{大～：婚礼中陪伴新娘的中年妇女，庄重、懂礼数}踢剔提{～土旁}砌泣击{迫～炮}忒{～得：太：～得咸；～得硬；～得软}□{～拍嘴：善说讨好话的人}起{站～来}［8］集-{赶～}
ɕ	［7］吸悉膝息媳熄{汽车～火咧}惜昔{～阳县}锡析胁鍥{～唠一锤：打了一拳}习袭夕{朝～}些{兀～～}□{肉□pəʔ～：(人)精壮}□{□pi53～：房脊两端的饰物，样子似龙}［8］席
Ø	［7］乙一壹益译艺{手～人}疫{瘟～}役{兵～}峪{荆～堡，村名}□{～□tɕi：索性}
#uəʔ
t	［7］㞘{～子：屁股}独={～立}读{～书}督掇{～屎～尿：端屎端尿}毒={流～}
tʰ	［7］突秃□{～扫：一种专用来扎扫帚的植物}□{小孩胖而可爱}□{烟～：砖砌的烟囱}□{～气：长出一口气}□{圪～：(人)矮壮}□{～□luẽ44：“团”的分音前字}［8］独-{～苗苗}犊-{牛～～：牛犊儿}毒-{～药}
n	［7］那{～些；～□tie53做}
l	［7］律率{效～}鹿禄绿录碌{～～：碌碡}六{～齿齿：六指儿}陆轳{辘～：缠井绳的轳轳把}辘{车轱～子}□{～kie214：连枷}
ts	［7］浊{污泥～水}烛{～台}竹筑祝触做逐{～步}琢涿{～州}术{白～；金兀～}
tsʰ	［7］出蹙{～鼻子骡子卖唠块驴价钱。意思是骒子鼻子蹙就不值钱了，用来骂人嘴贱}［8］妯-{～娌}
s	［7］叔淑束蜀属嘱术{算～}述塾{私～}［8］熟赎勺{～子}
ʐ	［7］入{～深：房间的进深}肉{～桂}辱{～骂}褥
k	［7］骨{筋～}核{本字“木+月+骨”。桃～～}郭国谷穀轱{～辘子}□{分音词前字：～□lyẽ44(“圈”的分音)；～luəŋ53(“滚”的分音)}□{～□lyə44子：架子猪}
kʰ	［7］窟哭酷□{～雷：雷}□{眼～□lyẽ44：眼眶}□{～□laŋ44：“框”的分音前字}
x	［7］忽惑{疑疑～～：犹豫不决}□{～□luaŋ44：“环”的分音前字}□{前缀：～绕；～兴}囫{～囵}霍藿获喉{～咙：咽喉}回{～得：回去}糊{～涂}
Ø	［7］物勿屋兀{远指：～里；～那人；～些}□{～突水：温吞水}沃{曲～县}
#yəʔ
l	［7］捋{把榆钱钱～下来}
tɕ	［7］掬{～上一～土}足局㔢{～死蹋活}倔={～背：倔脾气的人}脚镢
tɕʰ	［7］黢{～黑}屈曲蛐{～蟮：蚯蚓}麯{醋～；酒～}焌{～灯子：旧指火柴}［8］掘-{挖～}倔-{～圪榄：脾气倔的人}菊鞠族-{民～}卒-{～子}
ɕ	［7］粟戍{申西～亥}速肃宿畜{～牧；牲～}蓄{～发还唠俗咧}续{继～}髓-{骨～}削穴{～位}□{～子：麻雀}［8］俗
Ø	［7］峪{荆～堡，村名}浴{闹沐～，村名}裕欲熨{～帖}育{旧时私塾老师的读音}
