#注释	永嘉县志，落橙抄
#声调	[1]44[2]31[3]45[4]34[5]52[6]22[7]323[8]212
#a	
kʰ	[3]口[5]叩扣寇
ɡ	[2]𠛅{剜刮}[4]厚
ŋ	[2]牛[4]偶藕
h	[1]佝-{驼背}[3]犼{那里}[5]吼鲎{即虹}
ɦ	[2]侯喉猴[4]后厚{忠厚}[6]候
∅	[1]欧瓯呕殴区{姓氏}[5]沤{应答、压、埋}
#iau	[1]都[3]赌肚-{猪肚}[5]堵妬
tɕ	[1]纠鸠阉[3]九久玖[5]救灸究
tɕʰ	[1]丘邱[3]搝{讨、乞讨}
dʑ	[2]求球仇{姓氏}俅毬裘[4]臼舅咎柩[6]旧
ȵ	[2]扭-{拧}[4]纽钮[6]狃-{何处}
ɕ	[1]休朽[3]朽-{木坏}[5]嗅
ɦ	[2]尤邮由油游犹[4]有友酉卣逎[6]又右祐佑诱蜏釉鼬
∅	[1]优忧攸悠幼坳幽
#eu	[2]门蚊-明{〜年}[6]闷问-炯
t	[1]多丢[7]笃督
d	[2]头徒[6]大-豆痘[8]独毒读牍犊渎
l	[1]溜柳-{〜痒}[2]流刘留榴硫琉馏蹓骝[4]鲁橹柳裸[6]遛-{滑下}[8]六陆鹿
#ieu	[1]𧰥吞-{慢〜}捅㖔{差的意思}[5]瞠汆
tɕ	[1]周舟州洲揪[3]帚肘酒[5]昼咒[7]竹筑祝粥菊掬鞠
