来源：	sainirwuu 整理录入
t	［1］掂敁{～敠：用手估量东西轻沉}颠爹{对母亲改嫁后的继父、过继以后的父亲、父亲的亲兄弟或者堂兄弟的称呼}［3］典点［5］电店踮{～脚：跺脚}垫淀奠殿
tʰ	［1］天添［2］田甜填［3］腆舔
n	［1］你{第二人称属格或复数}［2］拈年鲇黏=研-{硌}［3］辇捻撵碾［5］念焾
l	［1］蓝{又读。苤～}［2］连帘怜莲联廉镰梁-{横～会，地名}［3］敛脸［5］练炼殓楝錬恋={新文读}
tɕ	［1］奸尖坚歼间肩艰兼监笺煎阶皆秸街价{副词词尾。觑～：看望。怕～：生病、懒得做}家{家族或者属格。唐～会，地名}［3］解姐拣俭柬茧减剪检简碱［5］间犍锏见件建饯械剑荐贱健涧舰渐谏溅腱践鉴键箭介戒芥届界疥借
tɕʰ	［1］千迁牵铅谦签鹐揩-{～桌子}枪-{棍～圪榄：形容棍棒杂乱}［2］前虔钱钳乾掮茄［3］潜浅遣且［5］欠嵌歉笡
ɕ	［1］仙先掀鲜［2］闲=涎弦贤衔=嫌咸=邪斜谐鞋=［3］显险些写癣［5］解县现线限宪陷=馅羡献泻卸灺{火熄灭}谢懈澥=蟹苋=
Ø	［1］烟淹焉阉腌蔫墕［2］延严=言岩沿研=盐阎缘筵颜檐俨椰爷［3］掩=眼演魇燕也野［5］炎厌砚宴艳验谚堰焰雁酽燕咽夜液腋沿
#ye
l	［1］圙［2］联［5］劣圙灓{稠。稀粥焗了下糊～糊～}恋-{这娃娃就～他娘：这孩子就爱跟着他奶奶}
tɕ	［1］捐［3］卷［5］卷倦绢眷圈
tɕʰ	［2］全=泉权拳瘸颧［3］圈犬［5］劝券
ɕ	［1］宣轩喧靴［2］玄悬旋横-［3］选［5］楦镟
Ø	［1］冤［2］渊元员园原圆袁援源辕［3］远［5］怨院愿
#ɔu
p	［1］包［3］褒宝饱保胞［5］报抱豹鲍疱暴爆{～炸}雹=
pʰ	［1］抛{～物线}［2］胞刨袍［3］跑［5］抛{掉落。～开：骂人话“滚开”}炮泡雹-{石头～子：碎石子}
m	［5］茂冒贸帽貌峁{大～沟，地名}墓-{坟～圪堆}
t	［1］刀叨［3］岛倒祷［5］导倒到盗道稻
tʰ	［1］掏［2］涛滔逃桃陶淘萄［3］讨［5］套
n	［2］挠铙脑{弹～子：弹脑瓜崩}［3］恼脑{～窍：脑子}［5］闹淖
l	［2］捞劳牢唠［3］老［5］涝烙
ts	［1］遭糟［2］凿{开～}［3］早枣蚤澡找爪［5］灶皂造躁笊罩棹
tsʰ	［1］操{做～}抄钞［2］曹槽巢［3］草吵炒［5］糙操{曹～}
s	［1］骚臊捎梢稍［3］扫嫂［5］扫潲
tʂ	［1］朝招昭沼召［5］兆诏赵照
tʂʰ	［1］超［2］朝潮［5］翘-
ʂ	［1］烧少绍［2］勺芍韶［5］烧少邵
