ɿ	
l	[52]聋[22]龙隆脓融容荣绒农浓[21]□{欺骗}[25]笼[215]弄
ts	[52]棕中忠终衷钟综踪宗[21]总肿种{~子}□{吃（贬义）}[215]粽种
tsʰ	[52]葱聪匆冲充囱[22]虫崇丛重{~来}[21]宠□{推}[55]铳
s	[52]松{~紧}[55]送诵颂宋
k	[52]公工宫功攻恭弓[21]拱汞□{搅合}[215]贡
kʰ	[52]空[21]孔恐[215]共供[55]控烘{白读}
h	[52]轰风疯丰封峰锋枫[22]红洪虹逢冯宏鸿弘泓[21]讽哄[215]凤[55]烘{文读}
aʔ	
p	[5]爸八百
pʰ	[5]怕帕拍
m	[5]□{~嘚}
ts	[5]眨闸扎□{蛮~：很厉害}
tsʰ	[5]册岔插拆尺□{爆~：裂缝}
s	[5]杀飒
k	[5]隔格甲□{蛮~：很好}
kʰ	[5]客
h	[5]瞎
ŋ	[5]鸦
Ø	[5]鸭丫
oʔ	
p	[5]剥播
pʰ	[5]泼魄
m	[5]抹木{形容人很木讷}
ts	[5]作
tsʰ	[5]错措□
s	[5]硕缩叔属刷粟俗束数{~学}
h	[5]服福
Ø	
eʔ	
p	[5]北柏伯贝
pʰ	[5]配佩沛姵倍迫魄
m	[5]默□{放置时间过长腐烂：~烂}
t	[5]得德嫡{~亲}
ts	[5]折{~叠}执汁职浙哲织责泽则质
tsʰ	[5]彻撤秩
s	[5]色塞湿释适室舍摄涉式设
kʰ	[5]克咳
h	[5]核
iaʔ	
p	[5]壁
pʰ	[5]劈
t	[5]踢
tɕ	[5]借
tɕʰ	[5]恰洽吃
ɕ	[5]腻
ȵ	[5]泻
Ø	[5]压押
ieʔ	
p	[5]笔必逼碧憋
pʰ	[5]匹别
m	[5]密蜜秘灭
t	[5]跌叠蝶粒滴的{目~}
tʰ	[5]铁贴帖截
l	[5]历{日~}例猎列
k	[5]革□{担忧}
kʰ	[5]咳克
tɕ	[5]揭节结疾吉橘级接捷急积即迹绩击激□{涩，水果未成熟的口感}
tɕʰ	[5]七漆妾窃
ɕ	[5]歇吸膝息熄惜昔析
ȵ	[5]孽镊捏聂业
Ø	[5]一
ioʔ	
t	[5]六着{穿}竹
l	[5]律肉
tɕ	[5]脚菊
tɕʰ	[5]曲屈
ɕ	[5]削宿蓄畜续
Ø	[5]药阅跃育约
uaʔ	
k	[5]刮
kʰ	[5]跨
h	[5]法发{~现}化□{甩}
Ø	[5]挖
ueʔ	
k	[5]国
kʰ	[5]概
Ø	[5]物外
uoʔ	
Ø	[5]握屋
yeʔ	
tɕ	[5]决□{吸}
tɕʰ	[5]缺鹊切
ɕ	[5]血雪屑□{喝}
Ø	[5]约越曰
